ID,Uitgaansseizoenen,TotaalUitvoeringen_1,DoorNederlandseGezelschappen_2,DoorRijksgesubsidieerdeGezelschappen_3,UitvoeringenPer100000Inwoners_4,UitvoeringenIndexcijfers_5,TotaalTheateruitvoeringen_6,Toneel_7,Voordrachten_8,Poppentheater_9,Mime_10,OverigeTheateruitvoeringen_11,TotaalMuziekuitvoeringen_12,Orkestmuziek_13,Kamermuziek_14,Recitals_15,Jazz_16,Amusementsmuziek_17,Volksmuziek_18,OverigeMuziekEnConcerten_19,TotaalMuziektheateruitvoeringen_20,Opera_21,Muziektheater_22,OperetteMusical_23,Cabaret_24,TotaalDanstheateruitvoeringen_25,Ballet_26,ModerneDans_27,OverigDanstheater_28,OverigePodiumkunsten_29,TotaalBezoekers_30,AanNederlandseGezelschappen_31,AanRijksgesubsidieerdeGezelschappen_32,BezoekersPerUitvoering_33,BezoekersPer1000Inwoners_34,BezoekersImdexcijfers_35,TotaalTheaterbezoekers_36,Toneel_37,Voordrachten_38,Poppentheater_39,Mime_40,OverigeTheateruitvoeringen_41,Orkestmuziek_42,TotaalMuziekbezoekers_43,Kamermuziek_44,Recitals_45,Jazz_46,Amusementsmuziek_47,Volksmuziek_48,OverigeMuziekEnConcerten_49,TotaalMuziektheaterbezoekers_50,Opera_51,Muziektheater_52,OperetteMusical_53,Cabaret_54,TotaalDanstheaterbezoekers_55,Ballet_56,ModerneDans_57,OverigDanstheater_58,OverigePodiumkunsten_59,GemiddeldAantalBezoekers_60,Toneel_61,Voordrachten_62,Poppentheater_63,Mime_64,OverigeTheateruitvoeringen_65,GemiddeldAantalBezoekers_66,Orkestmuziek_67,Kamermuziek_68,Recitals_69,Volksmuziek_70,Jazz_71,Amusementsmuziek_72,OverigeMuziekEnConcerten_73,GemiddeldAantalBezoekers_74,Opera_75,Muziektheater_76,OperetteMusical_77,Cabaret_78,GemiddeldAantalBezoekers_79,Ballet_80,ModerneDans_81,OverigDanstheater_82,OverigePodiumkunsten_83
0,1990SJ00,47060.0,43560.0,5530.0,316.0,100.0,23710,15420,740,4940,900,1710,11370,1550,2940,1020,1710,730,870,3420,7370,340,1410,1140,4470,3430,750,1480,1200,1190,11429.0,10020.0,2186.0,243.0,767.0,100.0,3279,2380,69,456,119,255,1391,4196,650,252,737,354,148,664,2776,347,371,700,1558,737,395,154,188,440,138,154,93,92,132,149,369,876,221,246,170,431,488,194,377,720,192,613,348,215,526,104,157,370
1,1991SJ00,,,,,,23550,15850,690,4360,1100,1550,11800,1530,3320,1910,1730,1230,770,1310,8680,480,1560,1920,4730,3480,620,1480,1380,990,,,,,,,3230,2529,57,367,94,183,1317,4206,741,441,516,432,188,571,3352,333,313,1301,1405,774,330,228,216,456,137,160,82,84,85,118,356,860,223,231,244,298,352,436,386,698,201,679,297,223,535,154,157,461
2,1992SJ00,,,,,,22860,14580,760,5270,790,1460,13290,1820,3440,1310,1820,1420,780,2700,8430,750,1430,1850,4410,3610,630,1630,1350,1040,,,,,,,3168,2355,94,445,71,203,1723,4882,726,310,638,681,202,602,3133,353,304,1113,1363,815,362,222,231,476,139,161,123,85,90,139,367,948,211,237,258,350,480,223,372,471,213,603,309,226,576,136,171,460
3,1993SJ00,51110.0,46030.0,8760.0,350.0,109.0,22760,15220,980,4440,820,1300,14130,1760,3450,1480,2450,1960,810,2230,9290,540,2150,1510,5090,3670,630,1540,1500,1260,12766.0,10563.0,2598.0,250.0,832.0,112.0,3095,2309,117,372,96,201,1513,4899,685,393,622,842,224,620,3372,361,601,919,1491,862,355,198,309,538,136,152,120,84,117,155,347,860,198,265,275,254,430,278,363,666,279,611,293,235,565,129,206,429
4,1994SJ00,53980.0,49130.0,9250.0,350.0,115.0,23770,14260,1050,5710,1010,1740,14100,1780,2980,1230,3190,1800,910,2200,10780,730,2700,1800,5070,4140,650,2090,1400,1200,14967.0,12728.0,2624.0,277.0,970.0,131.0,3220,2195,111,550,112,252,1678,5839,678,349,763,1102,258,1011,4354,445,729,1636,1498,941,373,241,327,614,135,154,106,96,111,145,414,942,227,285,283,239,613,460,404,614,270,910,296,228,570,115,234,513
5,1995SJ00,55230.0,50660.0,9120.0,356.0,117.0,23320,15410,1030,3680,1050,2150,14570,1640,2670,1500,3360,2100,1030,2270,11780,800,2920,2340,5710,4240,770,1910,1560,1320,15100.0,13347.0,2566.0,273.0,975.0,132.0,3089,2256,108,323,123,279,1536,5545,638,371,715,1068,304,913,4871,479,716,1955,1720,937,358,238,341,657,132,146,105,88,117,130,381,937,239,247,295,213,509,402,414,601,245,834,301,221,467,124,219,498
6,1996SJ00,52630.0,47200.0,8440.0,338.0,112.0,20680,13510,730,3130,870,2440,14600,1730,1830,1330,3470,2050,1280,2910,12220,660,3560,2230,5790,3810,620,2070,1140,1310,14917.0,12755.0,2416.0,283.0,958.0,130.0,2851,2024,76,307,105,337,1685,5779,373,338,711,1226,431,1014,4644,425,753,1607,1859,907,313,330,264,736,138,150,103,98,121,138,396,975,204,254,338,205,598,348,380,646,212,722,321,238,509,160,232,562
7,1997SJ00,56670.0,51510.0,9900.0,362.0,120.0,23260,14530,660,3880,920,3270,15040,1710,2700,1470,3830,1970,970,2390,13140,890,3740,2390,6130,3980,620,2280,1080,1250,15607.0,13433.0,2696.0,275.0,997.0,137.0,3164,2111,62,368,116,507,1669,5655,650,383,756,998,226,973,5040,522,750,1799,1969,933,328,362,243,816,136,145,95,95,126,155,376,975,241,261,234,197,507,407,384,586,201,754,321,235,532,159,225,651
8,1998SJ00,55990.0,49990.0,9360.0,355.0,119.0,21680,13820,550,3500,840,2970,15600,1550,2570,1380,3420,3130,760,2790,12820,730,3570,2660,5870,4410,550,2440,1420,1480,16090.0,13756.0,2637.0,267.0,1021.0,140.0,3144,2149,58,347,153,437,1443,5966,810,342,718,1410,197,1046,5055,404,768,2015,1876,1255,289,408,558,670,146,156,106,99,182,147,382,931,315,248,258,210,150,375,394,551,215,759,318,285,522,167,396,454
