ID,Motief,TypeAccommodatie,Perioden,Gasten_1,Overnachtingen_2,Bestedingen_3,Gasten_4,Overnachtingen_5
0,3 ,3,2005SJ00 ,10012,25210,3545.0,100,100
1,3 ,1,2005SJ00 ,8081,15143,3102.0,100,100
2,3 ,2,2005SJ00 ,1931,10067,442.0,100,100
3,1 ,3,2005SJ00 ,6973,20339,2217.0,70,81
4,1 ,1,2005SJ00 ,5090,10573,,63,70
5,1 ,2,2005SJ00 ,1882,9765,,97,97
6,2 ,3,2005SJ00 ,3039,4871,1328.0,30,19
7,2 ,1,2005SJ00 ,2991,4570,,37,30
8,2 ,2,2005SJ00 ,49,302,,3,3
