ID,Perioden,AmerikaanseDollar_1,AustralischeDollar_2,BritsePondSterling_3,CanadeseDollar_4,DeenseKroon_5,HongaarseForint_6,HongKongDollar_7,JapanseYen_8,NieuwZeelandseDollar_9,NoorseKroon_10,PoolseZloty_11,SloveenseTolar_12,TsjechischeKroon_13,ZuidAfrikaanseRand_14,ZweedseKroon_15,ZwitserseFrank_16
0,1980MM01,1.44,1.29,0.64,1.68,7.77,49.08,7.03,343.03,1.45,7.09,,,,1.18,5.99,2.3
1,1980MM02,1.43,1.28,0.63,1.65,7.8,47.92,7.01,349.04,1.44,6.98,,,,1.16,5.96,2.34
2,1980MM03,1.36,1.2,0.62,1.59,7.83,43.36,6.82,337.3,1.36,6.85,,,,1.1,5.9,2.39
3,1980MM04,1.35,1.28,0.61,1.6,7.85,44.41,6.72,335.96,1.47,6.81,,,,1.09,5.88,2.36
4,1980MM05,1.4,1.25,0.61,1.64,7.85,45.72,6.89,319.66,1.44,6.88,,,,1.11,5.91,2.33
5,1980MM06,1.42,1.24,0.61,1.64,7.81,45.88,7.0,310.02,1.45,6.91,,,,1.11,5.93,2.32
6,1980MM07,1.44,1.22,0.61,1.66,7.79,46.18,7.09,318.31,1.43,6.94,,,,1.1,5.94,2.32
7,1980MM08,1.41,1.22,0.6,1.64,7.82,44.92,6.99,316.53,1.44,6.87,,,,1.07,5.9,2.33
8,1980MM09,1.42,1.2,0.59,1.65,7.83,45.61,7.02,303.58,1.43,6.84,,,,1.06,5.88,2.32
9,1980MM10,1.39,1.15,0.57,1.62,7.85,44.66,6.97,289.73,1.38,6.78,,,,1.04,5.81,2.3
10,1980MM11,1.34,1.13,0.56,1.58,7.87,43.55,6.81,284.31,1.37,6.69,,,,1.0,5.74,2.31
11,1980MM12,1.3,1.12,0.56,1.56,7.86,41.85,6.68,272.31,1.38,6.71,,,,0.97,5.73,2.32
12,1980JJ00,1.39,1.21,0.6,1.63,7.83,45.26,6.92,314.98,1.42,6.86,,,,1.08,5.88,2.33
