ID,Perioden,TotaalWinning_1,Biomassa_2,NietMetaalMineralen_3,FossieleEnergiedragers_4,TotaalInvoer_5,TotaalInvoer_6,Biomassa_7,Metaal_8,NietMetaalMineralen_9,FossieleEnergiedragers_10,OverigeProducten_11,TotaalInvoer_12,Biomassa_13,Metaal_14,NietMetaalMineralen_15,FossieleEnergiedragers_16,OverigeProducten_17,TotaalInvoer_18,Biomassa_19,Metaal_20,NietMetaalMineralen_21,FossieleEnergiedragers_22,OverigeProducten_23,TotaalInvoerUitEuropa_24,TotaalInvoer_25,Biomassa_26,Metaal_27,NietMetaalMineralen_28,FossieleEnergiedragers_29,OverigeProducten_30,TotaalInvoer_31,Biomassa_32,Metaal_33,NietMetaalMineralen_34,FossieleEnergiedragers_35,OverigeProducten_36,TotaalInvoer_37,Biomassa_38,Metaal_39,NietMetaalMineralen_40,FossieleEnergiedragers_41,OverigeProducten_42,TotaalInvoerUitAzie_43,TotaalInvoer_44,Biomassa_45,Metaal_46,NietMetaalMineralen_47,FossieleEnergiedragers_48,OverigeProducten_49,TotaalInvoer_50,Biomassa_51,Metaal_52,NietMetaalMineralen_53,FossieleEnergiedragers_54,OverigeProducten_55,TotaalInvoer_56,Biomassa_57,Metaal_58,NietMetaalMineralen_59,FossieleEnergiedragers_60,OverigeProducten_61,TotaalInvoerUitAfrika_62,TotaalInvoer_63,Biomassa_64,Metaal_65,NietMetaalMineralen_66,FossieleEnergiedragers_67,OverigeProducten_68,TotaalInvoer_69,Biomassa_70,Metaal_71,NietMetaalMineralen_72,FossieleEnergiedragers_73,OverigeProducten_74,TotaalInvoer_75,Biomassa_76,Metaal_77,NietMetaalMineralen_78,FossieleEnergiedragers_79,OverigeProducten_80,TotaalInvoerUitOceanie_81,TotaalInvoer_82,Biomassa_83,Metaal_84,NietMetaalMineralen_85,FossieleEnergiedragers_86,OverigeProducten_87,TotaalInvoer_88,Biomassa_89,Metaal_90,NietMetaalMineralen_91,FossieleEnergiedragers_92,OverigeProducten_93,TotaalInvoer_94,Biomassa_95,Metaal_96,NietMetaalMineralen_97,FossieleEnergiedragers_98,OverigeProducten_99,TotaalInvoerUitNoordAmerika_100,TotaalInvoer_101,Biomassa_102,Metaal_103,NietMetaalMineralen_104,FossieleEnergiedragers_105,OverigeProducten_106,TotaalInvoer_107,Biomassa_108,Metaal_109,NietMetaalMineralen_110,FossieleEnergiedragers_111,OverigeProducten_112,TotaalInvoer_113,Biomassa_114,Metaal_115,NietMetaalMineralen_116,FossieleEnergiedragers_117,OverigeProducten_118,TotaalInvoerUitZuidAmerika_119,TotaalInvoer_120,Biomassa_121,Metaal_122,NietMetaalMineralen_123,FossieleEnergiedragers_124,OverigeProducten_125,TotaalInvoer_126,Biomassa_127,Metaal_128,NietMetaalMineralen_129,FossieleEnergiedragers_130,OverigeProducten_131,TotaalInvoer_132,Biomassa_133,Metaal_134,NietMetaalMineralen_135,FossieleEnergiedragers_136,OverigeProducten_137,TotaalUitvoer_138,TotaalUitvoer_139,Biomassa_140,Metaal_141,NietMetaalMineralen_142,FossieleEnergiedragers_143,OverigeProducten_144,TotaalUitvoer_145,Biomassa_146,Metaal_147,NietMetaalMineralen_148,FossieleEnergiedragers_149,OverigeProducten_150,TotaalUitvoer_151,Biomassa_152,Metaal_153,NietMetaalMineralen_154,FossieleEnergiedragers_155,OverigeProducten_156,TotaalUitvoerNaarEuropa_157,TotaalUitvoer_158,Biomassa_159,Metaal_160,NietMetaalMineralen_161,FossieleEnergiedragers_162,OverigeProducten_163,TotaalUitvoer_164,Biomassa_165,Metaal_166,NietMetaalMineralen_167,FossieleEnergiedragers_168,OverigeProducten_169,TotaalUitvoer_170,Biomassa_171,Metaal_172,NietMetaalMineralen_173,FossieleEnergiedragers_174,OverigeProducten_175,TotaalUitvoerNaarAzie_176,TotaalUitvoer_177,Biomassa_178,Metaal_179,NietMetaalMineralen_180,FossieleEnergiedragers_181,OverigeProducten_182,TotaalUitvoer_183,Biomassa_184,Metaal_185,NietMetaalMineralen_186,FossieleEnergiedragers_187,OverigeProducten_188,TotaalUitvoer_189,Biomassa_190,Metaal_191,NietMetaalMineralen_192,FossieleEnergiedragers_193,OverigeProducten_194,TotaalUitvoerNaarAfrika_195,TotaalUitvoer_196,Biomassa_197,Metaal_198,NietMetaalMineralen_199,FossieleEnergiedragers_200,OverigeProducten_201,TotaalUitvoer_202,Biomassa_203,Metaal_204,NietMetaalMineralen_205,FossieleEnergiedragers_206,OverigeProducten_207,TotaalUitvoer_208,Biomassa_209,Metaal_210,NietMetaalMineralen_211,FossieleEnergiedragers_212,OverigeProducten_213,TotaalUitvoerNaarOceanie_214,TotaalUitvoer_215,Biomassa_216,Metaal_217,NietMetaalMineralen_218,FossieleEnergiedragers_219,OverigeProducten_220,TotaalUitvoer_221,Biomassa_222,Metaal_223,NietMetaalMineralen_224,FossieleEnergiedragers_225,OverigeProducten_226,TotaalUitvoer_227,Biomassa_228,Metaal_229,NietMetaalMineralen_230,FossieleEnergiedragers_231,OverigeProducten_232,TotaalUitvoerNaarNoordAmerika_233,TotaalUitvoer_234,Biomassa_235,Metaal_236,NietMetaalMineralen_237,FossieleEnergiedragers_238,OverigeProducten_239,TotaalUitvoer_240,Biomassa_241,Metaal_242,NietMetaalMineralen_243,FossieleEnergiedragers_244,OverigeProducten_245,TotaalUitvoer_246,Biomassa_247,Metaal_248,NietMetaalMineralen_249,FossieleEnergiedragers_250,OverigeProducten_251,TotaalUitvoerNaarZuidAmerika_252,TotaalUitvoer_253,Biomassa_254,Metaal_255,NietMetaalMineralen_256,FossieleEnergiedragers_257,OverigeProducten_258,TotaalUitvoer_259,Biomassa_260,Metaal_261,NietMetaalMineralen_262,FossieleEnergiedragers_263,OverigeProducten_264,TotaalUitvoer_265,Biomassa_266,Metaal_267,NietMetaalMineralen_268,FossieleEnergiedragers_269,OverigeProducten_270
0,2004JJ00,138587,40999,28006,69581,317510,182116,22836,14174,42465,102641,0,55618,14094,9951,10884,17460,3229,79776,24786,11160,2256,30515,11059,224954,115979,15041,3303,40013,57622,0,47860,11798,8611,10258,14634,2559,61115,16093,8857,1988,25303,8874,38164,26645,1040,1137,1410,23058,0,2413,353,183,583,1013,281,9106,3451,1953,242,1832,1628,16783,13629,997,1062,151,11419,0,1461,202,180,26,752,301,1693,258,39,3,1343,50,3125,2884,191,1166,139,1388,0,112,7,58,0,1,46,129,124,3,0,0,2,9713,4830,1446,143,217,3024,0,2390,1326,122,16,894,32,2493,508,271,12,1252,450,24771,18149,4121,7363,535,6130,0,1382,408,797,1,166,10,5240,4352,37,11,785,55,274453,88317,13424,1717,21040,52136,0,58305,12132,13701,10479,17984,4009,127831,30036,10638,2228,70666,14263,239219,86710,12451,1706,20596,51957,0,50007,9401,12226,8793,16202,3385,102502,26586,9221,2080,51632,12983,18626,381,255,6,95,25,0,3523,2060,828,98,409,128,14722,1506,564,52,11890,710,4596,636,490,1,136,9,0,655,398,83,84,48,42,3305,723,295,42,2044,201,318,28,7,0,2,19,0,45,12,8,13,5,7,245,81,62,21,38,43,9367,423,109,3,187,124,0,3039,111,516,822,1237,353,5905,921,367,16,4393,208,2327,139,112,1,24,2,0,1036,150,40,669,83,94,1152,219,129,17,669,118
1,2005JJ00,130037,39241,27488,63308,330441,185525,23026,13713,44829,103957,0,57748,14484,9476,11660,18367,3761,87168,26056,11203,2663,35817,11429,229877,114965,15411,3371,42659,53524,0,49691,12337,8245,11043,15109,2957,65221,16492,8805,2331,28470,9123,40202,26603,497,1210,1481,23415,0,2836,383,200,580,1322,351,10763,3882,2083,308,2818,1672,20383,17079,1343,1549,111,14076,0,1709,218,155,8,965,363,1595,252,39,3,1241,60,3029,2788,124,994,100,1570,0,94,13,17,0,30,34,147,143,2,0,0,2,8774,3958,1038,208,225,2487,0,2040,1112,99,27,767,35,2776,320,239,8,1692,517,28176,20132,4613,6381,253,8885,0,1378,421,760,2,174,21,6666,4967,35,13,1596,55,282293,92879,15694,2435,23840,50910,0,59446,14904,13900,9938,16487,4217,129968,28383,11033,2426,75062,13064,244937,90953,14379,2414,23330,50830,0,50355,11666,11580,8873,14639,3597,103629,24505,9414,2181,55586,11943,18424,563,415,20,102,26,0,4299,2517,1157,63,423,139,13562,1616,640,74,10678,554,5416,778,610,1,157,10,0,1099,389,495,78,95,42,3539,861,358,44,2072,204,341,32,9,0,2,21,0,40,16,5,9,4,6,269,117,48,20,39,45,10190,327,121,0,186,20,0,2380,130,512,182,1219,337,7483,1027,399,31,5816,210,2985,226,160,0,63,3,0,1273,186,151,733,107,96,1486,257,174,76,871,108
2,2006JJ00,127843,37712,27922,62209,357640,194065,23858,11862,51441,106904,0,64268,14510,10994,15264,19456,4044,99307,27278,14055,2746,43186,12042,255489,125803,16034,3369,48795,57605,0,55900,12161,9351,14806,16258,3324,73786,17941,10987,2382,32667,9809,42186,25958,474,706,1455,23323,0,3054,456,406,417,1436,339,13174,3929,2612,339,4614,1680,20601,17509,1200,2177,170,13962,0,1407,262,178,9,664,294,1685,302,35,2,1284,62,2651,2426,143,318,97,1868,0,74,18,16,0,2,38,151,143,4,0,1,3,9451,3850,1362,50,269,2169,0,2333,1149,164,30,959,31,3268,306,372,11,2163,416,27262,18519,4645,5242,655,7977,0,1500,464,879,2,137,18,7243,4657,45,12,2457,72,303075,97056,15464,2844,25442,53306,0,64395,15042,15621,10658,18724,4350,141624,29093,12763,1979,83133,14656,261445,95222,14370,2807,24923,53122,0,54689,11564,13086,9702,16571,3766,111534,25017,11040,1735,60325,13417,18878,431,255,32,111,33,0,4439,2737,1036,101,433,132,14008,1742,699,87,10846,634,6596,764,556,4,181,23,0,1425,409,686,100,176,54,4407,764,372,60,2996,215,320,34,10,0,2,22,0,39,20,2,7,3,7,247,95,42,24,38,48,11903,379,126,0,162,91,0,2846,124,601,319,1467,335,8678,1174,415,20,6842,227,3933,226,147,1,63,15,0,957,188,210,429,74,56,2750,301,195,53,2086,115
3,2007JJ00,127027,39435,27187,60405,369152,198405,27041,13523,52189,105652,0,65507,14646,11139,13319,21803,4600,105240,28652,16175,2986,43442,13985,261975,126354,17574,3042,49764,55974,0,56519,12658,9269,12737,18113,3742,79102,18778,12313,2534,34531,10946,37889,20547,1094,849,1504,17100,0,2665,435,457,562,848,363,14677,4269,3406,425,4651,1926,24175,20654,1412,2335,312,16595,0,2227,293,275,3,1270,386,1294,260,35,2,946,51,3003,2763,94,758,126,1785,0,67,15,24,0,3,25,173,159,9,1,1,3,10424,5323,1709,209,244,3161,0,2146,723,184,14,1187,38,2955,345,376,12,1287,935,31686,22764,5158,6330,239,11037,0,1883,522,930,3,382,46,7039,4841,36,12,2026,124,305526,98557,17313,3183,23618,54443,0,64210,14119,15766,10472,19432,4421,142759,30383,16244,2257,79140,14735,260116,96413,15964,3131,23002,54316,0,54718,10769,13654,9233,17192,3870,108985,26168,13990,2061,53228,13538,19140,644,462,47,100,35,0,4707,2871,1187,70,482,97,13789,1771,982,87,10339,610,9147,901,642,4,217,38,0,965,207,323,82,298,55,7281,819,522,30,5689,221,329,34,10,0,1,23,0,39,15,3,10,4,7,256,100,52,28,36,40,11780,394,116,0,249,29,0,2514,118,524,460,1145,267,8872,1209,491,20,6933,219,5014,171,119,1,49,2,0,1267,139,75,617,311,125,3576,316,207,31,2915,107
4,2008JJ00,136377,41063,27116,68198,377425,197588,28911,12031,53059,103587,0,66504,15016,10508,12958,23152,4870,113333,31034,18502,2923,46827,14047,266226,128982,18891,2377,50882,56832,0,57056,12855,8856,12283,18971,4091,80188,19097,14169,2502,34200,10220,38075,18462,1196,493,1404,15369,0,3338,457,562,649,1294,376,16275,4494,3800,391,5417,2173,22827,19422,1549,1625,438,15810,0,1959,259,203,9,1215,273,1446,247,49,3,1096,51,1770,1522,200,563,107,652,0,68,12,22,0,4,30,180,168,6,1,2,3,13940,6161,1776,132,218,4035,0,2028,1016,100,14,864,34,5751,539,413,12,3365,1422,34587,23039,5299,6841,10,10889,0,2055,417,765,3,804,66,9493,6489,65,14,2747,178,312309,96701,18040,833,25075,52753,0,63371,15560,14884,9761,18747,4419,152237,31258,15148,2076,88623,15132,263324,94210,16550,718,24336,52606,0,53473,11773,12617,8995,16293,3795,115641,27324,12907,1848,59639,13923,21214,740,444,113,147,36,0,5221,3238,1321,84,492,86,15253,1688,1090,97,11773,605,10286,1105,746,1,309,49,0,957,246,226,61,356,68,8224,785,504,17,6672,246,375,38,11,0,1,26,0,35,17,4,7,1,6,302,91,48,57,63,43,11759,317,105,0,210,2,0,2773,126,583,238,1527,299,8669,1095,387,21,6969,197,5351,291,184,1,72,34,0,912,160,133,376,78,165,4148,275,212,36,3507,118
5,2009JJ00,131636,41882,26947,62806,349272,180796,26164,7247,45075,102310,0,60460,15467,8751,10932,20374,4936,108016,29447,13474,2464,49427,13204,254768,124530,18865,2695,44178,58792,0,53145,13340,7845,10543,17051,4366,77093,18515,10354,2119,36452,9653,33429,16262,601,182,422,15057,0,2023,371,258,349,700,345,15144,4202,2761,328,5998,1855,20380,17049,1492,203,238,15116,0,1959,293,149,15,1350,152,1372,256,22,4,860,230,1500,1248,562,12,23,651,0,62,16,16,0,4,26,190,179,7,0,1,3,10281,3377,690,61,147,2479,0,1995,1093,45,20,814,23,4909,427,286,4,3428,764,28914,18330,3954,4094,67,10215,0,1276,354,438,5,455,24,9308,5868,44,9,2688,699,292482,85621,17716,665,18902,48338,0,60057,14775,13221,9004,18273,4784,146804,30127,13260,1596,88449,13372,239394,83067,16027,487,18331,48222,0,47974,10604,10094,7978,15128,4170,108353,26356,11060,1433,57170,12334,23541,852,551,170,85,46,0,6896,3610,2043,74,1038,131,15793,1690,1141,61,12369,532,13207,1039,798,1,213,27,0,1665,285,565,67,655,93,10503,873,552,24,8854,200,310,42,11,0,3,28,0,35,17,3,7,1,7,233,69,53,20,52,39,10893,352,125,7,206,14,0,2400,119,444,210,1326,301,8141,882,300,16,6779,164,5137,269,204,0,64,1,0,1087,140,72,668,125,82,3781,257,154,42,3225,103
6,2010JJ00,139753,40385,27783,71585,364901,186642,27245,9822,45605,103970,0,63042,15471,10537,10259,21361,5414,115217,31872,14086,2446,53228,13585,266335,128535,19498,3594,43293,62150,0,54179,12979,9315,9739,17425,4721,83621,20059,10399,2039,40777,10347,35336,15406,664,284,1200,13258,0,2812,350,360,481,1207,414,17118,4315,3272,391,7058,2082,19466,15624,1438,317,478,13391,0,2308,251,214,13,1637,193,1534,223,23,3,1233,52,1209,808,156,36,41,575,0,176,101,18,2,6,49,225,213,8,0,1,3,12809,6146,1449,52,234,4411,0,2534,1334,271,20,879,30,4129,489,328,5,2715,592,29746,20123,4040,5539,359,10185,0,1033,456,359,4,207,7,8590,6573,56,8,1444,509,316027,93995,18530,756,22132,52577,0,66353,15331,16070,8963,20371,5618,155679,31699,14482,2098,92846,14554,263244,91532,16912,668,21540,52412,0,54850,11686,13065,7965,17321,4813,116862,27552,12157,1888,62182,13083,21861,888,533,86,224,45,0,5513,3104,1356,85,780,188,15460,1836,1175,110,11743,596,13355,968,767,1,151,49,0,1484,231,559,164,456,74,10903,929,463,9,9280,222,371,34,10,0,1,23,0,38,20,3,10,1,4,299,92,73,35,57,42,10275,296,113,0,154,29,0,3179,135,1022,163,1451,408,6800,938,313,18,5070,461,6921,277,195,1,62,19,0,1289,155,65,576,362,131,5355,352,301,38,4514,150
7,2011JJ00,139261,41727,31284,66250,366716,175050,27499,9877,44223,93451,0,69410,16728,12210,10751,25218,4503,122256,28974,17468,2592,58615,14607,259748,115200,19302,3961,40994,50943,0,59419,14083,9724,10212,21600,3800,85129,17240,11755,2243,42681,11210,39277,17517,671,513,1279,15054,0,3291,409,423,481,1548,430,18469,4155,5234,329,6580,2171,17149,13349,1520,271,646,10912,0,1339,295,171,15,670,188,2461,234,27,3,2148,49,1799,1485,679,57,47,702,0,60,20,14,0,2,24,254,240,12,0,0,2,14849,5647,1362,46,184,4055,0,2898,1456,217,40,1145,40,6304,590,371,7,4499,837,33894,21852,3965,5029,1073,11785,0,2403,465,1661,3,253,21,9639,6515,69,10,2707,338,318503,94655,17671,880,23823,52281,0,66587,15802,16695,9628,19803,4659,157261,31578,15418,2348,92767,15150,270156,92228,16150,632,23489,51957,0,54869,12045,13756,8132,17058,3878,123059,27467,13246,2114,66336,13896,17701,848,438,238,121,51,0,6028,3223,1420,97,1166,122,10825,1902,885,120,7397,521,12713,974,777,6,77,114,0,1380,281,602,190,264,43,10359,902,433,19,8788,217,515,54,8,0,1,45,0,42,22,2,11,1,6,419,106,169,33,72,39,10996,188,109,1,16,62,0,2925,114,781,433,1200,397,7883,883,443,20,6188,349,6422,363,189,3,119,52,0,1343,117,134,765,114,213,4716,318,242,42,3986,128
8,2012JJ00,135205,40533,29416,65256,373260,176912,27271,9899,35490,104252,0,68196,17405,11716,10504,23578,4993,128152,32924,14578,2666,63221,14763,265450,115999,19427,5531,33925,57116,0,57950,14836,10045,10053,18703,4313,91501,20693,10738,2293,46644,11133,36370,15142,702,409,957,13074,0,2714,392,293,356,1302,371,18514,4816,3228,357,7702,2411,21816,17193,1550,278,401,14964,0,3084,277,176,1,2424,206,1539,243,24,4,1224,44,1924,1579,780,64,99,636,0,96,29,12,0,7,48,249,235,12,0,0,2,16452,7459,1383,36,103,5937,0,2495,1453,137,23,841,41,6498,458,509,4,4997,530,31248,19540,3429,3581,5,12525,0,1857,418,1053,71,301,14,9851,6479,67,8,2654,643,327710,100442,19150,834,19549,60909,0,69292,16241,16968,12480,19037,4566,157976,31544,14618,2459,95264,14091,272309,98139,17539,693,19224,60683,0,56412,12437,13929,10658,15751,3637,117758,27034,12127,2163,63560,12874,21651,663,367,129,124,43,0,6932,3220,1454,95,1995,168,14056,1992,1017,145,10354,548,12930,994,857,5,72,60,0,1606,299,602,274,353,78,10330,1086,487,40,8474,243,478,45,8,0,1,36,0,49,28,3,11,1,6,384,127,75,38,99,45,12402,258,120,4,59,75,0,2656,127,871,413,800,445,9488,961,669,25,7611,222,7940,343,259,3,69,12,0,1637,130,109,1029,137,232,5960,344,243,48,5166,159
9,2013JJ00,136363,40523,26773,69067,375103,175640,28970,9807,34336,102527,0,69876,16953,10932,10219,27123,4649,129587,34097,14250,2511,63454,15275,270821,117304,19744,5699,32663,59198,0,59988,14711,9746,9774,21790,3967,93529,21920,10821,2228,46521,12039,33368,10992,610,25,651,9706,0,3140,487,238,360,1619,436,19236,5176,3055,269,8330,2406,22082,17692,1637,276,456,15323,0,2484,311,278,31,1697,167,1906,197,25,3,1633,48,2264,1956,510,35,83,1328,0,85,53,8,0,8,16,223,190,6,0,22,5,14430,6399,1679,172,122,4426,0,2670,967,64,37,1556,46,5361,360,291,4,4232,474,32138,21297,4790,3600,361,12546,0,1509,424,598,17,453,17,9332,6254,52,7,2716,303,339431,107496,20413,873,24022,62188,0,61265,15212,15618,10840,15350,4245,170670,33461,14240,2544,106315,14110,281464,104996,18701,663,23688,61944,0,50775,12041,13331,9062,12785,3556,125693,28825,11915,2229,69784,12940,25918,912,570,184,102,56,0,5256,2530,1068,126,1394,138,19750,2033,1068,174,15964,511,13179,1013,860,12,59,82,0,1339,326,506,160,292,55,10827,1172,461,45,8890,259,406,48,7,0,1,40,0,56,28,2,18,1,7,302,130,64,23,43,42,11485,227,108,12,97,10,0,2405,126,628,570,772,309,8853,927,453,23,7203,247,6979,300,167,2,75,56,0,1434,161,83,904,106,180,5245,374,279,50,4431,111
