ID,KenmerkenNISBehandelingen,Perioden,NietIngesteldeGestaakteBehandelingen_1,Per100OverledenenDoorNIS_2,Per100TotaalNISBehandelingen_3
0,01,1995JJ00,12584,100.0,
1,01,2001JJ00,13718,100.0,
2,02,1995JJ00,5909,47.0,
3,02,2001JJ00,6692,48.8,
4,03,1995JJ00,3270,26.0,
5,03,2001JJ00,4743,34.6,
6,04,1995JJ00,1253,10.0,
7,04,2001JJ00,1861,13.6,
8,05,1995JJ00,1147,9.1,
9,05,2001JJ00,1044,7.6,
10,06,1995JJ00,548,4.4,
11,06,2001JJ00,713,5.2,
12,07,1995JJ00,1890,15.0,
13,07,2001JJ00,3496,25.5,
14,08,1995JJ00,1775,14.1,
15,08,2001JJ00,1501,10.9,
16,09,1995JJ00,15948,126.7,100.0
17,09,2001JJ00,23866,174.0,100.0
18,10,1995JJ00,7146,56.8,44.8
19,10,2001JJ00,9175,66.9,38.4
20,11,1995JJ00,3151,25.0,19.8
21,11,2001JJ00,3123,22.8,13.1
22,12,1995JJ00,1458,11.6,9.1
23,12,2001JJ00,2203,16.1,9.2
24,13,1995JJ00,262,2.1,1.6
25,13,2001JJ00,375,2.7,1.6
26,14,1995JJ00,303,2.4,1.9
27,14,2001JJ00,291,2.1,1.2
28,15,1995JJ00,201,1.6,1.3
29,15,2001JJ00,123,0.9,0.5
30,18,1995JJ00,1771,14.1,11.1
31,18,2001JJ00,3060,22.3,12.8
32,19,1995JJ00,3800,30.2,23.8
33,19,2001JJ00,5656,41.2,23.7
34,20,1995JJ00,499,4.0,3.1
35,20,2001JJ00,3858,28.1,16.2
36,21,1995JJ00,817,6.5,5.1
37,21,2001JJ00,1601,11.7,6.7
38,22,1995JJ00,2484,19.7,15.6
39,22,2001JJ00,197,1.4,0.8
40,23,1995JJ00,1253,10.0,7.9
41,23,2001JJ00,1874,13.7,7.9
42,24,1995JJ00,1146,9.1,7.2
43,24,2001JJ00,1067,7.8,4.5
44,25,1995JJ00,412,3.3,2.6
45,25,2001JJ00,419,3.1,1.8
46,26,1995JJ00,163,1.3,1.0
47,26,2001JJ00,171,1.2,0.7
48,27,1995JJ00,44,0.3,0.3
49,27,2001JJ00,91,0.7,0.4
50,29,1995JJ00,527,4.2,3.3
51,29,2001JJ00,386,2.8,1.6
52,30,1995JJ00,608,4.8,3.8
53,30,2001JJ00,841,6.1,3.5
54,31,1995JJ00,408,3.2,2.6
55,31,2001JJ00,470,3.4,2.0
56,32,1995JJ00,200,1.6,1.3
57,32,2001JJ00,234,1.7,1.0
58,33,1995JJ00,0,0.0,0.0
59,33,2001JJ00,137,1.0,0.6
60,34,1995JJ00,1995,15.9,12.5
61,34,2001JJ00,5253,38.3,22.0
62,35,1995JJ00,694,5.5,4.4
63,35,2001JJ00,1199,8.7,5.0
64,36,1995JJ00,400,3.2,2.5
65,36,2001JJ00,575,4.2,2.4
66,37,1995JJ00,269,2.1,1.7
67,37,2001JJ00,548,4.0,2.3
68,38,1995JJ00,362,2.9,2.3
69,38,2001JJ00,459,3.3,1.9
70,40,1995JJ00,270,2.1,1.7
71,40,2001JJ00,2472,18.0,10.4
