ID,LandbouwgoederenEnDiensten,Perioden,OutputAfProducentwaarde_1,OutputBasisprijzen_2,OutputAfProducentwaarde_3,OutputBasisprijzen_4,OutputAfProducentwaarde_5,OutputBasisprijzen_6,OutputAfProducentwaarde_7,OutputBasisprijzen_8
569,3900  ,2012JJ00,413.0,413.0,319.0,319.0,-0.2,-0.2,129.3,129.3
570,3900  ,2013JJ00,311.0,311.0,318.0,318.0,-0.4,-0.4,97.9,97.9
571,3900  ,2014JJ00,312.0,312.0,321.0,321.0,1.1,1.1,97.0,97.0
572,3900  ,2015JJ00,311.0,311.0,326.0,326.0,1.3,1.3,95.7,95.7
573,3900  ,2016JJ00,331.0,331.0,325.0,325.0,-0.2,-0.2,101.9,101.9
574,3900  ,2017JJ00,,,,,,,,
575,4000  ,1995JJ00,6004.0,6032.0,7921.0,7951.0,,,75.8,75.9
576,4000  ,1996JJ00,6279.0,6299.0,7885.0,7906.0,-0.5,-0.6,79.6,79.7
577,4000  ,1997JJ00,6807.0,6827.0,8308.0,8329.0,5.4,5.4,81.9,82.0
578,4000  ,1998JJ00,7009.0,7032.0,8257.0,8283.0,-0.6,-0.6,84.9,84.9
579,4000  ,1999JJ00,6843.0,6863.0,8593.0,8620.0,4.1,4.1,79.6,79.6
580,4000  ,2000JJ00,7271.0,7286.0,8574.0,8594.0,-0.2,-0.3,84.8,84.8
581,4000  ,2001JJ00,7259.0,7277.0,8393.0,8412.0,-2.1,-2.1,86.5,86.5
582,4000  ,2002JJ00,7625.0,7640.0,8366.0,8382.0,-0.3,-0.4,91.1,91.2
583,4000  ,2003JJ00,7924.0,7945.0,8568.0,8591.0,2.4,2.5,92.5,92.5
584,4000  ,2004JJ00,7472.0,7490.0,8833.0,8852.0,3.1,3.0,84.6,84.6
585,4000  ,2005JJ00,7756.0,7773.0,8758.0,8776.0,-0.9,-0.9,88.6,88.6
586,4000  ,2006JJ00,8275.0,8291.0,8705.0,8722.0,-0.6,-0.6,95.1,95.1
587,4000  ,2007JJ00,8678.0,8700.0,8823.0,8846.0,1.4,1.4,98.4,98.4
588,4000  ,2008JJ00,8448.0,8466.0,8967.0,8985.0,1.6,1.6,94.2,94.2
589,4000  ,2009JJ00,7953.0,7975.0,8989.0,9011.0,0.2,0.3,88.5,88.5
590,4000  ,2010JJ00,8989.0,9008.0,8989.0,9008.0,0.0,0.0,100.0,100.0
591,4000  ,2011JJ00,8340.0,8359.0,8882.0,8901.0,-1.2,-1.2,93.9,93.9
592,4000  ,2012JJ00,8506.0,8525.0,8784.0,8803.0,-1.1,-1.1,96.8,96.8
593,4000  ,2013JJ00,8990.0,9009.0,8798.0,8817.0,0.2,0.2,102.2,102.2
