ID,HerkomstBestemming,Perioden,TotaalZwareMetalenInEquivalenten_1,ArseenverbindingenAlsAs_2,CadmiumverbindingenAlsCd_3,ChroomverbindingenAlsCr_4,KoperverbindingenAlsCu_5,KwikverbindingenAlsHg_6,LoodverbindingenAlsPb_7,NikkelverbindingenAlsNi_8,ZinkverbindingenAlsZn_9,TotaalNutrientenInEquivalenten_10,FosforverbindingenAlsP_11,StikstofverbindingenAlsN_12
219,386800,2010JJ00,0.3,1045.0,0.0,4.0,436.0,0.0,65.0,3.0,818.0,1.0,27.0,13707.0
220,386800,2011JJ00,0.3,1034.0,0.0,4.0,424.0,0.0,66.0,4.0,830.0,1.0,112.0,12865.0
221,386800,2012JJ00,0.3,1026.0,0.0,4.0,417.0,0.0,67.0,4.0,820.0,1.0,0.0,12571.0
222,388400,1995JJ00,0.1,0.0,0.0,1.0,178.0,0.0,65.0,1.0,656.0,0.0,0.0,0.0
223,388400,2000JJ00,0.1,0.0,0.0,1.0,189.0,0.0,60.0,1.0,524.0,0.0,0.0,0.0
224,388400,2005JJ00,0.1,0.0,0.0,1.0,157.0,0.0,47.0,1.0,456.0,0.0,0.0,0.0
225,388400,2010JJ00,0.1,0.0,0.0,1.0,132.0,0.0,38.0,1.0,316.0,0.0,0.0,2894.0
226,388400,2011JJ00,0.1,0.0,0.0,1.0,131.0,0.0,37.0,1.0,309.0,0.0,0.0,3190.0
227,388400,2012JJ00,0.1,0.0,0.0,1.0,136.0,0.0,38.0,1.0,312.0,0.0,0.0,3533.0
228,389100,1995JJ00,0.2,0.0,0.0,1.0,529.0,0.0,196.0,1.0,1576.0,0.0,0.0,0.0
229,389100,2000JJ00,0.2,0.0,0.0,1.0,587.0,0.0,187.0,1.0,1268.0,0.0,0.0,0.0
230,389100,2005JJ00,0.2,0.0,0.0,7.0,587.0,0.0,176.0,1.0,1231.0,0.0,0.0,900.0
231,389100,2010JJ00,0.3,0.0,0.0,1.0,628.0,0.0,180.0,1.0,1126.0,0.0,0.0,0.0
232,389100,2011JJ00,0.3,0.0,0.0,1.0,647.0,0.0,184.0,1.0,1144.0,0.0,0.0,0.0
233,389100,2012JJ00,0.3,0.0,0.0,1.0,666.0,0.0,187.0,1.0,1159.0,0.0,0.0,0.0
234,391600,1995JJ00,0.2,0.0,0.0,2.0,373.0,0.0,137.0,1.0,1206.0,0.0,0.0,0.0
235,391600,2000JJ00,0.3,0.0,0.0,1.0,648.0,0.0,206.0,1.0,1429.0,0.0,0.0,0.0
236,391600,2005JJ00,0.3,0.0,0.0,1.0,640.0,0.0,194.0,1.0,1355.0,0.0,0.0,0.0
237,391600,2010JJ00,0.3,0.0,0.0,2.0,671.0,0.0,192.0,1.0,1265.0,0.0,0.0,0.0
238,391600,2011JJ00,0.3,0.0,0.0,2.0,690.0,0.0,195.0,1.0,1314.0,0.0,0.0,0.0
239,391600,2012JJ00,0.3,0.0,0.0,2.0,708.0,0.0,198.0,1.0,1325.0,0.0,0.0,0.0
240,396300,1995JJ00,0.3,0.0,0.0,3.0,594.0,0.0,217.0,2.0,1977.0,0.0,0.0,0.0
241,396300,2000JJ00,0.3,0.0,0.0,3.0,711.0,0.0,225.0,2.0,1712.0,0.0,0.0,0.0
242,396300,2005JJ00,0.3,0.0,0.0,4.0,713.0,0.0,214.0,3.0,1778.0,0.0,0.0,0.0
243,396300,2010JJ00,0.3,0.0,0.0,92.0,739.0,0.0,200.0,2.0,1499.0,0.0,0.0,0.0
244,396300,2011JJ00,0.3,0.0,0.0,52.0,710.0,0.0,194.0,2.0,1438.0,0.0,0.0,0.0
245,396300,2012JJ00,0.3,0.0,0.0,100.0,721.0,0.0,191.0,2.0,1410.0,0.0,0.0,0.0
246,402000,1995JJ00,0.1,0.0,0.0,2.0,145.0,0.0,53.0,2.0,459.0,0.0,44.0,1533.0
247,402000,2000JJ00,0.1,0.0,0.0,1.0,173.0,0.0,54.0,3.0,390.0,0.0,112.0,2947.0
248,402000,2005JJ00,0.1,0.0,0.0,3.0,200.0,0.0,59.0,3.0,475.0,0.0,122.0,1395.0
249,402000,2010JJ00,0.1,0.0,0.0,1.0,197.0,0.0,56.0,0.0,383.0,0.0,0.0,0.0
250,402000,2011JJ00,0.1,0.0,0.0,1.0,195.0,0.0,55.0,0.0,373.0,0.0,1.0,30.0
251,402000,2012JJ00,0.1,0.0,0.0,1.0,191.0,0.0,53.0,0.0,361.0,0.0,1.0,21.0
252,300010,1995JJ00,1.3,2.0,1.0,41.0,2548.0,3.0,909.0,44.0,8930.0,3.0,747.0,25951.0
253,300010,2000JJ00,1.4,1.0,1.0,28.0,3266.0,0.0,1004.0,68.0,8122.0,7.0,2065.0,54278.0
254,300010,2005JJ00,1.5,2.0,1.0,55.0,3384.0,0.0,996.0,60.0,8419.0,4.0,2038.0,23229.0
255,300010,2010JJ00,1.5,1.0,0.0,17.0,3559.0,0.0,1011.0,12.0,7486.0,0.0,0.0,0.0
256,300010,2011JJ00,1.5,1.0,0.0,21.0,3652.0,0.0,1023.0,11.0,7454.0,0.0,14.0,556.0
257,300010,2012JJ00,1.5,1.0,0.0,16.0,3669.0,0.0,1019.0,11.0,7378.0,0.0,14.0,396.0
258,403300,1995JJ00,0.6,1.0,1.0,15.0,1160.0,1.0,421.0,18.0,3747.0,2.0,351.0,12194.0
259,403300,2000JJ00,0.6,0.0,0.0,10.0,1445.0,0.0,448.0,28.0,3301.0,3.0,933.0,24529.0
260,403300,2005JJ00,0.7,1.0,0.0,23.0,1556.0,0.0,462.0,26.0,3595.0,2.0,957.0,10913.0
261,403300,2010JJ00,0.6,0.0,0.0,4.0,1581.0,0.0,452.0,3.0,3041.0,0.0,0.0,0.0
262,403300,2011JJ00,0.7,0.0,0.0,7.0,1616.0,0.0,455.0,3.0,3067.0,0.0,6.0,250.0
263,403300,2012JJ00,0.7,0.0,0.0,4.0,1639.0,0.0,458.0,3.0,3061.0,0.0,6.0,180.0
264,410200,1995JJ00,0.7,1.0,1.0,26.0,1389.0,2.0,488.0,26.0,5183.0,2.0,396.0,13756.0
265,410200,2000JJ00,0.8,1.0,0.0,19.0,1821.0,0.0,556.0,40.0,4821.0,4.0,1132.0,29749.0
266,410200,2005JJ00,0.8,1.0,0.0,33.0,1828.0,0.0,534.0,34.0,4823.0,2.0,1080.0,12316.0
267,410200,2010JJ00,0.8,1.0,0.0,13.0,1978.0,0.0,559.0,9.0,4444.0,0.0,0.0,0.0
268,410200,2011JJ00,0.8,1.0,0.0,15.0,2036.0,0.0,568.0,8.0,4387.0,0.0,8.0,306.0
269,410200,2012JJ00,0.8,0.0,0.0,12.0,2030.0,0.0,561.0,8.0,4317.0,0.0,8.0,216.0
270,300012,1995JJ00,48.2,5482.0,385.0,6343.0,28385.0,913.0,11838.0,13508.0,152761.0,7165.0,3528894.0,36364442.0
271,300012,2000JJ00,23.2,5872.0,472.0,5194.0,23862.0,229.0,9919.0,12090.0,121702.0,5759.0,2846962.0,29120793.0
272,300012,2005JJ00,15.8,5613.0,254.0,3532.0,18342.0,124.0,7764.0,9685.0,98133.0,4841.0,2653945.0,21875455.0
273,300012,2010JJ00,13.3,5565.0,232.0,2912.0,14928.0,89.0,5460.0,9372.0,97213.0,3884.0,2225755.0,16586398.0
274,300012,2011JJ00,11.6,5224.0,170.0,2401.0,13924.0,70.0,5114.0,9414.0,89879.0,3650.0,2126403.0,15237629.0
275,300012,2012JJ00,12.7,5633.0,189.0,2320.0,15669.0,61.0,5590.0,8024.0,107020.0,3586.0,2064667.0,15213551.0
276,417400,1995JJ00,22.2,5481.0,385.0,6330.0,25331.0,172.0,10850.0,13482.0,144913.0,7157.0,3528106.0,36293614.0
277,417400,2000JJ00,19.0,5869.0,472.0,5174.0,20533.0,143.0,8961.0,12070.0,115321.0,5745.0,2844995.0,29004649.0
278,417400,2005JJ00,13.3,5608.0,252.0,3502.0,14416.0,97.0,6655.0,9663.0,90574.0,4826.0,2651007.0,21750776.0
279,417400,2010JJ00,11.5,5565.0,232.0,2909.0,10768.0,87.0,4303.0,9369.0,90261.0,3884.0,2225755.0,16586398.0
280,417400,2011JJ00,9.9,5224.0,170.0,2397.0,9746.0,69.0,3946.0,9411.0,82834.0,3650.0,2126403.0,15237629.0
281,417400,2012JJ00,10.9,5633.0,189.0,2316.0,11414.0,60.0,4412.0,8022.0,99929.0,3586.0,2064667.0,15213551.0
282,419000,1995JJ00,0.5,0.0,0.0,5.0,1089.0,0.0,352.0,9.0,2838.0,3.0,280.0,25193.0
283,419000,2000JJ00,0.5,1.0,0.0,7.0,1137.0,0.0,327.0,7.0,2217.0,5.0,670.0,39552.0
284,419000,2005JJ00,0.5,2.0,0.0,10.0,1233.0,0.0,348.0,7.0,2425.0,5.0,919.0,39014.0
285,419000,2010JJ00,0.5,0.0,0.0,2.0,1252.0,0.0,348.0,1.0,2173.0,0.0,0.0,0.0
286,419000,2011JJ00,0.5,0.0,0.0,2.0,1230.0,0.0,343.0,1.0,2162.0,0.0,0.0,0.0
287,419000,2012JJ00,0.5,0.0,0.0,2.0,1235.0,0.0,341.0,1.0,2147.0,0.0,0.0,0.0
288,422400,1995JJ00,25.5,0.0,0.0,8.0,1965.0,740.0,636.0,16.0,5010.0,5.0,508.0,45636.0
289,422400,2000JJ00,3.7,2.0,0.0,13.0,2193.0,86.0,632.0,13.0,4163.0,9.0,1297.0,76593.0
290,422400,2005JJ00,2.0,3.0,1.0,20.0,2693.0,27.0,762.0,15.0,5135.0,11.0,2019.0,85665.0
291,422400,2010JJ00,1.2,0.0,0.0,2.0,2908.0,2.0,809.0,1.0,4780.0,0.0,0.0,0.0
292,422400,2011JJ00,1.2,0.0,0.0,2.0,2948.0,1.0,825.0,1.0,4883.0,0.0,0.0,0.0
293,422400,2012JJ00,1.3,0.0,0.0,2.0,3020.0,1.0,836.0,1.0,4944.0,0.0,0.0,0.0
294,300014,1995JJ00,0.4,1.0,2.0,26.0,825.0,0.0,283.0,22.0,2707.0,1.0,127.0,6723.0
295,300014,2000JJ00,,,,,,,,,,,,
296,300014,2005JJ00,0.4,0.0,0.0,7.0,866.0,0.0,258.0,10.0,2167.0,1.0,0.0,5617.0
297,300014,2010JJ00,0.4,0.0,0.0,3.0,899.0,0.0,257.0,2.0,1836.0,0.0,0.0,0.0
298,300014,2011JJ00,0.4,0.0,0.0,3.0,919.0,0.0,259.0,2.0,1848.0,0.0,0.0,0.0
299,300014,2012JJ00,0.4,0.0,0.0,3.0,925.0,0.0,258.0,2.0,1831.0,0.0,0.0,0.0
300,428100,1995JJ00,0.1,0.0,0.0,1.0,264.0,0.0,96.0,1.0,876.0,0.0,0.0,0.0
301,428100,2000JJ00,0.1,0.0,0.0,1.0,313.0,0.0,99.0,1.0,754.0,0.0,0.0,0.0
302,428100,2005JJ00,0.2,0.0,0.0,2.0,353.0,0.0,106.0,1.0,848.0,0.0,0.0,0.0
303,428100,2010JJ00,0.2,0.0,0.0,2.0,379.0,0.0,108.0,1.0,808.0,0.0,0.0,0.0
304,428100,2011JJ00,0.2,0.0,0.0,2.0,386.0,0.0,109.0,1.0,810.0,0.0,0.0,0.0
305,428100,2012JJ00,0.2,0.0,0.0,2.0,391.0,0.0,109.0,1.0,806.0,0.0,0.0,0.0
306,435500,1995JJ00,0.3,1.0,2.0,25.0,560.0,0.0,185.0,21.0,1826.0,1.0,127.0,6723.0
307,435500,2000JJ00,0.2,1.0,1.0,19.0,515.0,0.0,180.0,19.0,1324.0,4.0,507.0,33572.0
308,435500,2005JJ00,0.2,0.0,0.0,6.0,494.0,0.0,146.0,9.0,1283.0,1.0,0.0,5617.0
309,435500,2010JJ00,0.2,0.0,0.0,2.0,483.0,0.0,138.0,1.0,968.0,0.0,0.0,0.0
310,435500,2011JJ00,0.2,0.0,0.0,2.0,494.0,0.0,139.0,1.0,975.0,0.0,0.0,0.0
311,435500,2012JJ00,0.2,0.0,0.0,2.0,497.0,0.0,139.0,1.0,967.0,0.0,0.0,0.0
312,440000,1995JJ00,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0
313,440000,2000JJ00,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0
314,440000,2005JJ00,0.0,0.0,0.0,0.0,20.0,0.0,6.0,0.0,37.0,0.0,0.0,0.0
