ID,EnergyCommodities,Periods,TotalPrimaryEnergySupplyTPES_1,IndigenousProduction_2,Imports_3,Exports_4,NetImports_5,Bunkers_6,StockChange_7,NetEnergyConsumption_8,TotalEnergyTransformationInput_9,ElectricityAndCHPTransformationInput_10,OtherTransformationInput_11,TotalEnergyTransformationOutput_12,ElectricityCHPTransformationOutput_13,OtherTransformationOutput_14,TotalNetEnergyTransformation_15,NetElectricityCHPTransformation_16,NetOtherTransformation_17,EnergySectorOwnUse_18,DistributionLosses_19,TotalFinalConsumption_20,FinalEnergyConsumption_21,NonEnergyUse_22,StatisticalDifferences_23
0,E006458   ,1946JJ00,,,,,151.0,17.0,-16.0,,,,,,,,,,,,,,,,
1,E006458   ,1947JJ00,,,,,203.0,34.0,-23.0,,,,,,,,,,,,,,,,
2,E006458   ,1948JJ00,,,,,185.0,38.0,0.0,,,,,,,,,,,,,,,,
3,E006458   ,1949JJ00,,,,,209.0,48.0,4.0,,,,,,,,,,,,,,,,
4,E006458   ,1950JJ00,,,,,271.0,61.0,1.0,,,,,,,,,,,,,,,,
5,E006458   ,1951JJ00,,,,,326.0,81.0,-9.0,,,,,,,,,,,,,,,,
6,E006458   ,1952JJ00,,,,,317.0,78.0,-11.0,,,,,,,,,,,,,,,,
7,E006458   ,1953JJ00,,,,,316.0,75.0,11.0,,,,,,,,,,,,,,,,
8,E006458   ,1954JJ00,,,,,384.0,108.0,27.0,,,,,,,,,,,,,,,,
9,E006458   ,1955JJ00,,,,,472.0,118.0,-12.0,,,,,,,,,,,,,,,,
10,E006458   ,1956JJ00,,,,,549.0,129.0,-5.0,,,,,,,,,,,,,,,,
11,E006458   ,1957JJ00,,,,,540.0,120.0,-41.0,,,,,,,,,,,,,,,,
12,E006458   ,1958JJ00,,,,,520.0,121.0,-25.0,,,,,,,,,,,,,,,,
13,E006458   ,1959JJ00,,,,,498.0,115.0,4.0,,,,,,,,,,,,,,,,
14,E006458   ,1960JJ00,,,,,584.0,126.0,29.0,,,,,,,,,,,,,,,,
15,E006458   ,1961JJ00,,,,,708.0,170.0,-28.0,,,,,,,,,,,,,,,,
16,E006458   ,1962JJ00,,,,,780.0,183.0,33.0,,,,,,,,,,,,,,,,
17,E006458   ,1963JJ00,,,,,913.0,188.0,3.0,,,,,,,,,,,,,,,,
18,E006458   ,1964JJ00,,,,,1039.0,214.0,-46.0,,,,,,,,,,,,,,,,
19,E006458   ,1965JJ00,,,,,1080.0,243.0,-15.0,,,,,,,,,,,,,,,,
20,E006458   ,1966JJ00,,,,,1151.0,244.0,-39.0,,,,,,,,,,,,,,,,
21,E006458   ,1967JJ00,,,,,1193.0,259.0,-40.0,,,,,,,,,,,,,,,,
22,E006458   ,1968JJ00,,,,,1199.0,319.0,27.0,,,,,,,,,,,,,,,,
23,E006458   ,1969JJ00,,,,,1250.0,392.0,-13.0,,,,,,,,,,,,,,,,
24,E006458   ,1970JJ00,2016.0,1225.0,,,1255.0,423.0,-41.0,2016.0,,,,,,,,,,,,,,,
25,E006458   ,1971JJ00,2144.0,1584.0,,,956.0,442.0,46.0,2144.0,,,,,,,,,,,,,,,
26,E006458   ,1972JJ00,2451.0,2023.0,,,903.0,537.0,61.0,2451.0,,,,,,,,,,,,,,,
27,E006458   ,1973JJ00,2617.0,2401.0,,,952.0,567.0,-169.0,2617.0,,,,,,,,,,,,,,,
28,E006458   ,1974JJ00,2579.0,2819.0,,,135.0,460.0,85.0,2579.0,,,,,,,,,,,,,,,
29,E006458   ,1975JJ00,2482.0,3023.0,4681.0,4754.0,-73.0,507.0,39.0,2482.0,,673.0,,,333.0,,345.0,339.0,6.0,,,2136.0,1773.0,363.0,
30,E006458   ,1976JJ00,2718.0,3232.0,5316.0,5277.0,39.0,544.0,-8.0,2718.0,,711.0,,,343.0,,378.0,368.0,10.0,,,2341.0,1892.0,449.0,
31,E006458   ,1977JJ00,2696.0,3245.0,5047.0,5073.0,-26.0,522.0,-1.0,2695.0,,692.0,,,324.0,,384.0,368.0,16.0,,,2312.0,1878.0,434.0,
32,E006458   ,1978JJ00,2793.0,2989.0,5040.0,4745.0,295.0,534.0,44.0,2794.0,,713.0,,,338.0,,366.0,374.0,-8.0,,,2427.0,1965.0,462.0,
33,E006458   ,1979JJ00,2924.0,3126.0,5967.0,5621.0,346.0,464.0,-84.0,2924.0,,748.0,,,357.0,,391.0,391.0,0.0,,,2533.0,2065.0,468.0,
34,E006458   ,1980JJ00,2723.0,3032.0,5855.0,5689.0,166.0,445.0,-31.0,2723.0,,724.0,,,340.0,,391.0,384.0,7.0,,,2331.0,1922.0,409.0,
35,E006458   ,1981JJ00,2575.0,2821.0,5243.0,5211.0,32.0,421.0,143.0,2575.0,,721.0,,,347.0,,382.0,375.0,7.0,,,2193.0,1846.0,347.0,
36,E006458   ,1982JJ00,2381.0,2445.0,5211.0,4948.0,263.0,409.0,83.0,2381.0,,682.0,,,345.0,,367.0,338.0,29.0,,,2015.0,1749.0,266.0,
37,E006458   ,1983JJ00,2422.0,2634.0,4951.0,4850.0,101.0,387.0,74.0,2422.0,,669.0,,,340.0,,380.0,329.0,51.0,,,2042.0,1754.0,288.0,
