ID,FinancieringsbronnenZorg,Perioden,TotaalUitgavenAanAanbiedersZorg_1,TotaalAanbiedersGezondheidszorg_2,ZiekenhuizenSpecialistenpraktijken_3,VerstrekkersGeestelijkeGezondheidszorg_4,Huisartsenpraktijken_5,Tandartsenpraktijken_6,ParamedischePraktijken_7,TotaalOverigeVerstrekkersGezZorg_8,GemeentelijkeGezondheidsdiensten_9,ArbodienstenEnReintegratiebedrijven_10,LeveranciersVanGeneesmiddelen_11,LeveranciersVanTherapeutischeMiddelen_12,VerstrekkersVanOndersteunendeDiensten_13,VerstrekkersVanOverigeGezondheidszorg_14,TotaalAanbiedersWelzijnszorg_15,VerstrekkersVanOuderenzorg_16,VerstrekkersVanGehandicaptenzorg_17,TotaalOverigeVerstrekkersWelzZorg_18,VerstrekkersVanKinderopvang_19,VerstrekkersVanJeugdzorg_20,Internaten_21,SociaalCultureelWerk_22,VerstrekkersVanOverigeWelzijnszorg_23,UitgavenAanBeleidsBeheerorganisaties_24
0,100000,1998JJ00,40678,23474,9892,2262.0,1318.0,1190.0,778.0,8034,384.0,742.0,3363.0,1638.0,661.0,1246,15388.0,7711.0,3422.0,4254.0,1176.0,799.0,758.0,725.0,796.0,1816.0
1,100000,1999JJ00,43751,25147,10468,2462.0,1383.0,1256.0,867.0,8712,406.0,837.0,3675.0,1731.0,750.0,1314,16660.0,8104.0,3681.0,4875.0,1348.0,920.0,966.0,780.0,862.0,1943.0
2,100000,2000JJ00,46919,26801,11032,2572.0,1504.0,1364.0,915.0,9414,439.0,953.0,4006.0,1830.0,782.0,1404,18080.0,8737.0,3904.0,5439.0,1621.0,1030.0,1061.0,815.0,912.0,2039.0
3,100000,2001JJ00,52515,30026,12551,2848.0,1627.0,1519.0,1006.0,10475,520.0,1037.0,4479.0,1991.0,905.0,1543,20294.0,9905.0,4274.0,6115.0,1828.0,1166.0,1238.0,895.0,988.0,2195.0
4,100000,2002JJ00,58638,33675,14167,3182.0,1864.0,1746.0,1072.0,11645,608.0,1230.0,4867.0,2100.0,1129.0,1711,22642.0,11312.0,4984.0,6346.0,2066.0,1123.0,1170.0,924.0,1063.0,2320.0
5,100000,2003JJ00,63197,36183,15047,3536.0,2045.0,1914.0,1158.0,12485,683.0,1360.0,5250.0,2269.0,1076.0,1847,24571.0,12326.0,5490.0,6755.0,2330.0,1141.0,1058.0,1061.0,1166.0,2443.0
6,100000,2004JJ00,65381,37693,16024,3799.0,2022.0,1971.0,1163.0,12714,677.0,1315.0,5251.0,2407.0,1159.0,1905,25075.0,12499.0,5776.0,6800.0,2658.0,1133.0,761.0,986.0,1263.0,2613.0
7,100000,2005JJ00,67614,39010,16624,4098.0,2020.0,1942.0,1216.0,13110,688.0,1245.0,5482.0,2446.0,1237.0,2011,25821.0,12868.0,6015.0,6938.0,2793.0,1143.0,665.0,1011.0,1325.0,2783.0
8,100000,2006JJ00,70722,40688,17308,4290.0,2281.0,2055.0,1389.0,13366,693.0,1094.0,5602.0,2542.0,1248.0,2187,27026.0,13587.0,6186.0,7252.0,3053.0,1252.0,571.0,996.0,1381.0,3007.0
9,100000,2007JJ00,74643,43306,18275,4634.0,2425.0,2221.0,1520.0,14231,708.0,1177.0,6020.0,2634.0,1370.0,2322,28262.0,13978.0,6571.0,7713.0,3276.0,1378.0,535.0,1070.0,1454.0,3074.0
10,100000,2008JJ00,79755,46553,20261,4899.0,2444.0,2418.0,1610.0,14921,686.0,1211.0,6098.0,2929.0,1587.0,2410,30175.0,14775.0,7138.0,8262.0,3602.0,1441.0,541.0,1101.0,1577.0,3026.0
11,100000,2009JJ00,83884,48688,21436,5273.0,2470.0,2558.0,1720.0,15230,707.0,1260.0,6204.0,2670.0,1769.0,2620,32195.0,15211.0,7802.0,9183.0,3943.0,1819.0,576.0,1168.0,1677.0,3001.0
12,100000,2010JJ00,87342,50831,22690,5401.0,2494.0,2638.0,1807.0,15802,752.0,1279.0,6340.0,2828.0,1878.0,2725,33495.0,15807.0,8088.0,9599.0,4138.0,1933.0,549.0,1221.0,1758.0,3016.0
13,100000,2011JJ00,89330,51684,22571,5665.0,2698.0,2712.0,1918.0,16119,772.0,1190.0,6347.0,3065.0,1910.0,2836,34444.0,16481.0,8335.0,9628.0,4336.0,1915.0,481.0,1118.0,1778.0,3202.0
14,100000,2012JJ00,92767,52787,23655,5820.0,2628.0,2820.0,1940.0,15923,775.0,1096.0,5812.0,3214.0,2035.0,2992,36771.0,17866.0,9270.0,9634.0,4275.0,2020.0,475.0,1010.0,1855.0,3210.0
15,100000,2013JJ00,93901,53850,25018,5999.0,2671.0,2680.0,1892.0,15590,786.0,1019.0,5551.0,3116.0,2113.0,3006,36760.0,18048.0,9268.0,9444.0,4091.0,2028.0,476.0,955.0,1894.0,3291.0
16,105000,1998JJ00,5504,1243,488,178.0,,,,577,237.0,115.0,,,172.0,53,3801.0,145.0,636.0,3020.0,165.0,799.0,758.0,586.0,712.0,460.0
17,105000,1999JJ00,6108,1355,522,193.0,,,,640,251.0,130.0,,,207.0,52,4261.0,145.0,665.0,3451.0,172.0,920.0,966.0,625.0,768.0,492.0
18,105000,2000JJ00,6585,1474,578,202.0,,,,694,269.0,147.0,,,233.0,44,4598.0,173.0,645.0,3780.0,222.0,1030.0,1061.0,653.0,813.0,514.0
19,105000,2001JJ00,7409,1717,682,255.0,,,,780,312.0,160.0,,,261.0,47,5165.0,191.0,703.0,4271.0,288.0,1166.0,1238.0,711.0,869.0,528.0
20,105000,2002JJ00,7833,2028,752,320.0,,,,956,356.0,209.0,,,340.0,51,5236.0,233.0,824.0,4180.0,263.0,1123.0,1170.0,705.0,919.0,569.0
21,105000,2003JJ00,8148,2142,789,366.0,,,,987,421.0,238.0,,,275.0,53,5402.0,270.0,879.0,4254.0,270.0,1141.0,1058.0,801.0,984.0,604.0
22,105000,2004JJ00,8148,2285,859,390.0,,,,1036,431.0,230.0,,,317.0,59,5186.0,287.0,899.0,4001.0,301.0,1133.0,761.0,747.0,1058.0,677.0
23,105000,2005JJ00,8119,2390,891,430.0,,,,1069,434.0,217.0,,,353.0,65,5076.0,312.0,833.0,3931.0,240.0,1143.0,665.0,779.0,1105.0,653.0
24,105000,2006JJ00,8206,2550,909,477.0,47.0,,,1118,467.0,186.0,,,326.0,139,4929.0,294.0,817.0,3817.0,274.0,1236.0,571.0,772.0,965.0,727.0
25,105000,2007JJ00,10724,3458,1606,558.0,45.0,,,1249,494.0,243.0,,,359.0,153,6333.0,1563.0,757.0,4013.0,281.0,1361.0,535.0,829.0,1006.0,933.0
26,105000,2008JJ00,11328,3841,1775,692.0,47.0,,,1327,488.0,298.0,,,377.0,165,6505.0,1572.0,774.0,4159.0,288.0,1412.0,541.0,829.0,1089.0,982.0
27,105000,2009JJ00,12390,4157,1892,793.0,54.0,,,1419,507.0,310.0,,,428.0,173,7234.0,1686.0,856.0,4692.0,272.0,1785.0,576.0,872.0,1187.0,998.0
28,105000,2010JJ00,12712,4276,1927,856.0,57.0,,,1436,541.0,315.0,,,394.0,186,7452.0,1745.0,832.0,4874.0,288.0,1896.0,549.0,910.0,1232.0,984.0
29,105000,2011JJ00,12909,4510,2074,940.0,64.0,,,1433,555.0,293.0,,,390.0,194,7360.0,1785.0,835.0,4739.0,303.0,1878.0,481.0,828.0,1250.0,1039.0
30,105000,2012JJ00,12306,3990,1501,1012.0,60.0,,,1417,559.0,270.0,,,383.0,206,7295.0,1784.0,763.0,4748.0,290.0,1982.0,475.0,740.0,1261.0,1021.0
31,105000,2013JJ00,11374,3108,686,974.0,61.0,,,1387,564.0,251.0,,,365.0,207,7220.0,1807.0,691.0,4722.0,270.0,1990.0,476.0,700.0,1285.0,1046.0
32,106000,1998JJ00,11763,11147,6617,,855.0,323.0,447.0,2905,62.0,,1913.0,543.0,88.0,299,143.0,143.0,,,,,,,,474.0
33,106000,1999JJ00,12350,11716,6895,,885.0,333.0,501.0,3102,63.0,,2083.0,554.0,94.0,307,152.0,152.0,,,,,,,,481.0
34,106000,2000JJ00,13138,12477,7310,,986.0,359.0,536.0,3286,67.0,,2225.0,570.0,98.0,326,179.0,179.0,,,,,,,,482.0
35,106000,2001JJ00,14709,13986,8321,,1053.0,384.0,586.0,3641,71.0,,2481.0,613.0,125.0,351,211.0,211.0,,,,,,,,512.0
36,106000,2002JJ00,16158,15459,9249,,1206.0,446.0,618.0,3941,79.0,,2666.0,666.0,130.0,402,231.0,231.0,,,,,,,,468.0
37,106000,2003JJ00,17088,16331,9644,,1290.0,465.0,655.0,4276,72.0,,2883.0,736.0,143.0,441,265.0,265.0,,,,,,,,491.0
38,106000,2004JJ00,17112,16360,10091,,1269.0,335.0,347.0,4319,71.0,,2841.0,803.0,167.0,437,262.0,262.0,,,,,,,,489.0
39,106000,2005JJ00,17554,16789,10350,,1249.0,333.0,359.0,4497,76.0,,2987.0,792.0,195.0,447,258.0,258.0,,,,,,,,507.0
40,106000,2006JJ00,26727,24893,15011,,2198.0,511.0,565.0,6607,73.0,,4381.0,1090.0,322.0,742,595.0,455.0,,141.0,,,,,141.0,1239.0
41,106000,2007JJ00,27693,25814,15150,,2340.0,554.0,626.0,7144,76.0,,4765.0,1148.0,369.0,787,665.0,480.0,5.0,180.0,,,,,180.0,1214.0
42,106000,2008JJ00,32325,30476,17049,2251.0,2348.0,669.0,704.0,7456,89.0,,4828.0,1198.0,416.0,924,757.0,532.0,7.0,219.0,,15.0,,,204.0,1092.0
43,106000,2009JJ00,34143,32293,18184,2388.0,2368.0,729.0,792.0,7833,73.0,,4857.0,1269.0,531.0,1103,864.0,591.0,7.0,266.0,,19.0,,,247.0,986.0
44,106000,2010JJ00,35553,33664,19219,2196.0,2384.0,770.0,864.0,8230,76.0,,4965.0,1306.0,678.0,1204,905.0,596.0,6.0,302.0,,23.0,,,280.0,985.0
45,106000,2011JJ00,35871,33867,18971,2324.0,2583.0,698.0,882.0,8411,77.0,,4931.0,1344.0,782.0,1277,919.0,600.0,13.0,306.0,,23.0,,,283.0,1084.0
46,106000,2012JJ00,36895,34849,20641,2155.0,2512.0,721.0,830.0,7990,76.0,,4338.0,1391.0,822.0,1362,950.0,584.0,8.0,358.0,,23.0,,,335.0,1096.0
47,106000,2013JJ00,39989,37080,22800,2418.0,2554.0,700.0,806.0,7803,80.0,,4115.0,1336.0,894.0,1377,1799.0,1423.0,8.0,369.0,,23.0,,,346.0,1109.0
48,108000,1998JJ00,12732,2488,299,2084.0,30.0,8.0,,67,10.0,,,,,57,10145.0,7359.0,2786.0,,,,,,,99.0
49,108000,1999JJ00,13569,2715,337,2264.0,36.0,8.0,,70,9.0,,,,,61,10739.0,7723.0,3016.0,,,,,,,114.0
50,108000,2000JJ00,14580,2886,396,2365.0,40.0,9.0,,76,10.0,,,,,66,11552.0,8293.0,3259.0,,,,,,,142.0
51,108000,2001JJ00,16255,3116,402,2583.0,35.0,9.0,,87,18.0,,,,,68,12973.0,9397.0,3571.0,5.0,,,,,5.0,166.0
52,108000,2002JJ00,18566,3499,513,2847.0,39.0,10.0,,90,10.0,,,,,81,14867.0,10697.0,4160.0,10.0,,,,,10.0,199.0
53,108000,2003JJ00,20332,3891,578,3150.0,39.0,11.0,,112,24.0,,,,,88,16236.0,11605.0,4611.0,20.0,,,,,20.0,205.0
54,108000,2004JJ00,21106,4235,681,3389.0,42.0,12.0,,111,20.0,,,,,90,16657.0,11750.0,4877.0,30.0,,,,,30.0,214.0
55,108000,2005JJ00,22052,4511,698,3644.0,45.0,12.0,,113,17.0,,,,,96,17292.0,12060.0,5182.0,50.0,,,,,50.0,249.0
56,108000,2006JJ00,23177,4708,887,3785.0,,13.0,,24,14.0,,,,,10,18177.0,12701.0,5369.0,107.0,,16.0,,,91.0,292.0
57,108000,2007JJ00,23007,5123,1040,4052.0,,14.0,,16,,,,,,16,17695.0,11792.0,5808.0,95.0,,16.0,,,78.0,189.0
58,108000,2008JJ00,22169,2984,924,1933.0,,14.0,,112,,,,,102.0,10,18987.0,12537.0,6357.0,93.0,,14.0,,,79.0,198.0
59,108000,2009JJ00,23201,3105,908,2070.0,,17.0,,110,,,,,100.0,10,19882.0,12856.0,6938.0,88.0,,15.0,,,74.0,214.0
60,108000,2010JJ00,24469,3511,1069,2321.0,,17.0,,105,,,,,95.0,9,20732.0,13390.0,7250.0,92.0,,15.0,,,77.0,226.0
61,108000,2011JJ00,25368,3529,1035,2375.0,,18.0,,101,,,,,91.0,10,21600.0,14022.0,7486.0,92.0,,15.0,,,77.0,239.0
62,108000,2012JJ00,28070,3791,1027,2627.0,,23.0,,114,,,,,103.0,11,24034.0,15431.0,8500.0,103.0,,15.0,,,88.0,245.0
63,108000,2013JJ00,27444,3743,1030,2585.0,,24.0,,105,,,,,94.0,11,23422.0,14752.0,8569.0,101.0,,15.0,,,86.0,278.0
64,114000,1998JJ00,4814,4782,2274,,370.0,606.0,280.0,1250,18.0,,761.0,192.0,28.0,252,32.0,32.0,,,,,,,,
65,114000,1999JJ00,5244,5204,2487,,391.0,630.0,313.0,1383,19.0,,848.0,217.0,31.0,268,40.0,40.0,,,,,,,,
66,114000,2000JJ00,5443,5397,2506,,401.0,690.0,326.0,1474,20.0,,907.0,239.0,32.0,276,46.0,46.0,,,,,,,,
67,114000,2001JJ00,6145,6089,2867,,446.0,762.0,360.0,1654,21.0,,1010.0,268.0,41.0,314,57.0,57.0,,,,,,,,
68,114000,2002JJ00,7070,6996,3327,,516.0,867.0,390.0,1895,25.0,,1121.0,326.0,45.0,379,74.0,74.0,,,,,,,,
69,114000,2003JJ00,7751,7660,3648,,587.0,961.0,430.0,2034,22.0,,1190.0,365.0,52.0,404,91.0,91.0,,,,,,,,
70,114000,2004JJ00,8665,8566,3989,,573.0,1138.0,748.0,2117,22.0,,1192.0,420.0,64.0,420,100.0,100.0,,,,,,,,
71,114000,2005JJ00,9076,8967,4263,,582.0,1135.0,786.0,2201,22.0,,1257.0,448.0,79.0,395,109.0,109.0,,,,,,,,
72,114000,2006JJ00,2904,2904,70,,,1185.0,779.0,870,,,76.0,183.0,,611,,,,,,,,,,
73,114000,2007JJ00,3146,3146,78,,,1275.0,845.0,948,,,86.0,197.0,,665,,,,,,,,,,
74,114000,2008JJ00,3154,3154,80,,,1325.0,854.0,895,,,70.0,224.0,,601,,,,,,,,,,
75,114000,2009JJ00,3384,3384,85,,,1476.0,871.0,952,,,88.0,233.0,,631,,,,,,,,,,
76,114000,2010JJ00,3407,3407,85,,,1515.0,880.0,927,,,80.0,223.0,,624,,,,,,,,,,
77,114000,2011JJ00,3736,3736,105,,,1650.0,965.0,1016,,,100.0,290.0,,626,,,,,,,,,,
78,114000,2012JJ00,3854,3854,110,,,1690.0,1020.0,1034,,,100.0,300.0,,634,,,,,,,,,,
79,114000,2013JJ00,3648,3648,110,,,1570.0,992.0,976,,,83.0,306.0,,587,,,,,,,,,,
80,115000,1998JJ00,3454,2558,78,,59.0,249.0,51.0,2121,14.0,7.0,680.0,840.0,,580,820.0,26.0,,794.0,638.0,,,76.0,80.0,76.0
81,115000,1999JJ00,3807,2742,78,,66.0,280.0,53.0,2264,15.0,8.0,733.0,889.0,,619,981.0,29.0,,951.0,775.0,,,86.0,90.0,84.0
82,115000,2000JJ00,4213,3026,86,,72.0,301.0,53.0,2513,17.0,9.0,858.0,943.0,,686,1098.0,28.0,,1070.0,886.0,,,90.0,94.0,89.0
83,115000,2001JJ00,4649,3363,91,,88.0,358.0,59.0,2767,20.0,9.0,973.0,1007.0,,756,1196.0,34.0,,1162.0,949.0,,,105.0,108.0,91.0
84,115000,2002JJ00,4983,3584,109,,97.0,417.0,65.0,2897,29.0,12.0,1064.0,1000.0,,792,1300.0,44.0,,1255.0,1007.0,,,119.0,129.0,100.0
85,115000,2003JJ00,5513,3877,125,,122.0,470.0,72.0,3088,17.0,12.0,1158.0,1049.0,,851,1521.0,70.0,,1450.0,1148.0,,,146.0,156.0,116.0
86,115000,2004JJ00,5849,4000,134,,131.0,480.0,68.0,3187,19.0,13.0,1199.0,1066.0,,891,1715.0,77.0,,1639.0,1328.0,,,142.0,168.0,133.0
87,115000,2005JJ00,7241,4139,141,,137.0,454.0,71.0,3336,21.0,12.0,1217.0,1087.0,,999,2966.0,105.0,,2861.0,2553.0,,,144.0,163.0,136.0
88,115000,2006JJ00,6896,3526,136,,28.0,339.0,44.0,2978,23.0,10.0,1124.0,1145.0,,676,3228.0,126.0,,3102.0,2779.0,,,146.0,178.0,142.0
89,115000,2007JJ00,7237,3631,139,,32.0,371.0,49.0,3040,24.0,16.0,1148.0,1159.0,,694,3472.0,139.0,,3333.0,2995.0,,,156.0,182.0,134.0
90,115000,2008JJ00,7913,3939,162,,41.0,402.0,53.0,3282,20.0,12.0,1178.0,1370.0,,702,3830.0,130.0,,3701.0,3314.0,,,190.0,198.0,143.0
91,115000,2009JJ00,7870,3614,206,,40.0,329.0,57.0,2982,21.0,12.0,1239.0,1024.0,,686,4109.0,72.0,,4036.0,3671.0,,,204.0,161.0,147.0
92,115000,2010JJ00,8191,3749,183,,42.0,325.0,62.0,3136,22.0,12.0,1269.0,1149.0,,684,4294.0,71.0,,4224.0,3850.0,,,214.0,159.0,147.0
93,115000,2011JJ00,8544,3939,179,,42.0,336.0,71.0,3311,23.0,11.0,1292.0,1274.0,,711,4458.0,68.0,,4389.0,4033.0,,,198.0,158.0,147.0
94,115000,2012JJ00,8728,4186,172,,46.0,376.0,90.0,3502,23.0,11.0,1350.0,1358.0,,762,4391.0,62.0,,4329.0,3984.0,,,183.0,161.0,151.0
95,115000,2013JJ00,8536,4161,174,,46.0,376.0,94.0,3471,23.0,10.0,1328.0,1308.0,,802,4221.0,61.0,,4160.0,3821.0,,,173.0,167.0,154.0
96,117000,1998JJ00,2411,1256,135,,4.0,4.0,,1113,42.0,621.0,10.0,62.0,372.0,6,447.0,7.0,,440.0,373.0,,,63.0,4.0,708.0
97,117000,1999JJ00,2674,1416,149,5.0,4.0,4.0,,1253,50.0,699.0,10.0,71.0,417.0,6,488.0,14.0,,473.0,401.0,,,68.0,4.0,771.0
98,117000,2000JJ00,2961,1542,156,5.0,5.0,5.0,,1371,57.0,797.0,15.0,78.0,418.0,6,607.0,17.0,,589.0,513.0,,,71.0,5.0,812.0
99,117000,2001JJ00,3346,1756,187,10.0,6.0,6.0,,1547,78.0,867.0,15.0,103.0,479.0,6,692.0,16.0,,677.0,592.0,,,79.0,5.0,897.0
100,117000,2002JJ00,4028,2109,217,15.0,6.0,6.0,,1865,111.0,1009.0,16.0,108.0,614.0,7,934.0,33.0,,901.0,796.0,,,100.0,6.0,985.0
101,117000,2003JJ00,4365,2282,262,20.0,6.0,6.0,,1988,127.0,1111.0,18.0,118.0,605.0,8,1056.0,24.0,,1031.0,912.0,,,113.0,6.0,1027.0
102,117000,2004JJ00,4500,2247,270,20.0,7.0,6.0,,1943,114.0,1073.0,19.0,118.0,610.0,9,1154.0,23.0,,1131.0,1028.0,,,97.0,6.0,1099.0
103,117000,2005JJ00,3572,2215,281,25.0,8.0,7.0,,1894,119.0,1017.0,21.0,118.0,610.0,9,119.0,24.0,,96.0,,,,89.0,7.0,1238.0
104,117000,2006JJ00,2811,2107,295,28.0,8.0,7.0,,1769,115.0,898.0,21.0,124.0,601.0,10,97.0,12.0,,85.0,,,,78.0,7.0,608.0
105,117000,2007JJ00,2837,2134,263,24.0,8.0,7.0,,1832,114.0,918.0,21.0,130.0,641.0,8,98.0,5.0,,93.0,,,,86.0,7.0,605.0
106,117000,2008JJ00,2866,2159,271,23.0,9.0,8.0,,1849,89.0,901.0,21.0,137.0,692.0,8,96.0,5.0,,91.0,,,,83.0,8.0,611.0
107,117000,2009JJ00,2896,2134,162,23.0,8.0,7.0,,1934,106.0,938.0,20.0,144.0,710.0,16,106.0,5.0,,101.0,,,,92.0,9.0,656.0
108,117000,2010JJ00,3010,2224,206,29.0,10.0,11.0,,1968,113.0,952.0,26.0,150.0,711.0,17,112.0,5.0,,107.0,,,,97.0,9.0,674.0
109,117000,2011JJ00,2903,2102,208,26.0,10.0,10.0,,1848,116.0,885.0,24.0,158.0,647.0,18,107.0,5.0,,102.0,,,,92.0,10.0,694.0
110,117000,2012JJ00,2914,2116,204,26.0,10.0,10.0,,1865,117.0,815.0,24.0,165.0,726.0,18,102.0,5.0,,97.0,,,,87.0,10.0,696.0
111,117000,2013JJ00,2911,2110,218,23.0,10.0,10.0,,1848,118.0,758.0,24.0,165.0,760.0,22,97.0,5.0,,92.0,,,,82.0,10.0,704.0
