ID,Warmtepompen,Sector,Perioden,InGebruikGenomenWarmtepompen_1,UitGebruikGenomenWarmtepompen_2,OpgesteldeWarmtepompenEindeVanJaar_3,InGebruikGenomenThermischVermogen_4,UitGebruikGenomenThermischVermogen_5,OpgesteldThermischVermogenEindeJaar_6,BrutoWarmteproductieWarmtepompen_7,VerbruikVanElektriciteitEnAardgas_8,OnttrekkingWarmteUitBodemOfLucht_9,VermedenVerbruikVanFossieleEnergie_10,VermedenEmissieKooldioxideCO2_11
177,A043946 ,E007041 ,2003JJ00,376.0,0.0,1592.0,4.0,0.0,17.0,66.0,19.0,47.0,28.0,1.0
178,A043946 ,E007041 ,2004JJ00,354.0,0.0,1945.0,4.0,0.0,20.0,81.0,23.0,58.0,34.0,1.0
179,A043946 ,E007041 ,2005JJ00,741.0,5.0,2681.0,5.0,0.0,25.0,98.0,27.0,71.0,42.0,2.0
180,A043946 ,E007041 ,2006JJ00,1283.0,5.0,3959.0,11.0,0.0,36.0,142.0,38.0,104.0,62.0,2.0
181,A043946 ,E007041 ,2007JJ00,1344.0,5.0,5297.0,11.0,0.0,47.0,185.0,48.0,137.0,82.0,3.0
182,A043946 ,E007041 ,2008JJ00,1488.0,5.0,6781.0,16.0,0.0,62.0,247.0,63.0,184.0,108.0,4.0
183,A043946 ,E007041 ,2009JJ00,2589.0,5.0,9365.0,36.0,0.0,99.0,390.0,99.0,292.0,175.0,7.0
184,A043946 ,E007041 ,2010JJ00,2650.0,9.0,12006.0,38.0,0.0,137.0,541.0,139.0,402.0,249.0,11.0
185,A043946 ,E007041 ,2011JJ00,4253.0,33.0,16226.0,46.0,0.0,183.0,723.0,185.0,538.0,343.0,15.0
186,A043946 ,E007041 ,2012JJ00,4330.0,246.0,20310.0,45.0,2.0,226.0,893.0,228.0,666.0,405.0,15.0
187,A043946 ,E007041 ,2013JJ00,1980.0,189.0,22101.0,34.0,3.0,256.0,1015.0,258.0,757.0,468.0,16.0
188,A043946 ,E007041 ,2014JJ00,1968.0,140.0,23929.0,28.0,1.0,283.0,1122.0,285.0,837.0,503.0,17.0
189,A043946 ,E007041 ,2015JJ00,1629.0,227.0,25331.0,26.0,2.0,308.0,1218.0,309.0,909.0,544.0,15.0
190,A043946 ,E007041 ,2016JJ00,3484.0,90.0,28726.0,33.0,1.0,339.0,1344.0,340.0,1004.0,627.0,21.0
191,A043946 ,E007041 ,2017JJ00,4510.0,259.0,32977.0,40.0,2.0,377.0,1494.0,377.0,1116.0,732.0,28.0
192,A043946 ,E007041 ,2018JJ00,5960.0,376.0,38561.0,55.0,4.0,428.0,1696.0,428.0,1268.0,848.0,35.0
193,A043946 ,E007041 ,2019JJ00,10763.0,354.0,48971.0,88.0,4.0,512.0,2027.0,511.0,1516.0,1050.0,51.0
194,A043946 ,E007041 ,2020JJ00,17189.0,741.0,65419.0,126.0,5.0,633.0,2508.0,632.0,1876.0,1328.0,75.0
195,A043946 ,E007041 ,2021JJ00,19549.0,1283.0,83686.0,133.0,11.0,755.0,2991.0,753.0,2239.0,1585.0,89.0
196,A043946 ,E007037 ,1994JJ00,,,24.0,,,2.0,7.0,4.0,3.0,3.0,0.0
197,A043946 ,E007037 ,1995JJ00,9.0,0.0,33.0,0.0,0.0,2.0,7.0,4.0,3.0,3.0,0.0
198,A043946 ,E007037 ,1996JJ00,33.0,0.0,66.0,0.0,0.0,2.0,8.0,4.0,4.0,3.0,0.0
199,A043946 ,E007037 ,1997JJ00,246.0,0.0,312.0,2.0,0.0,4.0,14.0,6.0,9.0,6.0,0.0
200,A043946 ,E007037 ,1998JJ00,189.0,0.0,501.0,3.0,0.0,6.0,26.0,8.0,17.0,11.0,0.0
201,A043946 ,E007037 ,1999JJ00,140.0,0.0,641.0,1.0,0.0,8.0,30.0,10.0,21.0,13.0,1.0
202,A043946 ,E007037 ,2000JJ00,227.0,0.0,868.0,2.0,0.0,10.0,38.0,12.0,26.0,16.0,1.0
203,A043946 ,E007037 ,2001JJ00,90.0,0.0,957.0,1.0,0.0,10.0,41.0,13.0,29.0,17.0,1.0
204,A043946 ,E007037 ,2002JJ00,259.0,0.0,1216.0,2.0,0.0,13.0,51.0,15.0,35.0,21.0,1.0
205,A043946 ,E007037 ,2003JJ00,376.0,0.0,1592.0,4.0,0.0,17.0,66.0,19.0,47.0,28.0,1.0
206,A043946 ,E007037 ,2004JJ00,354.0,0.0,1945.0,4.0,0.0,20.0,81.0,23.0,58.0,34.0,1.0
207,A043946 ,E007037 ,2005JJ00,741.0,5.0,2681.0,5.0,0.0,25.0,98.0,27.0,71.0,42.0,2.0
208,A043946 ,E007037 ,2006JJ00,1283.0,5.0,3959.0,11.0,0.0,36.0,142.0,38.0,104.0,62.0,2.0
209,A043946 ,E007037 ,2007JJ00,1344.0,5.0,5297.0,11.0,0.0,47.0,185.0,48.0,137.0,82.0,3.0
210,A043946 ,E007037 ,2008JJ00,1313.0,5.0,6606.0,12.0,0.0,59.0,233.0,60.0,173.0,101.0,4.0
211,A043946 ,E007037 ,2009JJ00,2223.0,5.0,8824.0,21.0,0.0,80.0,316.0,80.0,236.0,141.0,6.0
212,A043946 ,E007037 ,2010JJ00,2393.0,9.0,11208.0,20.0,0.0,100.0,397.0,102.0,295.0,183.0,8.0
213,A043946 ,E007037 ,2011JJ00,3686.0,33.0,14861.0,31.0,0.0,131.0,517.0,132.0,386.0,246.0,11.0
214,A043946 ,E007037 ,2012JJ00,3785.0,246.0,18400.0,28.0,2.0,157.0,624.0,158.0,465.0,284.0,11.0
215,A043946 ,E007037 ,2013JJ00,1783.0,189.0,19994.0,12.0,3.0,167.0,661.0,168.0,494.0,306.0,11.0
216,A043946 ,E007037 ,2014JJ00,1768.0,140.0,21622.0,15.0,1.0,180.0,714.0,181.0,534.0,321.0,11.0
217,A043946 ,E007037 ,2015JJ00,1493.0,227.0,22888.0,16.0,2.0,194.0,769.0,194.0,575.0,345.0,10.0
218,A043946 ,E007037 ,2016JJ00,3394.0,90.0,26193.0,29.0,1.0,223.0,881.0,222.0,659.0,413.0,14.0
219,A043946 ,E007037 ,2017JJ00,4421.0,259.0,30355.0,37.0,2.0,257.0,1017.0,256.0,762.0,500.0,19.0
220,A043946 ,E007037 ,2018JJ00,5877.0,376.0,35856.0,49.0,4.0,302.0,1196.0,301.0,896.0,600.0,25.0
221,A043946 ,E007037 ,2019JJ00,10633.0,354.0,46136.0,77.0,4.0,376.0,1487.0,373.0,1114.0,772.0,38.0
222,A043946 ,E007037 ,2020JJ00,16955.0,741.0,62350.0,110.0,5.0,480.0,1902.0,477.0,1425.0,1011.0,57.0
223,A043946 ,E007037 ,2021JJ00,19413.0,1283.0,80481.0,127.0,11.0,596.0,2361.0,592.0,1769.0,1255.0,70.0
224,A043946 ,E007040 ,1994JJ00,,,,,,,,,,,
225,A043946 ,E007040 ,1995JJ00,,,,,,,,,,,
226,A043946 ,E007040 ,1996JJ00,,,,,,,,,,,
227,A043946 ,E007040 ,1997JJ00,,,,,,,,,,,
228,A043946 ,E007040 ,1998JJ00,,,,,,,,,,,
229,A043946 ,E007040 ,1999JJ00,,,,,,,,,,,
230,A043946 ,E007040 ,2000JJ00,,,,,,,,,,,
231,A043946 ,E007040 ,2001JJ00,,,,,,,,,,,
232,A043946 ,E007040 ,2002JJ00,,,,,,,,,,,
233,A043946 ,E007040 ,2003JJ00,,,,,,,,,,,
234,A043946 ,E007040 ,2004JJ00,,,,,,,,,,,
235,A043946 ,E007040 ,2005JJ00,,,,,,,,,,,
236,A043946 ,E007040 ,2006JJ00,,,,,,,,,,,
237,A043946 ,E007040 ,2007JJ00,,,,,,,,,,,
238,A043946 ,E007040 ,2008JJ00,175.0,,175.0,4.0,,4.0,14.0,4.0,11.0,6.0,0.0
239,A043946 ,E007040 ,2009JJ00,366.0,0.0,541.0,15.0,0.0,19.0,74.0,18.0,55.0,33.0,1.0
240,A043946 ,E007040 ,2010JJ00,257.0,0.0,798.0,18.0,0.0,36.0,144.0,37.0,107.0,66.0,3.0
241,A043946 ,E007040 ,2011JJ00,567.0,0.0,1365.0,15.0,0.0,52.0,205.0,53.0,153.0,97.0,4.0
242,A043946 ,E007040 ,2012JJ00,545.0,0.0,1910.0,16.0,0.0,68.0,270.0,69.0,200.0,121.0,5.0
243,A043946 ,E007040 ,2013JJ00,197.0,0.0,2107.0,21.0,0.0,89.0,354.0,90.0,263.0,162.0,6.0
244,A043946 ,E007040 ,2014JJ00,200.0,0.0,2307.0,14.0,0.0,103.0,408.0,104.0,304.0,181.0,6.0
245,A043946 ,E007040 ,2015JJ00,136.0,0.0,2443.0,10.0,0.0,113.0,448.0,114.0,334.0,199.0,5.0
246,A043946 ,E007040 ,2016JJ00,90.0,0.0,2533.0,4.0,0.0,117.0,463.0,118.0,345.0,214.0,7.0
247,A043946 ,E007040 ,2017JJ00,89.0,0.0,2622.0,3.0,0.0,120.0,476.0,122.0,355.0,231.0,9.0
248,A043946 ,E007040 ,2018JJ00,83.0,0.0,2705.0,6.0,0.0,126.0,499.0,127.0,372.0,247.0,10.0
249,A043946 ,E007040 ,2019JJ00,130.0,0.0,2835.0,10.0,0.0,136.0,540.0,138.0,402.0,277.0,14.0
250,A043946 ,E007040 ,2020JJ00,234.0,0.0,3069.0,17.0,0.0,153.0,606.0,155.0,451.0,317.0,18.0
251,A043946 ,E007040 ,2021JJ00,136.0,0.0,3205.0,6.0,0.0,159.0,631.0,161.0,470.0,330.0,19.0
252,A043947 ,E007041 ,1994JJ00,0.0,0.0,66.0,0.0,0.0,13.0,51.0,26.0,25.0,20.0,1.0
253,A043947 ,E007041 ,1995JJ00,32.0,0.0,98.0,1.0,0.0,14.0,55.0,27.0,28.0,21.0,1.0
254,A043947 ,E007041 ,1996JJ00,67.0,0.0,165.0,2.0,0.0,15.0,61.0,29.0,32.0,24.0,1.0
255,A043947 ,E007041 ,1997JJ00,335.0,0.0,500.0,5.0,0.0,21.0,82.0,34.0,47.0,33.0,1.0
256,A043947 ,E007041 ,1998JJ00,238.0,0.0,738.0,9.0,0.0,30.0,117.0,44.0,73.0,47.0,2.0
257,A043947 ,E007041 ,1999JJ00,267.0,0.0,1005.0,8.0,0.0,38.0,150.0,54.0,96.0,59.0,2.0
258,A043947 ,E007041 ,2000JJ00,438.0,0.0,1442.0,12.0,0.0,49.0,196.0,66.0,129.0,75.0,3.0
259,A043947 ,E007041 ,2001JJ00,439.0,0.0,1882.0,10.0,0.0,59.0,235.0,77.0,159.0,88.0,3.0
260,A043947 ,E007041 ,2002JJ00,644.0,0.0,2526.0,17.0,0.0,77.0,304.0,95.0,209.0,114.0,4.0
261,A043947 ,E007041 ,2003JJ00,619.0,0.0,3145.0,20.0,0.0,96.0,381.0,117.0,265.0,142.0,5.0
262,A043947 ,E007041 ,2004JJ00,1073.0,0.0,4218.0,46.0,0.0,142.0,562.0,167.0,394.0,213.0,8.0
263,A043947 ,E007041 ,2005JJ00,1405.0,13.0,5609.0,59.0,3.0,198.0,786.0,229.0,556.0,297.0,11.0
264,A043947 ,E007041 ,2006JJ00,2164.0,13.0,7760.0,66.0,3.0,262.0,1038.0,303.0,735.0,398.0,14.0
265,A043947 ,E007041 ,2007JJ00,2240.0,13.0,9986.0,93.0,3.0,352.0,1396.0,392.0,1004.0,562.0,21.0
266,A043947 ,E007041 ,2008JJ00,2612.0,13.0,12585.0,103.0,3.0,453.0,1794.0,490.0,1304.0,722.0,27.0
267,A043947 ,E007041 ,2009JJ00,2720.0,13.0,15292.0,84.0,3.0,535.0,2117.0,568.0,1549.0,889.0,35.0
268,A043947 ,E007041 ,2010JJ00,3027.0,32.0,18287.0,79.0,1.0,613.0,2426.0,645.0,1781.0,1063.0,44.0
269,A043947 ,E007041 ,2011JJ00,1606.0,67.0,19826.0,75.0,2.0,686.0,2718.0,718.0,2000.0,1238.0,53.0
270,A043947 ,E007041 ,2012JJ00,1456.0,335.0,20947.0,68.0,5.0,749.0,2967.0,781.0,2186.0,1294.0,47.0
271,A043947 ,E007041 ,2013JJ00,1072.0,238.0,21781.0,77.0,9.0,818.0,3239.0,849.0,2390.0,1440.0,48.0
272,A043947 ,E007041 ,2014JJ00,542.0,267.0,22056.0,67.0,8.0,877.0,3473.0,906.0,2566.0,1504.0,48.0
273,A043947 ,E007041 ,2015JJ00,457.0,438.0,22076.0,65.0,12.0,930.0,3684.0,959.0,2725.0,1594.0,42.0
274,A043947 ,E007041 ,2016JJ00,581.0,439.0,22217.0,53.0,10.0,973.0,3853.0,1001.0,2852.0,1747.0,57.0
275,A043947 ,E007041 ,2017JJ00,320.0,644.0,21893.0,55.0,17.0,1011.0,4003.0,1038.0,2964.0,1913.0,71.0
276,A043947 ,E007041 ,2018JJ00,544.0,619.0,21818.0,70.0,20.0,1061.0,4202.0,1086.0,3116.0,2057.0,83.0
277,A043947 ,E007041 ,2019JJ00,992.0,1073.0,21737.0,72.0,46.0,1088.0,4308.0,1109.0,3199.0,2191.0,107.0
278,A043947 ,E007041 ,2020JJ00,2167.0,1405.0,22500.0,65.0,59.0,1094.0,4331.0,1108.0,3222.0,2263.0,127.0
279,A043947 ,E007041 ,2021JJ00,2243.0,2164.0,22579.0,82.0,66.0,1109.0,4392.0,1111.0,3281.0,2315.0,130.0
280,A043947 ,E007037 ,1994JJ00,,,24.0,,,2.0,7.0,4.0,3.0,3.0,0.0
281,A043947 ,E007037 ,1995JJ00,9.0,0.0,33.0,0.0,0.0,2.0,7.0,4.0,3.0,3.0,0.0
282,A043947 ,E007037 ,1996JJ00,33.0,0.0,66.0,0.0,0.0,2.0,8.0,4.0,4.0,3.0,0.0
283,A043947 ,E007037 ,1997JJ00,246.0,0.0,312.0,2.0,0.0,4.0,14.0,6.0,9.0,6.0,0.0
284,A043947 ,E007037 ,1998JJ00,189.0,0.0,501.0,3.0,0.0,6.0,26.0,8.0,17.0,11.0,0.0
285,A043947 ,E007037 ,1999JJ00,140.0,0.0,641.0,1.0,0.0,8.0,30.0,10.0,21.0,13.0,1.0
286,A043947 ,E007037 ,2000JJ00,227.0,0.0,868.0,2.0,0.0,10.0,38.0,12.0,26.0,16.0,1.0
287,A043947 ,E007037 ,2001JJ00,90.0,0.0,957.0,1.0,0.0,10.0,41.0,13.0,29.0,17.0,1.0
288,A043947 ,E007037 ,2002JJ00,259.0,0.0,1216.0,2.0,0.0,13.0,51.0,15.0,35.0,21.0,1.0
289,A043947 ,E007037 ,2003JJ00,376.0,0.0,1592.0,4.0,0.0,17.0,66.0,19.0,47.0,28.0,1.0
290,A043947 ,E007037 ,2004JJ00,354.0,0.0,1945.0,4.0,0.0,20.0,81.0,23.0,58.0,34.0,1.0
291,A043947 ,E007037 ,2005JJ00,741.0,5.0,2681.0,5.0,0.0,25.0,98.0,27.0,71.0,42.0,2.0
292,A043947 ,E007037 ,2006JJ00,1283.0,5.0,3959.0,11.0,0.0,36.0,142.0,38.0,104.0,62.0,2.0
293,A043947 ,E007037 ,2007JJ00,1344.0,5.0,5297.0,11.0,0.0,47.0,185.0,48.0,137.0,82.0,3.0
294,A043947 ,E007037 ,2008JJ00,2010.0,5.0,7303.0,28.0,0.0,74.0,294.0,75.0,219.0,128.0,5.0
295,A043947 ,E007037 ,2009JJ00,2337.0,5.0,9635.0,34.0,0.0,108.0,428.0,108.0,320.0,191.0,8.0
296,A043947 ,E007037 ,2010JJ00,2647.0,9.0,12273.0,25.0,0.0,133.0,528.0,133.0,395.0,244.0,10.0
297,A043947 ,E007037 ,2011JJ00,1204.0,33.0,13444.0,14.0,0.0,147.0,581.0,146.0,435.0,277.0,12.0
298,A043947 ,E007037 ,2012JJ00,1058.0,246.0,14256.0,10.0,2.0,155.0,615.0,155.0,460.0,280.0,11.0
299,A043947 ,E007037 ,2013JJ00,639.0,189.0,14706.0,7.0,3.0,159.0,631.0,159.0,472.0,292.0,10.0
300,A043947 ,E007037 ,2014JJ00,242.0,140.0,14808.0,3.0,1.0,162.0,640.0,161.0,479.0,288.0,10.0
301,A043947 ,E007037 ,2015JJ00,155.0,227.0,14736.0,1.0,2.0,161.0,636.0,160.0,476.0,285.0,8.0
302,A043947 ,E007037 ,2016JJ00,244.0,90.0,14891.0,2.0,1.0,162.0,641.0,161.0,480.0,300.0,10.0
303,A043947 ,E007037 ,2017JJ00,47.0,259.0,14679.0,2.0,2.0,161.0,639.0,160.0,478.0,314.0,12.0
304,A043947 ,E007037 ,2018JJ00,201.0,376.0,14504.0,1.0,4.0,158.0,627.0,157.0,470.0,314.0,13.0
305,A043947 ,E007037 ,2019JJ00,599.0,354.0,14750.0,10.0,4.0,165.0,653.0,165.0,487.0,334.0,16.0
306,A043947 ,E007037 ,2020JJ00,1898.0,741.0,15907.0,14.0,5.0,174.0,690.0,177.0,514.0,359.0,20.0
307,A043947 ,E007037 ,2021JJ00,1887.0,1283.0,16512.0,12.0,11.0,175.0,692.0,177.0,515.0,359.0,20.0
308,A043947 ,E007040 ,1994JJ00,,,42.0,,,11.0,44.0,22.0,22.0,17.0,1.0
309,A043947 ,E007040 ,1995JJ00,23.0,0.0,65.0,1.0,0.0,12.0,48.0,23.0,25.0,19.0,1.0
310,A043947 ,E007040 ,1996JJ00,34.0,0.0,99.0,1.0,0.0,13.0,53.0,25.0,28.0,21.0,1.0
311,A043947 ,E007040 ,1997JJ00,89.0,0.0,188.0,4.0,0.0,17.0,68.0,29.0,39.0,27.0,1.0
312,A043947 ,E007040 ,1998JJ00,49.0,0.0,237.0,6.0,0.0,23.0,91.0,35.0,56.0,36.0,1.0
313,A043947 ,E007040 ,1999JJ00,127.0,0.0,364.0,7.0,0.0,30.0,119.0,44.0,76.0,46.0,2.0
314,A043947 ,E007040 ,2000JJ00,211.0,0.0,575.0,10.0,0.0,40.0,158.0,54.0,103.0,59.0,2.0
315,A043947 ,E007040 ,2001JJ00,350.0,0.0,925.0,9.0,0.0,49.0,194.0,64.0,130.0,71.0,2.0
316,A043947 ,E007040 ,2002JJ00,386.0,0.0,1311.0,15.0,0.0,64.0,253.0,79.0,173.0,93.0,3.0
317,A043947 ,E007040 ,2003JJ00,242.0,0.0,1553.0,16.0,0.0,80.0,315.0,97.0,218.0,115.0,4.0
318,A043947 ,E007040 ,2004JJ00,720.0,0.0,2273.0,42.0,0.0,121.0,481.0,144.0,337.0,178.0,6.0
319,A043947 ,E007040 ,2005JJ00,664.0,8.0,2928.0,54.0,2.0,174.0,687.0,202.0,485.0,255.0,9.0
320,A043947 ,E007040 ,2006JJ00,881.0,8.0,3801.0,55.0,2.0,226.0,896.0,265.0,631.0,336.0,11.0
321,A043947 ,E007040 ,2007JJ00,896.0,8.0,4689.0,82.0,2.0,306.0,1211.0,344.0,867.0,479.0,18.0
322,A043947 ,E007040 ,2008JJ00,602.0,8.0,5283.0,75.0,2.0,379.0,1500.0,415.0,1086.0,594.0,22.0
323,A043947 ,E007040 ,2009JJ00,383.0,8.0,5657.0,50.0,2.0,427.0,1689.0,460.0,1229.0,698.0,27.0
324,A043947 ,E007040 ,2010JJ00,380.0,23.0,6014.0,54.0,1.0,479.0,1898.0,512.0,1386.0,819.0,34.0
325,A043947 ,E007040 ,2011JJ00,402.0,34.0,6382.0,62.0,1.0,540.0,2137.0,572.0,1565.0,962.0,41.0
326,A043947 ,E007040 ,2012JJ00,398.0,89.0,6691.0,58.0,4.0,594.0,2352.0,626.0,1726.0,1014.0,36.0
327,A043947 ,E007040 ,2013JJ00,433.0,49.0,7075.0,70.0,6.0,658.0,2607.0,690.0,1917.0,1148.0,38.0
328,A043947 ,E007040 ,2014JJ00,300.0,127.0,7248.0,64.0,7.0,715.0,2832.0,745.0,2087.0,1216.0,39.0
329,A043947 ,E007040 ,2015JJ00,302.0,211.0,7339.0,64.0,10.0,770.0,3048.0,799.0,2249.0,1309.0,34.0
330,A043947 ,E007040 ,2016JJ00,337.0,350.0,7327.0,51.0,9.0,811.0,3212.0,840.0,2372.0,1447.0,47.0
331,A043947 ,E007040 ,2017JJ00,273.0,386.0,7214.0,53.0,15.0,849.0,3364.0,878.0,2486.0,1600.0,59.0
332,A043947 ,E007040 ,2018JJ00,343.0,242.0,7314.0,69.0,16.0,903.0,3574.0,929.0,2646.0,1743.0,70.0
333,A043947 ,E007040 ,2019JJ00,393.0,720.0,6988.0,62.0,42.0,923.0,3656.0,944.0,2712.0,1857.0,90.0
334,A043947 ,E007040 ,2020JJ00,269.0,664.0,6593.0,51.0,54.0,919.0,3640.0,932.0,2709.0,1904.0,107.0
335,A043947 ,E007040 ,2021JJ00,356.0,881.0,6067.0,70.0,55.0,934.0,3700.0,934.0,2766.0,1955.0,110.0
336,A043948 ,E007041 ,1994JJ00,0.0,0.0,1653.0,0.0,0.0,2.0,12.0,4.0,7.0,0.0,0.0
337,A043948 ,E007041 ,1995JJ00,26.0,0.0,1679.0,0.0,0.0,2.0,12.0,5.0,7.0,0.0,0.0
338,A043948 ,E007041 ,1996JJ00,46.0,0.0,1725.0,0.0,0.0,2.0,12.0,5.0,8.0,1.0,0.0
339,A043948 ,E007041 ,1997JJ00,827.0,0.0,2552.0,1.0,0.0,3.0,19.0,7.0,12.0,2.0,0.0
340,A043948 ,E007041 ,1998JJ00,1242.0,0.0,3794.0,2.0,0.0,5.0,30.0,12.0,19.0,3.0,0.0
341,A043948 ,E007041 ,1999JJ00,474.0,0.0,4268.0,1.0,0.0,6.0,34.0,13.0,21.0,3.0,0.0
342,A043948 ,E007041 ,2000JJ00,273.0,0.0,4541.0,0.0,0.0,6.0,37.0,14.0,23.0,3.0,0.0
343,A043948 ,E007041 ,2001JJ00,949.0,0.0,5490.0,1.0,0.0,8.0,45.0,17.0,28.0,3.0,0.0
344,A043948 ,E007041 ,2002JJ00,3003.0,0.0,8493.0,4.0,0.0,12.0,71.0,27.0,44.0,5.0,-1.0
345,A043948 ,E007041 ,2003JJ00,2978.0,0.0,11471.0,4.0,0.0,16.0,96.0,37.0,59.0,7.0,-1.0
346,A043948 ,E007041 ,2004JJ00,2422.0,0.0,13893.0,4.0,0.0,20.0,117.0,45.0,72.0,10.0,-1.0
347,A043948 ,E007041 ,2005JJ00,1848.0,331.0,15410.0,3.0,0.0,22.0,131.0,50.0,81.0,12.0,-1.0
348,A043948 ,E007041 ,2006JJ00,2048.0,331.0,17128.0,3.0,0.0,25.0,146.0,56.0,90.0,16.0,-1.0
349,A043948 ,E007041 ,2007JJ00,1695.0,331.0,18492.0,5.0,0.0,29.0,172.0,66.0,106.0,20.0,-1.0
350,A043948 ,E007041 ,2008JJ00,3255.0,331.0,21417.0,27.0,0.0,56.0,328.0,133.0,195.0,36.0,-2.0
351,A043948 ,E007041 ,2009JJ00,11415.0,331.0,32501.0,205.0,0.0,261.0,585.0,234.0,351.0,73.0,-2.0
352,A043948 ,E007041 ,2010JJ00,12276.0,26.0,44751.0,239.0,0.0,499.0,902.0,367.0,536.0,133.0,-1.0
353,A043948 ,E007041 ,2011JJ00,38513.0,46.0,83218.0,305.0,0.0,804.0,1263.0,526.0,737.0,215.0,1.0
354,A043948 ,E007041 ,2012JJ00,36959.0,827.0,119350.0,274.0,1.0,1077.0,1648.0,688.0,961.0,232.0,-7.0
355,A043948 ,E007041 ,2013JJ00,37486.0,1242.0,155594.0,273.0,2.0,1348.0,2102.0,872.0,1230.0,316.0,-13.0
356,A043948 ,E007041 ,2014JJ00,44028.0,474.0,199148.0,333.0,1.0,1681.0,2703.0,1111.0,1592.0,355.0,-20.0
357,A043948 ,E007041 ,2015JJ00,49176.0,273.0,248051.0,354.0,0.0,2035.0,3412.0,1393.0,2019.0,439.0,-39.0
358,A043948 ,E007041 ,2016JJ00,69797.0,949.0,316899.0,474.0,1.0,2507.0,4436.0,1800.0,2635.0,697.0,-29.0
359,A043948 ,E007041 ,2017JJ00,92470.0,3003.0,406366.0,612.0,4.0,3114.0,5899.0,2370.0,3529.0,1129.0,-17.0
360,A043948 ,E007041 ,2018JJ00,106273.0,2978.0,509661.0,700.0,4.0,3810.0,7762.0,3094.0,4668.0,1598.0,1.0
361,A043948 ,E007041 ,2019JJ00,154255.0,2422.0,661494.0,987.0,4.0,4793.0,10207.0,4039.0,6168.0,2370.0,74.0
362,A043948 ,E007041 ,2020JJ00,360401.0,1848.0,1020047.0,1888.0,3.0,6678.0,13763.0,5407.0,8357.0,3451.0,191.0
363,A043948 ,E007041 ,2021JJ00,346350.0,2048.0,1364349.0,1880.0,3.0,8555.0,17541.0,6860.0,10681.0,4401.0,244.0
364,A043948 ,E007037 ,1994JJ00,0.0,0.0,1652.0,0.0,0.0,2.0,12.0,4.0,7.0,0.0,0.0
365,A043948 ,E007037 ,1995JJ00,25.0,0.0,1677.0,0.0,0.0,2.0,12.0,5.0,7.0,0.0,0.0
366,A043948 ,E007037 ,1996JJ00,43.0,0.0,1720.0,0.0,0.0,2.0,12.0,5.0,8.0,1.0,0.0
367,A043948 ,E007037 ,1997JJ00,805.0,0.0,2525.0,1.0,0.0,3.0,19.0,7.0,11.0,2.0,0.0
368,A043948 ,E007037 ,1998JJ00,1169.0,0.0,3694.0,2.0,0.0,5.0,29.0,11.0,18.0,3.0,0.0
369,A043948 ,E007037 ,1999JJ00,474.0,0.0,4168.0,1.0,0.0,6.0,33.0,13.0,20.0,3.0,0.0
370,A043948 ,E007037 ,2000JJ00,273.0,0.0,4441.0,0.0,0.0,6.0,35.0,14.0,22.0,3.0,0.0
371,A043948 ,E007037 ,2001JJ00,949.0,0.0,5390.0,1.0,0.0,7.0,44.0,17.0,27.0,3.0,0.0
372,A043948 ,E007037 ,2002JJ00,3001.0,0.0,8391.0,4.0,0.0,12.0,70.0,27.0,43.0,5.0,-1.0
373,A043948 ,E007037 ,2003JJ00,2965.0,0.0,11356.0,4.0,0.0,16.0,95.0,37.0,58.0,7.0,-1.0
374,A043948 ,E007037 ,2004JJ00,2412.0,0.0,13768.0,4.0,0.0,20.0,116.0,45.0,71.0,10.0,-1.0
375,A043948 ,E007037 ,2005JJ00,1848.0,330.0,15286.0,3.0,0.0,22.0,130.0,50.0,80.0,11.0,-1.0
376,A043948 ,E007037 ,2006JJ00,2048.0,330.0,17003.0,3.0,0.0,24.0,145.0,56.0,89.0,16.0,-1.0
377,A043948 ,E007037 ,2007JJ00,1655.0,330.0,18328.0,2.0,0.0,27.0,157.0,60.0,97.0,18.0,-1.0
378,A043948 ,E007037 ,2008JJ00,3071.0,330.0,21068.0,10.0,0.0,36.0,215.0,83.0,132.0,22.0,-1.0
379,A043948 ,E007037 ,2009JJ00,3504.0,330.0,24242.0,13.0,0.0,49.0,271.0,104.0,167.0,33.0,-1.0
380,A043948 ,E007037 ,2010JJ00,3360.0,25.0,27577.0,20.0,0.0,68.0,338.0,135.0,202.0,49.0,0.0
381,A043948 ,E007037 ,2011JJ00,13759.0,43.0,41293.0,66.0,0.0,134.0,461.0,199.0,261.0,79.0,1.0
382,A043948 ,E007037 ,2012JJ00,14320.0,805.0,54808.0,61.0,1.0,195.0,557.0,242.0,315.0,80.0,-2.0
383,A043948 ,E007037 ,2013JJ00,14317.0,1169.0,67956.0,68.0,2.0,261.0,707.0,305.0,402.0,108.0,-4.0
384,A043948 ,E007037 ,2014JJ00,17313.0,474.0,84795.0,88.0,1.0,348.0,883.0,376.0,508.0,119.0,-6.0
385,A043948 ,E007037 ,2015JJ00,21278.0,273.0,105800.0,104.0,0.0,451.0,1097.0,458.0,639.0,143.0,-12.0
386,A043948 ,E007037 ,2016JJ00,33952.0,949.0,138803.0,172.0,1.0,622.0,1514.0,620.0,894.0,239.0,-10.0
387,A043948 ,E007037 ,2017JJ00,51245.0,3001.0,187047.0,261.0,4.0,879.0,2253.0,907.0,1346.0,431.0,-6.0
