ID,Warmtepompen,Sector,Perioden,InGebruikGenomenWarmtepompen_1,UitGebruikGenomenWarmtepompen_2,OpgesteldeWarmtepompenEindeVanJaar_3,InGebruikGenomenThermischVermogen_4,UitGebruikGenomenThermischVermogen_5,OpgesteldThermischVermogenEindeJaar_6,BrutoWarmteproductieWarmtepompen_7,VerbruikVanElektriciteitEnAardgas_8,OnttrekkingWarmteUitBodemOfLucht_9,VermedenVerbruikVanFossieleEnergie_10,VermedenEmissieKooldioxideCO2_11
22,T001364 ,E007041 ,2016JJ00,73862.0,1478.0,367843.0,559.0,12.0,3819.0,9633.0,3142.0,6491.0,3071.0,49.0
23,T001364 ,E007041 ,2017JJ00,97300.0,3906.0,461237.0,707.0,24.0,4502.0,11395.0,3785.0,7610.0,3774.0,82.0
24,T001364 ,E007041 ,2018JJ00,112777.0,3973.0,570041.0,825.0,28.0,5299.0,13659.0,4608.0,9052.0,4503.0,119.0
25,T001364 ,E007041 ,2019JJ00,166010.0,3849.0,732202.0,1147.0,53.0,6393.0,16542.0,5659.0,10883.0,5611.0,232.0
26,T001364 ,E007041 ,2020JJ00,379757.0,3993.0,1107966.0,2079.0,67.0,8405.0,20602.0,7147.0,13455.0,7042.0,393.0
27,T001364 ,E007041 ,2021JJ00,368142.0,5494.0,1470614.0,2095.0,81.0,10420.0,24924.0,8723.0,16201.0,8301.0,463.0
28,T001364 ,E007037 ,1994JJ00,0.0,0.0,1700.0,0.0,0.0,5.0,25.0,12.0,13.0,6.0,0.0
29,T001364 ,E007037 ,1995JJ00,43.0,0.0,1743.0,0.0,0.0,5.0,25.0,12.0,13.0,6.0,0.0
30,T001364 ,E007037 ,1996JJ00,109.0,0.0,1852.0,1.0,0.0,6.0,28.0,13.0,15.0,7.0,0.0
31,T001364 ,E007037 ,1997JJ00,1297.0,0.0,3149.0,4.0,0.0,10.0,47.0,18.0,29.0,14.0,0.0
32,T001364 ,E007037 ,1998JJ00,1547.0,0.0,4696.0,7.0,0.0,18.0,80.0,28.0,52.0,25.0,1.0
33,T001364 ,E007037 ,1999JJ00,753.0,0.0,5449.0,3.0,0.0,21.0,94.0,32.0,61.0,29.0,1.0
34,T001364 ,E007037 ,2000JJ00,727.0,0.0,6176.0,4.0,0.0,25.0,111.0,37.0,74.0,35.0,1.0
35,T001364 ,E007037 ,2001JJ00,1128.0,0.0,7304.0,3.0,0.0,28.0,126.0,42.0,84.0,37.0,1.0
36,T001364 ,E007037 ,2002JJ00,3518.0,0.0,10822.0,9.0,0.0,37.0,171.0,58.0,114.0,47.0,1.0
37,T001364 ,E007037 ,2003JJ00,3718.0,0.0,14540.0,12.0,0.0,49.0,227.0,75.0,152.0,62.0,1.0
38,T001364 ,E007037 ,2004JJ00,3119.0,0.0,17659.0,11.0,0.0,61.0,278.0,91.0,187.0,79.0,2.0
39,T001364 ,E007037 ,2005JJ00,3329.0,340.0,20648.0,12.0,1.0,72.0,326.0,104.0,222.0,95.0,3.0
40,T001364 ,E007037 ,2006JJ00,4613.0,340.0,24921.0,26.0,1.0,96.0,428.0,131.0,297.0,141.0,4.0
41,T001364 ,E007037 ,2007JJ00,4342.0,340.0,28923.0,25.0,1.0,120.0,527.0,157.0,371.0,183.0,6.0
