ID,BedrijfsklassenSBI2008,Perioden,TotaalBedrijfsopbrengsten_1,NettoOmzet_2,TotaalOverigeBedrijfsopbrengsten_3,Subsidies_4,NietEerderGenoemdeBedrijfsopbrengsten_5,TotaalBedrijfskosten_6,TotaalArbeidskosten_7,LonenEnSalarissen_8,Pensioenlasten_9,SocialeLasten_10,AfschrijvingenOpVasteActiva_11,TotaalOverigeBedrijfskosten_12,TotaalOverigePersoneelskosten_13,KostenUitzendkrachtenEnOverigeInleen_14,NietEerderGenoemdePersoneelskosten_15,NietEerderGenoemdeBedrijfskosten_16,Bedrijfsresultaat_17,SaldoBijzWaardevermeerderingVermind_18,FinancieelResultaat_19,VrijvalVoorzieningen_20,ToevoegingenVoorzieningen_21,SaldoVoorzieningen_22,IncidenteelResultaat_23,ResultaatVoorBelastingen_24,TotaalWerkzamePersonen_25,Werknemers_26,OverigeWerkzamePersonen_27,TotaalArbeidsjarenWerkzamePersonen_28,ArbeidsjarenWerknemers_29,ArbeidsjarenOverigeWerkzamePersonen_30,Vrijwilligers_31,TotaalBedrijvenNaarActiviteit_32,Peuteropvang_33,Kinderdagopvang_34,BuitenEnNaschoolseOpvang_35,Gastouderopvang_36,WelzijnswerkVoorOuderen_37,LokaalWelzijnswerk_38,MaatschappelijkWerk_39,OverigeActiviteiten_40,BeschikbarePlaatsen_41,GeplaatstePeuters_42,BeschikbarePlaatsen_43,GeplaatsteKinderen_44,BeschikbarePlaatsen_45,GeplaatsteKinderen_46,KindkoppelingenGastouderbureaus_47
0,427000,2008JJ00,89.0,31.0,58.0,56.0,2.0,87.0,40.0,33.0,2.0,5.0,2.0,45.0,4.0,2.0,2.0,41.0,1.0,,0.0,0.0,1.0,0.0,0.0,1.0,1550.0,1430.0,120.0,950.0,880.0,70.0,29900.0,230.0,0.0,0.0,0.0,0.0,180.0,20.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,427000,2009JJ00,90.0,33.0,58.0,53.0,5.0,88.0,40.0,32.0,3.0,5.0,2.0,46.0,4.0,2.0,2.0,42.0,2.0,,0.0,0.0,1.0,0.0,0.0,2.0,1550.0,1420.0,140.0,930.0,850.0,80.0,32620.0,240.0,0.0,0.0,0.0,0.0,170.0,30.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,427000,2010JJ00,88.0,32.0,56.0,51.0,5.0,86.0,39.0,32.0,3.0,5.0,3.0,45.0,4.0,2.0,2.0,41.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1500.0,1360.0,140.0,890.0,820.0,80.0,30110.0,220.0,0.0,0.0,0.0,0.0,150.0,20.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,427000,2011JJ00,82.0,31.0,50.0,47.0,4.0,80.0,36.0,29.0,3.0,4.0,2.0,42.0,4.0,2.0,2.0,38.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1420.0,1270.0,150.0,870.0,770.0,100.0,23750.0,210.0,0.0,0.0,0.0,0.0,140.0,20.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,427000,2012JJ00,74.0,28.0,46.0,43.0,3.0,72.0,34.0,28.0,2.0,4.0,1.0,37.0,3.0,1.0,2.0,34.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1280.0,1160.0,120.0,770.0,700.0,70.0,23030.0,220.0,0.0,0.0,0.0,0.0,150.0,20.0,10.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,427000,2013JJ00,71.0,26.0,45.0,41.0,3.0,69.0,33.0,27.0,2.0,4.0,1.0,34.0,3.0,1.0,2.0,31.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1250.0,1060.0,190.0,790.0,660.0,130.0,24440.0,300.0,0.0,0.0,0.0,0.0,210.0,30.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,427000,2014JJ00,71.0,31.0,40.0,38.0,2.0,69.0,32.0,25.0,2.0,5.0,1.0,35.0,3.0,1.0,1.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1200.0,960.0,250.0,760.0,590.0,170.0,24450.0,310.0,0.0,0.0,0.0,0.0,230.0,20.0,10.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,427000,2015JJ00,69.0,28.0,41.0,38.0,3.0,65.0,31.0,25.0,2.0,4.0,1.0,33.0,3.0,1.0,2.0,30.0,4.0,0.0,0.0,0.0,1.0,-1.0,-1.0,3.0,1280.0,930.0,350.0,790.0,540.0,250.0,26090.0,420.0,0.0,0.0,0.0,0.0,310.0,30.0,10.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,427000,2016JJ00,68.0,31.0,37.0,35.0,3.0,62.0,30.0,23.0,2.0,4.0,1.0,31.0,4.0,2.0,2.0,27.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1370.0,900.0,470.0,840.0,540.0,310.0,22910.0,470.0,0.0,0.0,0.0,0.0,350.0,20.0,10.0,90.0,,,,,,,
9,427000,2017JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
