ID,WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,Codering_3,IndelingswijzigingWijkenEnBuurten_4,AantalInstallatiesBijWoningen_5,OpgesteldVermogenVanZonnepanelen_6
0,NL00      ,Nederland                               ,Land      ,NL00      ,.,1611689.0,5843084.0
1,GM1680    ,Aa en Hunze                             ,Gemeente  ,GM1680    ,.,3900.0,16488.0
2,WK168000  ,Aa en Hunze                             ,Wijk      ,WK168000  ,1,626.0,2483.0
3,BU16800000,Aa en Hunze                             ,Buurt     ,BU16800000,1,610.0,2405.0
4,BU16800009,Aa en Hunze                             ,Buurt     ,BU16800009,1,16.0,78.0
5,WK168001  ,Aa en Hunze                             ,Wijk      ,WK168001  ,1,210.0,846.0
6,BU16800100,Aa en Hunze                             ,Buurt     ,BU16800100,1,192.0,756.0
7,BU16800109,Aa en Hunze                             ,Buurt     ,BU16800109,1,18.0,91.0
8,WK168002  ,Aa en Hunze                             ,Wijk      ,WK168002  ,1,60.0,262.0
9,BU16800200,Aa en Hunze                             ,Buurt     ,BU16800200,1,50.0,216.0
10,BU16800209,Aa en Hunze                             ,Buurt     ,BU16800209,1,10.0,46.0
11,WK168003  ,Aa en Hunze                             ,Wijk      ,WK168003  ,1,75.0,361.0
12,BU16800300,Aa en Hunze                             ,Buurt     ,BU16800300,1,,
13,BU16800309,Aa en Hunze                             ,Buurt     ,BU16800309,1,,
14,WK168004  ,Aa en Hunze                             ,Wijk      ,WK168004  ,1,35.0,161.0
15,BU16800400,Aa en Hunze                             ,Buurt     ,BU16800400,1,30.0,136.0
16,BU16800409,Aa en Hunze                             ,Buurt     ,BU16800409,1,5.0,26.0
17,WK168005  ,Aa en Hunze                             ,Wijk      ,WK168005  ,1,107.0,480.0
18,BU16800500,Aa en Hunze                             ,Buurt     ,BU16800500,1,102.0,458.0
19,BU16800509,Aa en Hunze                             ,Buurt     ,BU16800509,1,5.0,22.0
20,WK168006  ,Aa en Hunze                             ,Wijk      ,WK168006  ,1,93.0,421.0
21,BU16800600,Aa en Hunze                             ,Buurt     ,BU16800600,1,89.0,403.0
22,BU16800609,Aa en Hunze                             ,Buurt     ,BU16800609,1,4.0,18.0
23,WK168007  ,Aa en Hunze                             ,Wijk      ,WK168007  ,1,29.0,112.0
24,BU16800700,Aa en Hunze                             ,Buurt     ,BU16800700,1,29.0,112.0
25,BU16800709,Aa en Hunze                             ,Buurt     ,BU16800709,1,0.0,0.0
26,WK168008  ,Aa en Hunze                             ,Wijk      ,WK168008  ,1,24.0,95.0
27,BU16800800,Aa en Hunze                             ,Buurt     ,BU16800800,1,21.0,87.0
28,BU16800809,Aa en Hunze                             ,Buurt     ,BU16800809,1,3.0,8.0
29,WK168009  ,Aa en Hunze                             ,Wijk      ,WK168009  ,1,19.0,102.0
30,BU16800900,Aa en Hunze                             ,Buurt     ,BU16800900,1,19.0,102.0
31,BU16800909,Aa en Hunze                             ,Buurt     ,BU16800909,1,0.0,0.0
32,WK168011  ,Aa en Hunze                             ,Wijk      ,WK168011  ,1,53.0,220.0
33,BU16801100,Aa en Hunze                             ,Buurt     ,BU16801100,1,53.0,220.0
34,BU16801109,Aa en Hunze                             ,Buurt     ,BU16801109,1,0.0,0.0
35,WK168012  ,Aa en Hunze                             ,Wijk      ,WK168012  ,1,46.0,169.0
36,BU16801200,Aa en Hunze                             ,Buurt     ,BU16801200,1,46.0,169.0
37,BU16801209,Aa en Hunze                             ,Buurt     ,BU16801209,1,0.0,0.0
38,WK168013  ,Aa en Hunze                             ,Wijk      ,WK168013  ,1,14.0,71.0
39,BU16801300,Aa en Hunze                             ,Buurt     ,BU16801300,1,9.0,37.0
40,BU16801309,Aa en Hunze                             ,Buurt     ,BU16801309,1,5.0,34.0
41,WK168014  ,Aa en Hunze                             ,Wijk      ,WK168014  ,1,247.0,1059.0
42,BU16801400,Aa en Hunze                             ,Buurt     ,BU16801400,1,219.0,916.0
43,BU16801401,Aa en Hunze                             ,Buurt     ,BU16801401,1,19.0,99.0
44,BU16801409,Aa en Hunze                             ,Buurt     ,BU16801409,1,9.0,44.0
45,WK168015  ,Aa en Hunze                             ,Wijk      ,WK168015  ,1,264.0,1001.0
46,BU16801500,Aa en Hunze                             ,Buurt     ,BU16801500,1,259.0,968.0
47,BU16801501,Aa en Hunze                             ,Buurt     ,BU16801501,1,5.0,32.0
48,BU16801509,Aa en Hunze                             ,Buurt     ,BU16801509,1,0.0,0.0
49,WK168016  ,Aa en Hunze                             ,Wijk      ,WK168016  ,1,91.0,391.0
50,BU16801600,Aa en Hunze                             ,Buurt     ,BU16801600,1,86.0,363.0
51,BU16801601,Aa en Hunze                             ,Buurt     ,BU16801601,1,,
52,BU16801609,Aa en Hunze                             ,Buurt     ,BU16801609,1,,
53,WK168017  ,Aa en Hunze                             ,Wijk      ,WK168017  ,1,739.0,2936.0
54,BU16801700,Aa en Hunze                             ,Buurt     ,BU16801700,1,711.0,2741.0
55,BU16801709,Aa en Hunze                             ,Buurt     ,BU16801709,1,28.0,196.0
56,WK168018  ,Aa en Hunze                             ,Wijk      ,WK168018  ,1,171.0,821.0
57,BU16801800,Aa en Hunze                             ,Buurt     ,BU16801800,1,97.0,405.0
58,BU16801801,Aa en Hunze                             ,Buurt     ,BU16801801,1,9.0,61.0
59,BU16801802,Aa en Hunze                             ,Buurt     ,BU16801802,1,32.0,167.0
60,BU16801809,Aa en Hunze                             ,Buurt     ,BU16801809,1,33.0,187.0
61,WK168019  ,Aa en Hunze                             ,Wijk      ,WK168019  ,1,821.0,3565.0
62,BU16801900,Aa en Hunze                             ,Buurt     ,BU16801900,1,617.0,2463.0
63,BU16801901,Aa en Hunze                             ,Buurt     ,BU16801901,1,20.0,111.0
64,BU16801902,Aa en Hunze                             ,Buurt     ,BU16801902,1,9.0,51.0
65,BU16801903,Aa en Hunze                             ,Buurt     ,BU16801903,1,10.0,71.0
66,BU16801908,Aa en Hunze                             ,Buurt     ,BU16801908,1,144.0,749.0
67,BU16801909,Aa en Hunze                             ,Buurt     ,BU16801909,1,21.0,121.0
68,WK168020  ,Aa en Hunze                             ,Wijk      ,WK168020  ,1,116.0,570.0
69,BU16802000,Aa en Hunze                             ,Buurt     ,BU16802000,1,81.0,376.0
70,BU16802001,Aa en Hunze                             ,Buurt     ,BU16802001,1,17.0,73.0
71,BU16802008,Aa en Hunze                             ,Buurt     ,BU16802008,1,,
72,BU16802009,Aa en Hunze                             ,Buurt     ,BU16802009,1,,
73,WK168021  ,Aa en Hunze                             ,Wijk      ,WK168021  ,1,60.0,361.0
74,BU16802100,Aa en Hunze                             ,Buurt     ,BU16802100,1,38.0,224.0
75,BU16802101,Aa en Hunze                             ,Buurt     ,BU16802101,1,9.0,65.0
76,BU16802109,Aa en Hunze                             ,Buurt     ,BU16802109,1,13.0,72.0
77,GM0358    ,Aalsmeer                                ,Gemeente  ,GM0358    ,.,2849.0,10676.0
78,WK035800  ,Aalsmeer                                ,Wijk      ,WK035800  ,1,1013.0,3762.0
79,BU03580000,Aalsmeer                                ,Buurt     ,BU03580000,1,224.0,916.0
80,BU03580001,Aalsmeer                                ,Buurt     ,BU03580001,1,520.0,1777.0
81,BU03580004,Aalsmeer                                ,Buurt     ,BU03580004,1,202.0,713.0
82,BU03580005,Aalsmeer                                ,Buurt     ,BU03580005,1,67.0,356.0
83,WK035801  ,Aalsmeer                                ,Wijk      ,WK035801  ,1,841.0,2966.0
