ID,Geslacht,Leeftijd,Cijfersoort,Perioden,LVInAlsGoedErvarenGezondheid_1,LVZonderMatigeEnErnstigeBeperkingen_2,LVZonderErnstigeBeperkingen_3,LVZonderLichteMatigeErnstigeBep_4,LVZonderChronischeZiektes_5,LVZonderChrZiekExclHogeBloeddruk_6,LVInGoedeGeestelijkeGezondheid_7
27,1,14,2,2001G300 ,0.2,0.2,0.2,0.3,0.3,0.3,0.2
28,1,14,2,2004G300 ,0.2,0.2,0.2,0.3,0.3,0.3,0.2
29,1,14,2,2007G300 ,0.3,0.2,0.2,0.3,0.3,0.3,0.2
30,1,15,1,2001G300 ,44.0,50.0,53.1,36.7,32.1,34.8,52.2
31,1,15,1,2004G300 ,44.7,50.7,54.1,36.4,31.0,33.7,53.5
32,1,15,1,2007G300 ,46.3,51.7,55.4,36.6,31.2,34.7,54.5
33,1,15,2,2001G300 ,0.2,0.2,0.2,0.3,0.3,0.3,0.2
34,1,15,2,2004G300 ,0.2,0.2,0.2,0.3,0.3,0.3,0.2
35,1,15,2,2007G300 ,0.3,0.2,0.2,0.3,0.3,0.3,0.2
36,1,16,1,2001G300 ,39.6,45.2,48.3,32.3,28.2,30.9,47.6
37,1,16,1,2004G300 ,40.2,46.0,49.2,32.0,27.0,29.7,48.9
38,1,16,1,2007G300 ,41.9,47.0,50.6,32.3,27.3,30.7,49.9
39,1,16,2,2001G300 ,0.1,0.2,0.2,0.3,0.3,0.3,0.2
40,1,16,2,2004G300 ,0.2,0.2,0.2,0.3,0.3,0.3,0.2
41,1,16,2,2007G300 ,0.2,0.2,0.2,0.3,0.3,0.3,0.2
42,1,17,1,2001G300 ,35.1,40.4,43.5,28.0,24.3,27.0,43.1
43,1,17,1,2004G300 ,35.7,41.2,44.4,27.7,23.2,25.8,44.4
44,1,17,1,2007G300 ,37.4,42.1,45.7,28.1,23.4,26.8,45.4
45,1,17,2,2001G300 ,0.1,0.2,0.2,0.3,0.3,0.3,0.2
46,1,17,2,2004G300 ,0.2,0.2,0.2,0.3,0.3,0.3,0.2
47,1,17,2,2007G300 ,0.2,0.2,0.2,0.3,0.3,0.3,0.2
48,1,18,1,2001G300 ,30.7,35.6,38.7,23.7,20.6,23.2,38.6
49,1,18,1,2004G300 ,31.3,36.4,39.6,23.4,19.7,22.2,39.9
50,1,18,1,2007G300 ,33.0,37.3,40.9,23.8,19.6,22.9,40.8
51,1,18,2,2001G300 ,0.1,0.2,0.2,0.3,0.3,0.3,0.2
52,1,18,2,2004G300 ,0.2,0.2,0.2,0.2,0.2,0.3,0.2
53,1,18,2,2007G300 ,0.2,0.2,0.2,0.3,0.3,0.3,0.2
54,1,19,1,2001G300 ,26.5,31.0,33.9,19.5,17.1,19.5,34.1
55,1,19,1,2004G300 ,27.1,31.7,34.8,19.3,16.4,18.8,35.5
56,1,19,1,2007G300 ,28.7,32.7,36.1,19.8,16.1,19.3,36.3
57,1,19,2,2001G300 ,0.1,0.2,0.2,0.3,0.3,0.3,0.2
58,1,19,2,2004G300 ,0.2,0.2,0.2,0.2,0.2,0.2,0.1
59,1,19,2,2007G300 ,0.2,0.2,0.2,0.3,0.3,0.3,0.2
60,1,20,1,2001G300 ,22.4,26.5,29.3,15.8,13.9,16.2,29.7
