ID,IndicatieWelNietJeugdwet,RegioS,Perioden,JongerenMetAWBZIndicatieInJaar_1
120,1000,CR14  ,2011JJ00,3165.0
121,1000,CR14  ,2012JJ00,2880.0
122,1000,CR14  ,2013JJ00,2715.0
123,1000,CR14  ,2014JJ00,2565.0
124,1000,CR15  ,2011JJ00,3925.0
125,1000,CR15  ,2012JJ00,3590.0
126,1000,CR15  ,2013JJ00,3435.0
127,1000,CR15  ,2014JJ00,3310.0
128,1000,CR16  ,2011JJ00,1430.0
129,1000,CR16  ,2012JJ00,1300.0
130,1000,CR16  ,2013JJ00,1185.0
131,1000,CR16  ,2014JJ00,1135.0
132,1000,CR17  ,2011JJ00,6015.0
133,1000,CR17  ,2012JJ00,5435.0
134,1000,CR17  ,2013JJ00,5050.0
135,1000,CR17  ,2014JJ00,4655.0
136,1000,CR18  ,2011JJ00,1940.0
137,1000,CR18  ,2012JJ00,1770.0
138,1000,CR18  ,2013JJ00,1660.0
139,1000,CR18  ,2014JJ00,1580.0
140,1000,CR19  ,2011JJ00,1120.0
141,1000,CR19  ,2012JJ00,1020.0
142,1000,CR19  ,2013JJ00,965.0
143,1000,CR19  ,2014JJ00,960.0
144,1000,CR20  ,2011JJ00,865.0
145,1000,CR20  ,2012JJ00,760.0
146,1000,CR20  ,2013JJ00,695.0
147,1000,CR20  ,2014JJ00,640.0
148,1000,CR21  ,2011JJ00,800.0
149,1000,CR21  ,2012JJ00,700.0
150,1000,CR21  ,2013JJ00,665.0
151,1000,CR21  ,2014JJ00,655.0
152,1000,CR22  ,2011JJ00,880.0
153,1000,CR22  ,2012JJ00,805.0
154,1000,CR22  ,2013JJ00,735.0
155,1000,CR22  ,2014JJ00,695.0
156,1000,CR23  ,2011JJ00,5130.0
157,1000,CR23  ,2012JJ00,4705.0
158,1000,CR23  ,2013JJ00,4415.0
159,1000,CR23  ,2014JJ00,4270.0
160,1000,CR24  ,2011JJ00,1090.0
161,1000,CR24  ,2012JJ00,1010.0
162,1000,CR24  ,2013JJ00,935.0
163,1000,CR24  ,2014JJ00,895.0
164,1000,CR25  ,2011JJ00,1825.0
165,1000,CR25  ,2012JJ00,1600.0
