ID,Prijscomponenten,Belastingen,Perioden,MinderDan569M3_1,k_569Tot5687M3_2,k_5687M3EnMeer_3,MinderDan28433M3_4,k_28433Tot284333M3_5,k_284333Tot2843332M3_6,k_2843332Tot28433324M3_7,k_28433324M3EnMeer_8,MinderDan1MWh_9,k_1Tot25MWh_10,k_25Tot5MWh_11,k_5Tot15MWh_12,k_15MWhEnMeer_13,MinderDan20MWh_14,k_20Tot500MWh_15,k_500Tot2000MWh_16,k_2000Tot20000MWh_17,k_20000Tot70000MWh_18,k_70000Tot150000MWh_19,k_150000MWhEnMeer_20
17,A047656,A047659,2014JJ00,1.234,0.858,0.71,0.736,0.749,0.461,0.336,0.289,-0.117,0.15,0.189,0.207,0.181,0.279,0.174,0.119,0.102,0.073,0.071,0.06
18,A047656,A047659,2015HJ01,1.124,0.815,0.686,0.715,0.717,0.475,0.356,0.29,-0.005,0.173,0.201,0.212,0.208,0.264,0.191,0.118,0.1,0.075,0.07,0.064
19,A047656,A047659,2015HJ02,1.38,0.881,0.678,0.731,0.759,0.399,0.308,0.256,-0.073,0.153,0.187,0.203,0.144,0.259,0.146,0.111,0.098,0.066,0.066,0.061
20,A047656,A047659,2015JJ00,1.225,0.841,0.678,0.722,0.735,0.448,0.335,0.274,-0.038,0.163,0.195,0.208,0.163,0.261,0.169,0.114,0.099,0.07,0.068,0.062
21,A047656,A047659,2016HJ01,1.105,0.817,0.699,0.736,0.723,0.46,0.296,0.205,-0.056,0.144,0.171,0.182,0.189,0.239,0.191,0.116,0.095,0.068,0.064,0.056
22,A047656,A047659,2016HJ02,1.282,0.857,0.69,0.749,0.722,0.349,0.277,0.209,-0.048,0.143,0.169,0.18,0.148,0.231,0.147,0.109,0.095,0.06,0.061,0.057
23,A047656,A047659,2016JJ00,1.176,0.833,0.696,0.741,0.723,0.416,0.288,0.207,-0.052,0.144,0.17,0.181,0.168,0.235,0.169,0.113,0.095,0.064,0.062,0.056
24,A047656,A047659,2017HJ01,1.09,0.793,0.655,0.715,0.7,0.439,0.292,0.234,-0.087,0.127,0.16,0.176,0.181,0.234,0.182,0.105,0.089,0.066,0.059,0.053
25,A047656,A047659,2017HJ02,1.318,0.871,0.675,0.734,0.703,0.328,0.261,0.225,-0.092,0.125,0.159,0.175,0.143,0.239,0.13,0.098,0.087,0.054,0.054,0.052
26,A047656,A047659,2017JJ00,1.181,0.824,0.663,0.721,0.702,0.389,0.277,0.229,-0.09,0.126,0.159,0.175,0.162,0.236,0.157,0.101,0.088,0.06,0.056,0.052
27,A047656,A047659,2018HJ01,1.166,0.849,0.714,0.722,0.727,0.462,0.304,0.259,-0.016,0.157,0.18,0.191,0.198,0.206,0.191,0.11,0.091,0.069,0.06,0.053
28,A047656,A047659,2018HJ02,1.443,0.933,0.719,0.771,0.73,0.364,0.288,0.297,-0.046,0.153,0.18,0.194,0.162,0.24,0.147,0.104,0.094,0.061,0.063,0.058
29,A047656,A047659,2018JJ00,1.277,0.883,0.716,0.741,0.728,0.419,0.297,0.287,-0.032,0.155,0.18,0.192,0.18,0.213,0.169,0.107,0.093,0.065,0.062,0.056
30,A047656,A047659,2019HJ01,1.268,0.945,0.822,0.833,0.804,0.466,0.303,0.255,0.098,0.201,0.207,0.214,0.221,0.251,0.184,0.121,0.105,0.077,0.071,0.061
31,A047656,A047659,2019HJ02,1.497,1.01,0.813,0.838,0.761,0.348,0.242,0.181,0.113,0.201,0.206,0.213,0.191,0.232,0.148,0.116,0.104,0.064,0.063,0.059
32,A047656,A047659,2019JJ00,1.364,0.971,0.818,0.834,0.782,0.417,0.274,0.225,0.105,0.201,0.206,0.213,0.206,0.241,0.166,0.118,0.105,0.07,0.067,0.06
33,A047656,A047659,2020HJ01,1.351,1.016,0.88,0.897,0.856,0.47,0.279,0.214,-0.207,0.079,0.144,0.188,0.218,0.269,0.196,0.136,0.12,0.082,0.073,0.064
34,A047656,A047659,2020HJ02,1.576,1.059,0.853,0.89,0.876,0.339,0.248,0.209,-0.248,0.066,0.136,0.182,0.187,0.269,0.158,0.132,0.12,0.067,0.069,0.062
35,A047656,A047659,2020JJ00,1.44,1.032,0.869,0.888,0.865,0.396,0.265,0.212,-0.226,0.073,0.14,0.185,0.203,0.269,0.172,0.133,0.12,0.076,0.072,0.063
36,A047656,A047659,2021HJ01,1.312,0.982,0.841,0.878,0.869,0.493,0.324,0.291,-0.246,0.06,0.129,0.178,0.212,0.274,0.203,0.143,0.128,0.089,0.072,0.067
37,A047656,A047659,2021HJ02,1.667,1.14,0.932,0.946,0.951,0.536,0.497,0.6,-0.244,0.074,0.144,0.193,0.204,0.282,0.18,0.157,0.154,0.095,0.083,0.112
38,A047656,A047659,2021JJ00,1.447,1.043,0.877,0.906,0.907,0.514,0.4,0.426,-0.245,0.066,0.137,0.185,0.208,0.278,0.191,0.15,0.142,0.092,0.077,0.09
39,A047656,A047659,2022HJ01,1.619,1.306,1.173,1.207,1.121,0.91,0.753,0.95,-0.665,-0.103,0.048,0.148,0.231,0.246,0.256,0.215,0.21,0.176,0.162,0.169
40,A047656,A047659,2022HJ02,2.177,2.003,1.705,1.712,1.162,0.731,0.796,1.182,-0.453,0.026,0.165,0.257,0.351,0.343,0.248,0.203,0.228,0.168,0.161,0.179
41,A047656,A047659,2022JJ00,1.86,1.569,1.354,1.368,1.137,0.838,0.77,1.045,-0.552,-0.038,0.106,0.201,0.289,0.299,0.252,0.208,0.219,0.172,0.162,0.174
42,A047656,A047659,2023HJ01,2.019,1.957,2.126,1.889,1.654,1.032,0.95,0.812,0.014,0.263,0.371,0.476,0.576,0.587,0.374,0.296,0.3,0.25,0.269,0.246
43,A047656,A047659,2023HJ02,2.067,1.587,1.36,1.527,1.533,0.768,0.703,0.544,0.007,0.201,0.263,0.307,0.325,0.442,0.31,0.263,0.274,0.202,0.272,0.221
44,A047656,A047659,2023JJ00,2.035,1.811,1.804,1.723,1.606,0.926,0.833,0.675,0.011,0.231,0.316,0.389,0.45,0.515,0.343,0.279,0.287,0.224,0.27,0.232
45,A047656,A047659,2024HJ01,1.946,1.609,1.418,1.541,1.484,0.891,0.724,0.54,-0.046,0.191,0.252,0.292,0.335,0.456,0.339,0.253,0.232,0.181,0.209,0.139
46,A047656,A047659,2024HJ02,2.184,1.659,1.396,1.589,1.519,0.75,0.642,0.423,-0.117,0.154,0.214,0.247,0.281,0.443,0.31,0.255,0.233,0.157,0.18,0.127
47,A047656,A047659,2024JJ00,2.044,1.628,1.41,1.56,1.499,0.825,0.689,0.487,-0.085,0.172,0.233,0.27,0.311,0.45,0.325,0.254,0.233,0.169,0.194,0.132
48,A047656,A047659,2025HJ01,1.942,1.58,1.351,1.475,1.427,0.992,0.799,0.639,0.059,0.199,0.234,0.252,0.288,0.443,0.321,0.248,0.219,0.162,0.158,0.11
49,A047656,A047660,2009HJ01,0.926,0.715,0.607,0.633,0.598,0.391,0.312,0.228,-0.02,0.155,0.179,0.189,0.187,0.247,0.176,0.119,0.102,0.085,0.084,0.063
50,A047656,A047660,2009HJ02,0.939,0.633,0.482,0.521,0.551,0.346,0.269,0.193,-0.036,0.147,0.172,0.183,0.142,0.245,0.143,0.114,0.1,0.077,0.076,0.056
51,A047656,A047660,2009JJ00,0.929,0.679,0.552,0.594,0.581,0.371,0.29,0.209,-0.028,0.151,0.175,0.186,0.165,0.246,0.159,0.116,0.101,0.081,0.08,0.059
52,A047656,A047660,2010HJ01,0.814,0.602,0.5,0.526,0.5,0.333,0.247,0.187,-0.079,0.123,0.155,0.17,0.166,0.23,0.161,0.106,0.09,0.07,0.069,0.059
53,A047656,A047660,2010HJ02,0.959,0.667,0.516,0.529,0.536,0.31,0.249,0.209,-0.074,0.126,0.156,0.17,0.125,0.219,0.126,0.101,0.09,0.066,0.069,0.06
54,A047656,A047660,2010JJ00,0.873,0.628,0.506,0.529,0.515,0.323,0.247,0.198,-0.077,0.124,0.155,0.17,0.148,0.225,0.143,0.103,0.09,0.068,0.069,0.06
55,A047656,A047660,2011HJ01,0.793,0.595,0.524,0.518,0.509,0.353,0.266,0.236,-0.091,0.118,0.151,0.166,0.164,0.205,0.152,0.101,0.086,0.067,0.066,0.06
56,A047656,A047660,2011HJ02,0.991,0.695,0.574,0.571,0.552,0.32,0.259,0.244,-0.091,0.118,0.152,0.167,0.124,0.203,0.119,0.097,0.086,0.063,0.068,0.061
57,A047656,A047660,2011JJ00,0.873,0.636,0.544,0.54,0.529,0.338,0.262,0.24,-0.091,0.118,0.151,0.167,0.144,0.204,0.135,0.099,0.086,0.065,0.067,0.06
58,A047656,A047660,2012HJ01,0.868,0.652,0.559,0.575,0.543,0.373,0.285,0.26,-0.122,0.109,0.148,0.166,0.167,0.199,0.153,0.098,0.083,0.065,0.064,0.055
59,A047656,A047660,2012HJ02,1.07,0.751,0.598,0.62,0.56,0.345,0.288,0.266,-0.149,0.101,0.144,0.164,0.122,0.196,0.117,0.097,0.085,0.063,0.063,0.059
60,A047656,A047660,2012JJ00,0.949,0.691,0.574,0.591,0.551,0.359,0.287,0.264,-0.135,0.105,0.146,0.165,0.145,0.198,0.135,0.098,0.084,0.064,0.063,0.057
61,A047656,A047660,2013HJ01,0.92,0.695,0.619,0.603,0.596,0.417,0.307,0.278,-0.06,0.135,0.162,0.173,0.17,0.224,0.166,0.1,0.088,0.068,0.065,0.06
62,A047656,A047660,2013HJ02,1.122,0.758,0.616,0.627,0.63,0.354,0.292,0.275,-0.08,0.13,0.159,0.172,0.126,0.23,0.13,0.099,0.086,0.065,0.065,0.059
63,A047656,A047660,2013JJ00,0.998,0.72,0.618,0.613,0.611,0.392,0.302,0.278,-0.07,0.133,0.16,0.173,0.149,0.227,0.147,0.099,0.087,0.066,0.065,0.059
64,A047656,A047660,2014HJ01,0.949,0.684,0.583,0.6,0.609,0.411,0.295,0.257,-0.091,0.127,0.159,0.172,0.175,0.233,0.163,0.102,0.086,0.064,0.06,0.049
65,A047656,A047660,2014HJ02,1.121,0.745,0.595,0.621,0.631,0.342,0.26,0.222,-0.103,0.121,0.155,0.169,0.123,0.227,0.126,0.096,0.083,0.057,0.057,0.049
66,A047656,A047660,2014JJ00,1.02,0.708,0.588,0.609,0.619,0.381,0.278,0.24,-0.097,0.124,0.157,0.171,0.15,0.23,0.144,0.099,0.085,0.061,0.059,0.049
67,A047656,A047660,2015HJ01,0.929,0.674,0.566,0.591,0.592,0.392,0.294,0.24,-0.004,0.143,0.166,0.175,0.171,0.218,0.157,0.097,0.082,0.061,0.057,0.052
68,A047656,A047660,2015HJ02,1.141,0.728,0.561,0.605,0.627,0.33,0.254,0.211,-0.06,0.127,0.155,0.168,0.118,0.214,0.12,0.091,0.081,0.054,0.054,0.05
69,A047656,A047660,2015JJ00,1.012,0.695,0.561,0.596,0.607,0.371,0.276,0.226,-0.031,0.135,0.161,0.172,0.134,0.216,0.139,0.094,0.082,0.058,0.055,0.051
70,A047656,A047660,2016HJ01,0.913,0.676,0.578,0.608,0.598,0.379,0.245,0.169,-0.047,0.119,0.141,0.15,0.156,0.198,0.158,0.096,0.079,0.056,0.053,0.046
71,A047656,A047660,2016HJ02,1.059,0.708,0.571,0.62,0.597,0.289,0.229,0.172,-0.04,0.118,0.139,0.148,0.122,0.191,0.122,0.09,0.078,0.05,0.051,0.047
72,A047656,A047660,2016JJ00,0.972,0.688,0.575,0.612,0.598,0.344,0.237,0.171,-0.043,0.118,0.14,0.149,0.139,0.194,0.141,0.093,0.079,0.053,0.052,0.046
73,A047656,A047660,2017HJ01,0.901,0.655,0.541,0.59,0.578,0.362,0.24,0.194,-0.072,0.105,0.133,0.146,0.15,0.193,0.151,0.087,0.074,0.055,0.049,0.044
74,A047656,A047660,2017HJ02,1.089,0.72,0.559,0.607,0.581,0.271,0.216,0.186,-0.076,0.103,0.132,0.145,0.118,0.198,0.108,0.081,0.072,0.045,0.045,0.043
75,A047656,A047660,2017JJ00,0.976,0.681,0.548,0.597,0.58,0.322,0.229,0.19,-0.074,0.104,0.132,0.146,0.134,0.195,0.13,0.084,0.073,0.05,0.046,0.043
76,A047656,A047660,2018HJ01,0.963,0.701,0.59,0.596,0.6,0.381,0.252,0.214,-0.014,0.129,0.149,0.158,0.163,0.171,0.158,0.091,0.076,0.057,0.05,0.044
77,A047656,A047660,2018HJ02,1.192,0.771,0.594,0.636,0.603,0.3,0.238,0.245,-0.039,0.126,0.149,0.16,0.134,0.198,0.122,0.086,0.078,0.051,0.052,0.048
78,A047656,A047660,2018JJ00,1.054,0.729,0.592,0.612,0.601,0.345,0.245,0.237,-0.027,0.127,0.149,0.159,0.149,0.176,0.14,0.088,0.077,0.054,0.051,0.046
79,A047656,A047660,2019HJ01,1.049,0.78,0.679,0.689,0.665,0.385,0.251,0.211,0.081,0.166,0.171,0.177,0.183,0.208,0.152,0.099,0.087,0.064,0.059,0.051
80,A047656,A047660,2019HJ02,1.238,0.834,0.672,0.692,0.629,0.288,0.2,0.15,0.093,0.166,0.17,0.176,0.158,0.192,0.122,0.095,0.087,0.053,0.052,0.049
81,A047656,A047660,2019JJ00,1.127,0.802,0.676,0.689,0.647,0.345,0.227,0.186,0.087,0.166,0.171,0.176,0.17,0.2,0.137,0.097,0.087,0.058,0.055,0.05
82,A047656,A047660,2020HJ01,1.117,0.839,0.727,0.741,0.708,0.388,0.23,0.177,-0.171,0.066,0.119,0.156,0.18,0.222,0.162,0.113,0.099,0.068,0.061,0.053
83,A047656,A047660,2020HJ02,1.303,0.875,0.705,0.736,0.724,0.28,0.205,0.173,-0.205,0.055,0.112,0.15,0.155,0.222,0.131,0.109,0.099,0.056,0.057,0.052
84,A047656,A047660,2020JJ00,1.19,0.853,0.718,0.734,0.715,0.327,0.219,0.175,-0.187,0.061,0.115,0.153,0.168,0.222,0.142,0.11,0.099,0.063,0.059,0.052
85,A047656,A047660,2021HJ01,1.084,0.812,0.695,0.726,0.718,0.407,0.267,0.24,-0.203,0.049,0.107,0.147,0.176,0.226,0.168,0.118,0.106,0.073,0.059,0.055
86,A047656,A047660,2021HJ02,1.377,0.942,0.771,0.782,0.786,0.443,0.411,0.496,-0.201,0.061,0.119,0.159,0.168,0.233,0.148,0.13,0.128,0.079,0.069,0.093
87,A047656,A047660,2021JJ00,1.196,0.862,0.725,0.749,0.75,0.424,0.33,0.352,-0.202,0.055,0.113,0.153,0.172,0.23,0.158,0.124,0.117,0.076,0.064,0.075
88,A047656,A047660,2022HJ01,1.338,1.079,0.969,0.998,0.927,0.752,0.622,0.786,-0.55,-0.085,0.04,0.122,0.191,0.203,0.212,0.177,0.173,0.145,0.134,0.139
89,A047656,A047660,2022HJ02,1.997,1.838,1.564,1.571,1.066,0.671,0.73,1.084,-0.416,0.024,0.151,0.236,0.322,0.315,0.228,0.186,0.209,0.154,0.147,0.164
90,A047656,A047660,2022JJ00,1.623,1.366,1.172,1.18,0.979,0.72,0.665,0.907,-0.479,-0.03,0.095,0.177,0.254,0.264,0.22,0.182,0.192,0.15,0.141,0.152
91,A047656,A047660,2023HJ01,1.669,1.618,1.758,1.561,1.367,0.853,0.785,0.671,0.011,0.218,0.307,0.394,0.477,0.485,0.309,0.245,0.248,0.206,0.222,0.203
92,A047656,A047660,2023HJ02,1.708,1.312,1.124,1.262,1.267,0.634,0.581,0.45,0.006,0.166,0.218,0.254,0.268,0.365,0.256,0.218,0.226,0.167,0.224,0.183
93,A047656,A047660,2023JJ00,1.681,1.496,1.491,1.424,1.327,0.765,0.688,0.558,0.009,0.191,0.262,0.322,0.372,0.426,0.284,0.231,0.237,0.185,0.223,0.192
94,A047656,A047660,2024HJ01,1.608,1.33,1.172,1.273,1.226,0.736,0.598,0.446,-0.038,0.158,0.209,0.241,0.277,0.377,0.28,0.209,0.192,0.149,0.173,0.115
95,A047656,A047660,2024HJ02,1.805,1.371,1.154,1.313,1.255,0.62,0.531,0.35,-0.097,0.128,0.177,0.204,0.232,0.366,0.256,0.211,0.192,0.13,0.149,0.105
96,A047656,A047660,2024JJ00,1.689,1.346,1.166,1.29,1.239,0.682,0.57,0.402,-0.071,0.142,0.193,0.223,0.257,0.372,0.268,0.21,0.192,0.14,0.161,0.109
97,A047656,A047660,2025HJ01,1.605,1.306,1.116,1.219,1.179,0.82,0.66,0.528,0.049,0.165,0.194,0.208,0.238,0.366,0.265,0.205,0.181,0.133,0.131,0.091
98,A047656,A047661,2009HJ01,0.768,0.557,0.457,0.476,0.457,0.315,0.282,0.219,0.414,0.224,0.16,0.125,0.117,0.191,0.129,0.104,0.091,0.078,0.081,0.062
99,A047656,A047661,2009HJ02,0.781,0.475,0.344,0.375,0.42,0.308,0.257,0.185,0.409,0.219,0.154,0.12,0.112,0.185,0.128,0.104,0.09,0.077,0.075,0.056
100,A047656,A047661,2009JJ00,0.771,0.521,0.407,0.441,0.444,0.312,0.269,0.201,0.411,0.222,0.157,0.122,0.114,0.188,0.128,0.104,0.09,0.078,0.078,0.058
101,A047656,A047661,2010HJ01,0.651,0.439,0.346,0.364,0.356,0.254,0.22,0.177,0.361,0.192,0.135,0.104,0.094,0.165,0.114,0.091,0.079,0.064,0.066,0.057
102,A047656,A047661,2010HJ02,0.796,0.504,0.375,0.385,0.398,0.273,0.237,0.201,0.362,0.192,0.134,0.103,0.093,0.168,0.112,0.091,0.079,0.065,0.068,0.06
103,A047656,A047661,2010JJ00,0.71,0.465,0.357,0.373,0.374,0.263,0.228,0.189,0.361,0.192,0.134,0.103,0.094,0.167,0.113,0.091,0.079,0.065,0.067,0.059
104,A047656,A047661,2011HJ01,0.629,0.431,0.362,0.355,0.364,0.267,0.239,0.227,0.352,0.186,0.13,0.1,0.09,0.158,0.108,0.086,0.075,0.061,0.063,0.058
105,A047656,A047661,2011HJ02,0.827,0.531,0.431,0.417,0.41,0.284,0.247,0.236,0.354,0.187,0.131,0.101,0.092,0.162,0.109,0.086,0.076,0.062,0.067,0.06
106,A047656,A047661,2011JJ00,0.71,0.472,0.39,0.38,0.385,0.274,0.242,0.231,0.353,0.187,0.13,0.1,0.091,0.16,0.109,0.086,0.075,0.062,0.065,0.059
107,A047656,A047661,2012HJ01,0.701,0.485,0.397,0.409,0.397,0.285,0.256,0.251,0.333,0.178,0.127,0.098,0.091,0.152,0.106,0.083,0.071,0.059,0.061,0.053
108,A047656,A047661,2012HJ02,0.903,0.584,0.453,0.458,0.416,0.307,0.276,0.258,0.335,0.179,0.127,0.098,0.091,0.152,0.106,0.086,0.074,0.063,0.063,0.059
109,A047656,A047661,2012JJ00,0.783,0.524,0.419,0.426,0.405,0.294,0.266,0.255,0.334,0.179,0.127,0.098,0.091,0.152,0.106,0.085,0.072,0.061,0.062,0.056
110,A047656,A047661,2013HJ01,0.732,0.506,0.43,0.415,0.408,0.305,0.276,0.266,0.404,0.206,0.139,0.103,0.09,0.177,0.113,0.085,0.076,0.061,0.062,0.058
111,A047656,A047661,2013HJ02,0.934,0.569,0.428,0.439,0.441,0.311,0.276,0.263,0.407,0.208,0.14,0.104,0.093,0.178,0.113,0.087,0.075,0.062,0.064,0.058
112,A047656,A047661,2013JJ00,0.809,0.531,0.43,0.424,0.423,0.307,0.276,0.265,0.406,0.207,0.139,0.103,0.091,0.177,0.113,0.086,0.076,0.062,0.063,0.058
113,A047656,A047661,2014HJ01,0.755,0.49,0.389,0.406,0.415,0.296,0.261,0.243,0.414,0.209,0.139,0.102,0.088,0.179,0.111,0.085,0.073,0.057,0.057,0.048
114,A047656,A047661,2014HJ02,0.927,0.551,0.401,0.427,0.437,0.297,0.243,0.209,0.415,0.208,0.139,0.101,0.088,0.178,0.11,0.084,0.073,0.057,0.056,0.049
115,A047656,A047661,2014JJ00,0.826,0.514,0.394,0.415,0.425,0.297,0.253,0.227,0.414,0.208,0.139,0.101,0.088,0.178,0.111,0.085,0.073,0.057,0.057,0.048
116,A047656,A047661,2015HJ01,0.731,0.475,0.368,0.393,0.394,0.279,0.25,0.224,0.377,0.193,0.13,0.097,0.085,0.169,0.104,0.079,0.068,0.054,0.054,0.051
117,A047656,A047661,2015HJ02,0.942,0.529,0.362,0.406,0.428,0.264,0.229,0.199,0.38,0.19,0.126,0.092,0.077,0.165,0.102,0.078,0.067,0.053,0.053,0.05
118,A047656,A047661,2015JJ00,0.814,0.497,0.362,0.397,0.408,0.275,0.24,0.212,0.378,0.192,0.128,0.095,0.079,0.167,0.103,0.078,0.067,0.054,0.053,0.05
119,A047656,A047661,2016HJ01,0.65,0.413,0.315,0.345,0.335,0.228,0.196,0.151,0.402,0.196,0.128,0.09,0.077,0.162,0.101,0.075,0.063,0.048,0.05,0.045
120,A047656,A047661,2016HJ02,0.796,0.445,0.308,0.357,0.337,0.229,0.202,0.159,0.402,0.196,0.126,0.089,0.075,0.161,0.1,0.075,0.063,0.049,0.05,0.046
121,A047656,A047661,2016JJ00,0.709,0.425,0.312,0.349,0.336,0.229,0.199,0.156,0.402,0.196,0.127,0.09,0.076,0.161,0.101,0.075,0.063,0.049,0.05,0.045
122,A047656,A047661,2017HJ01,0.633,0.386,0.273,0.322,0.31,0.212,0.19,0.177,0.373,0.182,0.119,0.084,0.067,0.157,0.088,0.065,0.056,0.045,0.044,0.042
123,A047656,A047661,2017HJ02,0.821,0.452,0.29,0.339,0.317,0.216,0.191,0.173,0.374,0.182,0.118,0.084,0.067,0.16,0.087,0.065,0.056,0.044,0.044,0.042
124,A047656,A047661,2017JJ00,0.708,0.413,0.279,0.328,0.313,0.214,0.191,0.175,0.373,0.182,0.119,0.084,0.067,0.158,0.088,0.065,0.056,0.045,0.044,0.042
125,A047656,A047661,2018HJ01,0.675,0.413,0.301,0.312,0.312,0.22,0.196,0.196,0.404,0.196,0.126,0.089,0.071,0.145,0.089,0.066,0.056,0.047,0.046,0.043
126,A047656,A047661,2018HJ02,0.904,0.483,0.306,0.348,0.32,0.239,0.211,0.242,0.41,0.199,0.128,0.091,0.073,0.164,0.089,0.067,0.059,0.05,0.052,0.047
127,A047656,A047661,2018JJ00,0.766,0.441,0.304,0.326,0.316,0.228,0.203,0.228,0.407,0.198,0.127,0.09,0.072,0.149,0.089,0.067,0.058,0.048,0.049,0.045
128,A047656,A047661,2019HJ01,0.703,0.435,0.334,0.343,0.319,0.225,0.198,0.189,0.403,0.203,0.136,0.098,0.085,0.145,0.094,0.073,0.065,0.053,0.054,0.049
129,A047656,A047661,2019HJ02,0.893,0.489,0.326,0.347,0.289,0.218,0.171,0.134,0.406,0.204,0.136,0.098,0.084,0.144,0.095,0.074,0.065,0.052,0.051,0.048
130,A047656,A047661,2019JJ00,0.781,0.457,0.331,0.344,0.304,0.222,0.185,0.167,0.404,0.203,0.136,0.098,0.085,0.145,0.095,0.073,0.065,0.053,0.053,0.049
131,A047656,A047661,2020HJ01,0.706,0.429,0.317,0.331,0.297,0.193,0.16,0.139,0.418,0.21,0.139,0.098,0.084,0.162,0.096,0.074,0.064,0.053,0.054,0.049
132,A047656,A047661,2020HJ02,0.892,0.464,0.295,0.325,0.313,0.197,0.161,0.139,0.422,0.208,0.136,0.095,0.081,0.155,0.095,0.075,0.065,0.055,0.056,0.05
133,A047656,A047661,2020JJ00,0.78,0.443,0.308,0.323,0.304,0.195,0.16,0.139,0.42,0.209,0.137,0.097,0.083,0.158,0.096,0.075,0.065,0.054,0.055,0.05
134,A047656,A047661,2021HJ01,0.65,0.378,0.261,0.292,0.285,0.211,0.191,0.2,0.432,0.211,0.136,0.094,0.08,0.165,0.098,0.078,0.069,0.054,0.051,0.052
135,A047656,A047661,2021HJ02,0.944,0.509,0.337,0.348,0.352,0.359,0.364,0.46,0.447,0.224,0.149,0.106,0.093,0.175,0.111,0.094,0.091,0.078,0.068,0.092
136,A047656,A047661,2021JJ00,0.762,0.429,0.291,0.315,0.316,0.283,0.267,0.314,0.439,0.217,0.142,0.1,0.086,0.17,0.105,0.086,0.08,0.066,0.06,0.073
137,A047656,A047661,2022HJ01,0.888,0.629,0.52,0.548,0.477,0.543,0.542,0.743,0.525,0.29,0.211,0.168,0.152,0.236,0.154,0.139,0.138,0.126,0.126,0.136
138,A047656,A047661,2022HJ02,1.548,1.388,1.114,1.121,0.616,0.585,0.682,1.048,0.635,0.402,0.326,0.283,0.271,0.325,0.192,0.152,0.175,0.153,0.146,0.163
139,A047656,A047661,2022JJ00,1.173,0.916,0.723,0.731,0.529,0.561,0.598,0.867,0.584,0.347,0.267,0.223,0.21,0.284,0.174,0.146,0.157,0.139,0.136,0.15
140,A047656,A047661,2023HJ01,1.611,1.526,1.316,1.071,0.877,0.652,0.697,0.62,0.836,0.529,0.432,0.379,0.386,0.428,0.234,0.2,0.208,0.185,0.213,0.2
141,A047656,A047661,2023HJ02,1.219,0.822,0.634,0.772,0.778,0.555,0.53,0.41,0.65,0.362,0.264,0.208,0.188,0.32,0.216,0.179,0.187,0.164,0.223,0.181
142,A047656,A047661,2023JJ00,1.439,1.248,1.029,0.934,0.837,0.613,0.618,0.513,0.736,0.444,0.347,0.292,0.286,0.375,0.225,0.189,0.197,0.174,0.218,0.189
143,A047656,A047661,2024HJ01,1.025,0.747,0.589,0.69,0.643,0.415,0.418,0.366,0.775,0.414,0.29,0.221,0.195,0.346,0.211,0.166,0.152,0.124,0.162,0.111
144,A047656,A047661,2024HJ02,1.222,0.788,0.571,0.73,0.672,0.428,0.402,0.301,0.737,0.382,0.254,0.183,0.165,0.326,0.214,0.171,0.153,0.128,0.147,0.103
145,A047656,A047661,2024JJ00,1.106,0.763,0.583,0.707,0.656,0.421,0.411,0.336,0.754,0.397,0.272,0.203,0.181,0.337,0.213,0.168,0.152,0.126,0.154,0.106
146,A047656,A047661,2025HJ01,1.027,0.727,0.538,0.641,0.601,0.434,0.405,0.41,0.759,0.406,0.266,0.188,0.166,0.337,0.208,0.163,0.141,0.111,0.12,0.086
147,A047657,A047659,2009HJ01,0.793,0.716,0.687,0.697,0.621,0.443,0.364,0.268,-0.367,0.039,0.138,0.188,0.196,0.178,0.157,0.109,0.1,0.094,0.092,0.07
148,A047657,A047659,2009HJ02,0.655,0.551,0.522,0.535,0.545,0.385,0.312,0.226,-0.385,0.029,0.129,0.181,0.143,0.177,0.117,0.104,0.098,0.085,0.082,0.062
149,A047657,A047659,2009JJ00,0.735,0.647,0.615,0.638,0.592,0.416,0.338,0.245,-0.376,0.034,0.134,0.185,0.17,0.177,0.137,0.106,0.099,0.09,0.086,0.066
150,A047657,A047659,2010HJ01,0.67,0.586,0.56,0.571,0.506,0.375,0.286,0.218,-0.395,0.019,0.119,0.17,0.174,0.173,0.145,0.098,0.088,0.077,0.075,0.065
151,A047657,A047659,2010HJ02,0.694,0.598,0.563,0.546,0.53,0.342,0.288,0.246,-0.389,0.022,0.12,0.17,0.124,0.16,0.104,0.093,0.088,0.071,0.074,0.067
152,A047657,A047659,2010JJ00,0.681,0.592,0.561,0.563,0.517,0.361,0.287,0.232,-0.392,0.021,0.12,0.17,0.152,0.166,0.124,0.096,0.088,0.074,0.075,0.066
153,A047657,A047659,2011HJ01,0.687,0.596,0.593,0.568,0.53,0.401,0.311,0.278,-0.397,0.018,0.117,0.167,0.173,0.146,0.135,0.094,0.085,0.074,0.073,0.066
154,A047657,A047659,2011HJ02,0.795,0.659,0.639,0.608,0.565,0.358,0.301,0.288,-0.397,0.018,0.117,0.168,0.125,0.144,0.097,0.089,0.085,0.069,0.075,0.068
155,A047657,A047659,2011JJ00,0.732,0.622,0.613,0.585,0.546,0.383,0.306,0.283,-0.397,0.018,0.117,0.167,0.148,0.145,0.116,0.092,0.085,0.072,0.074,0.067
156,A047657,A047659,2012HJ01,0.733,0.645,0.631,0.628,0.563,0.422,0.333,0.306,-0.406,0.019,0.119,0.17,0.178,0.149,0.136,0.09,0.081,0.071,0.068,0.06
