ID,Zorgfuncties,Zorgaanbieders,Perioden,UitgavenAanGezondheidszorgIngezetenen_1
0,A019168,A052785,2021JJ00,99490
1,A019168,A052785,2022JJ00,99832
2,A019168,A052785,2023JJ00,105142
3,A019168,A052785,2024JJ00,113403
4,A019168,A052786,2021JJ00,32401
5,A019168,A052786,2022JJ00,33360
6,A019168,A052786,2023JJ00,35871
7,A019168,A052786,2024JJ00,38706
8,A019168,A052787,2021JJ00,26332
9,A019168,A052787,2022JJ00,26916
10,A019168,A052787,2023JJ00,28863
11,A019168,A052787,2024JJ00,30969
12,A019168,A052788,2021JJ00,4651
13,A019168,A052788,2022JJ00,4989
14,A019168,A052788,2023JJ00,5462
15,A019168,A052788,2024JJ00,6070
16,A019168,A052789,2021JJ00,1418
17,A019168,A052789,2022JJ00,1454
18,A019168,A052789,2023JJ00,1546
19,A019168,A052789,2024JJ00,1667
20,A019168,A052790,2021JJ00,26704
21,A019168,A052790,2022JJ00,27279
22,A019168,A052790,2023JJ00,29315
23,A019168,A052790,2024JJ00,32086
24,A019168,A052791,2021JJ00,19206
25,A019168,A052791,2022JJ00,19502
26,A019168,A052791,2023JJ00,20983
27,A019168,A052791,2024JJ00,22989
28,A019168,A052792,2021JJ00,7499
29,A019168,A052792,2022JJ00,7777
30,A019168,A052792,2023JJ00,8331
31,A019168,A052792,2024JJ00,9097
32,A019168,A052795,2021JJ00,18230
33,A019168,A052795,2022JJ00,19535
34,A019168,A052795,2023JJ00,21387
35,A019168,A052795,2024JJ00,23133
36,A019168,A052796,2021JJ00,3912
37,A019168,A052796,2022JJ00,3867
38,A019168,A052796,2023JJ00,4255
39,A019168,A052796,2024JJ00,4712
40,A019168,A052797,2021JJ00,3073
41,A019168,A052797,2022JJ00,3119
42,A019168,A052797,2023JJ00,3351
43,A019168,A052797,2024JJ00,3464
44,A019168,A052799,2021JJ00,5995
45,A019168,A052799,2022JJ00,6481
46,A019168,A052799,2023JJ00,7122
47,A019168,A052799,2024JJ00,7587
48,A019168,A052798,2021JJ00,4265
49,A019168,A052798,2022JJ00,5017
50,A019168,A052798,2023JJ00,5431
51,A019168,A052798,2024JJ00,6048
52,A019168,A052800,2021JJ00,984
53,A019168,A052800,2022JJ00,1050
54,A019168,A052800,2023JJ00,1228
55,A019168,A052800,2024JJ00,1322
56,A019168,A052801,2021JJ00,1120
57,A019168,A052801,2022JJ00,934
58,A019168,A052801,2023JJ00,882
59,A019168,A052801,2024JJ00,954
60,A019168,A052802,2021JJ00,500
61,A019168,A052802,2022JJ00,487
62,A019168,A052802,2023JJ00,586
63,A019168,A052802,2024JJ00,635
64,A019168,A052803,2021JJ00,620
65,A019168,A052803,2022JJ00,447
66,A019168,A052803,2023JJ00,295
67,A019168,A052803,2024JJ00,320
68,A019168,A052806,2021JJ00,7999
69,A019168,A052806,2022JJ00,7975
70,A019168,A052806,2023JJ00,7983
71,A019168,A052806,2024JJ00,8522
72,A019168,A052807,2021JJ00,4483
73,A019168,A052807,2022JJ00,4620
74,A019168,A052807,2023JJ00,4642
75,A019168,A052807,2024JJ00,4981
76,A019168,A052808,2021JJ00,3516
77,A019168,A052808,2022JJ00,3355
78,A019168,A052808,2023JJ00,3341
79,A019168,A052808,2024JJ00,3541
80,A019168,A052811,2021JJ00,6531
81,A019168,A052811,2022JJ00,4227
82,A019168,A052811,2023JJ00,3242
83,A019168,A052811,2024JJ00,3092
84,A019168,A052812,2021JJ00,3144
85,A019168,A052812,2022JJ00,3147
86,A019168,A052812,2023JJ00,3194
87,A019168,A052812,2024JJ00,3436
88,A019168,A052813,2021JJ00,885
89,A019168,A052813,2022JJ00,810
90,A019168,A052813,2023JJ00,762
91,A019168,A052813,2024JJ00,871
92,A019168,A052814,2021JJ00,1797
93,A019168,A052814,2022JJ00,1849
94,A019168,A052814,2023JJ00,1940
95,A019168,A052814,2024JJ00,2078
96,A019168,A052815,2021JJ00,462
97,A019168,A052815,2022JJ00,488
98,A019168,A052815,2023JJ00,492
99,A019168,A052815,2024JJ00,487
100,A019168,A052816,2021JJ00,0
101,A019168,A052816,2022JJ00,0
102,A019168,A052816,2023JJ00,0
103,A019168,A052816,2024JJ00,0
104,A019168,A052817,2021JJ00,2765
105,A019168,A052817,2022JJ00,2731
106,A019168,A052817,2023JJ00,2661
107,A019168,A052817,2024JJ00,2861
108,A019168,A052818,2021JJ00,157
109,A019168,A052818,2022JJ00,139
110,A019168,A052818,2023JJ00,129
111,A019168,A052818,2024JJ00,132
112,A019168,A052819,2021JJ00,2608
113,A019168,A052819,2022JJ00,2592
114,A019168,A052819,2023JJ00,2532
115,A019168,A052819,2024JJ00,2729
116,A019168,A052820,2021JJ00,597
117,A019168,A052820,2022JJ00,645
118,A019168,A052820,2023JJ00,608
119,A019168,A052820,2024JJ00,612
120,A019170,A052785,2021JJ00,42689
121,A019170,A052785,2022JJ00,44773
122,A019170,A052785,2023JJ00,48593
123,A019170,A052785,2024JJ00,52395
124,A019170,A052786,2021JJ00,28819
125,A019170,A052786,2022JJ00,29635
126,A019170,A052786,2023JJ00,32012
127,A019170,A052786,2024JJ00,34476
128,A019170,A052787,2021JJ00,24073
129,A019170,A052787,2022JJ00,24592
130,A019170,A052787,2023JJ00,26442
131,A019170,A052787,2024JJ00,28323
132,A019170,A052788,2021JJ00,3998
133,A019170,A052788,2022JJ00,4294
134,A019170,A052788,2023JJ00,4791
135,A019170,A052788,2024JJ00,5315
136,A019170,A052789,2021JJ00,748
137,A019170,A052789,2022JJ00,749
138,A019170,A052789,2023JJ00,779
139,A019170,A052789,2024JJ00,838
140,A019170,A052790,2021JJ00,887
141,A019170,A052790,2022JJ00,900
142,A019170,A052790,2023JJ00,959
143,A019170,A052790,2024JJ00,1030
144,A019170,A052791,2021JJ00,770
145,A019170,A052791,2022JJ00,786
146,A019170,A052791,2023JJ00,827
147,A019170,A052791,2024JJ00,886
148,A019170,A052792,2021JJ00,117
149,A019170,A052792,2022JJ00,114
150,A019170,A052792,2023JJ00,133
151,A019170,A052792,2024JJ00,144
152,A019170,A052795,2021JJ00,11903
153,A019170,A052795,2022JJ00,12968
154,A019170,A052795,2023JJ00,14207
155,A019170,A052795,2024JJ00,15385
156,A019170,A052796,2021JJ00,3492
157,A019170,A052796,2022JJ00,3474
158,A019170,A052796,2023JJ00,3881
159,A019170,A052796,2024JJ00,4312
160,A019170,A052797,2021JJ00,1914
161,A019170,A052797,2022JJ00,1929
162,A019170,A052797,2023JJ00,2013
163,A019170,A052797,2024JJ00,2082
164,A019170,A052799,2021JJ00,3086
165,A019170,A052799,2022JJ00,3422
166,A019170,A052799,2023JJ00,3879
167,A019170,A052799,2024JJ00,4161
168,A019170,A052798,2021JJ00,3329
169,A019170,A052798,2022JJ00,4067
170,A019170,A052798,2023JJ00,4361
171,A019170,A052798,2024JJ00,4752
172,A019170,A052800,2021JJ00,82
173,A019170,A052800,2022JJ00,75
174,A019170,A052800,2023JJ00,74
175,A019170,A052800,2024JJ00,77
176,A019170,A052801,2021JJ00,187
177,A019170,A052801,2022JJ00,196
178,A019170,A052801,2023JJ00,226
179,A019170,A052801,2024JJ00,245
180,A019170,A052802,2021JJ00,0
181,A019170,A052802,2022JJ00,0
182,A019170,A052802,2023JJ00,0
183,A019170,A052802,2024JJ00,0
184,A019170,A052803,2021JJ00,187
185,A019170,A052803,2022JJ00,196
186,A019170,A052803,2023JJ00,226
187,A019170,A052803,2024JJ00,245
188,A019170,A052806,2021JJ00,8
189,A019170,A052806,2022JJ00,8
190,A019170,A052806,2023JJ00,11
191,A019170,A052806,2024JJ00,11
192,A019170,A052807,2021JJ00,5
193,A019170,A052807,2022JJ00,5
194,A019170,A052807,2023JJ00,6
195,A019170,A052807,2024JJ00,7
196,A019170,A052808,2021JJ00,3
197,A019170,A052808,2022JJ00,3
198,A019170,A052808,2023JJ00,4
199,A019170,A052808,2024JJ00,4
200,A019170,A052811,2021JJ00,28
201,A019170,A052811,2022JJ00,31
202,A019170,A052811,2023JJ00,29
203,A019170,A052811,2024JJ00,32
204,A019170,A052812,2021JJ00,0
205,A019170,A052812,2022JJ00,0
206,A019170,A052812,2023JJ00,0
207,A019170,A052812,2024JJ00,0
208,A019170,A052813,2021JJ00,0
209,A019170,A052813,2022JJ00,0
210,A019170,A052813,2023JJ00,0
211,A019170,A052813,2024JJ00,0
212,A019170,A052814,2021JJ00,0
213,A019170,A052814,2022JJ00,0
214,A019170,A052814,2023JJ00,0
215,A019170,A052814,2024JJ00,0
216,A019170,A052815,2021JJ00,0
217,A019170,A052815,2022JJ00,0
218,A019170,A052815,2023JJ00,0
219,A019170,A052815,2024JJ00,0
220,A019170,A052816,2021JJ00,0
221,A019170,A052816,2022JJ00,0
222,A019170,A052816,2023JJ00,0
223,A019170,A052816,2024JJ00,0
224,A019170,A052817,2021JJ00,578
225,A019170,A052817,2022JJ00,577
226,A019170,A052817,2023JJ00,653
227,A019170,A052817,2024JJ00,721
228,A019170,A052818,2021JJ00,0
229,A019170,A052818,2022JJ00,0
230,A019170,A052818,2023JJ00,0
231,A019170,A052818,2024JJ00,0
232,A019170,A052819,2021JJ00,578
233,A019170,A052819,2022JJ00,577
234,A019170,A052819,2023JJ00,653
235,A019170,A052819,2024JJ00,721
236,A019170,A052820,2021JJ00,279
237,A019170,A052820,2022JJ00,458
238,A019170,A052820,2023JJ00,495
239,A019170,A052820,2024JJ00,495
240,A019181,A052785,2021JJ00,13291
241,A019181,A052785,2022JJ00,13457
242,A019181,A052785,2023JJ00,14354
243,A019181,A052785,2024JJ00,15404
244,A019181,A052786,2021JJ00,12454
245,A019181,A052786,2022JJ00,12475
246,A019181,A052786,2023JJ00,13319
247,A019181,A052786,2024JJ00,14305
248,A019181,A052787,2021JJ00,10218
249,A019181,A052787,2022JJ00,10118
250,A019181,A052787,2023JJ00,10753
251,A019181,A052787,2024JJ00,11470
252,A019181,A052788,2021JJ00,1978
253,A019181,A052788,2022JJ00,2093
254,A019181,A052788,2023JJ00,2301
255,A019181,A052788,2024JJ00,2550
256,A019181,A052789,2021JJ00,259
257,A019181,A052789,2022JJ00,263
258,A019181,A052789,2023JJ00,265
259,A019181,A052789,2024JJ00,286
260,A019181,A052790,2021JJ00,235
261,A019181,A052790,2022JJ00,246
262,A019181,A052790,2023JJ00,249
263,A019181,A052790,2024JJ00,269
264,A019181,A052791,2021JJ00,182
265,A019181,A052791,2022JJ00,193
266,A019181,A052791,2023JJ00,191
267,A019181,A052791,2024JJ00,207
268,A019181,A052792,2021JJ00,53
269,A019181,A052792,2022JJ00,53
270,A019181,A052792,2023JJ00,58
271,A019181,A052792,2024JJ00,63
272,A019181,A052795,2021JJ00,288
273,A019181,A052795,2022JJ00,316
274,A019181,A052795,2023JJ00,345
275,A019181,A052795,2024JJ00,374
276,A019181,A052796,2021JJ00,0
277,A019181,A052796,2022JJ00,0
278,A019181,A052796,2023JJ00,0
279,A019181,A052796,2024JJ00,0
280,A019181,A052797,2021JJ00,1
281,A019181,A052797,2022JJ00,1
282,A019181,A052797,2023JJ00,1
283,A019181,A052797,2024JJ00,1
284,A019181,A052799,2021JJ00,2
285,A019181,A052799,2022JJ00,2
286,A019181,A052799,2023JJ00,2
287,A019181,A052799,2024JJ00,2
288,A019181,A052798,2021JJ00,278
289,A019181,A052798,2022JJ00,312
290,A019181,A052798,2023JJ00,342
291,A019181,A052798,2024JJ00,371
292,A019181,A052800,2021JJ00,6
293,A019181,A052800,2022JJ00,0
294,A019181,A052800,2023JJ00,0
295,A019181,A052800,2024JJ00,0
296,A019181,A052801,2021JJ00,0
