ID,Milieudomein,BedrijfstakkenBranchesSBI2008,Perioden,ArbeidsvolumeWerkzamePersonen_1,ProductieBasisprijzen_2,BrutoToegevoegdeWaardeBasisprijzen_3,UitvoerBasisprijzen_4
0,T001058,T001081,2001JJ00,117.1,18261.0,7906.0,
1,T001058,T001081,2002JJ00,119.2,19295.0,8333.0,
2,T001058,T001081,2003JJ00,118.1,19798.0,8655.0,
3,T001058,T001081,2004JJ00,114.1,20140.0,8820.0,
4,T001058,T001081,2005JJ00,110.5,20553.0,9071.0,
5,T001058,T001081,2006JJ00,117.1,22066.0,10016.0,
6,T001058,T001081,2007JJ00,119.0,23533.0,10652.0,
7,T001058,T001081,2008JJ00,119.7,25952.0,11712.0,
8,T001058,T001081,2009JJ00,123.8,25534.0,11471.0,
9,T001058,T001081,2010JJ00,129.4,27957.0,12416.0,
10,T001058,T001081,2011JJ00,135.2,31805.0,13220.0,
11,T001058,T001081,2012JJ00,130.5,32961.0,13028.0,
12,T001058,T001081,2013JJ00,133.5,34214.0,13570.0,
13,T001058,T001081,2014JJ00,134.0,35311.0,14647.0,8114.0
14,T001058,T001081,2015JJ00,135.1,35719.0,15287.0,8379.0
15,T001058,T001081,2016JJ00,143.1,37332.0,16108.0,8467.0
16,T001058,T001081,2017JJ00,151.6,40499.0,17439.0,7842.0
17,T001058,T001081,2018JJ00,160.2,42499.0,18145.0,8096.0
18,T001058,T001081,2019JJ00,172.0,45620.0,19881.0,8723.0
19,T001058,T001081,2020JJ00,184.5,47292.0,20829.0,8314.0
20,T001058,T001081,2021JJ00,188.3,52109.0,22062.0,10371.0
21,T001058,301000 ,2001JJ00,1.8,367.0,157.0,
22,T001058,301000 ,2002JJ00,1.9,395.0,164.0,
23,T001058,301000 ,2003JJ00,2.1,403.0,172.0,
24,T001058,301000 ,2004JJ00,2.1,417.0,179.0,
25,T001058,301000 ,2005JJ00,2.2,448.0,206.0,
26,T001058,301000 ,2006JJ00,2.3,502.0,238.0,
27,T001058,301000 ,2007JJ00,2.2,559.0,259.0,
28,T001058,301000 ,2008JJ00,2.3,623.0,282.0,
29,T001058,301000 ,2009JJ00,2.5,617.0,284.0,
30,T001058,301000 ,2010JJ00,3.4,974.0,427.0,
31,T001058,301000 ,2011JJ00,3.9,1020.0,401.0,
32,T001058,301000 ,2012JJ00,4.0,1093.0,420.0,
33,T001058,301000 ,2013JJ00,4.2,1181.0,476.0,
34,T001058,301000 ,2014JJ00,4.2,1213.0,515.0,123.0
35,T001058,301000 ,2015JJ00,3.9,1242.0,540.0,123.0
36,T001058,301000 ,2016JJ00,3.6,1022.0,480.0,134.0
37,T001058,301000 ,2017JJ00,4.1,1188.0,568.0,163.0
38,T001058,301000 ,2018JJ00,4.6,1243.0,574.0,164.0
39,T001058,301000 ,2019JJ00,4.9,1430.0,699.0,182.0
40,T001058,301000 ,2020JJ00,5.1,1506.0,746.0,183.0
41,T001058,301000 ,2021JJ00,5.4,1744.0,844.0,215.0
42,T001058,300002 ,2001JJ00,,,,
43,T001058,300002 ,2002JJ00,,,,
44,T001058,300002 ,2003JJ00,,,,
45,T001058,300002 ,2004JJ00,,,,
46,T001058,300002 ,2005JJ00,,,,
47,T001058,300002 ,2006JJ00,,,,
48,T001058,300002 ,2007JJ00,,,,
49,T001058,300002 ,2008JJ00,,,,
50,T001058,300002 ,2009JJ00,,,,
51,T001058,300002 ,2010JJ00,,,,
52,T001058,300002 ,2011JJ00,,,,
53,T001058,300002 ,2012JJ00,,,,
54,T001058,300002 ,2013JJ00,,,,
55,T001058,300002 ,2014JJ00,,,,
56,T001058,300002 ,2015JJ00,,,,
57,T001058,300002 ,2016JJ00,,,,
58,T001058,300002 ,2017JJ00,,,,
59,T001058,300002 ,2018JJ00,,,,
60,T001058,300002 ,2019JJ00,,,,
