ID,Perioden,Totaal_1,Binnenland_2,Buitenland_3,Totaal_4,Binnenland_5,Buitenland_6,Bezettingsgraad_7,Totaal_8,Binnenland_9,Buitenland_10,Totaal_11,Binnenland_12,Buitenland_13,ZakelijkeOvernachtingen_14,Bezettingsgraad_15,Totaal_16,Binnenland_17,Buitenland_18,Totaal_19,Binnenland_20,Buitenland_21,Bezettingsgraad_22,Totaal_23,Binnenland_24,Buitenland_25,Totaal_26,Binnenland_27,Buitenland_28,Bezettingsgraad_29,Totaal_30,Binnenland_31,Buitenland_32,Totaal_33,Binnenland_34,Buitenland_35,Bezettingsgraad_36,Totaal_37,Binnenland_38,Buitenland_39,Totaal_40,Binnenland_41,Buitenland_42,Bezettingsgraad_43
142,2023MM11,3254,1929,1325,7496,4181,3315,28.4,2431,1347,1084,4428,2114,2315,1400,46.7,823,582,241,3068,2067,1000,18.2,52,24,28,207,100,107,3.0,675,466,209,2640,1759,882,29.8,97,92,5,220,209,11,18.0
143,2023MM12,3094,1968,1125,7110,4405,2705,27.0,2406,1415,990,4346,2192,2154,1120,44.5,688,553,135,2764,2213,551,16.7,36,20,16,148,96,52,2.4,583,468,115,2447,1961,486,27.0,70,65,5,170,156,14,13.8
144,2024MM01,2921,1821,1100,7051,4200,2851,25.5,2123,1226,897,3977,1971,2006,1180,40.4,798,595,203,3074,2229,845,17.2,38,17,20,196,101,95,3.1,691,512,179,2706,1967,739,26.5,70,66,4,173,161,12,13.5
145,2024MM02,2953,1821,1133,7117,4344,2773,28.4,2151,1209,942,4037,1977,2060,1210,45.1,803,612,191,3080,2367,713,19.1,44,22,22,171,100,70,2.9,696,531,165,2761,2128,632,30.1,63,59,4,149,138,10,12.8
146,2024MM03,3587,1960,1627,8795,4390,4405,26.4,2620,1385,1235,4980,2265,2715,1450,49.8,967,575,392,3815,2125,1689,16.4,115,48,67,404,173,231,3.7,755,437,319,3175,1738,1438,28.6,97,90,7,236,215,21,17.8
147,2024MM04,4320,2322,1998,11283,5644,5639,26.4,2844,1408,1435,5632,2400,3232,1550,57.8,1477,914,563,5651,3244,2407,17.1,365,202,163,1402,737,665,7.1,980,589,391,3931,2215,1716,33.3,131,123,8,318,292,26,22.4
148,2024MM05,5446,3309,2137,15913,9913,5999,35.6,3102,1617,1485,6028,2764,3264,1660,59.8,2344,1692,653,9885,7150,2735,28.6,891,631,260,4041,3010,1031,19.4,1277,894,382,5368,3694,1674,44.0,176,166,10,476,445,31,31.7
149,2024MM06,4902,2994,1908,14146,8712,5434,32.7,3004,1612,1391,5842,2777,3065,1660,59.9,1898,1382,517,8304,5935,2369,24.8,718,499,219,3545,2599,946,17.5,976,691,286,4284,2902,1382,36.2,204,192,11,475,434,41,32.6
150,2024MM07,5360,2917,2443,18489,10249,8239,41.2,3172,1575,1597,6366,2781,3585,1410,63.1,2187,1342,846,12123,7468,4654,34.8,871,575,296,5297,3763,1534,25.2,1187,657,530,6316,3326,2990,51.6,129,109,19,510,379,131,33.9
151,2024MM08,5814,3360,2454,21403,12886,8517,47.8,3203,1659,1544,6662,3008,3655,1330,66.1,2611,1701,910,14741,9879,4862,42.5,1145,796,349,6645,5031,1614,31.7,1339,799,540,7593,4465,3128,62.1,126,106,21,503,383,120,33.5
152,2024MM09,4782,2917,1864,13684,8325,5359,31.7,2920,1570,1349,5746,2718,3027,1690,58.9,1862,1347,515,7938,5606,2332,23.8,604,427,177,2790,2093,697,13.9,1049,721,329,4658,3054,1604,39.4,209,199,10,490,459,31,34.0
153,2024MM10,4436,2441,1995,12013,5905,6108,31.0,2888,1557,1331,5554,2578,2976,1590,55.2,1549,884,664,6459,3327,3132,22.5,288,129,159,1337,601,736,8.7,1098,603,495,4716,2359,2357,39.8,163,152,10,407,367,39,28.0
154,2024MM11,3409,2058,1351,7863,4599,3264,27.0,2617,1464,1153,4852,2366,2486,1500,50.1,792,594,198,3011,2233,778,15.5,67,31,36,235,119,116,3.0,622,466,156,2533,1889,644,24.5,103,97,6,243,225,18,19.3
155,2024MM12,3335,2093,1243,7612,4689,2923,27.1,2538,1452,1086,4615,2295,2320,1170,46.3,798,641,157,2997,2395,603,16.5,46,25,22,128,68,60,2.0,678,548,130,2676,2149,527,25.9,73,68,5,193,178,16,15.3
156,2025MM01,2931,1767,1164,6895,3985,2910,23.5,2235,1258,977,4139,2022,2117,1210,41.0,696,509,187,2756,1963,793,14.3,53,25,28,189,80,110,2.5,583,429,155,2407,1738,669,23.0,60,56,4,160,146,14,13.3
157,2025MM02,2885,1771,1114,6834,4161,2673,25.6,2182,1215,967,4095,1974,2120,1180,44.7,703,556,147,2739,2187,552,15.6,48,29,19,192,134,59,2.7,596,472,124,2396,1911,485,25.4,59,55,4,151,142,9,13.9
158,2025MM03,3644,2091,1553,8685,4825,3859,25.7,2652,1392,1260,5043,2286,2757,1450,49.2,992,699,293,3642,2540,1102,15.5,119,68,51,363,217,146,3.2,781,545,236,3057,2114,943,27.7,92,87,5,222,209,13,16.9
159,2025MM04,4826,2404,2422,13563,6249,7314,31.6,3028,1422,1606,6135,2466,3669,1510,61.4,1799,983,816,7427,3783,3644,22.6,542,289,253,2196,1139,1057,11.3,1136,584,552,4902,2355,2547,40.7,120,110,11,329,289,40,23.7
160,2025MM05,4964,3001,1964,13638,8400,5238,30.5,3038,1556,1482,5963,2632,3331,1550,57.7,1926,1444,482,7675,5769,1907,22.3,667,480,187,2728,2065,662,13.3,1080,795,285,4474,3259,1214,35.8,179,170,9,474,444,30,32.5
161,2025MM06,5637,3268,2369,16654,9708,6946,38.4,3084,1565,1519,6014,2665,3349,1610,60.1,2553,1703,850,10640,7043,3597,31.9,1068,726,342,4608,3254,1353,23.3,1290,797,494,5501,3312,2190,45.5,195,181,14,531,477,54,37.5
162,2025MM07,5324,2862,2462,17535,9649,7886,39.1,3189,1524,1665,6316,2604,3712,1260,61.1,2135,1338,797,11219,7045,4174,32.5,918,620,298,4869,3498,1371,23.7,1089,608,481,5837,3148,2689,46.7,129,110,18,513,399,114,35.2
163,2025MM08,6133,3451,2682,22789,13468,9321,51.0,3308,1613,1695,6902,2892,4010,1270,66.8,2825,1838,987,15887,10576,5311,46.2,1256,858,398,7090,5239,1851,34.7,1433,864,569,8205,4888,3317,65.7,136,116,21,591,448,143,40.6
164,2025MM09,4554,2686,1868,13100,7608,5492,30.4,2840,1472,1368,5633,2533,3100,1570,56.3,1713,1213,500,7467,5075,2392,22.6,528,359,169,2464,1745,718,12.5,995,673,321,4535,2899,1635,37.5,191,181,10,469,430,39,33.5
165,2025MM10,4634,2545,2089,12881,6588,6293,32.9,2982,1563,1419,5747,2573,3174,1690,55.7,1652,982,671,7134,4015,3118,24.7,315,149,165,1586,791,795,10.3,1181,690,491,5137,2872,2265,42.7,156,142,14,411,352,59,29.0
166,2025MM11,3434,2012,1421,7702,4345,3357,25.8,2641,1423,1219,4768,2217,2551,1400,48.1,792,589,203,2934,2128,806,14.7,63,30,33,255,142,113,3.0,628,461,166,2455,1772,683,23.8,102,98,4,225,214,10,18.4
167,2025MM12,3320,2041,1279,7596,4573,3023,25.3,2600,1469,1132,4665,2256,2410,1050,45.7,720,572,148,2931,2317,613,14.8,59,32,27,246,146,100,3.1,598,481,116,2513,2012,501,23.6,63,59,4,172,159,13,14.1
