ID,Regio,Perioden,TotaalMestproductierechten_1,GrondgebondenMestproductierechten_2,TotaalNietGebondenRechten_3,VarkensKippen_4,RunderenKalkoenen_5,Schapen_6,OverigNietGebondenRechten_7,TotaalVarkensrechten_8,GrondgebondenVarkensrechten_9,TotaalNietGebondenVarkensrechten_10,Fokzeugenrechten_11,NietFokzeugenrechten_12,Pluimveerechten_13,TotaalMestproductierechten_14,TotaalVarkensKippen_15,TotaalRunderenKalkoenen_16,TotaalSchapen_17,TotaalOverigVervallenRechten_18,TotaalAfroming_19,VarkensKippen_20,RunderenKalkoenen_21,Schapen_22,OverigAfroming_23,TotaalOpkoop_24,VarkensKippen_25,RunderenKalkoenen_26,Schapen_27,OverigOpkoop_28,TotaalPluimveerechten_29,AfromingPluimveerechten_30,OpkoopPluimveerechten_31,TotaalVarkensrechten_32,AfromingVarkensrechten_33,OpkoopVarkensrechten_34
0,NL0000,1997JJ00,345720.5,203460.7,142259.8,121789.2,15643.5,1642.6,3184.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NL0000,1998JJ00,267991.5,207488.1,60503.4,40429.5,15330.6,1611.2,3132.1,10842.9,1439.1,9403.9,3677.5,5726.4,,10227.1,10074.6,93.3,17.5,41.6,624.8,472.4,93.3,17.5,41.6,40.8,40.8,,,,,,,196.7,196.2,0.5
2,NL0000,1999JJ00,270373.0,210266.8,60106.2,40342.1,15079.3,1589.8,3095.0,10584.1,1369.7,9214.4,3600.0,5614.4,,142.8,43.7,58.5,9.7,30.9,142.7,43.5,58.5,9.7,30.9,0.2,0.2,,,,,,,264.1,66.4,197.7
3,NL0000,2000JJ00,272846.2,213282.9,59563.3,40116.8,14811.1,1572.1,3063.2,10355.1,1303.7,9051.4,3533.2,5518.1,,251.9,145.7,65.7,8.8,31.7,251.9,145.7,65.7,8.8,31.7,,,,,,,,,256.6,71.1,185.5
4,NL0000,2001JJ00,241015.0,217335.6,23679.4,6888.1,12512.4,1446.2,2832.7,9542.2,1249.9,8292.4,3296.0,4996.3,37445.2,1130.1,741.7,341.0,24.1,23.3,198.1,109.1,65.3,11.7,12.1,932.0,632.6,275.8,12.4,11.2,2720.9,421.7,2299.1,820.4,54.5,765.9
5,NL0000,2002JJ00,239818.2,216403.7,23414.4,6822.2,12334.1,1433.5,2824.6,9452.3,1238.5,8213.8,3277.4,4936.5,36729.3,167.6,54.5,102.4,7.0,3.8,45.9,20.3,18.8,4.0,2.8,121.7,34.2,83.5,3.0,1.0,777.5,111.8,665.7,95.2,11.4,83.8
6,NL0000,2003JJ00,239950.1,216719.7,23230.4,6764.6,12202.8,1432.6,2830.4,9221.6,1221.1,8000.6,3184.4,4816.2,36027.4,209.1,64.9,137.9,2.4,3.8,,,,,,209.1,64.9,137.9,2.4,3.8,780.3,,780.3,254.4,,254.4
7,LD01  ,1997JJ00,68581.0,59467.1,9113.9,7468.2,1112.0,399.6,134.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,LD01  ,1998JJ00,66860.4,60808.5,6052.0,4427.6,1092.1,386.2,146.0,494.1,132.7,361.4,173.6,187.8,,99.8,78.9,10.4,5.2,5.0,99.8,78.9,10.4,5.2,5.0,,,,,,,,,11.5,11.5,
9,LD01  ,1999JJ00,67560.3,61570.9,5989.5,4377.7,1081.9,380.3,149.6,481.9,128.2,353.9,169.9,183.9,,15.3,3.6,5.0,2.8,3.8,15.3,3.6,5.0,2.8,3.8,,,,,,,,,13.3,4.4,9.1
10,LD01  ,2000JJ00,68205.9,62306.3,5899.6,4320.4,1056.2,375.5,147.5,471.2,126.7,344.6,165.1,179.4,,18.3,11.2,4.3,1.4,1.4,18.3,11.2,4.3,1.4,1.4,,,,,,,,,14.5,5.5,9.0
11,LD01  ,2001JJ00,64927.0,62921.7,2005.3,620.4,905.0,345.8,134.1,443.8,124.6,319.5,157.8,161.6,5489.8,76.0,55.8,13.9,4.3,1.9,17.4,9.0,3.2,3.4,1.8,58.6,46.8,10.8,0.8,0.1,231.1,56.8,174.2,23.6,2.4,21.4
12,LD01  ,2002JJ00,65249.4,63262.0,1987.5,625.9,886.7,342.2,132.8,442.0,123.4,318.4,157.4,161.0,5418.8,16.3,5.5,7.4,2.9,0.4,5.1,0.9,1.4,2.4,0.4,11.2,4.6,6.0,0.6,0.0,155.4,15.0,140.5,5.3,0.9,4.4
13,LD01  ,2003JJ00,65313.3,63337.2,1976.1,622.8,878.3,342.3,132.8,438.9,123.3,315.5,154.5,161.1,5377.3,14.6,5.0,9.6,,,,,,,,14.6,5.0,9.6,,,49.4,,49.4,2.4,,2.4
