ID,ZorginstellingenSBI2008,Perioden,Ondernemingen_1,Totaal_2,KleinerDan0_3,k_0Tot10_4,k_10Tot20_5,k_20Tot35_6,k_35OfMeer_7,Totaal_8,KleinerDan0_9,k_0Tot10_10,k_10Tot15_11,k_15Tot20_12,k_20Tot30_13,k_30OfMeer_14,Totaal_15,KleinerDan30_16,k_30Tot70_17,k_70Tot130_18,k_130OfMeer_19,Totaal_20,KleinerDan30_21,k_30Tot70_22,k_70Tot130_23,k_130OfMeer_24,Totaal_25,KleinerDan0_26,k_0Tot2_27,k_2Tot4_28,k_4OfMeer_29,Leverage_30,AandeelKapitaallasten_31,GemLeeftijdMaterieleVasteActiva_32,Debiteurentermijn_33,AandeelPersoneelskosten_34,OpbrengstenPerArbeidsjaar_35,ArbeidskostenPerArbeidsjaar_36,Parttimefactor_37,KleinerDan0_38,k_0Tot10_39,k_10Tot20_40,k_20Tot35_41,k_35OfMeer_42,KleinerDan0_43,k_0Tot10_44,k_10Tot15_45,k_15Tot20_46,k_20Tot30_47,k_30OfMeer_48,KleinerDan30_49,k_30Tot70_50,k_70Tot130_51,k_130OfMeer_52,KleinerDan30_53,k_30Tot70_54,k_70Tot130_55,k_130OfMeer_56,KleinerDan0_57,k_0Tot2_58,k_2Tot4_59,k_4OfMeer_60,MinderDan4MlnEuro_61,k_4Tot10MlnEuro_62,k_10Tot25MlnEuro_63,k_25Tot75MlnEuro_64,k_75Tot125MlnEuro_65,k_125MlnEuroOfMeer_66
0, 5      ,2007JJ00,116,15,-4.0,7.0,13.0,23.0,53.0,17,-4.0,8.0,12.0,18.0,23.0,31.0,67,18.0,53.0,100.0,145.0,71,15.0,56.0,85.0,186.0,1,-2.0,1.0,3.0,6.0,52,10.0,11,54.0,60,92478,49757,72,3.0,53.0,38.0,5.0,2.0,3.0,44.0,33.0,12.0,4.0,4.0,9.0,37.0,39.0,16.0,3.0,11.0,44.0,43.0,21.0,47.0,22.0,10.0,,,7.0,24.0,23.0,42.0
1, 5      ,2008JJ00,114,12,-19.0,7.0,13.0,25.0,38.0,14,-19.0,8.0,13.0,17.0,23.0,35.0,69,21.0,51.0,96.0,152.0,69,23.0,56.0,84.0,145.0,1,-4.0,1.0,3.0,5.0,56,10.0,11,53.0,61,97758,52499,71,2.0,34.0,50.0,12.0,3.0,2.0,22.0,40.0,17.0,15.0,4.0,8.0,35.0,40.0,17.0,2.0,15.0,39.0,44.0,12.0,56.0,26.0,7.0,,,7.0,18.0,26.0,45.0
2, 5      ,2009JJ00,111,14,-6.0,7.0,14.0,26.0,40.0,15,-8.0,8.0,13.0,17.0,23.0,34.0,63,21.0,47.0,89.0,159.0,71,25.0,51.0,87.0,139.0,2,-2.0,1.0,3.0,6.0,57,9.0,11,52.0,60,101863,53888,71,3.0,21.0,63.0,12.0,2.0,3.0,15.0,40.0,19.0,20.0,4.0,4.0,44.0,38.0,14.0,0.0,9.0,43.0,48.0,12.0,51.0,30.0,7.0,,,5.0,18.0,26.0,48.0
3, 5      ,2010JJ00,107,15,-6.0,7.0,15.0,23.0,45.0,15,-9.0,9.0,13.0,17.0,23.0,40.0,62,22.0,47.0,89.0,164.0,81,0.0,56.0,93.0,154.0,2,-1.0,1.0,3.0,6.0,60,12.0,7,48.0,59,107524,55552,71,2.0,14.0,57.0,25.0,2.0,2.0,16.0,28.0,29.0,21.0,4.0,6.0,42.0,36.0,16.0,0.0,30.0,61.0,9.0,7.0,54.0,29.0,9.0,,,5.0,17.0,23.0,53.0
4, 5      ,2011JJ00,106,16,-3.0,8.0,15.0,22.0,39.0,17,-5.0,8.0,12.0,18.0,23.0,40.0,80,20.0,54.0,89.0,169.0,93,,58.0,96.0,153.0,2,-5.0,1.0,3.0,6.0,65,10.0,9,52.0,60,106833,56671,71,2.0,11.0,56.0,28.0,3.0,2.0,7.0,25.0,35.0,27.0,5.0,3.0,30.0,42.0,25.0,0.0,16.0,69.0,15.0,6.0,51.0,32.0,11.0,,,4.0,17.0,23.0,55.0
5, 5      ,2012JJ00,106,18,-1.0,9.0,16.0,24.0,47.0,19,-1.0,8.0,13.0,18.0,24.0,40.0,90,17.0,55.0,95.0,151.0,101,0.0,56.0,101.0,150.0,2,-3.0,1.0,3.0,6.0,67,10.0,10,53.0,60,111495,58532,72,2.0,8.0,56.0,31.0,3.0,2.0,6.0,16.0,35.0,36.0,6.0,1.0,25.0,56.0,19.0,0.0,9.0,73.0,18.0,8.0,50.0,32.0,10.0,,,5.0,14.0,23.0,57.0
6, 5      ,2013JJ00,104,20,-5.0,4.0,16.0,24.0,46.0,21,-3.0,6.0,13.0,18.0,24.0,40.0,89,20.0,54.0,97.0,143.0,104,26.0,54.0,102.0,156.0,2,-2.0,1.0,3.0,6.0,66,10.0,9,56.0,59,118270,60949,73,3.0,3.0,45.0,45.0,4.0,3.0,4.0,8.0,24.0,55.0,7.0,3.0,24.0,64.0,9.0,2.0,8.0,65.0,25.0,12.0,30.0,37.0,22.0,,,4.0,13.0,21.0,60.0
7, 5      ,2014JJ00,103,22,-9.0,5.0,16.0,25.0,42.0,23,-7.0,5.0,13.0,18.0,25.0,35.0,100,20.0,57.0,101.0,151.0,111,24.0,56.0,97.0,153.0,2,-2.0,1.0,3.0,5.0,66,9.0,10,47.0,59,119159,62016,73,2.0,6.0,29.0,55.0,8.0,2.0,7.0,5.0,17.0,54.0,15.0,2.0,27.0,51.0,19.0,1.0,9.0,57.0,33.0,17.0,28.0,44.0,12.0,,,4.0,15.0,18.0,61.0
8,422800  ,2007JJ00,8,28,,,,,,29,,,,,,,85,,,,,85,,,,,2,,,,,37,7.0,13,41.0,61,105057,58181,80,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0
9,422800  ,2008JJ00,8,17,,,,,,16,,,,,,,88,,,,,83,,,,,2,,,,,53,7.0,12,38.0,62,110650,60954,78,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0
