ID,Perioden,TotaalAanbiedersZorgEnWelzijn_1,AanbiedersGeneeskEnLangdurigeZorg_2,AanbiedersWelzijnJeugdzKinderopv_3,AanbiedersBuitenSectorZorgEnWelzijn_4,TotaalAanbiedersZorgEnWelzijn_5,AanbiedersGeneeskEnLangdurigeZorg_6,AanbiedersWelzijnJeugdzKinderopv_7,AanbiedersBuitenSectorZorgEnWelzijn_8,NettoUPZBKZ_9,VerschilMetUitgavenplafondZorgBKZ_10,TotaalUitgavenOgvVerplichteVerzek_11,AanbiedersGeneeskEnLangdurigeZorg_12,AanbiedersWelzijnJeugdzKinderopv_13,AanbiedersBuitenSectorZorgEnWelzijn_14,GezondheidsEnWelzijnszorg_15,GezondheidszorgInternationaleDefinitie_16,GezondheidsEnWelzijnszorg_17,GezondheidszorgInternationaleDefinitie_18
0,2021JJ00,128928,98283,13193,17452,99490,85032,300,14158,76359.0,247.0,76112,67111,385,8617,14.5,11.2,7353,5674
1,2022JJ00,132683,99509,15528,17647,99832,85382,346,14104,81539.0,2099.0,79440,69812,469,9160,13.4,10.0,7496,5640
2,2023JJ00,142239,106380,18220,17639,105142,90752,403,13987,87774.0,1946.0,85828,75762,555,9511,13.5,10.0,7956,5881
3,2024JJ00,154933,114957,21074,18901,113403,98029,443,14931,,,93401,82576,617,10208,13.8,10.1,8610,6302
