ID,Sectoren,Jaren,ToegevoegdeWaardeBrutoBasisprijzen_1,ExploitatieoverschotNetto_2,PrimairInkomenNetto_3,BeschikbaarInkomenNetto_4,BesparingenNetto_5,SaldoLopendeTransMetHetBuitenland_6,SaldoNettoBespEnKapitaaloverdr_7,Vorderingensaldo_8,VorderingenTotaal_9,SchuldenTotaal_10,FinancieelVermogen_11,VorderingenTotaal_12,SchuldenTotaal_13,FinancieelVermogen_14,StatistischVerschil_15,VorderingenTotaal_16,SchuldenTotaal_17,FinancieelVermogen_18,VorderingenTotaal_19,SchuldenTotaal_20,FinancieelVermogen_21,TotaalMiddelen_22,TotaalInvoerVanGoederenEnDiensten_23,InvoerVanGoederen_24,InvoerVanDiensten_25,TotaalProductieBasisprijzen_26,ProductieVanToegerekendeBankdiensten_27,OverigeMarktproductie_28,InvesteringenInEigenBeheer_29,TotaalBeloningWerknemers_30,Lonen_31,SocialePremiesTLVWerkgevers_32,TotaalBelastingenProductieEnInvoer_33,BelastOpProdEnInvoerProductg_34,BelastOpProdInvoerNietProductg_35,TotaalSubsidies_36,SubsidiesProductgebonden_37,SubsidiesNietProductgebonden_38,TotaalInkomenUitVermogen_39,Rente_40,Dividenden_41,InkomenOnttrokkenAanQuasiVennootsch_42,IngehoudenWinstenOpDirBuitenlInv_43,InkUitVermToegerAanPolishouders_44,TotaalBelastingenInkomenEnVermogen_45,BelastingenOpInkomen_46,TotaalSocialePremies_47,PremiesWettelijkeSocialeVerzekering_48,ToegerekendeSocialePremies_49,TotaalSocialeUitkeringen_50,UitkeringenWettelSocialeVerzekering_51,Pensioenuitkeringen_52,TotaalOverigeInkomensoverdrachten_53,Schadeverzekeringspremies_54,Schadeverzekeringsuitkeringen_55,OverigeInkomensoverdrachtenNEG_56,CorrectiePensioenvoorziening_57,TotaalKapitaaloverdrachten_58,Investeringsbijdragen_59,OverigeKapitaaloverdrachten_60,TotaalBestedingen_61,TotaalUitvoerVanGoederenEnDiensten_62,UitvoerVanGoederen_63,UitvoerVanDiensten_64,IntermediairVerbruik_65,BelastOpProdNietProductgebonden_66,SubsidiesNietProductgebonden_67,TotaalBeloningVanWerknemers_68,Lonen_69,SocialePremiesTLVWerkgevers_70,TotaalInkomenUitVermogen_71,Rente_72,Dividenden_73,InkomenOnttrokkenAanQuasiVennootsch_74,IngehWinstenOpDirecteBuitInvest_75,InkUitVermToegerAanPolishouders_76,InkomenUitGrondEnMineraleReserves_77,TotaalBelastingenInkomenEnVermogen_78,BelastingenOpInkomen_79,TotaalSocialePremies_80,PremiesWettelijkeSocialeVerzekering_81,Pensioenpremies_82,TotaalSocialeUitkeringen_83,UitkerWettelijkeSocialeVerzekering_84,UitkeringenRechtstreeksDoorWerkgevers_85,TotaalOverigeInkomensoverdrachten_86,Schadeverzekeringspremies_87,Schadeverzekeringsuitkeringen_88,OverigeInkomensoverdrachtenNEG_89,TotaalKapitaaloverdrachten_90,Investeringsbijdragen_91,OverigeKapitaaloverdrachten_92,TotaalInvesteringenBruto_93,InvesteringenInVasteActivaBruto_94,Afschrijvingen_95,InvesteringenInVasteActivaNetto_96,SaldoAVNietGeprodNietFinActiva_97,BeginbalansTotaal_98,ChartaalGeld_99,GiraleDepositoS_100,SpaartegoedenInEuros_101,OverigeDepositoS_102,KortlopendeWaardepapieren_103,Obligaties_104,FinancieleDerivaten_105,KortlopendeLeningen_106,LanglopendeLeningen_107,AandelenEnOverigeDeelnemingen_108,PensioenEnLevensverzVoorzieningen_109,HandelskredEnTransitPosten_110,FinancieleTransactiesTotaal_111,ChartaalGeld_112,GiraleDepositoS_113,SpaartegoedenInEuros_114,OverigeDepositoS_115,KortlopendeWaardepapieren_116,Obligaties_117,FinancieleDerivaten_118,KortlopendeLeningen_119,LanglopendeLeningen_120,AandelenEnOverigeDeelnemingen_121,PensioenEnLevensverzVoorzieningen_122,HandelskredEnTransitPosten_123,OverigeMutatiesTotaal_124,ChartaalGeld_125,GiraleDepositoS_126,SpaartegoedenInEuros_127,OverigeDepositoS_128,KortlopendeWaardepapieren_129,Obligaties_130,FinancieleDerivaten_131,KortlopendeLeningen_132,LanglopendeLeningen_133,AandelenEnOverigeDeelnemingen_134,PensioenEnLevensverzVoorzieningen_135,HandelskredEnTransitPosten_136,EindbalansTotaal_137,ChartaalGeld_138,GiraleDepositoS_139,SpaartegoedenInEuros_140,OverigeDepositoS_141,KortlopendeWaardepapieren_142,Obligaties_143,FinancieleDerivaten_144,KortlopendeLeningen_145,LanglopendeLeningen_146,AandelenEnOverigeDeelnemingen_147,PensioenEnLevensverzVoorzieningen_148,HandelskredEnTransitPosten_149,BeginbalansTotaal_150,MonetairGoudEnBijzTrekkingsrechten_151,ChartaalGeld_152,GiraleDepositoS_153,OverigeDepositoS_154,KortlopendeWaardepapieren_155,Obligaties_156,KortlopendeLeningen_157,LanglopendeLeningen_158,AandelenEnOverigeDeelnemingen_159,PensioenEnLevensverzVoorzieningen_160,HandelskredEnTransitPosten_161,FinancieleTransactiesTotaal_162,MonetairGoudEnBijzTrekkingsrechten_163,ChartaalGeld_164,GiraleDepositoS_165,OverigeDepositoS_166,KortlopendeWaardepapieren_167,Obligaties_168,KortlopendeLeningen_169,LanglopendeLeningen_170,AandelenEnOverigeDeelnemingen_171,PensioenEnLevensverzVoorzieningen_172,HandelskredEnTransitPosten_173,OverigeMutatiesTotaal_174,MonetairGoudEnBijzTrekkingsrechten_175,ChartaalGeld_176,GiraleDepositoS_177,OverigeDepositoS_178,KortlopendeWaardepapieren_179,Obligaties_180,KortlopendeLeningen_181,LanglopendeLeningen_182,AandelenEnOverigeDeelnemingen_183,PensioenEnLevensverzVoorzieningen_184,HandelskredEnTransitPosten_185,EindbalansTotaal_186,MonetairGoudEnBijzTrekkingsrechten_187,ChartaalGeld_188,GiraleDepositoS_189,OverigeDepositoS_190,KortlopendeWaardepapieren_191,Obligaties_192,KortlopendeLeningen_193,LanglopendeLeningen_194,AandelenEnOverigeDeelnemingen_195,PensioenEnLevensverzVoorzieningen_196,HandelskredEnTransitPosten_197
44,Buitenla,2003JJ00,,,,,,-29203.0,-28181,-28181,2357127,2353014,4113,195141,225016,-29875,-1694.0,-64710,-18631,-46079,2487558,2559399,-71841,376125,270538.0,202221.0,68317.0,,,,,1807.0,1425.0,382.0,2551.0,2523.0,28.0,1370.0,1157.0,213.0,87958,49186,30626,560,7313,273.0,210.0,210.0,299,299.0,,1873.0,1240.0,633.0,10147,1987.0,183,7977.0,-272.0,2384,118.0,2266,404306,300498.0,233263.0,67235.0,,,,1130,869,261,95239,45948,44275,229,4725,62.0,,1074,1074,855.0,494.0,361.0,207,207.0,,3941,183,1987.0,1771,1362,182.0,1180,,,,,,2357127,0,53992,0.0,331718,43456,639548,13767,160308,237367,846012,7237.0,23722,195141,4196,18283,0.0,5823,-262,84012,-514,13619,31633,36812,-162.0,1701,-64710,-1892,-3316,0.0,-15647,-1,-42214,-5703,287,-5982,4598,736.0,4424,2487558,2304,68959,0.0,321894,43193,681346,7550,174214,263018,887422,7811.0,29847,2353014,8926.0,113.0,25713.0,260698.0,5442,365294,321417,401100,920381,1024.0,42906,225016,-777.0,-37.0,7326.0,47611.0,3694,37611,-23982,60389,94375,-34.0,-1160,-18631,101.0,0.0,-2165.0,-17250.0,-508,-5699,-13010,-6710,16015,0.0,10595,2559399,8250.0,76.0,30874.0,291059.0,8628,397206,284425,454779,1030771,990.0,52341
45,Buitenla,2004JJ00,,,,,,-42167.0,-40847,-40847,2487558,2559399,-71841,125547,165990,-40443,404.0,-17648,26691,-44339,2595457,2752080,-156623,418426,289894.0,220710.0,69184.0,,,,,2056.0,1600.0,456.0,2326.0,2292.0,34.0,1378.0,1052.0,326.0,108830,52071,34500,738,21230,291.0,190.0,190.0,278,278.0,,2065.0,1346.0,719.0,11507,2025.0,178,9304.0,-293.0,2951,155.0,2796,459273,326111.0,256089.0,70022.0,,,,1044,802,242,123939,49379,51864,241,22403,52.0,,1236,1236,1001.0,575.0,426.0,218,218.0,,4093,178,2025.0,1890,1631,190.0,1441,,,,,,2487558,2304,68959,0.0,321894,43193,681346,7550,174214,263018,887422,7811.0,29847,125547,-1004,-10700,0.0,73601,-489,56448,-6214,-12789,8549,14754,-188.0,3579,-17648,0,-1876,0.0,-7462,20,3048,2044,-192,-6493,-14727,1760.0,6230,2595457,1300,56383,0.0,388033,42724,740842,3380,161233,265074,887449,9383.0,39656,2559399,8250.0,76.0,30874.0,291059.0,8628,397206,284425,454779,1030771,990.0,52341,165990,-27.0,-4.0,13802.0,12694.0,7581,52456,-14545,28422,69313,-47.0,-3655,26691,-218.0,0.0,-649.0,-8626.0,-198,7979,-5410,-5628,35740,0.0,3701,2752080,8005.0,72.0,44027.0,295127.0,16011,457641,264470,477573,1135824,943.0,52387
46,Buitenla,2005JJ00,,,,,,-38422.0,-36671,-36671,2595457,2752080,-156623,213183,250329,-37146,-475.0,201796,148705,53091,3010436,3151114,-140678,471473,313688.0,241157.0,72531.0,,,,,2143.0,1670.0,473.0,2417.0,2417.0,0.0,1291.0,971.0,320.0,136222,57043,87147,757,-9030,305.0,210.0,210.0,272,272.0,,2316.0,1477.0,839.0,12513,2025.0,178,10310.0,-398.0,3381,120.0,3261,508144,357453.0,281867.0,75586.0,,,,1011,780,231,140958,51726,84403,167,4621,41.0,,1630,1630,1019.0,578.0,441.0,230,230.0,,4213,178,2025.0,2010,1630,96.0,1534,,,,,,2595457,1300,56383,0.0,388033,42724,740842,3380,161233,265074,887449,9383.0,39656,213183,-600,9313,0.0,14757,-6336,78028,519,17560,45653,51872,-288.0,2705,201796,0,2399,0.0,16658,0,8202,1666,2923,8401,149771,1076.0,10700,3010436,700,68095,0.0,419448,36388,827072,5565,181716,319128,1089092,10171.0,53061,2752080,8005.0,72.0,44027.0,295127.0,16011,457641,264470,477573,1135824,943.0,52387,250329,-940.0,6.0,16650.0,22606.0,175,42843,6603,32277,120398,-46.0,9757,148705,2615.0,0.0,2986.0,13154.0,551,17671,2277,17054,93490,0.0,-1093,3151114,9680.0,78.0,63663.0,330887.0,16737,518155,273350,526904,1349712,897.0,61051
47,Buitenla,2006JJ00,,,,,,-48744.0,-46856,-46856,3010436,3151114,-140678,482530,529944,-47414,-558.0,-35318,-16216,-19102,3457648,3664842,-207194,534714,351669.0,274775.0,76894.0,,,,,2261.0,1760.0,501.0,2708.0,2708.0,0.0,1522.0,919.0,603.0,160631,79200,51920,772,28470,269.0,228.0,228.0,276,276.0,,2255.0,1381.0,874.0,12961,2045.0,188,10728.0,-433.0,3680,139.0,3541,581570,393475.0,316270.0,77205.0,,,,988,763,225,177615,67511,101003,225,8830,46.0,,1855,1855,1061.0,620.0,441.0,242,242.0,,4542,188,2045.0,2309,1792,92.0,1700,,,,,,3010436,700,68095,0.0,419448,36388,827072,5565,181716,319128,1089092,10171.0,53061,482530,-700,36023,0.0,82799,1331,78007,-3373,70468,-9495,218665,-341.0,9146,-35318,0,-3395,0.0,-16280,7,-17814,-7074,-4728,-6603,25053,303.0,-4787,3457648,0,100723,0.0,485967,37726,887265,-4882,247456,303030,1332810,10133.0,57420,3151114,9680.0,78.0,63663.0,330887.0,16737,518155,273350,526904,1349712,897.0,61051,529944,-793.0,2505.0,74427.0,39107.0,757,43793,94688,50553,229595,-180.0,-4508,-16216,1050.0,0.0,-5727.0,-12089.0,-233,-18020,-5384,-10531,34800,-53.0,-29,3664842,9937.0,2583.0,132363.0,357905.0,17261,543928,362654,566926,1614107,664.0,56514
48,Buitenla,2007JJ00,,,,,,-48087.0,-46901,-46901,3457648,3664842,-207194,494246,542617,-48371,-1470.0,-32823,-29206,-3617,3919071,4178253,-259182,612385,377234.0,298650.0,78584.0,,,,,4818.0,4056.0,762.0,3119.0,2999.0,120.0,1028.0,271.0,757.0,208450,94794,80393,565,32391,307.0,312.0,312.0,281,281.0,,2228.0,1395.0,833.0,13421,2033.0,172,11216.0,-347.0,3897,163.0,3734,659286,424229.0,342311.0,81918.0,,,,962,739,223,223899,83864,126115,221,13667,32.0,,1538,1538,1120.0,634.0,486.0,234,234.0,,4593,172,2033.0,2388,2711,71.0,2640,,,,,,3457648,0,100723,0.0,485967,37726,887265,-4882,247456,303030,1332810,10133.0,57420,494246,0,18393,0.0,113235,13255,71802,-13955,58964,143862,86365,-344.0,2669,-32823,0,-7546,0.0,-30746,-1339,-22284,-7425,-6,-10642,50261,381.0,-3477,3919071,0,111570,0.0,568456,49642,936783,-26262,306414,436250,1469436,10170.0,56612,3664842,9937.0,2583.0,132363.0,357905.0,17261,543928,362654,566926,1614107,664.0,56514,542617,-222.0,4500.0,28839.0,101941.0,1956,13002,22066,246170,118710,-3.0,5658,-29206,1736.0,-71.0,-7594.0,-12056.0,-464,-1179,-7157,-7192,2244,4.0,2523,4178253,11451.0,7012.0,153608.0,447790.0,18753,555751,377563,805904,1735061,665.0,64695
49,Buitenla,2008JJ00,,,,,,-28083.0,-25979,-25979,3919071,4178253,-259182,17022,43661,-26639,-660.0,-144577,-153470,8893,3791516,4068444,-276928,634909,404047.0,319259.0,84788.0,,,,,5979.0,5066.0,913.0,3221.0,3080.0,141.0,1042.0,186.0,856.0,201639,103761,86141,562,10864,311.0,341.0,341.0,282,282.0,,2308.0,1476.0,832.0,13931,2041.0,172,11718.0,-302.0,4505,158.0,4347,660888,453442.0,362462.0,90980.0,,,,941,724,217,196230,91900,114303,198,-10192,21.0,,1560,1560,1248.0,718.0,530.0,248,248.0,,4818,172,2041.0,2605,2401,65.0,2336,,,,,,3919071,0,111570,0.0,568456,49642,936783,-26262,306414,436250,1469436,10170.0,56612,17022,0,-33416,0.0,-85967,72176,15260,-11383,13699,-7304,55190,-302.0,-931,-144577,0,2319,0.0,10610,207,5628,-1732,-12419,-570,-148251,-1839.0,1470,3791516,0,80473,0.0,493099,122025,957671,-39377,307694,428376,1376375,8029.0,57151,4178253,11451.0,7012.0,153608.0,447790.0,18753,555751,377563,805904,1735061,665.0,64695,43661,-129.0,4162.0,-25222.0,-89692.0,-6167,-11256,-2633,69334,117981,0.0,-12717,-153470,1063.0,0.0,2564.0,5767.0,225,-23538,-2213,-26030,-116782,0.0,5474,4068444,12385.0,11174.0,130950.0,363865.0,12811,520957,372717,849208,1736260,665.0,57452
50,Buitenla,2009JJ00,,,,,,-18180.0,-15649,-15649,3791516,4068444,-276928,1447,18803,-17356,-689.0,103628,186620,-82992,3896591,4273867,-377276,545859,352983.0,264680.0,88303.0,,,,,5855.0,4946.0,909.0,2074.0,2049.0,25.0,1086.0,255.0,831.0,164377,77509,76409,579,9568,312.0,233.0,233.0,284,284.0,,2305.0,1473.0,832.0,14202,2041.0,166,11995.0,-230.0,4862,135.0,4727,561508,393050.0,300908.0,92142.0,,,,1045,826,219,156325,64910,99661,214,-8480,20.0,,624,624,1379.0,777.0,602.0,248,248.0,,6506,166,2041.0,4299,2331,65.0,2266,,,,,,3791516,0,80473,0.0,493099,122025,957671,-39377,307694,428376,1376375,8029.0,57151,1447,0,17591,0.0,-49500,3160,64676,28216,-39941,-91748,56687,-717.0,13023,103628,0,-656,0.0,-3366,-378,-19401,-3175,-2443,8766,121239,717.0,2325,3896591,0,97408,0.0,440233,124807,1002946,-14336,265310,345394,1554301,8029.0,72499,4068444,12385.0,11174.0,130950.0,363865.0,12811,520957,372717,849208,1736260,665.0,57452,18803,-92.0,3094.0,-10608.0,-60735.0,2392,36292,40086,-92419,107437,46.0,-6690,186620,8116.0,0.0,-267.0,-2531.0,-15,14858,-5434,10304,154355,12.0,7222,4273867,20409.0,14268.0,120075.0,300599.0,15188,572107,407369,767093,1998052,723.0,57984
51,Buitenla,2010JJ00,,,,,,-29565.0,-26306,-26306,3896591,4273867,-377276,186223,211406,-25183,1123.0,134767,124325,10442,4217581,4609598,-392017,655334,414434.0,319826.0,94608.0,,,,,5432.0,4525.0,907.0,2186.0,2159.0,27.0,899.0,117.0,782.0,210395,74203,104804,648,30428,312.0,689.0,689.0,284,284.0,,2304.0,1472.0,832.0,14968,2040.0,168,12760.0,-154.0,5695,90.0,5605,681640,461717.0,361676.0,100041.0,,,,1099,893,206,207013,55583,141003,269,10138,20.0,,843,830,1529.0,851.0,678.0,248,248.0,,6755,168,2040.0,4547,2436,65.0,2371,,,,,,3896591,0,97408,0.0,440233,124807,1002946,-14336,265310,345394,1554301,8029.0,72499,186223,0,30838,0.0,17944,1364,31842,-9832,-8000,28096,99629,37.0,-5695,134767,0,4650,0.0,13753,2459,28492,345,9835,11318,58653,142.0,5120,4217581,0,132896,0.0,471930,128630,1063280,-23823,267145,384808,1712583,8208.0,71924,4273867,20409.0,14268.0,120075.0,300599.0,15188,572107,407369,767093,1998052,723.0,57984,211406,-17.0,4300.0,-10044.0,1105.0,-1606,-18783,92254,12125,124881,0.0,7191,124325,6027.0,0.0,3526.0,5771.0,246,12016,10183,15674,68532,0.0,2350,4609598,26419.0,18568.0,113557.0,307475.0,13828,565340,509806,794892,2191465,723.0,67525
52,Buitenla,2011JJ00,,,,,,-44255.0,-42194,-42194,4217581,4609598,-392017,257229,301216,-43987,-1793.0,-7002,6737,-13739,4467808,4917551,-449743,674926,450969.0,351874.0,99095.0,,,,,6187.0,5009.0,1178.0,2583.0,2583.0,0.0,1003.0,27.0,976.0,194215,73956,83564,665,35718,312.0,244.0,244.0,284,284.0,,2304.0,1472.0,832.0,15088,2040.0,168,12880.0,-82.0,4137,48.0,4089,717120,502393.0,397068.0,105325.0,,,,1084,881,203,202815,59052,160835,202,-17298,24.0,,979,896,1707.0,957.0,750.0,248,248.0,,5818,168,2040.0,3610,2076,66.0,2010,,,,,,4217581,0,132896,0.0,471930,128630,1063280,-23823,267145,384808,1712583,8208.0,71924,257229,0,44901,0.0,1064,10607,-9006,-7494,-8464,8784,178517,364.0,37956,-7002,0,2415,0.0,5790,4422,15180,-35139,2927,4054,-9531,470.0,2410,4467808,0,180212,0.0,478784,143659,1069454,-66456,261608,397646,1881569,9042.0,112290,4609598,26419.0,18568.0,113557.0,307475.0,13828,565340,509806,794892,2191465,723.0,67525,301216,-218.0,3785.0,-957.0,-62446.0,-4166,-7350,163151,3832,196905,0.0,8680,6737,3384.0,-1.0,546.0,2940.0,99,6975,2485,4536,-15588,0.0,1361,4917551,29585.0,22352.0,113146.0,247969.0,9761,564965,675442,803260,2372782,723.0,77566
53,Buitenla,2012JJ00,,,,,,-45897.0,-44170,-44170,4467808,4917551,-449743,5272,47887,-42615,1555.0,52803,89879,-37076,4525883,5055317,-529434,663135,477234.0,374386.0,102848.0,,,,,6788.0,5378.0,1410.0,2689.0,2689.0,0.0,959.0,13.0,946.0,154743,62104,78255,706,13366,312.0,583.0,583.0,284,284.0,,2304.0,1472.0,832.0,15890,2040.0,168,13682.0,-9.0,3588,40.0,3548,707305,527583.0,420358.0,107225.0,,,,1077,873,204,167839,50948,116563,217,82,29.0,,960,870,1888.0,1065.0,823.0,248,248.0,,5849,168,2040.0,3641,1861,66.0,1795,,,,,,4467808,0,180212,0.0,478784,143659,1069454,-66456,261608,397646,1881569,9042.0,112290,5272,0,6967,0.0,-73882,-15853,21780,-1832,-10311,-4391,41459,-1653.0,42988,52803,0,-1083,0.0,-1208,-436,25209,-3259,-7020,1110,38732,1112.0,-354,4525883,0,186096,0.0,403694,127370,1116443,-71547,244277,394365,1961760,8501.0,154924,4917551,29585.0,22352.0,113146.0,247969.0,9761,564965,675442,803260,2372782,723.0,77566,47887,-94.0,1141.0,-10812.0,-8214.0,10366,32547,7724,-20779,34412,0.0,1596,89879,775.0,0.0,153.0,-3672.0,-263,35928,-2910,-2469,63507,0.0,-1170,5055317,30266.0,23493.0,102487.0,236083.0,19864,633440,680256,780012,2470701,723.0,77992
54,BuitenBF,1995JJ00,,,,,,-18596.0,-17494,-17494,401521,440414,-38893,20372,38458,-18086,-592.0,20023,-1368,21391,441916,477504,-35588,190139,158703.0,126864.0,31839.0,,,,,1166.0,1019.0,147.0,3400.0,3367.0,33.0,1862.0,1766.0,96.0,20824,14337,5931,132,177,247.0,104.0,104.0,247,247.0,,1161.0,868.0,293.0,4522,610.0,171,3741.0,-54.0,1928,329.0,1599,207633,177011.0,144366.0,32645.0,,,,1176,958,218,25674,14868,6311,287,4128,80.0,,472,472,571.0,332.0,239.0,202,202.0,,1701,171,610.0,920,826,34.0,792,,,,,,401521,0,6311,2855.0,98881,644,67476,3107,31377,31483,141891,2604.0,14892,20372,0,899,915.0,6727,353,6207,-1269,5215,-332,1013,17.0,627,20023,0,0,0.0,425,-1,8144,-2827,-102,-1133,14577,989.0,-49,441916,0,7210,3770.0,106033,996,81827,-989,36490,30018,157481,3610.0,15470,440414,17364.0,202.0,7759.0,92652.0,14789,39886,42297,50138,153587,959.0,20781,38458,-524.0,4.0,1423.0,2742.0,-2042,8075,5432,1013,22549,22.0,-236,-1368,-1068.0,0.0,-2.0,-969.0,-506,4043,-1313,500,2967,80.0,-5100,477504,15772.0,206.0,9180.0,94425.0,12241,52004,46416,51651,179103,1061.0,15445
55,BuitenBF,1996JJ00,,,,,,-16243.0,-14442,-14442,441916,477504,-35588,43763,58221,-14458,-16.0,41642,26916,14726,527321,562641,-35320,204679,167488.0,133457.0,34031.0,,,,,1137.0,994.0,143.0,3021.0,2995.0,26.0,1483.0,1282.0,201.0,24545,14996,6837,302,2176,234.0,127.0,127.0,262,262.0,,1232.0,902.0,330.0,5389,540.0,174,4675.0,-85.0,3046,300.0,2746,219121,185874.0,150899.0,34975.0,,,,1220,994,226,27689,15608,9167,346,2480,88.0,,513,513,559.0,314.0,245.0,201,201.0,,1820,174,540.0,1106,1245,17.0,1228,,,,,,441916,0,7210,3770.0,106033,996,81827,-989,36490,30018,157481,3610.0,15470,43763,0,3527,1775.0,8597,638,3739,-559,9926,5738,9342,23.0,1017,41642,0,0,0.0,157,0,-1169,4528,-421,-77,39812,216.0,-1404,527321,0,10737,5545.0,114787,1634,84397,2980,45995,35679,206635,3849.0,15083,477504,15772.0,206.0,9180.0,94425.0,12241,52004,46416,51651,179103,1061.0,15445,58221,-2686.0,36.0,-262.0,-2744.0,-758,22456,16796,6218,18929,24.0,212,26916,2144.0,0.0,52.0,615.0,164,1367,-2001,-648,21770,0.0,3453,562641,15230.0,242.0,8970.0,92296.0,11647,75827,61211,57221,219802,1085.0,19110
56,BuitenBF,1997JJ00,,,,,,-20235.0,-19233,-19233,527321,562641,-35320,79079,98465,-19386,-153.0,60152,11968,48184,666552,673074,-6522,231936,189125.0,151848.0,37277.0,,,,,1245.0,1093.0,152.0,3372.0,3352.0,20.0,1339.0,1189.0,150.0,29273,17556,8119,294,3067,237.0,149.0,149.0,281,281.0,,1282.0,927.0,355.0,5979,654.0,192,5133.0,-106.0,2675,350.0,2325,251169,210228.0,170935.0,39293.0,,,,1295,1054,241,34382,18611,10145,426,5109,91.0,,763,763,593.0,344.0,249.0,185,185.0,,2050,192,654.0,1204,1673,67.0,1606,,,,,,527321,0,10737,5545.0,114787,1634,84397,2980,45995,35679,206635,3849.0,15083,79079,0,910,62.0,30514,1984,8130,-364,14470,8181,6110,-2.0,9084,60152,0,2,0.0,15,0,314,-2962,-1033,-145,64709,480.0,-1228,666552,0,11649,5607.0,145316,3618,92841,-346,59432,43715,277454,4327.0,22939,562641,15230.0,242.0,8970.0,92296.0,11647,75827,61211,57221,219802,1085.0,19110,98465,144.0,4.0,2401.0,-6325.0,1415,31637,27678,9397,26703,11.0,5400,11968,-4494.0,-1.0,90.0,1386.0,3329,1294,-2346,620,15823,0.0,-3733,673074,10880.0,245.0,11461.0,87357.0,16391,108758,86543,67238,262328,1096.0,20777
57,BuitenBF,1998JJ00,,,,,,-9824.0,-9144,-9144,666552,673074,-6522,112632,123132,-10500,-1356.0,46774,4652,42122,825958,800858,25100,250462,200386.0,159822.0,40564.0,,,,,1444.0,1211.0,233.0,3239.0,3222.0,17.0,1277.0,1089.0,188.0,36625,20791,9122,232,6214,266.0,161.0,161.0,281,281.0,,1337.0,950.0,387.0,6403,807.0,128,5468.0,-119.0,1982,198.0,1784,259606,219624.0,177540.0,42084.0,,,,1306,1062,244,33565,21576,11797,389,-289,92.0,,913,913,640.0,372.0,268.0,193,193.0,,2063,128,807.0,1128,1302,74.0,1228,,,,,,666552,0,11649,5607.0,145316,3618,92841,-346,59432,43715,277454,4327.0,22939,112632,0,7588,0.0,39989,455,23187,999,8495,8248,23987,-16.0,-300,46774,0,16019,-5607.0,35007,3205,10439,-1728,-30891,-9643,30021,829.0,-877,825958,0,35256,0.0,220312,7278,126467,-1075,37036,42320,331462,5140.0,21762,673074,10880.0,245.0,11461.0,87357.0,16391,108758,86543,67238,262328,1096.0,20777,123132,-1578.0,41.0,2643.0,17466.0,1389,45285,508,14288,40378,9.0,2703,4652,-832.0,33.0,5669.0,45546.0,-9605,18970,-34345,-12449,-5980,0.0,-2355,800858,8470.0,319.0,19773.0,150369.0,8175,173013,52706,69077,296726,1105.0,21125
58,BuitenBF,1999JJ00,,,,,,-17104.0,-16568,-16568,825958,800858,25100,149676,169653,-19977,-3409.0,81342,60041,21301,1056976,1030552,26424,270043,215373.0,171467.0,43906.0,,,,,1265.0,1025.0,240.0,3238.0,3221.0,17.0,1338.0,1166.0,172.0,40070,23879,10939,275,4735,242.0,198.0,198.0,297,297.0,,1426.0,986.0,440.0,7073,933.0,159,5981.0,-193.0,2634,155.0,2479,286611,234299.0,188543.0,45756.0,,,,1135,877,258,44386,23636,14062,275,6334,79.0,,1528,1528,648.0,401.0,247.0,184,184.0,,2333,159,933.0,1241,2098,123.0,1975,,,,,,825958,0,35256,0.0,220312,7278,126467,-1075,37036,42320,331462,5140.0,21762,149676,0,-969,0.0,782,12643,61024,3947,16095,12725,45771,-84.0,-2258,81342,0,2159,0.0,12884,0,-9891,-12018,760,2407,82839,1661.0,541,1056976,0,36446,0.0,233978,19921,177600,-9146,53891,57452,460072,6717.0,20045,800858,8470.0,319.0,19773.0,150369.0,8175,173013,52706,69077,296726,1105.0,21125,169653,-443.0,-177.0,-5954.0,-4705.0,7456,26471,34540,29969,78903,-5.0,3598,60041,1402.0,0.0,989.0,8203.0,880,-4652,5302,1680,57196,0.0,-10959,1030552,9429.0,142.0,14808.0,153867.0,16511,194832,92548,100726,432825,1100.0,13764
59,BuitenBF,2000JJ00,,,,,,-25685.0,-24471,-24471,1056976,1030552,26424,142417,166241,-23824,647.0,11023,-13627,24650,1210416,1183166,27250,320423,257979.0,208552.0,49427.0,,,,,1416.0,1144.0,272.0,3348.0,3334.0,14.0,1331.0,1152.0,179.0,45958,29391,12679,368,3237,283.0,268.0,268.0,309,309.0,,1501.0,1002.0,499.0,8505,1295.0,94,7116.0,-207.0,2677,158.0,2519,344894,283004.0,232334.0,50670.0,,,,1209,935,274,54452,28415,20465,385,5105,82.0,,1048,1048,743.0,451.0,292.0,188,188.0,,2787,94,1295.0,1398,1463,57.0,1406,,,,,,1056976,0,36446,0.0,233978,19921,177600,-9146,53891,57452,460072,6717.0,20045,142417,0,8181,0.0,8168,99,57703,-4644,2880,30818,25990,-84.0,13306,11023,0,824,0.0,7360,0,-5651,8888,1697,2182,-7604,-134.0,3461,1210416,0,45451,0.0,249506,20020,229652,-4902,58468,90452,478458,6499.0,36812,1030552,9429.0,142.0,14808.0,153867.0,16511,194832,92548,100726,432825,1100.0,13764,166241,-1017.0,132.0,14505.0,6760.0,-8972,48905,-8112,41626,67523,-29.0,4920,-13627,136.0,0.0,1625.0,3491.0,-144,-1447,2551,-2332,-23891,27.0,6357,1183166,8548.0,274.0,30938.0,164118.0,7395,242290,86987,140020,476457,1098.0,25041
