ID,Zorgaanbieders,FinancieringsvormenZorg,Perioden,UitgavenGezondheidsEnWelzijnszorg_1
127,A052929,A019151,2024JJ00,734.0
128,A052929,A019154,2021JJ00,576.0
129,A052929,A019154,2022JJ00,593.0
130,A052929,A019154,2023JJ00,660.0
131,A052929,A019154,2024JJ00,732.0
132,A052929,A019155,2021JJ00,
133,A052929,A019155,2022JJ00,
134,A052929,A019155,2023JJ00,
135,A052929,A019155,2024JJ00,
136,A052929,A019156,2021JJ00,17038.0
137,A052929,A019156,2022JJ00,17462.0
138,A052929,A019156,2023JJ00,18655.0
139,A052929,A019156,2024JJ00,20123.0
140,A052929,A019158,2021JJ00,15.0
141,A052929,A019158,2022JJ00,14.0
142,A052929,A019158,2023JJ00,15.0
143,A052929,A019158,2024JJ00,16.0
144,A052929,A019163,2021JJ00,1395.0
145,A052929,A019163,2022JJ00,1437.0
146,A052929,A019163,2023JJ00,1504.0
147,A052929,A019163,2024JJ00,1560.0
148,A052929,A019164,2021JJ00,151.0
149,A052929,A019164,2022JJ00,151.0
150,A052929,A019164,2023JJ00,159.0
151,A052929,A019164,2024JJ00,181.0
152,A052929,A019165,2021JJ00,1243.0
153,A052929,A019165,2022JJ00,1286.0
154,A052929,A019165,2023JJ00,1344.0
155,A052929,A019165,2024JJ00,1379.0
156,A052929,A044427,2021JJ00,30.0
157,A052929,A044427,2022JJ00,49.0
158,A052929,A044427,2023JJ00,49.0
159,A052929,A044427,2024JJ00,50.0
160,A052930,T001103,2021JJ00,9329.0
161,A052930,T001103,2022JJ00,9611.0
162,A052930,T001103,2023JJ00,10369.0
163,A052930,T001103,2024JJ00,10880.0
164,A052930,A019151,2021JJ00,1357.0
165,A052930,A019151,2022JJ00,1282.0
166,A052930,A019151,2023JJ00,1284.0
167,A052930,A019151,2024JJ00,1340.0
168,A052930,A019154,2021JJ00,0.0
169,A052930,A019154,2022JJ00,0.0
170,A052930,A019154,2023JJ00,0.0
171,A052930,A019154,2024JJ00,0.0
172,A052930,A019155,2021JJ00,
173,A052930,A019155,2022JJ00,
174,A052930,A019155,2023JJ00,
175,A052930,A019155,2024JJ00,
176,A052930,A019156,2021JJ00,6962.0
177,A052930,A019156,2022JJ00,7202.0
178,A052930,A019156,2023JJ00,7843.0
179,A052930,A019156,2024JJ00,8265.0
180,A052930,A019158,2021JJ00,2.0
181,A052930,A019158,2022JJ00,2.0
182,A052930,A019158,2023JJ00,2.0
183,A052930,A019158,2024JJ00,2.0
184,A052930,A019163,2021JJ00,562.0
185,A052930,A019163,2022JJ00,682.0
186,A052930,A019163,2023JJ00,782.0
187,A052930,A019163,2024JJ00,805.0
188,A052930,A019164,2021JJ00,124.0
189,A052930,A019164,2022JJ00,236.0
190,A052930,A019164,2023JJ00,326.0
191,A052930,A019164,2024JJ00,339.0
192,A052930,A019165,2021JJ00,438.0
193,A052930,A019165,2022JJ00,446.0
194,A052930,A019165,2023JJ00,456.0
195,A052930,A019165,2024JJ00,466.0
196,A052930,A044427,2021JJ00,447.0
197,A052930,A044427,2022JJ00,444.0
198,A052930,A044427,2023JJ00,457.0
199,A052930,A044427,2024JJ00,468.0
200,A052931,T001103,2021JJ00,3486.0
201,A052931,T001103,2022JJ00,3810.0
202,A052931,T001103,2023JJ00,4233.0
203,A052931,T001103,2024JJ00,4615.0
204,A052931,A019151,2021JJ00,174.0
205,A052931,A019151,2022JJ00,177.0
206,A052931,A019151,2023JJ00,184.0
207,A052931,A019151,2024JJ00,206.0
208,A052931,A019154,2021JJ00,0.0
209,A052931,A019154,2022JJ00,1.0
210,A052931,A019154,2023JJ00,2.0
211,A052931,A019154,2024JJ00,3.0
212,A052931,A019155,2021JJ00,
213,A052931,A019155,2022JJ00,
214,A052931,A019155,2023JJ00,
215,A052931,A019155,2024JJ00,
216,A052931,A019156,2021JJ00,2523.0
217,A052931,A019156,2022JJ00,2694.0
218,A052931,A019156,2023JJ00,2905.0
219,A052931,A019156,2024JJ00,3140.0
220,A052931,A019158,2021JJ00,16.0
221,A052931,A019158,2022JJ00,9.0
222,A052931,A019158,2023JJ00,10.0
223,A052931,A019158,2024JJ00,9.0
224,A052931,A019163,2021JJ00,771.0
225,A052931,A019163,2022JJ00,926.0
226,A052931,A019163,2023JJ00,1130.0
227,A052931,A019163,2024JJ00,1254.0
228,A052931,A019164,2021JJ00,586.0
229,A052931,A019164,2022JJ00,730.0
230,A052931,A019164,2023JJ00,924.0
231,A052931,A019164,2024JJ00,1044.0
232,A052931,A019165,2021JJ00,185.0
233,A052931,A019165,2022JJ00,197.0
234,A052931,A019165,2023JJ00,206.0
235,A052931,A019165,2024JJ00,210.0
236,A052931,A044427,2021JJ00,2.0
237,A052931,A044427,2022JJ00,3.0
238,A052931,A044427,2023JJ00,3.0
239,A052931,A044427,2024JJ00,3.0
240,A052932,T001103,2021JJ00,8926.0
241,A052932,T001103,2022JJ00,9641.0
242,A052932,T001103,2023JJ00,10608.0
243,A052932,T001103,2024JJ00,11749.0
244,A052932,A019151,2021JJ00,3000.0
245,A052932,A019151,2022JJ00,3243.0
246,A052932,A019151,2023JJ00,3396.0
247,A052932,A019151,2024JJ00,3795.0
248,A052932,A019154,2021JJ00,1063.0
249,A052932,A019154,2022JJ00,1203.0
250,A052932,A019154,2023JJ00,1366.0
251,A052932,A019154,2024JJ00,1547.0
252,A052932,A019155,2021JJ00,
253,A052932,A019155,2022JJ00,
254,A052932,A019155,2023JJ00,
255,A052932,A019155,2024JJ00,
256,A052932,A019156,2021JJ00,3742.0
257,A052932,A019156,2022JJ00,3969.0
258,A052932,A019156,2023JJ00,4506.0
259,A052932,A019156,2024JJ00,5006.0
260,A052932,A019158,2021JJ00,0.0
261,A052932,A019158,2022JJ00,0.0
262,A052932,A019158,2023JJ00,0.0
263,A052932,A019158,2024JJ00,0.0
264,A052932,A019163,2021JJ00,1122.0
265,A052932,A019163,2022JJ00,1227.0
266,A052932,A019163,2023JJ00,1340.0
267,A052932,A019163,2024JJ00,1400.0
268,A052932,A019164,2021JJ00,860.0
269,A052932,A019164,2022JJ00,917.0
270,A052932,A019164,2023JJ00,1009.0
271,A052932,A019164,2024JJ00,1060.0
272,A052932,A019165,2021JJ00,262.0
273,A052932,A019165,2022JJ00,310.0
274,A052932,A019165,2023JJ00,331.0
275,A052932,A019165,2024JJ00,340.0
276,A052932,A044427,2021JJ00,0.0
277,A052932,A044427,2022JJ00,0.0
278,A052932,A044427,2023JJ00,0.0
279,A052932,A044427,2024JJ00,0.0
280,A052933,T001103,2021JJ00,3937.0
281,A052933,T001103,2022JJ00,3891.0
282,A052933,T001103,2023JJ00,4280.0
283,A052933,T001103,2024JJ00,4739.0
284,A052933,A019151,2021JJ00,150.0
285,A052933,A019151,2022JJ00,100.0
286,A052933,A019151,2023JJ00,78.0
287,A052933,A019151,2024JJ00,83.0
288,A052933,A019154,2021JJ00,0.0
289,A052933,A019154,2022JJ00,0.0
290,A052933,A019154,2023JJ00,0.0
291,A052933,A019154,2024JJ00,0.0
292,A052933,A019155,2021JJ00,
293,A052933,A019155,2022JJ00,
294,A052933,A019155,2023JJ00,
295,A052933,A019155,2024JJ00,
296,A052933,A019156,2021JJ00,3700.0
297,A052933,A019156,2022JJ00,3703.0
298,A052933,A019156,2023JJ00,4111.0
299,A052933,A019156,2024JJ00,4562.0
300,A052933,A019158,2021JJ00,10.0
301,A052933,A019158,2022JJ00,9.0
302,A052933,A019158,2023JJ00,9.0
303,A052933,A019158,2024JJ00,9.0
304,A052933,A019163,2021JJ00,72.0
305,A052933,A019163,2022JJ00,72.0
306,A052933,A019163,2023JJ00,75.0
307,A052933,A019163,2024JJ00,78.0
308,A052933,A019164,2021JJ00,32.0
309,A052933,A019164,2022JJ00,34.0
