ID,Systemen,Perioden,InGebruikGenomenInstallaties_1,UitGebruikGenomenInstallaties_2,OpgesteldeInstallatiesEindeVanJaar_3,InGebruikGenomenCollectoroppervlak_4,UitGebruikGenomenCollectoroppervlak_5,OpgesteldCollectoroppervlakEindeJaar_6,Warmteproductie_7
0,E006591,1990JJ00,,,,9095,1235,73228,100
1,E006591,1991JJ00,,,,11611,4280,80559,113
2,E006591,1992JJ00,,,,17311,2976,94894,136
3,E006591,1993JJ00,,,,14474,4018,105350,154
4,E006591,1994JJ00,,,,17584,1957,120977,180
5,E006591,1995JJ00,,,,20782,2677,139082,211
6,E006591,1996JJ00,,,,23238,4486,157835,244
7,E006591,1997JJ00,,,,33253,5744,185344,294
8,E006591,1998JJ00,,,,34173,4507,215010,345
9,E006591,1999JJ00,,,,35928,2434,248504,404
10,E006591,2000JJ00,,,,35563,8373,275694,454
11,E006591,2001JJ00,,,,38171,7342,306523,511
12,E006591,2002JJ00,,,,41582,6050,342055,575
13,E006591,2003JJ00,,,,29692,3703,368044,624
14,E006591,2004JJ00,,,,33878,6459,395462,674
15,E006591,2005JJ00,,,,26338,0,421800,719
16,E006591,2006JJ00,,,,20964,0,442764,755
17,E006591,2007JJ00,,,,25222,0,467986,798
18,E006591,2008JJ00,,,,26369,0,494355,846
19,E006591,2009JJ00,,,,44176,0,538531,926
20,E006591,2010JJ00,,,,46731,9095,576167,994
21,E006591,2011JJ00,,,,36026,11611,600582,1040
22,E006591,2012JJ00,,,,31683,17311,614954,1070
23,E006591,2013JJ00,,,,32499,14244,633209,1106
24,E006591,2014JJ00,,,,28196,17572,643832,1128
25,E006591,2015JJ00,,,,24140,20575,647397,1137
26,E006591,2016JJ00,,,,27937,23129,652205,1147
27,E006591,2017JJ00,,,,31004,32938,650271,1144
28,E006591,2018JJ00,,,,40835,34173,656934,1156
29,E006591,2019JJ00,,,,51491,35928,672496,1180
30,E006591,2020JJ00,,,,32482,35563,669416,1176
31,E006591,2021JJ00,,,,30609,38171,661854,1164
32,E006591,2022JJ00,,,,42097,41582,662369,1168
33,E006591,2023JJ00,,,,34851,29692,667528,1176
34,E006591,2024JJ00,,,,20560,33878,654210,1153
35,E006645,1990JJ00,544.0,0.0,2129.0,1511,0,5990,11
36,E006645,1991JJ00,1815.0,0.0,3944.0,5278,0,11268,21
37,E006645,1992JJ00,2135.0,0.0,6079.0,6715,0,17984,34
38,E006645,1993JJ00,1914.0,12.0,7981.0,5969,48,23904,45
39,E006645,1994JJ00,2505.0,5.0,10481.0,8137,14,32028,60
40,E006645,1995JJ00,3375.0,52.0,13804.0,11028,143,42913,81
41,E006645,1996JJ00,4495.0,124.0,18175.0,14647,330,57230,108
42,E006645,1997JJ00,7917.0,233.0,25859.0,21759,643,78346,148
43,E006645,1998JJ00,7526.0,326.0,33059.0,20229,1013,97563,184
44,E006645,1999JJ00,8565.0,142.0,41482.0,25721,385,122899,232
45,E006645,2000JJ00,7971.0,184.0,49269.0,24682,496,147085,278
46,E006645,2001JJ00,8736.0,126.0,57879.0,27257,340,174003,328
47,E006645,2002JJ00,10035.0,240.0,67674.0,28080,658,201424,380
48,E006645,2003JJ00,8385.0,125.0,75934.0,23450,348,224526,424
49,E006645,2004JJ00,7844.0,249.0,83529.0,21284,705,245104,463
50,E006645,2005JJ00,7294.0,0.0,90823.0,17577,0,262681,496
51,E006645,2006JJ00,5551.0,0.0,96374.0,13010,0,275691,520
52,E006645,2007JJ00,6214.0,0.0,102588.0,17021,0,292712,552
53,E006645,2008JJ00,6977.0,0.0,109565.0,19420,0,312132,589
54,E006645,2009JJ00,10714.0,0.0,120279.0,31842,0,343974,649
55,E006645,2010JJ00,8318.0,544.0,128053.0,25434,1511,367897,694
56,E006645,2011JJ00,9109.0,1815.0,135347.0,24600,5278,387219,731
57,E006645,2012JJ00,7038.0,2135.0,140250.0,20730,6715,401234,757
58,E006645,2013JJ00,7895.0,1914.0,146231.0,21650,5969,416915,787
59,E006645,2014JJ00,7268.0,2501.0,150998.0,19901,8126,428691,809
60,E006645,2015JJ00,5145.0,3300.0,152843.0,15664,10821,433534,818
61,E006645,2016JJ00,6050.0,4454.0,154439.0,18712,14538,437707,826
62,E006645,2017JJ00,6303.0,7804.0,152938.0,18077,21443,434341,820
63,E006645,2018JJ00,,,,23479,20229,437591,826
64,E006645,2019JJ00,,,,23874,25721,435744,822
65,E006645,2020JJ00,,,,22785,24682,433846,819
66,E006645,2021JJ00,,,,17634,27257,424224,801
67,E006645,2022JJ00,,,,27629,28080,423773,800
68,E006645,2023JJ00,,,,22030,23450,422353,797
69,E006645,2024JJ00,,,,8985,21284,410054,774
70,E006646,1990JJ00,,,,1206,125,10518,18
71,E006646,1991JJ00,,,,716,265,10969,19
72,E006646,1992JJ00,,,,555,526,10998,19
73,E006646,1993JJ00,,,,1979,80,12896,22
74,E006646,1994JJ00,,,,2175,79,14993,26
75,E006646,1995JJ00,,,,2005,426,16571,29
76,E006646,1996JJ00,,,,1841,214,18198,32
77,E006646,1997JJ00,,,,3680,542,21336,38
78,E006646,1998JJ00,,,,3512,291,24557,44
79,E006646,1999JJ00,,,,2407,400,26563,48
80,E006646,2000JJ00,,,,3080,3935,25708,47
81,E006646,2001JJ00,,,,3414,780,28342,52
82,E006646,2002JJ00,,,,6002,900,33444,60
