ID,RegioS,Perioden,TotaleOppervlakte_1,TotaalVerkeersterrein_2,Spoorterrein_3,Wegverkeersterrein_4,Vliegveld_5,TotaalBebouwdTerrein_6,Woonterrein_7,TerreinVoorDetailhandelEnHoreca_8,TerreinVoorOpenbareVoorzieningen_9,TerreinVoorSociaalCultureleVoorz_10,Bedrijventerrein_11,TotaalSemiBebouwdTerrein_12,Stortplaats_13,Wrakkenopslagplaats_14,Begraafplaats_15,Delfstofwinplaats_16,Bouwterrein_17,SemiVerhardOverigTerrein_18,TotaalRecreatieterrein_19,ParkEnPlantsoen_20,Sportterrein_21,Volkstuin_22,DagrecreatiefTerrein_23,VerblijfsrecreatiefTerrein_24,TotaalAgrarischTerrein_25,TerreinVoorGlastuinbouw_26,OverigAgrarischTerrein_27,TotaalBosEnOpenNatuurlijkTerrein_28,Bos_29,OpenDroogNatuurlijkTerrein_30,OpenNatNatuurlijkTerrein_31,TotaalBinnenwater_32,IJsselmeerMarkermeer_33,AfgeslotenZeearm_34,RijnEnMaas_35,Randmeer_36,Spaarbekken_37,RecreatiefBinnenwater_38,BinnenwaterVoorDelfstofwinning_39,VloeiEnOfSlibveld_40,OverigBinnenwater_41,TotaalBuitenwater_42,WaddenzeeEemsDollard_43,Oosterschelde_44,Westerschelde_45,Noordzee_46
0,NL01  ,1996JJ00,4152618.0,112503.0,9060.0,100842.0,2601.0,304823.0,213770.0,4438.0,11484.0,15153.0,59980.0,37780.0,2844.0,513.0,3890.0,3069.0,21736.0,5728.0,86166.0,22672.0,31081.0,4062.0,9951.0,18401.0,2360382.0,13887.0,2346494.0,478396.0,344079.0,83571.0,50746.0,355267.0,183503.0,32122.0,18055.0,14313.0,1252.0,8799.0,2614.0,629.0,93981.0,417301.0,259135.0,34596.0,29779.0,93792.0
1,NL01  ,2000JJ00,4152803.0,113039.0,8782.0,101622.0,2636.0,318330.0,221141.0,4592.0,11486.0,15167.0,65945.0,48573.0,2693.0,526.0,3991.0,3187.0,32713.0,5463.0,88877.0,24011.0,31484.0,3997.0,10255.0,19131.0,2326047.0,14981.0,2311066.0,483463.0,350128.0,83257.0,50079.0,357440.0,183261.0,32099.0,18067.0,14039.0,1244.0,8991.0,2869.0,748.0,96124.0,417032.0,259350.0,34582.0,29783.0,93317.0
2,NL01  ,2003JJ00,4152795.0,114268.0,8400.0,103626.0,2242.0,328867.0,223891.0,6249.0,12193.0,15448.0,71086.0,50615.0,2734.0,537.0,4116.0,3112.0,34890.0,5226.0,93702.0,26675.0,32218.0,3908.0,10607.0,20293.0,2304074.0,15660.0,2288414.0,484090.0,346374.0,83587.0,54129.0,359815.0,183170.0,32121.0,17913.0,15627.0,1248.0,9680.0,2942.0,693.0,96420.0,417363.0,257265.0,34585.0,29855.0,95657.0
3,NL01  ,2006JJ00,4154307.0,115955.0,8510.0,104994.0,2451.0,337927.0,227810.0,7059.0,11874.0,15636.0,75547.0,52849.0,2675.0,542.0,4156.0,3121.0,37625.0,4730.0,96311.0,27716.0,33394.0,3906.0,10601.0,20694.0,2285799.0,16241.0,2269558.0,484024.0,344700.0,84991.0,54332.0,362628.0,183168.0,32141.0,18038.0,15632.0,1245.0,9700.0,3325.0,648.0,98731.0,418815.0,257164.0,34586.0,29875.0,97190.0
4,NL01  ,2008JJ00,4154307.0,117149.0,8585.0,106115.0,2449.0,344874.0,230103.0,9016.0,11762.0,15435.0,78558.0,51391.0,2647.0,580.0,4192.0,2869.0,36795.0,4310.0,97659.0,27989.0,34121.0,3839.0,10491.0,21218.0,2275827.0,16791.0,2259037.0,485003.0,344792.0,85530.0,54681.0,363529.0,183167.0,31995.0,18054.0,15601.0,1244.0,9984.0,2769.0,665.0,100050.0,418874.0,257151.0,34590.0,29928.0,97205.0
5,NL01  ,2010JJ00,4154307.0,117602.0,8630.0,106607.0,2365.0,350161.0,231375.0,10412.0,11734.0,15283.0,81358.0,51202.0,2402.0,540.0,4292.0,3155.0,36896.0,3916.0,98834.0,28389.0,34474.0,3762.0,10659.0,21551.0,2264376.0,16622.0,2247754.0,486528.0,345380.0,87758.0,53390.0,366121.0,183116.0,32092.0,18134.0,15603.0,1242.0,9840.0,3306.0,603.0,102185.0,419483.0,256154.0,34593.0,29939.0,98797.0
6,NL01  ,2012JJ00,4154302.0,116123.0,8882.0,104941.0,2300.0,355986.0,233575.0,10975.0,11684.0,15671.0,84081.0,51002.0,2205.0,509.0,4318.0,3053.0,36983.0,3934.0,102561.0,29547.0,35321.0,3629.0,11665.0,22399.0,2252233.0,15868.0,2236365.0,490088.0,344043.0,90016.0,56029.0,367982.0,183145.0,32101.0,18152.0,15573.0,1243.0,10328.0,3085.0,450.0,103905.0,418325.0,256231.0,34594.0,29884.0,97615.0
7,NL01  ,2015JJ00,4154303.0,115563.0,8885.0,104402.0,2276.0,361526.0,235839.0,11437.0,11823.0,16093.0,86336.0,49318.0,2191.0,475.0,4384.0,3354.0,34949.0,3966.0,105418.0,30819.0,35962.0,3606.0,11810.0,23222.0,2236317.0,15511.0,2220806.0,498956.0,341270.0,95055.0,62631.0,371941.0,183138.0,32117.0,18176.0,15548.0,1242.0,10544.0,3434.0,614.0,107129.0,415264.0,254947.0,34588.0,29830.0,95900.0
8,NL01  ,2017JJ00,4154302.0,115108.0,8845.0,103836.0,2426.0,370140.0,241408.0,12028.0,12057.0,16463.0,88184.0,39221.0,1930.0,429.0,4540.0,3147.0,25046.0,4129.0,108335.0,32863.0,36288.0,3608.0,11526.0,24051.0,2230445.0,15766.0,2214680.0,501461.0,340646.0,93780.0,67035.0,374381.0,182893.0,31982.0,18178.0,15514.0,1240.0,11104.0,2976.0,484.0,110008.0,415211.0,254432.0,34578.0,29812.0,96389.0
9,LD01  ,1996JJ00,1138832.0,21682.0,1251.0,20195.0,238.0,40627.0,30190.0,439.0,1361.0,1926.0,6710.0,6882.0,538.0,78.0,768.0,1037.0,3515.0,948.0,12227.0,2612.0,4339.0,407.0,1470.0,3398.0,659666.0,487.0,659179.0,92620.0,49505.0,23885.0,19230.0,74389.0,45795.0,2396.0,,,0.0,1142.0,648.0,191.0,24214.0,230740.0,208563.0,,,22177.0
