ID,KenmerkenInstallaties,Perioden,Aankoop_1,ProductieUitSlibgisting_2,AfleveringExtern_3,Afgefakkeld_4,Afgeblazen_5,Totaal_6,VerbruikVoorProductieAardgasEnLNG_7,VerbruikInGasmotorenWKKInstallaties_8,VerbruikVoorOpwarmingSlibgistingstank_9,OverigVerbruik_10,Aankoop_11,ZelfOpgewektViaWindEnZonneEnergie_12,ZelfOpgewektInWKKInstallaties_13,AfleveringExtern_14,Totaal_15,VerbruikBeluchtingZuiveringsproces_16,VerbruikDoorAfvalwatertransportgemalen_17,VerbruikVoorSlibontwatering_18,OverigVerbruik_19,Aankoop_20,ProductieUitBiogas_21,AfleveringExtern_22,Totaal_23,VerbruikGasmotorenVanWKKInstallaties_24,VerbruikVoorSlibontwatering_25,OverigVerbruik_26,ProductieWarmteInWKKInstallaties_27,VerbruikInZuiveringsproces_28,VerbruikVanHuisbrandolie_29,Totaal_30,Elektriciteit_31,Aardgas_32,Biogas_33,Warmte_34,OverigeBrandstoffen_35
99,A027809   ,2013JJ00,0.0,16705.0,0.0,553.0,1.0,16151.0,0.0,16099.0,27.0,26.0,36602.0,157.0,34551.0,725.0,70585.0,34646.0,3855.0,3054.0,29030.0,209.0,0.0,0.0,209.0,0.0,0.0,209.0,192.0,131.0,23.0,,,,,,
100,A027809   ,2014JJ00,0.0,15915.0,0.0,295.0,0.0,15620.0,0.0,15277.0,202.0,141.0,35654.0,157.0,33596.0,426.0,68981.0,34112.0,2612.0,3101.0,29155.0,110.0,0.0,0.0,110.0,3.0,0.0,107.0,186.0,156.0,9.0,,,,,,
101,A027809   ,2015JJ00,0.0,14545.0,0.0,287.0,1.0,14257.0,0.0,14079.0,47.0,131.0,38661.0,157.0,32873.0,400.0,71290.0,34012.0,2694.0,2855.0,31729.0,163.0,0.0,0.0,163.0,38.0,4.0,121.0,167.0,117.0,10.0,,,,,,
102,A027809   ,2016JJ00,0.0,13645.0,0.0,152.0,53.0,13440.0,0.0,13168.0,270.0,2.0,40712.0,157.0,29494.0,162.0,70202.0,34733.0,4956.0,2832.0,27681.0,164.0,0.0,0.0,164.0,0.0,0.0,164.0,156.0,107.0,0.0,,,,,,
103,A027809   ,2017JJ00,0.0,11871.0,0.0,603.0,0.0,11268.0,0.0,10664.0,526.0,79.0,50321.0,194.0,22518.0,189.0,72845.0,35199.0,5669.0,2769.0,29207.0,165.0,0.0,0.0,165.0,4.0,0.0,161.0,133.0,80.0,0.0,,,,,,
104,A027809   ,2018JJ00,0.0,11919.0,0.0,465.0,0.0,11454.0,0.0,10736.0,685.0,34.0,51272.0,172.0,22564.0,596.0,73413.0,34056.0,5545.0,2554.0,31258.0,113.0,0.0,0.0,113.0,0.0,0.0,113.0,133.0,71.0,0.0,,,,,,
105,A027809   ,2019JJ00,0.0,8649.0,0.0,834.0,0.0,7815.0,0.0,7527.0,288.0,1.0,32776.0,329.0,16367.0,199.0,49272.0,22750.0,4226.0,1841.0,20456.0,97.0,0.0,0.0,97.0,2.0,0.0,95.0,111.0,51.0,0.0,338.0,172.0,3.0,182.0,-19.0,0.0
106,A027809   ,2020JJ00,0.0,9426.0,0.0,446.0,0.0,8980.0,0.0,8341.0,203.0,436.0,34286.0,499.0,18309.0,301.0,52794.0,23874.0,5033.0,2283.0,21604.0,121.0,0.0,0.0,121.0,0.0,0.0,121.0,102.0,51.0,0.0,372.0,180.0,4.0,209.0,-21.0,0.0
107,A027809   ,2021JJ00,0.0,9846.0,0.0,622.0,0.0,9224.0,0.0,8830.0,191.0,204.0,29873.0,1460.0,19731.0,781.0,50284.0,22786.0,5108.0,2100.0,20290.0,127.0,0.0,0.0,127.0,0.0,0.0,127.0,124.0,43.0,0.0,357.0,159.0,4.0,215.0,-22.0,0.0
108,A027809   ,2022JJ00,0.0,9388.0,0.0,312.0,0.0,9076.0,0.0,8446.0,630.0,0.0,26944.0,925.0,18713.0,328.0,46253.0,21209.0,4629.0,2192.0,18222.0,98.0,0.0,0.0,98.0,0.0,0.0,98.0,98.0,47.0,0.0,337.0,144.0,3.0,211.0,-21.0,0.0
