ID,Technieken,Perioden,Locaties_1,TotaalVerbruik_2,VoorOmzettingInElektriciteitWarmte_3,VoorToevoegingAanHetAardgasnet_4,FinaalVerbruik_5,BrutoElektriciteitsproductieInKWh_6,BrutoElektriciteitsproductieInTJ_7,WarmteproductieUitOmzettingen_8,AardgasproductieDoorToevoegenBiogas_9
0,E006566     ,1990JJ00,,30597.0,14802.0,101.0,15694.0,665.0,2394.0,2543.0,101.0
1,E006566     ,1991JJ00,,30813.0,14868.0,171.0,15774.0,742.0,2672.0,2740.0,171.0
2,E006566     ,1992JJ00,,31445.0,15022.0,486.0,15937.0,726.0,2614.0,2809.0,486.0
3,E006566     ,1993JJ00,,33731.0,17049.0,462.0,16220.0,839.0,3022.0,2670.0,462.0
4,E006566     ,1994JJ00,,33629.0,16732.0,407.0,16490.0,918.0,3303.0,2293.0,407.0
5,E006566     ,1995JJ00,,36150.0,18977.0,399.0,16774.0,998.0,3592.0,2519.0,399.0
6,E006566     ,1996JJ00,,41233.0,23525.0,392.0,17317.0,1297.0,4668.0,2925.0,392.0
7,E006566     ,1997JJ00,,44658.0,26809.0,376.0,17473.0,1446.0,5205.0,4680.0,376.0
8,E006566     ,1998JJ00,,46715.0,28777.0,425.0,17513.0,1572.0,5660.0,4616.0,425.0
9,E006566     ,1999JJ00,,49060.0,30967.0,513.0,17580.0,1768.0,6366.0,4660.0,513.0
10,E006566     ,2000JJ00,,52050.0,33916.0,549.0,17585.0,1999.0,7198.0,4551.0,549.0
11,E006566     ,2001JJ00,,55122.0,37139.0,482.0,17500.0,2355.0,8478.0,4641.0,482.0
12,E006566     ,2002JJ00,,60437.0,42537.0,414.0,17486.0,2908.0,10468.0,5363.0,414.0
13,E006566     ,2003JJ00,,57761.0,39078.0,316.0,18367.0,2552.0,9187.0,5151.0,316.0
14,E006566     ,2004JJ00,,67289.0,46841.0,436.0,20012.0,3315.0,11933.0,5659.0,436.0
15,E006566     ,2005JJ00,,85670.0,64233.0,446.0,20991.0,5262.0,18943.0,6170.0,446.0
16,E006566     ,2006JJ00,,89277.0,64077.0,445.0,24755.0,5173.0,18624.0,6527.0,445.0
17,E006566     ,2007JJ00,,90234.0,53399.0,417.0,36419.0,4001.0,14403.0,6981.0,417.0
18,E006566     ,2008JJ00,,104433.0,68209.0,396.0,35828.0,5132.0,18474.0,7522.0,396.0
19,E006566     ,2009JJ00,,118200.0,78034.0,387.0,39779.0,6111.0,22001.0,9035.0,387.0
20,E006566     ,2010JJ00,,119615.0,86285.0,345.0,32985.0,7043.0,25353.0,9905.0,345.0
21,E006566     ,2011JJ00,,123395.0,86162.0,545.0,36688.0,7059.0,25411.0,11474.0,545.0
22,E006566     ,2012JJ00,,127034.0,89076.0,875.0,37083.0,7204.0,25934.0,12607.0,875.0
23,E006566     ,2013JJ00,,118469.0,80222.0,1492.0,36754.0,5954.0,21436.0,13964.0,1492.0
24,E006566     ,2014JJ00,,115864.0,73351.0,1952.0,40561.0,5013.0,18047.0,14740.0,1952.0
25,E006566     ,2015JJ00,,114771.0,73458.0,2523.0,38790.0,4934.0,17762.0,17482.0,2523.0
26,E006566     ,2016JJ00,,114908.0,75844.0,2620.0,36443.0,4905.0,17656.0,17248.0,2620.0
27,E006566     ,2017JJ00,,117930.0,74789.0,3100.0,40040.0,4599.0,16558.0,19842.0,3100.0
28,E006566     ,2018JJ00,,128176.0,73486.0,3375.0,51314.0,4561.0,16421.0,18625.0,3375.0
29,E006566     ,2019JJ00,,149033.0,88047.0,4502.0,56484.0,5814.0,20931.0,23080.0,4502.0
30,E006566     ,2020JJ00,,176120.0,116789.0,6387.0,52944.0,8848.0,31851.0,26614.0,6387.0
31,E006566     ,2021JJ00,,203143.0,139327.0,7160.0,56655.0,10918.0,39303.0,31483.0,7160.0
32,E006566     ,2022JJ00,,190526.0,128235.0,8053.0,54238.0,9820.0,35351.0,27851.0,8053.0
33,E006566     ,2023JJ00,,166070.0,103886.0,9662.0,52522.0,7641.0,27508.0,23818.0,9662.0
34,E006566     ,2024JJ00,,171306.0,93897.0,10157.0,67253.0,6682.0,24056.0,24346.0,10157.0
35,E006661     ,1990JJ00,,13205.0,13205.0,,,539.0,1942.0,1922.0,
36,E006661     ,1991JJ00,,12929.0,12929.0,,,588.0,2118.0,1984.0,
37,E006661     ,1992JJ00,,12915.0,12915.0,,,567.0,2040.0,1994.0,
38,E006661     ,1993JJ00,,14528.0,14528.0,,,634.0,2283.0,1903.0,
39,E006661     ,1994JJ00,,13667.0,13667.0,,,661.0,2381.0,1436.0,
40,E006661     ,1995JJ00,,15450.0,15450.0,,,703.0,2530.0,1522.0,
41,E006661     ,1996JJ00,,19559.0,19559.0,,,953.0,3431.0,1961.0,
42,E006661     ,1997JJ00,,22981.0,22981.0,,,1108.0,3990.0,3718.0,
43,E006661     ,1998JJ00,,24465.0,24465.0,,,1188.0,4278.0,3769.0,
44,E006661     ,1999JJ00,,25417.0,25417.0,,,1261.0,4540.0,3740.0,
45,E006661     ,2000JJ00,,25512.0,25512.0,,,1272.0,4578.0,3597.0,
46,E006661     ,2001JJ00,,24637.0,24637.0,,,1214.0,4370.0,3462.0,
47,E006661     ,2002JJ00,,25510.0,25510.0,,,1207.0,4347.0,3923.0,
48,E006661     ,2003JJ00,,25059.0,25059.0,,,1208.0,4347.0,3964.0,
49,E006661     ,2004JJ00,,26066.0,26066.0,,,1178.0,4243.0,4070.0,
50,E006661     ,2005JJ00,,26659.0,26659.0,,,1266.0,4557.0,4168.0,
51,E006661     ,2006JJ00,,26616.0,26616.0,,,1312.0,4723.0,4543.0,
52,E006661     ,2007JJ00,,27845.0,27845.0,,,1395.0,5022.0,4530.0,
53,E006661     ,2008JJ00,,30549.0,30549.0,,,1409.0,5071.0,4797.0,
54,E006661     ,2009JJ00,,32441.0,32441.0,,,1572.0,5659.0,5814.0,
55,E006661     ,2010JJ00,,34208.0,34208.0,,,1763.0,6348.0,5847.0,
56,E006661     ,2011JJ00,,37361.0,37361.0,,,2034.0,7324.0,7480.0,
57,E006661     ,2012JJ00,,39794.0,39794.0,,,2235.0,8045.0,8545.0,
58,E006661     ,2013JJ00,,40689.0,40689.0,,,2076.0,7473.0,9853.0,
59,E006661     ,2014JJ00,,40265.0,40265.0,,,1909.0,6871.0,10621.0,
60,E006661     ,2015JJ00,,40770.0,40770.0,,,1997.0,7188.0,12578.0,
61,E006661     ,2016JJ00,,42282.0,42282.0,,,2005.0,7218.0,11879.0,
62,E006661     ,2017JJ00,,40415.0,40415.0,,,1904.0,6853.0,12337.0,
63,E006661     ,2018JJ00,,38657.0,38657.0,,,2172.0,7820.0,7720.0,
64,E006661     ,2019JJ00,,38480.0,38480.0,,,2082.0,7494.0,8057.0,
65,E006661     ,2020JJ00,,38845.0,38845.0,,,2193.0,7895.0,8032.0,
66,E006661     ,2021JJ00,,40858.0,40858.0,,,2208.0,7949.0,9528.0,
67,E006661     ,2022JJ00,,41110.0,41110.0,,,2225.0,8010.0,9254.0,
68,E006661     ,2023JJ00,,36848.0,36848.0,,,1982.0,7133.0,8546.0,
69,E006661     ,2024JJ00,,32618.0,32618.0,,,1883.0,6779.0,8412.0,
70,E006662     ,1990JJ00,,,,,,,,,
71,E006662     ,1991JJ00,,,,,,,,,
72,E006662     ,1992JJ00,,,,,,,,,
73,E006662     ,1993JJ00,,,,,,,,,
74,E006662     ,1994JJ00,,,,,,,,,
75,E006662     ,1995JJ00,,33.0,33.0,,,4.0,15.0,1.0,
76,E006662     ,1996JJ00,,376.0,376.0,,,42.0,151.0,6.0,
77,E006662     ,1997JJ00,,357.0,357.0,,,40.0,144.0,6.0,
78,E006662     ,1998JJ00,,906.0,906.0,,,101.0,363.0,31.0,
79,E006662     ,1999JJ00,,1403.0,1403.0,,,165.0,593.0,15.0,
80,E006662     ,2000JJ00,,1755.0,1755.0,,,208.0,748.0,15.0,
