ID,RegioS,InwonersVan15Tot65Jaar_1,InwonersTot18Jaar_2,TotaalParticuliereHuishoudens_3,TotaalMetThuiswonendeKinderen_4,MetThuiswonendenKinderen0Tot18Jaar_5,Eenouderhuishoudens2OfMeerKinderen_6,Gemiddelde20192021_7,Eenpersoonshuishoudens31122021_8,Eenpersoonshuishoudens31122020_9,Eenpersoonshuishoudens31122019_10,Gemiddelde20192021_11,Meerpersoonshuishoudens31122021_12,Meerpersoonshuishoudens31122020_13,Meerpersoonshuishoudens31122019_14,HuishoudensMetInkomen_15,GemiddeldGestandaardiseerdInkomen_16,TotaalHuishoudensMetKinderen_17,GemiddeldGestandaardiseerdInkomen_18,TotaalMinderjarigeKinderen_19,InHuishoudensTot120SociaalMinimum_20,InHuishoudensMetLaagInkomen_21,TotaalBeroepsbevolking_22,LagerOpgeleidenGemiddelde20162020_23,LagerOpgeleidenPercentage_24,InwonersDoelpopulatie31122020_25,PersonenMetBijstand31122021_26,WajongUitkeringen31122021_27,PersonenMetLoonkostensubs31122021_28,PsychischMedicijngebruikOuders2021_29
0,NL01  ,11352760.0,3300840.0,8138590.0,2616210.0,1836650.0,229730.0,96440.0,94450.0,98000.0,96880.0,106230.0,104730.0,106930.0,107040.0,7771700.0,24400.0,2503100.0,26200.0,3277800.0,427000.0,392000.0,9123.0,1388.0,15.0,1839670.0,471460.0,243160.0,25560.0,157120.0
1,GM1680,15130.0,4280.0,11260.0,3530.0,2400.0,210.0,60.0,60.0,60.0,60.0,80.0,90.0,80.0,90.0,11300.0,25600.0,3500.0,26800.0,4600.0,400.0,400.0,13.0,1.0,11.0,2310.0,410.0,480.0,30.0,160.0
2,GM0358,20900.0,6760.0,13710.0,5540.0,3880.0,420.0,60.0,60.0,60.0,50.0,90.0,100.0,90.0,80.0,12900.0,28400.0,5200.0,30800.0,7000.0,400.0,400.0,18.0,3.0,16.0,2160.0,320.0,270.0,10.0,260.0
3,GM0197,16640.0,5120.0,11610.0,4020.0,2740.0,240.0,50.0,50.0,60.0,50.0,70.0,70.0,80.0,70.0,11600.0,23400.0,4000.0,24500.0,5500.0,400.0,400.0,15.0,3.0,20.0,2100.0,330.0,390.0,50.0,200.0
4,GM0059,17380.0,5860.0,11910.0,4440.0,3150.0,330.0,120.0,110.0,120.0,130.0,140.0,130.0,140.0,150.0,11800.0,21300.0,4500.0,22100.0,6200.0,700.0,800.0,16.0,3.0,20.0,3060.0,710.0,500.0,60.0,400.0
5,GM0482,12290.0,4500.0,8270.0,3190.0,2220.0,250.0,100.0,100.0,100.0,100.0,90.0,80.0,90.0,100.0,8100.0,24900.0,3200.0,26100.0,4600.0,300.0,400.0,10.0,2.0,21.0,1820.0,410.0,210.0,40.0,290.0
6,GM0613,16740.0,5560.0,10460.0,4490.0,3220.0,360.0,80.0,80.0,80.0,80.0,90.0,90.0,90.0,90.0,10600.0,28900.0,4300.0,30400.0,5600.0,400.0,400.0,13.0,1.0,11.0,2250.0,460.0,290.0,10.0,220.0
7,GM0361,71320.0,20310.0,53190.0,16700.0,11790.0,1540.0,610.0,600.0,620.0,610.0,640.0,640.0,640.0,640.0,50900.0,24300.0,15900.0,25400.0,20200.0,2500.0,2200.0,60.0,8.0,13.0,10830.0,2710.0,1870.0,270.0,980.0
8,GM0141,47100.0,13910.0,33060.0,11400.0,7850.0,1030.0,630.0,620.0,650.0,610.0,670.0,670.0,680.0,660.0,32300.0,22000.0,11200.0,22500.0,14800.0,2600.0,2400.0,37.0,6.0,17.0,9690.0,3090.0,1680.0,160.0,820.0
9,GM0034,149930.0,48220.0,92440.0,39380.0,27730.0,4840.0,1680.0,1680.0,1710.0,1650.0,1740.0,1750.0,1740.0,1740.0,82300.0,24400.0,35400.0,24400.0,44600.0,7300.0,6600.0,116.0,17.0,14.0,24580.0,6430.0,2500.0,390.0,1860.0
