ID,BedrijfstakBrancheSBI2008,Perioden,IndexcijfersOmzet_1,Omzetontwikkeling_2
0,35000,2003MM01,105.0,
1,35000,2003MM02,96.4,
2,35000,2003MM03,89.4,
3,35000,2003KW01,97.0,
4,35000,2003MM04,74.1,
5,35000,2003MM05,66.7,
6,35000,2003MM06,62.4,
7,35000,2003KW02,67.7,
8,35000,2003MM07,58.0,
9,35000,2003MM08,60.9,
10,35000,2003MM09,65.5,
11,35000,2003KW03,61.5,
12,35000,2003MM10,84.9,
13,35000,2003MM11,92.1,
14,35000,2003MM12,116.2,
15,35000,2003KW04,97.7,
16,35000,2003JJ00,81.0,
17,35000,2004MM01,112.8,7.4
18,35000,2004MM02,105.3,9.3
19,35000,2004MM03,107.4,20.1
20,35000,2004KW01,108.5,11.9
21,35000,2004MM04,81.5,10.0
22,35000,2004MM05,75.7,13.6
23,35000,2004MM06,68.3,9.4
24,35000,2004KW02,75.2,11.0
25,35000,2004MM07,67.3,15.9
26,35000,2004MM08,66.4,8.9
27,35000,2004MM09,73.8,12.8
28,35000,2004KW03,69.2,12.5
29,35000,2004MM10,82.7,-2.6
30,35000,2004MM11,98.4,6.9
31,35000,2004MM12,117.9,1.4
32,35000,2004KW04,99.7,2.0
33,35000,2004JJ00,88.1,8.8
34,35000,2005MM01,118.5,5.0
35,35000,2005MM02,108.1,2.6
36,35000,2005MM03,107.5,0.2
37,35000,2005KW01,111.4,2.7
38,35000,2005MM04,92.6,13.7
39,35000,2005MM05,86.7,14.4
40,35000,2005MM06,81.7,19.6
41,35000,2005KW02,87.0,15.7
42,35000,2005MM07,73.0,8.5
43,35000,2005MM08,72.0,8.5
44,35000,2005MM09,83.2,12.7
45,35000,2005KW03,76.1,10.0
46,35000,2005MM10,97.4,17.7
47,35000,2005MM11,128.2,30.3
48,35000,2005MM12,151.2,28.2
49,35000,2005KW04,125.6,26.0
50,35000,2005JJ00,100.0,13.5
51,35000,2006MM01,163.4,37.9
52,35000,2006MM02,165.4,53.0
53,35000,2006MM03,153.3,42.5
54,35000,2006KW01,160.7,44.3
55,35000,2006MM04,119.1,28.6
56,35000,2006MM05,99.2,14.4
57,35000,2006MM06,87.2,6.7
58,35000,2006KW02,101.8,17.0
59,35000,2006MM07,85.1,16.5
60,35000,2006MM08,87.2,21.1
61,35000,2006MM09,90.2,8.3
62,35000,2006KW03,87.5,15.0
63,35000,2006MM10,107.1,10.0
64,35000,2006MM11,118.9,-7.2
65,35000,2006MM12,136.9,-9.4
66,35000,2006KW04,121.0,-3.6
67,35000,2006JJ00,117.7,17.7
68,35000,2007MM01,143.3,-12.3
69,35000,2007MM02,144.6,-12.6
70,35000,2007MM03,135.2,-11.8
71,35000,2007KW01,141.0,-12.2
72,35000,2007MM04,99.4,-16.5
73,35000,2007MM05,95.8,-3.4
74,35000,2007MM06,91.0,4.4
75,35000,2007KW02,95.4,-6.3
76,35000,2007MM07,91.0,7.0
77,35000,2007MM08,90.6,3.9
78,35000,2007MM09,96.3,6.9
79,35000,2007KW03,92.7,5.9
80,35000,2007MM10,123.2,15.0
81,35000,2007MM11,138.5,16.5
82,35000,2007MM12,155.1,13.3
83,35000,2007KW04,138.9,14.8
84,35000,2007JJ00,117.0,-0.6
85,35000,2008MM01,137.0,-4.4
86,35000,2008MM02,162.0,12.0
87,35000,2008MM03,142.7,5.5
88,35000,2008KW01,147.2,4.4
89,35000,2008MM04,114.4,15.1
90,35000,2008MM05,104.9,9.5
91,35000,2008MM06,92.7,1.9
92,35000,2008KW02,104.0,9.0
93,35000,2008MM07,84.3,-7.4
94,35000,2008MM08,102.4,13.0
95,35000,2008MM09,109.9,14.0
96,35000,2008KW03,98.8,6.7
97,35000,2008MM10,111.5,-9.5
98,35000,2008MM11,140.5,1.4
99,35000,2008MM12,161.3,4.0
100,35000,2008KW04,137.7,-0.9
101,35000,2008JJ00,122.0,4.2
102,35000,2009MM01,157.0,14.6
103,35000,2009MM02,188.1,16.1
104,35000,2009MM03,167.8,17.6
105,35000,2009KW01,170.9,16.1
106,35000,2009MM04,126.7,10.7
107,35000,2009MM05,103.9,-0.9
108,35000,2009MM06,112.6,21.4
109,35000,2009KW02,114.4,10.0
110,35000,2009MM07,97.2,15.4
111,35000,2009MM08,119.5,16.7
112,35000,2009MM09,110.8,0.8
113,35000,2009KW03,109.2,10.5
114,35000,2009MM10,131.0,17.5
115,35000,2009MM11,148.9,6.0
116,35000,2009MM12,180.3,11.8
117,35000,2009KW04,153.4,11.4
118,35000,2009JJ00,137.0,12.3
119,35000,2010MM01,155.2,-1.1
120,35000,2010MM02,153.9,-18.2
121,35000,2010MM03,131.2,-21.8
122,35000,2010KW01,146.8,-14.1
123,35000,2010MM04,101.4,-20.0
124,35000,2010MM05,97.5,-6.2
125,35000,2010MM06,88.8,-21.1
126,35000,2010KW02,95.9,-16.2
127,35000,2010MM07,85.3,-12.2
128,35000,2010MM08,94.3,-21.1
129,35000,2010MM09,98.2,-11.3
130,35000,2010KW03,92.6,-15.2
131,35000,2010MM10,112.1,-14.4
132,35000,2010MM11,127.5,-14.4
133,35000,2010MM12,161.3,-10.5
134,35000,2010KW04,133.6,-12.9
135,35000,2010JJ00,117.2,-14.4
136,35000,2011MM01,132.9,-14.4
137,35000,2011MM02,133.2,-13.4
138,35000,2011MM03,131.7,0.4
139,35000,2011KW01,132.6,-9.7
140,35000,2011MM04,115.5,13.9
141,35000,2011MM05,92.2,-5.5
142,35000,2011MM06,93.6,5.5
143,35000,2011KW02,100.4,4.7
144,35000,2011MM07,87.1,2.1
145,35000,2011MM08,95.3,1.0
146,35000,2011MM09,98.9,0.7
147,35000,2011KW03,93.8,1.2
148,35000,2011MM10,113.6,1.3
149,35000,2011MM11,134.0,5.1
150,35000,2011MM12,152.8,-5.3
151,35000,2011KW04,133.5,-0.1
152,35000,2011JJ00,115.1,-1.8
153,35000,2012MM01,137.7,3.6
154,35000,2012MM02,153.0,14.9
155,35000,2012MM03,139.3,5.8
156,35000,2012KW01,143.3,8.1
157,35000,2012MM04,108.8,-5.8
158,35000,2012MM05,97.3,5.5
159,35000,2012MM06,93.0,-0.6
160,35000,2012KW02,99.7,-0.7
161,35000,2012MM07,87.9,0.9
162,35000,2012MM08,87.2,-8.5
163,35000,2012MM09,90.1,-8.9
164,35000,2012KW03,88.4,-5.8
165,35000,2012MM10,113.4,-0.2
166,35000,2012MM11,128.0,-4.5
167,35000,2012MM12,152.4,-0.3
168,35000,2012KW04,131.3,-1.7
169,35000,2012JJ00,115.7,0.5
170,36000,2003MM01,113.2,
171,36000,2003MM02,96.1,
172,36000,2003MM03,98.4,
173,36000,2003KW01,102.6,
174,36000,2003MM04,112.4,
175,36000,2003MM05,87.5,
176,36000,2003MM06,98.7,
177,36000,2003KW02,99.6,
178,36000,2003MM07,116.0,
179,36000,2003MM08,104.5,
180,36000,2003MM09,89.2,
181,36000,2003KW03,103.2,
182,36000,2003MM10,112.9,
183,36000,2003MM11,91.9,
184,36000,2003MM12,83.2,
185,36000,2003KW04,96.0,
186,36000,2003JJ00,100.3,
187,36000,2004MM01,121.6,7.4
188,36000,2004MM02,87.2,-9.2
189,36000,2004MM03,85.5,-13.1
190,36000,2004KW01,98.1,-4.4
191,36000,2004MM04,110.2,-2.0
192,36000,2004MM05,100.5,14.8
193,36000,2004MM06,86.6,-12.2
194,36000,2004KW02,99.1,-0.5
195,36000,2004MM07,121.4,4.6
196,36000,2004MM08,93.1,-11.0
197,36000,2004MM09,83.8,-6.1
198,36000,2004KW03,99.4,-3.7
199,36000,2004MM10,104.9,-7.1
200,36000,2004MM11,97.9,6.6
201,36000,2004MM12,89.5,7.6
202,36000,2004KW04,97.4,1.5
203,36000,2004JJ00,98.5,-1.8
204,36000,2005MM01,125.3,3.1
205,36000,2005MM02,89.4,2.6
206,36000,2005MM03,86.0,0.5
207,36000,2005KW01,100.3,2.2
208,36000,2005MM04,111.9,1.6
209,36000,2005MM05,94.8,-5.7
210,36000,2005MM06,96.6,11.5
211,36000,2005KW02,101.1,2.0
212,36000,2005MM07,111.8,-7.9
213,36000,2005MM08,98.5,5.9
214,36000,2005MM09,85.6,2.0
215,36000,2005KW03,98.6,-0.8
216,36000,2005MM10,115.8,10.4
217,36000,2005MM11,91.6,-6.5
218,36000,2005MM12,92.7,3.7
219,36000,2005KW04,100.0,2.7
220,36000,2005JJ00,100.0,1.5
221,36000,2006MM01,126.0,0.5
222,36000,2006MM02,90.8,1.6
223,36000,2006MM03,87.9,2.3
224,36000,2006KW01,101.6,1.3
225,36000,2006MM04,110.1,-1.6
226,36000,2006MM05,94.9,0.2
227,36000,2006MM06,94.8,-1.8
228,36000,2006KW02,99.9,-1.1
229,36000,2006MM07,138.4,23.8
230,36000,2006MM08,99.2,0.7
231,36000,2006MM09,108.4,26.7
232,36000,2006KW03,115.3,16.9
233,36000,2006MM10,116.9,1.0
234,36000,2006MM11,89.8,-1.9
235,36000,2006MM12,94.7,2.1
236,36000,2006KW04,100.5,0.4
237,36000,2006JJ00,104.3,4.3
238,36000,2007MM01,128.2,1.7
239,36000,2007MM02,99.7,9.8
240,36000,2007MM03,88.2,0.3
241,36000,2007KW01,105.4,3.7
242,36000,2007MM04,115.7,5.1
243,36000,2007MM05,89.3,-5.9
244,36000,2007MM06,102.0,7.6
245,36000,2007KW02,102.4,2.4
246,36000,2007MM07,97.6,-29.5
247,36000,2007MM08,97.1,-2.1
248,36000,2007MM09,98.1,-9.5
249,36000,2007KW03,97.6,-15.4
250,36000,2007MM10,108.9,-6.9
251,36000,2007MM11,99.3,10.5
252,36000,2007MM12,116.4,22.9
253,36000,2007KW04,108.2,7.7
254,36000,2007JJ00,103.4,-0.9
255,36000,2008MM01,110.7,-13.6
256,36000,2008MM02,121.1,21.5
257,36000,2008MM03,74.8,-15.2
258,36000,2008KW01,102.2,-3.0
259,36000,2008MM04,112.4,-2.9
260,36000,2008MM05,98.6,10.4
261,36000,2008MM06,107.0,4.9
262,36000,2008KW02,106.0,3.5
263,36000,2008MM07,107.4,10.0
264,36000,2008MM08,102.8,5.9
265,36000,2008MM09,101.8,3.8
266,36000,2008KW03,104.0,6.6
267,36000,2008MM10,105.7,-2.9
268,36000,2008MM11,96.4,-2.9
269,36000,2008MM12,100.7,-13.4
270,36000,2008KW04,100.9,-6.7
271,36000,2008JJ00,103.3,-0.1
272,36000,2009MM01,114.3,3.3
273,36000,2009MM02,100.2,-17.3
274,36000,2009MM03,100.2,34.0
275,36000,2009KW01,104.9,2.7
276,36000,2009MM04,116.7,3.8
277,36000,2009MM05,94.9,-3.7
278,36000,2009MM06,102.4,-4.3
279,36000,2009KW02,104.7,-1.2
280,36000,2009MM07,117.9,9.8
281,36000,2009MM08,109.2,6.2
282,36000,2009MM09,84.9,-16.6
283,36000,2009KW03,104.0,0.0
284,36000,2009MM10,116.9,10.6
285,36000,2009MM11,95.0,-1.4
286,36000,2009MM12,107.9,7.2
287,36000,2009KW04,106.6,5.6
288,36000,2009JJ00,105.0,1.7
289,36000,2010MM01,113.9,-0.4
290,36000,2010MM02,99.3,-0.9
291,36000,2010MM03,105.8,5.6
292,36000,2010KW01,106.3,1.4
293,36000,2010MM04,117.6,0.8
294,36000,2010MM05,95.0,0.1
295,36000,2010MM06,117.1,14.4
296,36000,2010KW02,109.9,5.0
297,36000,2010MM07,124.6,5.7
298,36000,2010MM08,94.9,-13.1
299,36000,2010MM09,105.1,23.8
300,36000,2010KW03,108.2,4.1
301,36000,2010MM10,114.9,-1.7
302,36000,2010MM11,97.5,2.6
303,36000,2010MM12,118.2,9.5
304,36000,2010KW04,110.2,3.4
305,36000,2010JJ00,108.7,3.5
306,36000,2011MM01,113.2,-0.7
307,36000,2011MM02,99.5,0.2
308,36000,2011MM03,104.8,-1.0
309,36000,2011KW01,105.8,-0.5
310,36000,2011MM04,121.5,3.3
311,36000,2011MM05,104.5,10.0
312,36000,2011MM06,115.7,-1.2
313,36000,2011KW02,113.9,3.6
314,36000,2011MM07,118.4,-5.0
315,36000,2011MM08,97.2,2.4
316,36000,2011MM09,104.8,-0.3
317,36000,2011KW03,106.8,-1.3
318,36000,2011MM10,116.8,1.7
319,36000,2011MM11,98.6,1.1
320,36000,2011MM12,109.5,-7.4
321,36000,2011KW04,108.3,-1.7
322,36000,2011JJ00,108.7,0.0
323,36000,2012MM01,112.1,-1.0
324,36000,2012MM02,97.8,-1.7
325,36000,2012MM03,104.6,-0.2
326,36000,2012KW01,104.8,-1.0
327,36000,2012MM04,104.6,-13.9
328,36000,2012MM05,91.5,-12.4
