ID,Periods,TotalSupply_1,TotalProduction_2,Central_3,Decentral_4,Imports_5,Exports_6,TotalConsumption_7,ViaNationalGrids_8,ViaIndustrialGrids_9,TotalForProduction_10,Central_11,Decentral_12,DistributionLosses_13
0,1919JJ00,,,355.0,,,,,,,,,,
1,1920JJ00,,,452.0,,,,,,,,,,
2,1921JJ00,,,493.0,,,,,,,,,,
3,1922JJ00,,,577.0,,,,,,,,,,
4,1923JJ00,,,,,,,,,,,,,
5,1924JJ00,,,748.0,,,,,,,,,,
6,1925JJ00,,,838.0,,,,,,,,,,
7,1926JJ00,,,932.0,,,,,,,,,,
8,1927JJ00,,,1094.0,,,,,,,,,,
9,1928JJ00,,,1233.0,,,,,,,,,,
10,1929JJ00,,,1427.0,,22.0,0.0,,,,,,,
11,1930JJ00,,,1608.0,,23.0,0.0,,,,,,,
12,1931JJ00,,,1735.0,,20.0,0.0,,,,,,,
13,1932JJ00,,,1795.0,,18.0,0.0,,,,,,,
14,1933JJ00,,,1833.0,,21.0,0.0,,,,,,,
15,1934JJ00,,,1907.0,,23.0,0.0,,,,,,,
16,1935JJ00,,,1948.0,,20.0,0.0,,,,,,,
17,1936JJ00,3144.0,3122.0,2033.0,1089.0,22.0,0.0,,,,,,,
18,1937JJ00,3510.0,3485.0,2243.0,1242.0,25.0,0.0,,,,,,,
19,1938JJ00,3706.0,3688.0,2421.0,1267.0,18.0,0.0,,,,,,,
20,1939JJ00,4064.0,4064.0,2687.0,1377.0,0.0,0.0,,,,,,,
21,1940JJ00,3777.0,3777.0,2534.0,1243.0,0.0,0.0,,,,,,,
22,1941JJ00,3652.0,3652.0,2515.0,1137.0,0.0,0.0,,,,,,,
23,1942JJ00,3606.0,3606.0,2570.0,1036.0,0.0,0.0,,,,,,,
24,1943JJ00,3565.0,3565.0,2528.0,1037.0,0.0,0.0,,,,,,,
25,1944JJ00,2967.0,2969.0,2141.0,828.0,4.0,6.0,,,,,,,
26,1945JJ00,1843.0,1831.0,1059.0,772.0,34.0,22.0,,,,,,,
27,1946JJ00,3740.0,3698.0,2522.0,1176.0,42.0,0.0,,,,,,,
28,1947JJ00,4608.0,4635.0,3319.0,1316.0,13.0,40.0,,,,,,,
29,1948JJ00,5543.0,5577.0,4068.0,1509.0,1.0,35.0,,,,,,,
30,1949JJ00,6303.0,6337.0,4615.0,1722.0,2.0,36.0,,,,,,,
31,1950JJ00,7441.0,7417.0,5439.0,1978.0,51.0,27.0,,,,,,,
32,1951JJ00,8214.0,7911.0,5756.0,2155.0,307.0,4.0,,,,,,,
33,1952JJ00,8788.0,8599.0,6300.0,2299.0,208.0,19.0,,,,,,,
34,1953JJ00,9591.0,9603.0,7107.0,2496.0,65.0,77.0,,,,,,,
35,1954JJ00,10538.0,10588.0,8094.0,2494.0,36.0,86.0,,,,,,,
36,1955JJ00,11385.0,11188.0,8611.0,2577.0,240.0,43.0,,,,,,,
37,1956JJ00,12420.0,12448.0,9743.0,2705.0,176.0,204.0,,,,,,,
38,1957JJ00,13286.0,13367.0,10498.0,2869.0,128.0,209.0,,,,,,,
39,1958JJ00,14045.0,13854.0,10737.0,3117.0,224.0,33.0,,,,,,,
