ID,Watergebruikers,Perioden,GebruikVanLeidingwater_1,TotaalGebruikVanGrondwater_2,GebruikVanGrondwaterVoorKoeling_3,OverigeGebruikVanGrondWater_4,GebruikVanOppervlakteWater_5
0,01,2003JJ00,1132.1,1144.1,82.7,1061.4,13948.0
1,01,2004JJ00,1099.4,1034.7,96.8,937.9,14903.1
2,01,2005JJ00,1087.2,994.2,80.7,913.5,13928.9
3,01,2006JJ00,1098.8,1058.0,82.8,975.2,13514.9
4,01,2007JJ00,1088.1,987.5,74.9,912.6,13549.2
5,01,2008JJ00,1093.1,972.2,72.5,899.7,13285.5
6,02,2003JJ00,733.8,,,,
7,02,2004JJ00,720.3,,,,
8,02,2005JJ00,714.4,,,,
9,02,2006JJ00,729.3,,,,
10,02,2007JJ00,719.1,,,,
11,02,2008JJ00,718.2,,,,
12,03,2003JJ00,398.3,,,,
13,03,2004JJ00,379.1,,,,
14,03,2005JJ00,372.8,,,,
15,03,2006JJ00,369.4,,,,
16,03,2007JJ00,369.0,,,,
17,03,2008JJ00,374.9,,,,
18,04,2003JJ00,58.2,150.4,,150.4,54.6
19,04,2004JJ00,52.0,64.9,,64.9,26.6
20,04,2005JJ00,49.5,62.1,,62.1,13.5
21,04,2006JJ00,48.7,112.0,,112.0,27.1
22,04,2007JJ00,50.2,56.2,,56.2,18.6
23,04,2008JJ00,47.5,51.7,,51.7,22.6
24,05,2003JJ00,1.2,18.2,,18.2,6.7
25,05,2004JJ00,1.5,2.8,,2.8,2.3
26,05,2005JJ00,1.4,4.0,,4.0,1.5
27,05,2006JJ00,1.2,9.1,,9.1,10.5
28,05,2007JJ00,1.2,4.6,,4.6,3.8
29,05,2008JJ00,1.1,7.5,,7.5,3.7
30,06,2003JJ00,14.1,15.8,,15.8,21.5
31,06,2004JJ00,10.1,11.3,,11.3,14.4
32,06,2005JJ00,7.9,8.9,,8.9,8.0
33,06,2006JJ00,7.2,11.7,,11.7,7.6
34,06,2007JJ00,8.8,7.8,,7.8,9.3
35,06,2008JJ00,7.2,9.0,,9.0,4.6
36,07,2003JJ00,36.2,101.5,,101.5,10.9
37,07,2004JJ00,35.0,43.0,,43.0,3.4
38,07,2005JJ00,34.9,41.2,,41.2,2.7
39,07,2006JJ00,33.0,68.8,,68.8,6.5
40,07,2007JJ00,34.9,41.3,,41.3,2.0
41,07,2008JJ00,33.9,32.4,,32.4,10.2
42,08,2003JJ00,6.4,15.0,,15.0,15.5
43,08,2004JJ00,5.2,7.8,,7.8,6.5
44,08,2005JJ00,5.2,8.0,,8.0,1.2
45,08,2006JJ00,7.2,22.4,,22.4,2.6
46,08,2007JJ00,5.2,2.5,,2.5,3.5
47,08,2008JJ00,5.1,2.9,,2.9,4.0
48,09,2003JJ00,0.2,0.0,,0.0,0.0
49,09,2004JJ00,0.2,0.0,,0.0,0.0
50,09,2005JJ00,0.2,0.0,,0.0,0.0
51,09,2006JJ00,0.2,0.0,,0.0,0.0
52,09,2007JJ00,0.1,0.0,,0.0,0.0
53,09,2008JJ00,0.1,0.0,,0.0,0.0
54,10,2003JJ00,4.7,0.1,0.1,0.0,1.2
55,10,2004JJ00,4.4,0.1,0.0,0.0,1.1
56,10,2005JJ00,4.3,0.1,0.0,0.0,1.1
57,10,2006JJ00,4.2,0.1,0.0,0.0,1.1
58,10,2007JJ00,4.0,0.1,0.0,0.0,1.0
59,10,2008JJ00,4.2,0.1,0.0,0.0,1.1
60,11,2003JJ00,198.4,190.1,82.7,107.5,3675.9
61,11,2004JJ00,217.6,196.8,96.8,100.0,3637.5
62,11,2005JJ00,212.7,163.8,80.7,83.1,3152.7
63,11,2006JJ00,207.4,165.6,82.8,82.9,3196.0
64,11,2007JJ00,200.8,161.0,74.8,86.2,3178.2
65,11,2008JJ00,200.0,155.5,72.5,83.0,3296.4
66,12,2003JJ00,49.7,63.9,15.4,48.5,123.2
67,12,2004JJ00,49.1,53.1,14.0,39.1,139.9
68,12,2005JJ00,48.8,49.8,11.9,37.9,118.4
69,12,2006JJ00,50.9,52.0,12.9,39.1,122.9
70,12,2007JJ00,48.8,49.6,13.0,36.6,126.2
71,12,2008JJ00,55.9,51.1,13.3,37.8,141.8
72,13,2003JJ00,1.5,4.4,0.2,4.2,2.1
73,13,2004JJ00,1.2,4.1,0.2,3.8,3.2
74,13,2005JJ00,0.9,4.1,0.2,3.9,4.2
75,13,2006JJ00,1.0,2.9,0.2,2.7,2.5
76,13,2007JJ00,1.1,3.2,0.3,2.9,3.7
77,13,2008JJ00,1.1,2.8,0.2,2.6,4.5
78,14,2003JJ00,2.9,35.4,0.2,35.3,98.2
79,14,2004JJ00,2.4,33.0,0.1,33.0,109.8
80,14,2005JJ00,3.5,23.1,1.4,21.7,115.7
81,14,2006JJ00,3.1,21.8,2.2,19.7,107.6
82,14,2007JJ00,2.9,20.7,1.9,18.8,110.7
83,14,2008JJ00,3.6,18.6,2.2,16.4,106.5
84,15,2003JJ00,1.9,0.7,0.1,0.6,0.3
85,15,2004JJ00,1.8,0.7,0.1,0.6,0.3
86,15,2005JJ00,1.9,0.7,0.1,0.6,0.3
87,15,2006JJ00,1.9,0.7,0.1,0.6,0.3
88,15,2007JJ00,1.9,0.7,0.1,0.6,0.3
89,15,2008JJ00,1.9,0.7,0.1,0.5,0.3
90,16,2003JJ00,21.6,0.1,0.0,0.1,297.4
91,16,2004JJ00,22.2,0.1,0.0,0.1,301.0
92,16,2005JJ00,24.7,0.0,0.0,0.0,281.2
93,16,2006JJ00,24.8,0.0,0.0,0.0,317.7
94,16,2007JJ00,24.9,0.0,0.0,0.0,322.8
95,16,2008JJ00,22.2,0.0,0.0,0.0,776.9
96,17,2003JJ00,48.2,13.5,7.4,6.2,2883.2
97,17,2004JJ00,62.5,14.7,6.9,7.8,2705.0
98,17,2005JJ00,57.5,10.8,4.9,5.8,2319.0
99,17,2006JJ00,55.9,13.2,6.1,7.1,2353.1
100,17,2007JJ00,51.1,9.2,4.5,4.7,2305.5
101,17,2008JJ00,47.6,9.2,4.2,5.0,1963.2
102,18,2003JJ00,17.7,21.2,17.8,3.3,42.8
103,18,2004JJ00,21.8,24.8,18.5,6.4,80.2
104,18,2005JJ00,20.4,18.3,13.4,4.8,69.6
105,18,2006JJ00,14.8,17.8,12.8,5.0,57.7
106,18,2007JJ00,13.8,21.2,8.4,12.8,55.5
107,18,2008JJ00,11.4,17.0,5.7,11.3,55.7
108,19,2003JJ00,2.2,17.1,16.5,0.6,9.2
109,19,2004JJ00,1.9,32.0,31.4,0.6,21.9
110,19,2005JJ00,1.5,25.1,24.7,0.4,8.4
111,19,2006JJ00,1.5,25.4,24.8,0.6,13.6
112,19,2007JJ00,1.4,23.9,23.3,0.6,12.7
113,19,2008JJ00,1.4,24.2,23.3,0.8,13.0
114,20,2003JJ00,35.4,19.1,16.2,2.9,213.1
115,20,2004JJ00,37.6,19.7,16.9,2.8,268.7
116,20,2005JJ00,36.4,18.1,15.8,2.3,228.1
117,20,2006JJ00,35.9,17.4,15.3,2.1,212.3
118,20,2007JJ00,36.0,17.9,15.1,2.8,232.2
119,20,2008JJ00,36.2,17.4,15.2,2.2,226.3
120,21,2003JJ00,3.0,2.0,1.5,0.5,1.6
121,21,2004JJ00,3.1,2.1,1.6,0.5,1.6
122,21,2005JJ00,3.2,2.2,1.6,0.5,1.7
123,21,2006JJ00,3.4,2.3,1.7,0.6,1.8
124,21,2007JJ00,3.7,2.5,1.9,0.6,1.9
125,21,2008JJ00,3.8,2.5,1.9,0.6,2.0
126,22,2003JJ00,2.2,0.6,0.3,0.3,0.4
127,22,2004JJ00,2.3,0.7,0.4,0.3,0.5
128,22,2005JJ00,2.4,0.7,0.4,0.3,0.5
129,22,2006JJ00,2.6,0.7,0.4,0.3,0.5
130,22,2007JJ00,2.9,0.8,0.4,0.4,0.6
131,22,2008JJ00,2.7,0.8,0.4,0.3,0.5
132,23,2003JJ00,3.6,3.1,2.5,0.6,0.4
133,23,2004JJ00,3.7,3.1,2.5,0.6,0.4
134,23,2005JJ00,3.7,3.2,2.5,0.6,0.4
135,23,2006JJ00,3.8,3.2,2.6,0.6,0.5
136,23,2007JJ00,3.8,3.0,2.4,0.6,0.5
137,23,2008JJ00,3.8,3.0,2.4,0.6,0.5
138,24,2003JJ00,2.9,0.5,0.4,0.2,0.4
139,24,2004JJ00,2.3,0.5,0.4,0.2,1.1
140,24,2005JJ00,2.2,0.5,0.3,0.2,1.4
141,24,2006JJ00,2.2,0.4,0.2,0.2,1.4
142,24,2007JJ00,2.5,0.4,0.2,0.2,1.3
143,24,2008JJ00,2.5,0.4,0.2,0.2,1.1
144,25,2003JJ00,5.5,8.5,4.2,4.3,3.6
145,25,2004JJ00,5.6,8.2,3.9,4.3,3.7
146,25,2005JJ00,5.4,7.3,3.3,4.0,3.7
147,25,2006JJ00,5.7,7.8,3.5,4.3,3.9
148,25,2007JJ00,5.9,7.8,3.2,4.6,4.1
149,25,2008JJ00,5.9,7.7,3.2,4.5,4.1
150,26,2003JJ00,4.9,801.6,0.0,801.6,9686.6
151,26,2004JJ00,2.3,770.6,0.0,770.6,10706.4
152,26,2005JJ00,2.2,766.8,0.0,766.8,10281.0
153,26,2006JJ00,2.3,777.8,0.0,777.8,9774.3
154,26,2007JJ00,2.8,767.6,0.0,767.6,9869.8
155,26,2008JJ00,3.4,763.7,0.0,763.7,9534.6
156,27,2003JJ00,4.7,0.6,0.0,0.6,9169.6
157,27,2004JJ00,2.2,0.6,0.0,0.6,10199.4
158,27,2005JJ00,2.1,0.8,0.0,0.8,9791.0
159,27,2006JJ00,2.2,0.8,0.0,0.8,9272.3
160,27,2007JJ00,2.7,1.6,0.0,1.6,9387.8
161,27,2008JJ00,3.3,1.7,0.0,1.7,9044.6
162,28,2003JJ00,0.2,801.0,0.0,801.0,517.0
163,28,2004JJ00,0.1,770.0,0.0,770.0,507.0
164,28,2005JJ00,0.1,766.0,0.0,766.0,490.0
165,28,2006JJ00,0.1,777.0,0.0,777.0,502.0
166,28,2007JJ00,0.1,766.0,0.0,766.0,482.0
167,28,2008JJ00,0.1,762.0,0.0,762.0,490.0
168,29,2003JJ00,11.1,,,,
169,29,2004JJ00,8.4,,,,
170,29,2005JJ00,8.5,,,,
171,29,2006JJ00,8.6,,,,
172,29,2007JJ00,8.9,,,,
173,29,2008JJ00,9.6,,,,
174,30,2003JJ00,29.8,,,,
175,30,2004JJ00,23.1,,,,
176,30,2005JJ00,23.2,,,,
177,30,2006JJ00,23.6,,,,
178,30,2007JJ00,24.8,,,,
