ID,Balansposten,Sectoren,Perioden,TotaalEnergiedragers_1,TotaalKoolEnKoolproducten_2,SteenkoolEnBruinkool_3,TotaalKoolproducten_4,Cokeovencokes_5,Cokesovengas_6,Hoogovengas_7,Steenkoolteer_8,TotaalAardoliegrondstoffenEnProducten_9,TotaalAardoliegrondstoffen_10,RuweAardolie_11,Aardgascondensaat_12,OverigeAardoliegrondstoffen_13,TotaalAardolieproducten_14,RestgassenUitOlie_15,Lpg_16,Nafta_17,Benzine_18,Kerosine_19,GasEnDieselolie_20,Stookolie_21,Smeermiddelen_22,Bitumen_23,OverigeAardolieproducten_24,Aardgas_25,TotaalHernieuwbareEnergie_26,Windenergie_27,Waterkracht_28,ZonneEnergie_29,Aardwarmte_30,TotaalBiomassa_31,BiogeenHuishoudelijkAfval_32,VasteEnVloeibareBiomassa_33,Biogas_34,Kernenergie_35,AfvalEnAndereEnergiedragers_36,Elektriciteit_37,Warmte_38,TotaalEnergiedragers_39,TotaalKoolEnKoolproducten_40,SteenkoolEnBruinkool_41,TotaalKoolproducten_42,Cokeovencokes_43,Cokesovengas_44,Hoogovengas_45,Steenkoolteer_46,TotaalAardoliegrondstoffenEnProducten_47,TotaalAardoliegrondstoffen_48,RuweAardolie_49,Aardgascondensaat_50,OverigeAardoliegrondstoffen_51,TotaalAardolieproducten_52,RestgassenUitOlie_53,Lpg_54,Nafta_55,Benzine_56,Kerosine_57,GasEnDieselolie_58,Stookolie_59,Smeermiddelen_60,Bitumen_61,OverigeAardolieproducten_62,Aardgas_63,TotaalHernieuwbareEnergie_64,Windenergie_65,Waterkracht_66,ZonneEnergie_67,Aardwarmte_68,TotaalBiomassa_69,BiogeenHuishoudelijkAfval_70,VasteEnVloeibareBiomassa_71,Biogas_72,Kernenergie_73,AfvalEnAndereEnergiedragers_74,Elektriciteit_75,Warmte_76
10, 0,300025,2005JJ00,3315.13,342.04,343.46,-1.42,-4.75,0.0,0.0,3.33,1253.4,2692.61,2243.54,443.49,5.59,-1439.21,0.0,0.71,54.55,-274.35,-283.05,-593.12,-421.87,-15.24,3.33,89.84,1480.0,88.58,7.44,0.32,0.91,0.0,79.91,26.66,47.36,5.89,41.27,43.98,65.85,0.0,3315.0,342.0,13018.0,-1.0,-167.0,0.0,0.0,79.0,28722.0,62750.0,52542.0,10079.0,128.0,-34027.0,0.0,16.0,1240.0,-6235.0,-6504.0,-13890.0,-10290.0,-368.0,79.0,1926.0,46761.0,89.0,2067.0,88.0,1.0,0.0,80.0,27.0,47.0,186.0,41.0,44.0,18293.0,0.0
11, 0,300025,2006JJ00,3235.69,325.36,331.64,-6.29,-7.72,0.0,0.0,1.43,1224.28,2649.17,2083.35,538.71,27.11,-1424.89,0.0,-5.83,41.2,-286.84,-275.95,-538.43,-413.09,-17.06,2.51,68.61,1435.14,94.08,9.85,0.38,0.94,0.0,82.92,26.62,49.65,6.66,35.91,43.66,77.25,0.0,3236.0,325.0,12673.0,-6.0,-271.0,0.0,0.0,34.0,28007.0,61653.0,48790.0,12243.0,619.0,-33645.0,0.0,-129.0,936.0,-6519.0,-6339.0,-12610.0,-10075.0,-412.0,60.0,1443.0,45344.0,94.0,2736.0,105.0,1.0,0.0,83.0,27.0,50.0,210.0,36.0,44.0,21459.0,0.0
12, 0,300025,2007JJ00,3354.78,356.52,352.72,3.8,-0.64,0.0,0.0,4.44,1353.74,2574.84,2130.04,443.02,1.78,-1221.1,0.0,55.35,90.62,-236.51,-271.01,-518.93,-351.58,-19.11,-1.16,31.24,1394.98,97.66,12.37,0.39,0.97,0.0,83.92,27.84,48.04,8.04,40.96,47.53,63.4,0.0,3355.0,357.0,13505.0,4.0,-22.0,0.0,0.0,106.0,31019.0,59993.0,49884.0,10069.0,40.0,-28974.0,0.0,1225.0,2059.0,-5375.0,-6228.0,-12153.0,-8575.0,-462.0,-28.0,562.0,44075.0,98.0,3437.0,108.0,1.0,0.0,84.0,28.0,48.0,254.0,41.0,48.0,17610.0,0.0
13, 0,300025,2008JJ00,3334.34,338.11,331.27,6.84,1.32,0.0,0.0,5.52,1274.94,2560.0,2147.29,403.51,9.19,-1285.06,0.0,62.09,30.43,-255.92,-261.39,-542.48,-322.08,-26.59,2.19,28.69,1454.11,118.6,15.33,0.36,1.02,0.1,101.79,30.55,61.04,10.2,40.12,51.41,57.06,0.0,3334.0,338.0,12716.0,7.0,46.0,0.0,0.0,132.0,29291.0,59668.0,50288.0,9171.0,209.0,-30377.0,0.0,1374.0,692.0,-5816.0,-6009.0,-12704.0,-7856.0,-642.0,52.0,533.0,45943.0,119.0,4260.0,101.0,1.0,0.0,102.0,31.0,61.0,322.0,40.0,51.0,15851.0,0.0
14, 0,300025,2009JJ00,3265.89,313.44,309.36,4.08,1.96,0.0,0.0,2.12,1244.13,2502.44,2054.89,450.77,-3.22,-1258.32,0.0,51.06,76.46,-260.29,-232.6,-551.31,-326.99,-34.46,-1.65,21.45,1465.79,130.74,16.5,0.35,1.1,0.11,112.68,32.19,68.57,11.92,41.03,53.14,17.61,0.0,3266.0,313.0,11901.0,4.0,69.0,0.0,0.0,51.0,28524.0,58296.0,48124.0,10245.0,-73.0,-29771.0,0.0,1130.0,1738.0,-5916.0,-5346.0,-12911.0,-7975.0,-832.0,-39.0,382.0,46312.0,131.0,4584.0,98.0,1.0,0.0,113.0,32.0,69.0,377.0,41.0,53.0,4891.0,0.0
15, 0,300025,2010JJ00,3492.24,317.96,310.5,7.46,3.28,0.0,0.0,4.18,1304.7,2621.28,2213.79,399.84,7.65,-1316.57,0.0,45.55,153.83,-305.13,-251.66,-591.49,-364.14,-32.44,1.7,27.2,1642.67,127.35,14.38,0.37,1.21,0.32,111.07,34.21,63.97,12.89,38.41,51.15,10.0,0.0,3492.0,318.0,11902.0,7.0,115.0,0.0,0.0,100.0,29935.0,61106.0,51845.0,9087.0,174.0,-31171.0,0.0,1008.0,3496.0,-6935.0,-5781.0,-13852.0,-8882.0,-783.0,41.0,517.0,51901.0,127.0,3993.0,104.0,1.0,0.0,111.0,34.0,64.0,407.0,38.0,51.0,2777.0,0.0
16, 0,300025,2011JJ00,3245.57,313.17,305.63,7.54,4.19,0.0,0.0,3.35,1241.1,2532.04,2148.87,370.21,12.97,-1290.94,0.0,50.98,36.22,-216.14,-306.24,-562.15,-272.06,-20.3,-1.73,0.47,1433.56,132.21,18.36,0.2,1.4,0.32,111.92,37.36,61.73,12.83,40.16,52.66,32.72,0.0,3246.0,313.0,11711.0,8.0,147.0,0.0,0.0,80.0,28596.0,59033.0,50325.0,8414.0,295.0,-30437.0,0.0,1128.0,823.0,-4912.0,-7041.0,-13165.0,-6636.0,-490.0,-41.0,-103.0,45294.0,132.0,5100.0,56.0,1.0,0.0,112.0,37.0,62.0,405.0,40.0,53.0,9090.0,0.0
17, 0,300025,2012JJ00,3269.14,343.86,334.32,9.54,6.34,0.0,0.0,3.2,1258.14,2503.04,2149.96,355.38,-2.31,-1244.89,0.0,27.59,228.36,-339.54,-287.7,-553.68,-310.14,-20.63,-4.8,15.66,1372.75,139.89,17.93,0.38,1.98,0.5,119.1,39.79,66.37,12.93,38.52,54.39,61.6,0.0,3269.0,344.0,12817.0,10.0,223.0,0.0,0.0,76.0,28977.0,58375.0,50350.0,8077.0,-52.0,-29397.0,0.0,610.0,5190.0,-7717.0,-6615.0,-12967.0,-7564.0,-498.0,-115.0,279.0,43373.0,140.0,4982.0,104.0,2.0,0.0,119.0,40.0,66.0,409.0,39.0,54.0,17110.0,0.0
18, 0,300025,2013JJ00,3255.7,341.96,339.79,2.17,1.16,0.0,0.0,1.01,1230.85,2412.67,2037.1,363.06,12.51,-1181.81,0.0,117.26,146.21,-360.1,-281.08,-526.9,-276.63,-16.24,-10.06,25.73,1396.2,137.43,20.26,0.41,2.95,0.99,112.82,40.69,58.71,13.42,27.6,56.01,65.65,0.0,3256.0,342.0,12999.0,2.0,41.0,0.0,0.0,24.0,28263.0,56243.0,47707.0,8251.0,284.0,-27980.0,0.0,2594.0,3323.0,-8184.0,-6462.0,-12340.0,-6747.0,-392.0,-240.0,468.0,44114.0,137.0,5627.0,114.0,3.0,1.0,113.0,41.0,59.0,424.0,28.0,56.0,18236.0,0.0
19, 0,802000,1995JJ00,561.79,279.1,358.5,-79.4,-82.31,-12.31,20.85,-5.62,196.52,2497.0,2398.86,93.44,4.7,-2300.48,23.71,-59.27,-224.04,-422.87,-269.02,-858.37,-434.29,-24.78,-25.89,-5.66,359.52,2.63,1.01,0.32,0.0,0.0,1.3,0.0,0.0,1.3,43.13,0.23,-224.67,-94.67,562.0,279.0,13332.0,-79.0,-2888.0,-389.0,659.0,-134.0,4429.0,58412.0,56179.0,2124.0,109.0,-53982.0,525.0,-1311.0,-5092.0,-9611.0,-6186.0,-20102.0,-10592.0,-599.0,-618.0,-396.0,11359.0,3.0,281.0,88.0,0.0,0.0,1.0,0.0,0.0,41.0,43.0,0.0,-62408.0,-95.0
