ID,RegioS,Perioden,AlleLanden_1,Nederland_2,BuitenlandTotaal_3,EuropaExclusiefNederland_4,Duitsland_5,Belgie_6,GrootBrittannie_7,Frankrijk_8,Zwitserland_9,Italie_10,Spanje_11,Denemarken_12,Zweden_13,OverigeLandenEurozone_14,OverigEuropa_15,Amerika_16,Azie_17,AustralieEnOceanie_18,Afrika_19,AlleLanden_20,Nederland_21,BuitenlandTotaal_22,EuropaExclusiefNederland_23,Duitsland_24,Belgie_25,GrootBrittannie_26,Frankrijk_27,Zwitserland_28,Italie_29,Spanje_30,Denemarken_31,Zweden_32,OverigeLandenEurozone_33,OverigEuropa_34,Amerika_35,Azie_36,AustralieEnOceanie_37,Afrika_38
135,NL01  ,2005JJ00,26194.0,16182.1,10011.8,7939.9,2569.6,917.4,1852.6,526.7,141.4,374.1,322.3,147.7,110.6,335.5,642.0,1222.2,643.5,105.2,101.1,80160.7,54950.7,25210.0,21502.5,10043.5,2392.3,3662.9,1016.5,303.7,838.4,710.3,304.5,195.3,702.6,1332.3,2150.0,1124.5,206.1,226.9
136,NL01  ,2006MM01,1451.0,885.2,565.9,447.3,114.6,53.3,116.6,32.0,7.0,28.9,17.4,7.1,5.5,22.0,42.9,72.2,33.7,6.7,5.9,3343.8,2169.9,1173.9,965.0,338.0,123.2,198.6,54.3,12.2,61.8,32.6,12.8,8.2,43.3,80.0,125.7,58.1,13.3,11.8
137,NL01  ,2006MM02,1501.2,924.6,576.7,458.1,102.2,53.8,134.4,42.3,7.5,20.0,19.6,8.1,5.4,23.1,41.9,72.4,34.7,5.2,6.2,3378.9,2247.1,1131.7,934.3,254.9,110.2,242.6,88.2,13.9,36.3,36.6,16.7,9.8,44.1,81.1,119.2,57.6,9.6,11.1
138,NL01  ,2006MM03,1758.0,1024.1,733.8,559.8,131.0,63.5,160.8,41.6,10.6,24.1,25.6,11.1,8.3,28.2,55.1,112.0,45.1,7.1,9.8,3857.3,2397.7,1459.6,1164.9,347.6,147.5,283.8,71.9,18.4,49.1,48.4,20.5,16.5,55.8,105.3,189.0,76.2,12.3,17.2
139,NL01  ,2006KW01,4710.2,2833.9,1876.4,1465.2,347.7,170.6,411.8,115.9,25.0,72.9,62.6,26.3,19.2,73.3,139.9,256.7,113.5,19.1,21.9,10580.0,6814.7,3765.3,3064.2,940.4,380.9,725.1,214.3,44.5,147.1,117.6,50.0,34.5,143.2,266.4,433.9,191.9,35.3,40.0
140,NL01  ,2006MM04,2443.2,1320.4,1122.8,929.6,328.4,103.5,189.4,76.9,18.8,35.1,32.6,27.5,17.5,36.9,63.2,116.4,59.5,10.9,6.3,6351.1,3428.0,2923.2,2580.2,1220.7,298.7,397.6,173.3,40.3,71.0,68.7,66.2,41.4,77.3,125.1,205.7,102.4,21.4,13.5
141,NL01  ,2006MM05,2947.3,1940.7,1006.6,803.6,263.3,90.6,184.6,64.8,18.3,30.1,28.6,18.2,11.4,31.8,61.8,124.7,58.7,11.2,8.3,8233.8,5941.3,2292.5,1922.3,819.6,213.3,361.8,124.5,37.0,60.1,55.0,40.1,21.4,64.3,125.1,228.4,102.9,22.6,16.3
142,NL01  ,2006MM06,3071.5,1994.9,1076.6,846.8,349.8,84.4,167.4,48.8,16.5,30.1,33.3,14.7,10.7,32.5,58.6,147.3,60.4,13.9,8.4,9795.5,6922.6,2872.9,2440.9,1404.7,208.0,335.8,89.4,34.4,60.8,67.5,28.2,19.4,70.1,122.6,275.4,111.3,27.9,17.4
143,NL01  ,2006KW02,8462.0,5256.0,3206.0,2580.0,941.5,278.5,541.5,190.5,53.6,95.3,94.5,60.4,39.6,101.2,183.6,388.4,178.6,36.0,23.0,24380.4,16291.9,8088.5,6943.4,3445.1,719.9,1095.2,387.2,111.7,191.8,191.2,134.5,82.2,211.7,372.8,709.5,316.7,71.8,47.2
144,NL01  ,2006MM07,3091.7,1904.6,1187.1,963.7,388.5,117.4,173.2,61.8,25.1,32.0,39.5,22.2,13.0,33.6,57.3,144.2,58.2,12.5,8.5,11860.8,8129.9,3730.9,3303.3,1904.5,350.0,356.7,146.3,73.7,70.2,87.6,64.1,32.7,79.3,138.2,276.9,108.0,26.1,16.6
145,NL01  ,2006MM08,3254.6,2055.9,1198.8,1001.4,338.8,108.2,182.0,73.3,19.6,85.4,74.4,15.0,10.1,35.6,58.9,117.0,58.2,14.6,7.5,13816.7,10157.9,3658.8,3262.9,1557.2,336.5,430.1,173.0,62.3,218.5,183.6,36.9,26.9,94.6,143.3,224.7,123.2,31.4,16.6
146,NL01  ,2006MM09,2803.3,1812.1,991.2,781.4,283.8,80.7,168.0,44.4,14.7,29.8,36.6,14.1,9.7,31.8,67.6,128.8,57.9,13.0,10.1,8062.1,5578.8,2483.3,2102.8,1057.8,193.0,338.1,82.1,29.9,62.5,81.6,27.0,17.4,71.0,142.6,227.3,106.9,27.0,19.3
147,NL01  ,2006KW03,9149.6,5772.5,3377.1,2746.5,1011.2,306.3,523.2,179.5,59.4,147.2,150.5,51.3,32.9,101.0,183.8,389.9,174.3,40.2,26.1,33739.5,23866.6,9872.9,8669.0,4519.4,879.6,1124.8,401.3,165.9,351.1,352.8,128.0,77.0,245.0,424.1,728.9,338.0,84.5,52.5
148,NL01  ,2006MM10,2548.7,1606.7,942.0,757.3,290.8,78.6,161.3,41.1,15.2,25.3,31.2,15.1,9.1,31.8,57.8,114.5,52.0,10.5,7.7,6885.9,4490.7,2395.2,2068.7,1134.6,179.6,304.5,76.8,31.2,47.8,66.7,30.3,15.4,65.8,116.0,198.0,92.0,22.2,14.4
149,NL01  ,2006MM11,1957.5,1211.2,746.2,584.5,125.3,94.8,150.8,42.0,10.6,26.7,26.5,11.0,8.4,30.1,58.2,100.3,47.0,7.4,7.0,4284.4,2742.4,1542.0,1250.8,325.6,246.1,268.0,81.0,19.3,53.0,53.7,19.0,14.2,59.4,111.5,175.6,84.7,14.4,16.4
150,NL01  ,2006MM12,1675.3,1084.4,590.9,464.9,96.0,62.0,124.1,38.6,9.1,30.0,26.1,6.7,4.5,21.6,46.2,75.1,36.6,7.4,6.9,4073.2,2850.6,1222.6,996.0,264.8,135.7,227.3,69.3,18.0,65.3,58.1,11.2,7.6,43.6,95.2,132.7,65.8,15.5,12.6
151,NL01  ,2006KW04,6181.5,3902.3,2279.2,1806.7,512.1,235.3,436.2,121.8,34.9,82.0,83.9,32.8,22.0,83.5,162.2,290.0,135.6,25.3,21.6,15243.5,10083.7,5159.8,4315.5,1725.0,561.3,799.8,227.0,68.5,166.1,178.6,60.5,37.2,168.8,322.7,506.3,242.5,52.1,43.4
152,NL01  ,2006JJ00,28503.3,17764.7,10738.6,8598.4,2812.4,990.6,1912.7,607.6,173.0,397.5,391.6,170.8,113.7,359.0,669.5,1325.0,602.0,120.6,92.7,83943.4,57056.8,26886.6,22992.0,10630.0,2541.8,3744.9,1229.9,390.6,856.2,840.2,373.0,230.9,768.6,1385.9,2378.6,1089.2,243.7,183.1
153,NL01  ,2007MM01,1656.4,1015.5,641.0,512.4,129.7,62.9,130.3,38.4,9.3,30.9,21.3,9.0,6.2,25.5,49.0,77.8,37.3,7.4,6.0,3712.2,2390.9,1321.3,1098.0,383.8,138.4,221.5,69.7,16.5,66.2,39.5,16.5,9.3,46.0,90.6,131.1,65.7,15.1,11.3
154,NL01  ,2007MM02,1717.1,1075.0,642.0,519.8,121.2,69.7,142.4,40.1,8.9,21.9,23.5,9.2,7.5,25.6,50.0,74.7,36.0,5.4,6.2,3955.0,2655.8,1299.3,1082.7,313.0,156.3,262.4,71.2,14.7,41.4,46.6,17.1,11.1,51.9,97.0,130.6,63.7,10.7,11.6
155,NL01  ,2007MM03,1974.6,1191.9,782.7,616.4,152.5,64.5,165.2,47.8,11.6,28.1,30.5,11.9,9.0,30.9,64.2,108.7,42.8,6.0,8.8,4490.4,2859.1,1631.3,1342.6,451.5,131.9,291.8,98.6,21.2,54.6,63.0,21.1,17.3,61.1,130.5,184.4,76.4,11.8,16.2
156,NL01  ,2007KW01,5348.0,3282.4,2065.6,1648.7,403.3,197.1,438.0,126.4,29.8,80.9,75.3,30.0,22.7,82.0,163.2,261.2,116.0,18.8,21.0,12157.6,7905.7,4251.9,3523.3,1148.3,426.5,775.7,239.5,52.4,162.2,149.2,54.7,37.7,159.0,318.1,446.1,205.7,37.6,39.1
157,NL01  ,2007MM04,2696.9,1562.3,1134.6,947.5,323.7,118.7,183.8,79.0,19.7,36.8,37.1,23.7,17.2,42.3,65.4,110.9,58.5,9.0,8.7,6978.4,3989.1,2989.3,2642.7,1189.0,329.6,401.2,186.4,44.4,79.3,82.1,53.2,38.3,99.4,139.7,204.9,106.3,18.1,17.4
158,NL01  ,2007MM05,3158.3,2123.1,1035.2,831.8,303.8,100.5,168.1,54.9,18.1,27.1,28.8,15.6,9.7,37.1,68.2,125.4,57.3,13.2,7.5,9603.0,7095.9,2507.1,2134.9,1028.0,244.0,332.9,108.8,39.3,54.9,60.7,33.3,18.7,78.6,135.8,226.9,103.6,25.8,15.9
159,NL01  ,2007MM06,2977.1,1966.2,1010.8,797.7,309.8,79.3,166.2,45.2,16.4,28.3,33.1,12.6,9.7,35.3,61.9,131.5,60.4,12.8,8.5,8842.9,6174.3,2668.6,2280.0,1276.5,191.5,323.3,86.1,34.0,55.1,70.1,22.7,18.3,74.8,127.5,239.1,106.2,25.7,17.5
160,NL01  ,2007KW02,8832.3,5651.7,3180.7,2576.9,937.3,298.4,518.1,179.1,54.2,92.2,99.0,51.9,36.6,114.7,195.4,367.8,176.2,35.0,24.7,25424.3,17259.3,8165.0,7057.6,3493.5,765.1,1057.5,381.4,117.7,189.3,212.9,109.2,75.3,252.7,403.0,670.8,316.1,69.6,50.8
161,NL01  ,2007MM07,3080.3,1883.1,1197.2,980.5,367.8,123.0,170.5,59.7,24.5,33.7,54.0,23.2,13.5,37.8,72.9,138.9,57.4,12.5,8.0,11889.1,7974.3,3914.8,3491.2,1961.7,394.9,380.5,127.7,68.2,76.2,137.4,63.5,30.4,92.2,158.4,272.9,107.3,27.3,16.1
