ID,BedrijfstakkenBranches,Perioden,PrijsindexArbeid_1,JaarmutatiePrijsVanArbeid_2,LoonkostenPerGewerktUur2010100_3,JaarmutatieLoonkostenPerGewerktUur_4,Structuureffect_5
0,300025,2001JJ00,81.9,,77.5,,
1,300025,2002JJ00,85.4,4.2,81.3,5.0,0.7
2,300025,2003JJ00,87.9,2.9,84.5,3.9,0.9
3,300025,2004JJ00,88.7,0.9,85.7,1.5,0.6
4,300025,2005JJ00,90.5,2.0,88.1,2.8,0.8
5,300025,2006JJ00,92.0,1.7,90.1,2.3,0.6
6,300025,2007JJ00,95.1,3.4,93.3,3.5,0.1
7,300025,2008JJ00,98.5,3.5,96.6,3.6,0.1
8,300025,2009JJ00,100.0,1.5,99.3,2.8,1.2
9,300025,2010JJ00,100.0,0.0,100.0,0.7,0.7
10,300025,2011JJ00,101.6,1.6,101.8,1.8,0.2
11,300025,2012JJ00,103.9,2.2,104.8,2.9,0.7
12,300025,2013JJ00,105.3,1.4,107.1,2.2,0.8
13,300025,2014JJ00,106.1,0.7,108.2,1.1,0.3
14,300025,2015JJ00,106.2,0.1,108.2,-0.1,-0.1
15,300025,2016JJ00,107.1,0.9,108.8,0.5,-0.3
16,300025,2017JJ00,109.1,1.9,110.2,1.3,-0.6
17,300025,2006VJ12,92.0,1.7,90.1,2.3,0.6
18,300025,2007VJ03,93.0,,91.1,,
19,300025,2007VJ06,93.7,,91.8,,
20,300025,2007VJ09,94.3,,92.5,,
21,300025,2007VJ12,95.1,3.4,93.3,3.5,0.1
22,300025,2008VJ03,96.3,3.5,94.4,3.6,0.1
23,300025,2008VJ06,97.2,3.7,95.3,3.7,0.0
24,300025,2008VJ09,97.7,3.5,95.8,3.6,0.0
25,300025,2008VJ12,98.5,3.5,96.6,3.6,0.1
26,300025,2009VJ03,98.8,2.7,97.2,3.0,0.3
27,300025,2009VJ06,99.8,2.7,98.4,3.3,0.6
28,300025,2009VJ09,100.0,2.3,98.9,3.3,0.9
29,300025,2009VJ12,100.0,1.5,99.3,2.8,1.2
30,300025,2010VJ03,100.3,1.4,100.0,2.8,1.4
31,300025,2010VJ06,100.5,0.8,100.4,2.0,1.2
32,300025,2010VJ09,100.1,0.1,100.0,1.1,0.9
33,300025,2010VJ12,100.0,0.0,100.0,0.7,0.7
34,300025,2011VJ03,100.1,-0.2,100.1,0.2,0.3
35,300025,2011VJ06,100.1,-0.5,100.1,-0.3,0.2
36,300025,2011VJ09,100.4,0.3,100.5,0.5,0.2
37,300025,2011VJ12,101.6,1.6,101.8,1.8,0.2
38,300025,2012VJ03,101.6,1.5,101.9,1.8,0.3
39,300025,2012VJ06,102.0,1.9,102.5,2.3,0.4
40,300025,2012VJ09,102.9,2.5,103.6,3.1,0.5
41,300025,2012VJ12,103.9,2.2,104.8,2.9,0.7
42,300025,2013VJ03,105.4,3.8,106.6,4.6,0.7
43,300025,2013VJ06,105.5,3.4,106.8,4.3,0.8
44,300025,2013VJ09,105.5,2.5,107.1,3.4,0.8
45,300025,2013VJ12,105.3,1.4,107.1,2.2,0.8
46,300025,2014VJ03,105.2,-0.2,107.1,0.5,0.7
47,300025,2014VJ06,105.4,0.0,107.5,0.6,0.6
48,300025,2014VJ09,105.4,-0.1,107.5,0.3,0.5
49,300025,2014VJ12,106.1,0.7,108.2,1.1,0.3
50,300025,2015VJ03,106.1,0.9,108.2,1.0,0.2
51,300025,2015VJ06,106.4,0.9,108.6,1.0,0.1
52,300025,2015VJ09,106.9,1.4,109.0,1.4,0.0
53,300025,2015VJ12,106.2,0.1,108.2,-0.1,-0.1
54,300025,2016VJ03,106.8,0.6,108.7,0.4,-0.2
55,300025,2016VJ06,106.4,-0.1,108.2,-0.3,-0.2
56,300025,2016VJ09,106.4,-0.4,108.2,-0.7,-0.3
57,300025,2016VJ12,107.1,0.9,108.8,0.5,-0.3
58,300025,2017VJ03,106.4,-0.3,108.0,-0.7,-0.3
59,300025,2017VJ06,107.4,1.0,108.8,0.5,-0.4
60,300025,2017VJ09,108.1,1.6,109.3,1.0,-0.5
