ID,FinancieringsbronnenZorg,Perioden,TotaalZorguitgavenInclWelzijn_1,TotaalAanbiedGeneeskLangdurigeZorg_2,ZiekenhuizenEnSpecialistenpraktijken_3,GeestelijkeGezondheidszorg_4,Huisartsenpraktijken_5,Tandartsenpraktijken_6,ParamedischePraktijken_7,Ouderenzorg_8,Gehandicaptenzorg_9,TotaalOvAanbiedGeneeskLangdurZorg_10,GGDEn_11,ArboEnReIntegratie_12,Geneesmiddelen_13,TherapeutischeMiddelen_14,OndersteunendeDiensten_15,OverigeGeneeskundigeEnLangdurigeZorg_16,TotaalWelzijnJeugdzorgKinderopvang_17,Kinderopvang_18,Jeugdzorg_19,OverigeAanbiedersWJK_20,BeleidsEnBeheerorganisaties_21
14,100000,2012JJ00,92943,79875,24344,6551,2612,2791,2316,17239,9532,14490,727,1096,5457,3218,1715,2277,9842,4618,2009,3215,3226
15,100000,2013JJ00,93099,80405,25404,6623,2638,2673,2256,17200,9555,14057,737,1021,5190,3098,1753,2258,9402,4212,2010,3180,3292
16,100000,2014JJ00,94452,81760,25546,6665,2804,2741,2331,17617,9787,14270,767,996,5193,3149,1896,2269,9289,4027,2009,3253,3403
17,100000,2015JJ00,94494,81821,26427,6593,2819,2736,2363,16939,9355,14589,766,950,5369,3179,2025,2299,9355,3969,1808,3577,3318
18,100000,2016JJ00,96711,83786,27152,6617,2945,2877,2531,17242,9753,14669,769,993,5499,3063,2053,2292,9664,4081,1685,3897,3261
19,105000,1998JJ00,5591,2101,711,103,0,0,0,141,567,580,237,115,0,0,172,55,3014,165,824,2026,476
20,105000,1999JJ00,6275,2317,792,143,0,0,0,145,592,644,251,130,0,0,207,56,3455,172,949,2334,504
21,105000,2000JJ00,6761,2454,847,152,0,0,0,173,575,707,269,148,0,0,235,56,3782,222,1063,2497,524
22,105000,2001JJ00,7731,2931,946,305,0,0,0,191,702,788,312,160,0,0,261,55,4254,288,1203,2763,546
23,105000,2002JJ00,8290,3462,1012,370,0,0,0,283,812,985,356,209,0,0,362,59,4221,263,1159,2799,608
24,105000,2003JJ00,8488,3593,1048,366,0,0,0,320,862,996,421,238,0,0,275,63,4275,270,1178,2827,620
25,105000,2004JJ00,8276,3667,1122,390,0,0,0,287,831,1037,431,230,0,0,317,59,3967,308,1170,2489,642
26,105000,2005JJ00,8417,3877,1149,480,0,0,0,312,872,1064,434,217,0,0,353,60,3724,50,1180,2494,816
27,105000,2006JJ00,8849,4250,1163,627,47,0,0,344,960,1109,467,186,0,0,326,131,3729,274,1220,2236,870
28,105000,2007JJ00,11290,6206,1877,683,45,0,0,1424,929,1248,494,243,0,0,360,151,3946,281,1339,2326,1137
29,105000,2008JJ00,11874,6649,1999,892,47,0,0,1462,915,1334,488,302,0,0,377,167,4061,307,1388,2367,1164
30,105000,2009JJ00,12697,6866,2029,893,54,0,0,1481,1017,1392,518,274,0,0,428,172,4608,271,1759,2579,1222
31,105000,2010JJ00,13123,7138,2110,930,57,0,0,1520,996,1524,557,279,0,0,513,175,4800,304,1867,2630,1184
32,105000,2011JJ00,12839,7027,2084,940,64,0,0,1504,920,1515,576,261,0,0,508,171,4610,262,1837,2512,1202
33,105000,2012JJ00,12875,7207,2370,912,60,0,0,1483,875,1508,601,240,0,0,490,177,4531,260,1885,2386,1137
34,105000,2013JJ00,11631,5954,1352,876,61,0,0,1472,760,1433,607,153,0,0,484,190,4526,240,1883,2403,1152
35,105000,2014JJ00,12015,6150,1367,863,61,0,0,1602,715,1541,631,127,0,0,588,195,4681,315,1888,2477,1184
36,105000,2015JJ00,17065,10852,2090,2804,52,0,0,2384,1850,1672,631,121,0,0,704,216,5043,312,1765,2966,1169
37,105000,2016JJ00,17537,11123,2079,2863,52,0,0,2351,2073,1705,631,127,0,0,728,219,5222,323,1645,3253,1192
38,106000,1998JJ00,11458,10985,6318,0,855,323,574,8,0,2907,62,0,1913,544,88,300,0,0,0,0,474
39,106000,1999JJ00,11906,11425,6483,0,886,333,594,15,0,3114,64,0,2084,556,94,317,0,0,0,0,481
40,106000,2000JJ00,12863,12381,7026,0,986,359,695,20,0,3295,67,0,2225,572,98,333,0,0,0,0,482
41,106000,2001JJ00,14448,13935,8037,0,1053,384,768,30,0,3664,71,0,2482,615,125,372,0,0,0,0,513
42,106000,2002JJ00,15892,15425,8972,0,1206,446,809,40,0,3953,79,0,2666,668,130,410,0,0,0,0,467
43,106000,2003JJ00,16832,16341,9359,0,1291,465,871,50,0,4305,72,0,2883,739,144,469,0,0,0,0,491
44,106000,2004JJ00,16859,16370,9807,0,1269,335,549,60,0,4350,71,0,2841,807,167,464,0,0,0,0,489
45,106000,2005JJ00,17566,17059,10325,0,1249,334,547,70,0,4534,76,0,2987,797,195,480,0,0,0,0,507
46,106000,2006JJ00,26865,25467,15060,0,2198,511,828,193,0,6678,85,0,4381,1085,315,812,159,0,19,141,1239
47,106000,2007JJ00,27908,26491,15262,0,2340,554,900,206,5,7225,100,0,4765,1152,367,841,203,0,23,180,1214
48,106000,2008JJ00,31467,30142,16642,2435,2326,619,976,246,58,6840,89,0,4344,1135,380,891,233,0,32,202,1092
49,106000,2009JJ00,33248,31982,17809,2627,2345,677,1075,295,73,7082,88,0,4353,1204,492,944,280,0,36,245,986
50,106000,2010JJ00,34633,33331,18802,2487,2360,714,1160,343,77,7388,98,0,4433,1235,622,999,317,0,40,277,985
51,106000,2011JJ00,35229,33817,18803,2621,2559,663,1178,358,86,7548,95,0,4409,1270,718,1056,329,0,47,281,1084
52,106000,2012JJ00,35531,34025,19586,2751,2485,681,1121,372,98,6931,82,0,3758,1300,751,1040,410,0,77,333,1096
53,106000,2013JJ00,37223,35748,21368,2507,2501,647,1061,1194,8,6462,85,0,3345,1214,797,1022,366,0,79,286,1109
54,106000,2014JJ00,37468,35911,21057,2652,2665,679,1111,1134,9,6604,88,0,3353,1241,894,1028,371,0,73,297,1187
55,106000,2015JJ00,40573,39297,21604,2249,2686,680,1134,3899,201,6843,86,0,3463,1244,1012,1038,74,0,0,74,1203
56,106000,2016JJ00,41705,40476,22278,2315,2813,694,1184,4106,214,6871,90,0,3556,1158,1024,1043,86,0,0,86,1143
57,108000,1998JJ00,11350,11251,254,2081,30,8,0,6262,2550,67,10,0,0,0,0,57,0,0,0,0,99
58,108000,1999JJ00,12109,11994,291,2233,36,8,0,6583,2773,70,9,0,0,0,0,62,0,0,0,0,115
59,108000,2000JJ00,13109,12968,349,2346,40,9,0,7122,3025,76,10,0,0,0,0,67,0,0,0,0,142
60,108000,2001JJ00,14642,14471,354,2491,35,9,0,8194,3300,87,19,0,0,0,0,69,5,0,0,5,166
61,108000,2002JJ00,16934,16725,464,2788,39,10,0,9408,3926,90,10,0,0,0,0,81,10,0,0,10,199
62,108000,2003JJ00,18745,18520,530,3192,39,11,0,10266,4369,112,24,0,0,0,0,88,20,0,0,20,205
63,108000,2004JJ00,19415,19171,628,3429,42,12,0,10273,4677,111,20,0,0,0,0,91,30,0,0,30,214
64,108000,2005JJ00,20192,19893,644,3653,45,12,0,10540,4886,112,17,0,0,0,0,96,50,0,0,50,249
65,108000,2006JJ00,21264,20876,812,3714,0,13,0,11215,5074,48,14,0,0,0,0,33,96,0,5,91,292
66,108000,2007JJ00,21334,21060,911,4046,0,15,0,10550,5504,33,0,0,0,0,0,33,85,0,7,78,189
67,108000,2008JJ00,20335,20044,846,1825,0,14,0,11217,6019,124,0,0,0,0,103,22,92,0,13,79,198
68,108000,2009JJ00,21572,21271,828,2065,0,17,0,11629,6610,122,0,0,0,0,100,22,87,0,13,74,214
69,108000,2010JJ00,22612,22294,988,2282,0,17,0,11995,6896,117,0,0,0,0,95,21,93,0,15,77,226
70,108000,2011JJ00,23410,23074,952,2367,0,18,0,12512,7114,111,0,0,0,0,91,20,98,0,21,77,239
71,108000,2012JJ00,25820,25440,926,2445,0,23,0,13842,8079,125,0,0,0,0,103,22,136,0,48,88,245
72,108000,2013JJ00,25105,24693,832,2639,0,24,0,12850,8231,116,0,0,0,0,94,22,134,0,48,86,278
73,108000,2014JJ00,25560,25143,800,2556,0,28,0,13160,8487,113,0,0,0,0,92,20,133,0,48,86,284
74,108000,2015JJ00,17697,17307,457,849,0,31,0,9275,6687,8,0,0,0,0,0,8,131,0,43,88,259
75,108000,2016JJ00,18025,17632,529,777,0,43,0,9332,6944,8,0,0,0,0,0,8,134,0,40,94,259
76,114000,1998JJ00,5623,4993,2426,59,371,606,304,8,0,1220,18,0,761,192,28,221,0,0,0,0,629
77,114000,1999JJ00,6161,5478,2712,50,391,630,313,15,0,1368,19,0,848,217,31,253,0,0,0,0,683
78,114000,2000JJ00,6314,5594,2606,59,401,690,352,20,0,1466,20,0,907,237,32,270,0,0,0,0,720
79,114000,2001JJ00,7114,6310,2981,69,446,762,387,30,0,1636,21,0,1009,268,41,297,0,0,0,0,804
80,114000,2002JJ00,8127,7245,3454,95,516,867,423,40,0,1850,25,0,1121,326,45,333,0,0,0,0,882
81,114000,2003JJ00,8938,8030,3869,102,587,961,470,50,0,1990,22,0,1190,365,52,361,0,0,0,0,908
82,114000,2004JJ00,9924,8962,4208,112,573,1139,788,60,0,2084,22,0,1192,420,64,385,0,0,0,0,962
83,114000,2005JJ00,10285,9186,4278,112,582,1135,826,70,0,2183,22,0,1257,449,79,376,0,0,0,0,1099
84,114000,2006JJ00,3418,2908,120,208,0,1155,799,0,0,626,0,0,76,183,0,367,0,0,0,0,510
85,114000,2007JJ00,3667,3150,128,240,0,1261,849,0,0,672,0,0,76,197,0,399,0,0,0,0,518
86,114000,2008JJ00,3668,3154,130,170,0,1283,881,0,0,690,0,0,40,224,0,426,0,0,0,0,514
87,114000,2009JJ00,3943,3384,140,170,0,1429,903,0,0,742,0,0,58,233,0,451,0,0,0,0,559
88,114000,2010JJ00,3986,3407,150,164,0,1490,885,0,0,718,0,0,55,223,0,440,0,0,0,0,579
89,114000,2011JJ00,4337,3736,171,170,0,1620,975,0,0,800,0,0,66,298,0,436,0,0,0,0,601
90,114000,2012JJ00,4452,3854,175,160,0,1661,1029,0,0,829,0,0,66,313,0,450,0,0,0,0,598
91,114000,2013JJ00,4251,3648,175,155,0,1515,1027,0,0,776,0,0,63,306,0,407,0,0,0,0,603
92,114000,2014JJ00,4303,3706,185,172,0,1535,1049,0,0,765,0,0,52,302,0,411,0,0,0,0,597
93,114000,2015JJ00,4224,3688,185,170,0,1525,1058,0,0,750,0,0,58,304,0,388,0,0,0,0,536
94,114000,2016JJ00,4466,3950,195,185,0,1641,1176,0,0,753,0,0,53,305,0,395,0,0,0,0,516
95,115000,1998JJ00,4979,4122,164,192,59,249,87,1094,312,1966,14,7,681,840,0,424,773,638,0,135,84
96,115000,1999JJ00,5445,4424,173,208,67,280,155,1142,320,2079,15,8,729,889,0,439,931,775,0,155,90
97,115000,2000JJ00,5694,4552,196,212,73,301,92,1154,312,2214,17,9,764,944,0,480,1047,886,0,161,94
98,115000,2001JJ00,6081,4847,215,202,88,358,101,1189,312,2382,20,9,817,1008,0,527,1134,949,0,185,100
99,115000,2002JJ00,6414,5071,232,191,97,417,117,1228,324,2465,28,12,862,1000,0,563,1225,1007,0,218,119
100,115000,2003JJ00,6869,5349,248,201,122,470,139,1232,344,2595,17,12,911,1050,0,605,1396,1148,0,248,124
101,115000,2004JJ00,7349,5650,259,204,131,480,139,1387,359,2692,19,13,943,1066,0,651,1582,1339,0,243,116
102,115000,2005JJ00,9027,5869,291,220,137,454,153,1439,362,2812,20,12,968,1088,0,724,3030,2776,0,254,129
103,115000,2006JJ00,8466,5221,282,152,20,339,79,1424,364,2561,23,11,880,1144,0,505,3112,2848,0,264,132
104,115000,2007JJ00,8874,5355,279,148,25,371,83,1438,354,2657,24,16,937,1152,0,529,3380,3103,0,277,138
105,115000,2008JJ00,10968,6968,898,159,52,452,114,1418,376,3498,20,12,1454,1427,35,550,3867,3556,0,311,134
106,115000,2009JJ00,11053,6559,912,173,53,381,128,1361,366,3186,18,11,1495,1083,37,542,4344,4008,0,336,150
107,115000,2010JJ00,11563,6913,927,199,54,382,138,1382,429,3401,19,11,1549,1213,53,555,4496,4148,0,347,155
108,115000,2011JJ00,12216,7292,952,231,54,370,150,1474,504,3556,20,10,1555,1340,62,569,4763,4428,0,334,161
109,115000,2012JJ00,12714,7895,1224,283,57,416,166,1537,480,3731,23,9,1610,1439,80,570,4669,4358,0,311,150
110,115000,2013JJ00,13352,8917,1609,446,65,476,169,1679,555,3918,23,11,1757,1413,117,598,4284,3972,0,312,150
111,115000,2014JJ00,13586,9421,2077,422,66,489,171,1715,576,3905,23,12,1762,1435,79,593,4015,3712,0,303,151
112,115000,2015JJ00,13429,9252,2043,520,68,487,171,1376,618,3969,23,12,1822,1461,24,628,4026,3657,0,369,151
113,115000,2016JJ00,13444,9152,2023,477,66,488,171,1448,522,3956,23,12,1863,1429,23,605,4142,3758,0,384,151
114,117000,1998JJ00,1308,867,25,0,4,4,0,15,0,819,13,621,10,62,108,6,440,373,0,67,0
115,117000,1999JJ00,1492,1018,25,0,4,4,0,14,0,971,14,699,10,71,171,6,473,401,0,72,0
116,117000,2000JJ00,1710,1121,25,0,5,5,0,17,0,1068,16,797,15,79,155,6,589,513,0,76,0
117,117000,2001JJ00,1995,1318,29,0,6,6,0,16,0,1262,19,867,15,103,252,6,677,592,0,85,0
118,117000,2002JJ00,2509,1608,30,0,6,6,0,33,0,1533,27,1009,16,108,366,7,901,796,0,106,0
119,117000,2003JJ00,2684,1650,32,0,7,6,0,25,0,1581,16,1111,18,118,310,8,1033,914,0,119,0
120,117000,2004JJ00,2726,1609,33,0,7,7,0,23,0,1540,18,1073,19,118,303,9,1117,1014,0,103,0
121,117000,2005JJ00,1665,1569,37,0,8,7,0,24,0,1494,19,1017,21,118,310,9,96,0,0,96,0
122,117000,2006JJ00,1488,1403,37,0,9,7,0,12,0,1339,23,898,21,124,263,10,85,0,0,85,0
123,117000,2007JJ00,1594,1501,63,0,8,7,0,5,0,1417,24,918,21,130,316,8,93,0,0,93,0
124,117000,2008JJ00,1599,1508,46,0,9,8,0,5,0,1441,20,911,21,137,344,8,91,0,0,91,0
125,117000,2009JJ00,1664,1564,45,0,8,7,0,5,0,1499,18,976,20,144,326,16,101,0,0,101,0
126,117000,2010JJ00,1715,1608,63,0,10,11,0,5,0,1520,19,989,26,150,319,17,107,0,0,107,0
127,117000,2011JJ00,1645,1543,55,0,10,10,0,5,0,1462,19,919,24,158,324,18,102,0,0,102,0
128,117000,2012JJ00,1552,1455,63,0,10,10,0,5,0,1367,23,847,24,165,291,18,97,0,0,97,0
129,117000,2013JJ00,1538,1446,68,0,11,11,0,5,0,1351,23,857,25,165,261,20,92,0,0,92,0
130,117000,2014JJ00,1520,1430,60,0,12,11,0,5,0,1342,26,856,26,170,243,21,89,0,0,89,0
131,117000,2015JJ00,1506,1425,48,0,13,12,0,5,0,1347,26,817,27,170,286,21,81,0,0,81,0
132,117000,2016JJ00,1535,1454,48,0,13,12,0,5,0,1376,26,854,27,170,278,22,81,0,0,81,0
