ID,Feedstocks,Destination,Periods,TotalSupply_1,IndigenousProduction_2,ProductionFromCrudeOil_3,ProductionFromOtherSources_4,Imports_5,Exports_6,StockChange_7,TotalConsumption_8,Processing_9,FinalConsumption_10,OpeningStock_11,ClosingStock_12,StockChange_13
293,a,a,2013JJ00,56924.0,1519.0,623.0,572.0,94792.0,40711.0,128.0,56924.0,54834.0,2090.0,7010.0,6847.0,128.0
294,a,a,2014MM01,4953.0,131.0,16.0,5.0,7385.0,3014.0,430.0,4953.0,4737.0,216.0,7327.0,6897.0,430.0
295,a,a,2014MM02,4538.0,117.0,16.0,36.0,7759.0,3223.0,-167.0,4538.0,4324.0,213.0,6897.0,7065.0,-167.0
296,a,a,2014MM03,5012.0,150.0,14.0,52.0,9283.0,3889.0,-598.0,5012.0,4749.0,248.0,7065.0,7663.0,-598.0
297,a,a,2014KW01,14503.0,398.0,46.0,93.0,24427.0,10126.0,-336.0,14503.0,13826.0,678.0,7327.0,7663.0,-336.0
298,a,a,2014MM04,4848.0,155.0,19.0,57.0,8187.0,4144.0,573.0,4848.0,4573.0,275.0,7663.0,7090.0,573.0
299,a,a,2014MM05,4849.0,166.0,14.0,23.0,8749.0,3618.0,-485.0,4849.0,4593.0,256.0,7090.0,7575.0,-485.0
300,a,a,2014MM06,4302.0,130.0,10.0,20.0,7942.0,3741.0,-53.0,4302.0,4096.0,206.0,7575.0,7629.0,-53.0
301,a,a,2014KW02,13999.0,452.0,43.0,100.0,24878.0,11503.0,34.0,13999.0,13262.0,737.0,7663.0,7629.0,34.0
302,a,a,2014MM07,4672.0,140.0,11.0,-15.0,8294.0,3985.0,227.0,4672.0,4468.0,204.0,7629.0,7402.0,227.0
303,a,a,2014MM08,4673.0,170.0,27.0,30.0,8391.0,3977.0,32.0,4673.0,4456.0,217.0,7402.0,7370.0,32.0
304,a,a,2014MM09,4954.0,166.0,19.0,113.0,7741.0,3431.0,333.0,4954.0,4731.0,223.0,7370.0,7037.0,333.0
305,a,a,2014KW03,14298.0,476.0,56.0,128.0,24426.0,11392.0,592.0,14298.0,13654.0,644.0,7629.0,7037.0,592.0
306,a,a,2014MM10,5197.0,185.0,14.0,26.0,8853.0,3721.0,-160.0,5197.0,5014.0,183.0,7037.0,7196.0,-160.0
307,a,a,2014MM11,4911.0,200.0,10.0,-4.0,7931.0,3429.0,203.0,4911.0,4777.0,134.0,7196.0,6993.0,203.0
308,a,a,2014MM12,4921.0,190.0,21.0,76.0,9059.0,3738.0,-687.0,4921.0,4692.0,229.0,6993.0,7680.0,-687.0
309,a,a,2014KW04,15029.0,574.0,44.0,98.0,25843.0,10887.0,-643.0,15029.0,14483.0,546.0,7037.0,7680.0,-643.0
310,a,a,2014JJ00,57830.0,1900.0,190.0,413.0,99574.0,43908.0,-353.0,57830.0,55225.0,2605.0,7327.0,7680.0,-353.0
311,a,a,2015MM01,5191.0,170.0,19.0,81.0,8292.0,3741.0,370.0,5191.0,5090.0,101.0,7680.0,7310.0,370.0
312,a,a,2015MM02,4693.0,165.0,23.0,55.0,8423.0,3470.0,-502.0,4693.0,4626.0,66.0,7310.0,7812.0,-502.0
313,a,a,2015MM03,4591.0,184.0,16.0,101.0,8252.0,3953.0,-9.0,4591.0,4508.0,83.0,7812.0,7821.0,-9.0
314,a,a,2015KW01,14474.0,517.0,58.0,237.0,24967.0,11164.0,-141.0,14474.0,14224.0,250.0,7680.0,7821.0,-141.0
315,a,a,2015MM04,4734.0,155.0,16.0,13.0,8667.0,3820.0,-298.0,4734.0,4589.0,145.0,7821.0,8119.0,-298.0
316,a,a,2015MM05,5293.0,156.0,19.0,-9.0,9395.0,4036.0,-232.0,5293.0,5121.0,172.0,8142.0,8374.0,-232.0
317,a,a,2015MM06,4980.0,120.0,18.0,-34.0,8760.0,3671.0,-225.0,4980.0,4810.0,170.0,8351.0,8576.0,-225.0
318,a,a,2015KW02,15007.0,432.0,65.0,-31.0,26822.0,11527.0,-755.0,15007.0,14520.0,486.0,7821.0,8576.0,-755.0
319,a,a,2015MM07,5226.0,135.0,19.0,33.0,8548.0,3813.0,304.0,5226.0,5044.0,182.0,8576.0,8272.0,304.0
320,a,a,2015MM08,5305.0,148.0,18.0,59.0,9199.0,3771.0,-379.0,5305.0,5111.0,194.0,8272.0,8650.0,-379.0
321,a,a,2015MM09,5251.0,131.0,23.0,15.0,8653.0,3784.0,212.0,5251.0,5047.0,203.0,8650.0,8438.0,212.0
322,a,a,2015KW03,15782.0,415.0,91.0,107.0,26400.0,11367.0,137.0,15782.0,15203.0,579.0,8576.0,8438.0,137.0
323,a,a,2015MM10,5420.0,133.0,18.0,38.0,8688.0,3511.0,54.0,5420.0,5257.0,163.0,8438.0,8385.0,54.0
324,a,a,2015MM11,4596.0,160.0,15.0,-46.0,7889.0,3431.0,9.0,4596.0,4425.0,171.0,8408.0,8399.0,9.0
325,a,a,2015MM12,5308.0,142.0,16.0,49.0,9429.0,4074.0,-254.0,5308.0,5154.0,154.0,8399.0,8653.0,-254.0
326,a,a,2015KW04,15324.0,435.0,49.0,41.0,26006.0,11015.0,-192.0,15324.0,14836.0,488.0,8438.0,8653.0,-192.0
