ID,Geslacht,Leeftijd,Opleidingsniveau,Cijfersoort,Perioden,Levensverwachting_1,LevensverwInAlsGoedErvarenGezondh_2,LevensverwZonderLichBeperkingen_3,LevensverwZonderChronischeZiektes_4,LevensverwInGoedeGeestelijkeGezondh_5
0,3000,10010,18710,1,1997X009,72.2,50.2,61.9,44.0,
1,3000,10010,18710,1,1997X001,71.0,51.5,61.4,44.1,
2,3000,10010,18710,1,2001X001,72.3,51.3,60.8,43.7,62.9
3,3000,10010,18710,1,2005X001,74.1,53.1,62.5,43.0,65.8
4,3000,10010,18710,1,2007X001,74.4,53.2,63.5,41.6,67.7
5,3000,10010,18710,1,2009X001,75.3,53.0,62.0,41.4,65.2
6,3000,10010,18710,1,2011X001,76.6,53.0,63.4,41.0,67.4
7,3000,10010,18710,2,1997X009,0.3,0.8,0.6,0.9,
8,3000,10010,18710,2,1997X001,0.5,0.6,0.6,0.7,
9,3000,10010,18710,2,2001X001,0.3,0.6,0.5,0.7,0.6
10,3000,10010,18710,2,2005X001,0.3,0.6,0.5,0.6,0.5
11,3000,10010,18710,2,2007X001,0.2,0.6,0.5,0.6,0.5
12,3000,10010,18710,2,2009X001,0.2,0.6,0.7,0.6,0.7
13,3000,10010,18710,2,2011X001,0.2,0.7,0.8,0.7,0.7
14,3000,10010,18720,1,1997X009,74.6,59.6,67.4,46.4,
15,3000,10010,18720,1,1997X001,73.9,59.4,67.4,47.8,
16,3000,10010,18720,1,2001X001,74.9,59.3,66.4,45.8,69.3
17,3000,10010,18720,1,2005X001,76.5,60.1,67.6,46.0,70.5
18,3000,10010,18720,1,2007X001,77.5,61.2,67.1,45.3,71.4
19,3000,10010,18720,1,2009X001,78.3,61.2,68.8,45.1,71.5
20,3000,10010,18720,1,2011X001,78.6,61.3,69.3,46.0,71.9
21,3000,10010,18720,2,1997X009,0.1,0.3,0.3,0.4,
22,3000,10010,18720,2,1997X001,0.3,0.5,0.4,0.6,
