ID,Perioden,Jaargemiddelde_1,Wintergemiddelde_2,Zomergemiddelde_3,GemiddeldDagminimumWinter_4,GemiddeldDagmaximumZomer_5,IJsdagen_6,Vorstdagen_7,ZomerseDagen_8,TropischeDagen_9,Graaddagen_10,HoeveelheidNeerslag_11,DagenMetNeerslag_12,Sneeuwdagen_13,DrogeDagen_14,DagenMetMist_15,Verdamping_16,RelatieveVochtigheid_17,HoeveelheidZonneschijn_18,ZonlozeDagen_19
0,1971X000,9.8,3.3,16.6,0.4,21.4,8.0,58.0,22.0,3.0,3075.0,827.0,131.0,25.0,109.0,65.0,543.0,82.0,1524.0,76.0
1,1981X000,10.1,3.4,17.0,0.5,21.9,8.0,58.0,26.0,4.0,2884.0,887.0,131.0,25.0,122.0,63.0,559.0,82.0,1602.0,61.0
2,1800JJ00,,-1.0,15.1,,,,,,,,,,,,,,,,
3,1801JJ00,,1.7,15.2,,,,,,,,,,,,,,,,
4,1802JJ00,,1.1,15.3,,,,,,,,,,,,,,,,
5,1803JJ00,,-1.2,16.0,,,,,,,,,,,,,,,,
6,1804JJ00,,2.2,15.4,,,,,,,,,,,,,,,,
7,1805JJ00,,-1.6,14.0,,,,,,,,,,,,,,,,
8,1806JJ00,,2.8,15.4,,,,,,,,,,,,,,,,
9,1807JJ00,,3.8,17.2,,,,,,,,,,,,,,,,
10,1808JJ00,,1.6,17.1,,,,,,,,,,,,,,,,
11,1809JJ00,,0.8,15.3,,,,,,,,,,,,,,,,
12,1810JJ00,,0.9,14.9,,,,,,,,,,,,,,,,
13,1811JJ00,,1.6,17.0,,,,,,,,,,,,,,,,
14,1812JJ00,,3.3,15.3,,,,,,,,,,,,,,,,
15,1813JJ00,,0.7,15.8,,,,,,,,,,,,,,,,
16,1814JJ00,,-1.6,15.5,,,,,,,,,,,,,,,,
17,1815JJ00,,1.4,15.3,,,,,,,,,,,,,,,,
18,1816JJ00,,0.8,14.1,,,,,,,,,,,,,,,,
19,1817JJ00,,3.8,15.8,,,,,,,,,,,,,,,,
20,1818JJ00,,2.4,17.1,,,,,,,,,,,,,,,,
21,1819JJ00,,2.8,17.2,,,,,,,,,,,,,,,,
22,1820JJ00,,-0.7,15.1,,,,,,,,,,,,,,,,
23,1821JJ00,,0.6,14.7,,,,,,,,,,,,,,,,
24,1822JJ00,,4.9,17.0,,,,,,,,,,,,,,,,
25,1823JJ00,,-2.2,15.2,,,,,,,,,,,,,,,,
26,1824JJ00,,3.8,16.2,,,,,,,,,,,,,,,,
27,1825JJ00,,4.5,16.2,,,,,,,,,,,,,,,,
28,1826JJ00,,2.1,18.7,,,,,,,,,,,,,,,,
29,1827JJ00,,1.0,16.0,,,,,,,,,,,,,,,,
30,1828JJ00,,3.2,16.7,,,,,,,,,,,,,,,,
31,1829JJ00,,0.5,15.4,,,,,,,,,,,,,,,,
32,1830JJ00,,-3.1,15.5,,,,,,,,,,,,,,,,
33,1831JJ00,,0.9,16.9,,,,,,,,,,,,,,,,
34,1832JJ00,,1.9,15.5,,,,,,,,,,,,,,,,
35,1833JJ00,,2.0,15.7,,,,,,,,,,,,,,,,
36,1834JJ00,,5.2,17.9,,,,,,,,,,,,,,,,
37,1835JJ00,,3.9,16.9,,,,,,,,,,,,,,,,
38,1836JJ00,,2.3,15.6,,,,,,,,,,,,,,,,
39,1837JJ00,,3.5,16.5,,,,,,,,,,,,,,,,
40,1838JJ00,,-1.6,15.9,,,,,,,,,,,,,,,,
41,1839JJ00,,2.6,16.1,,,,,,,,,,,,,,,,
42,1840JJ00,,3.4,15.8,,,,,,,,,,,,,,,,
43,1841JJ00,,-0.7,15.3,,,,,,,,,,,,,,,,
44,1842JJ00,,1.8,17.2,,,,,,,,,,,,,,,,
45,1843JJ00,,2.7,15.6,,,,,,,,,,,,,,,,
46,1844JJ00,,3.2,15.0,,,,,,,,,,,,,,,,
47,1845JJ00,,-1.8,15.6,,,,,,,,,,,,,,,,
48,1846JJ00,,5.2,18.5,,,,,,,,,,,,,,,,
49,1847JJ00,,-0.6,16.3,,,,,,,,,,,,,,,,
50,1848JJ00,,0.2,16.0,,,,,,,,,,,,,,,,
51,1849JJ00,,3.1,15.9,,,,,,,,,,,,,,,,
52,1850JJ00,,0.9,15.9,,,,,,,,,,,,,,,,
53,1851JJ00,,3.3,15.8,,,,,,,,,,,,,,,,
54,1852JJ00,,3.5,17.4,,,,,,,,,,,,,,,,
55,1853JJ00,,3.6,16.0,,,,,,,,,,,,,,,,
56,1854JJ00,,0.3,15.9,,,,,,,,,,,,,,,,
57,1855JJ00,,-0.6,16.1,,,,,,,,,,,,,,,,
58,1856JJ00,,2.1,15.9,,,,,,,,,,,,,,,,
59,1857JJ00,,2.4,18.2,,,,,,,,,,,,,,,,
60,1858JJ00,,1.6,17.3,,,,,,,,,,,,,,,,
61,1859JJ00,,3.8,18.4,,,,,,,,,,,,,,,,
62,1860JJ00,,1.4,14.6,,,,,,,,,,,,,,,,
63,1861JJ00,,0.9,17.2,,,,,,,,,,,,,,,,
64,1862JJ00,,2.6,15.2,,,,,,,,,,,,,,,,
65,1863JJ00,,4.7,15.6,,,,,,,,,,,,,,,,
66,1864JJ00,,1.6,14.8,,,,,,,,,,,,,,,,
67,1865JJ00,,0.1,15.9,,,,,,,,,,,,,,,,
68,1866JJ00,,4.3,16.0,,,,,,,,,,,,,,,,
69,1867JJ00,,3.9,15.7,,,,,,,,,,,,,,,,
70,1868JJ00,,2.3,18.4,,,,,,,,,,,,,,,,
71,1869JJ00,,4.9,15.3,,,,,,,,,,,,,,,,
72,1870JJ00,,1.1,16.2,,,,,,,,,,,,,,,,
73,1871JJ00,,-0.6,16.2,,,,,,,,,,,,,,,,
74,1872JJ00,,2.7,17.2,,,,,,,,,,,,,,,,
75,1873JJ00,,3.5,17.3,,,,,,,,,,,,,,,,
76,1874JJ00,,3.5,16.4,,,,,,,,,,,,,,,,
77,1875JJ00,,1.1,17.0,,,,,,,,,,,,,,,,
78,1876JJ00,,1.6,17.0,,,,,,,,,,,,,,,,
79,1877JJ00,,4.9,16.8,,,,,,,,,,,,,,,,
80,1878JJ00,,3.6,16.4,,,,,,,,,,,,,,,,
81,1879JJ00,,0.3,15.3,,,,,,,,,,,,,,,,
82,1880JJ00,,0.2,16.7,,,,,,,,,,,,,,,,
83,1881JJ00,,1.6,16.0,,,,,,,,,,,,,,,,
84,1882JJ00,,3.1,15.1,,,,,,,,,,,,,,,,
85,1883JJ00,,3.3,16.0,,,,,,,,,,,,,,,,
86,1884JJ00,,4.6,16.8,,,,,,,,,,,,,,,,
87,1885JJ00,,3.2,15.9,,,,,,,,,,,,,,,,
88,1886JJ00,,0.8,15.8,,,,,,,,,,,,,,,,
89,1887JJ00,,1.3,16.5,,,,,,,,,,,,,,,,
90,1888JJ00,,0.3,15.1,,,,,,,,,,,,,,,,
91,1889JJ00,,1.9,16.7,,,,,,,,,,,,,,,,
92,1890JJ00,,1.4,15.0,,,,,,,,,,,,,,,,
93,1891JJ00,,-1.4,15.5,,,,,,,,,,,,,,,,
94,1892JJ00,,2.3,15.6,,,,,,,,,,,,,,,,
95,1893JJ00,,1.2,17.0,,,,,,,,,,,,,,,,
96,1894JJ00,,2.7,15.5,,,,,,,,,,,,,,,,
97,1895JJ00,,0.0,16.4,,,,,,,,,,,,,,,,
98,1896JJ00,,2.3,17.1,,,,,,,,,,,,,,,,
99,1897JJ00,,1.6,17.3,,,,,,,,,,,,,,,,
100,1898JJ00,,3.7,16.0,,,,,,,,,,,,,,,,
101,1899JJ00,,4.5,17.1,,,,,,,,,,,,,,,,
102,1900JJ00,9.5,1.7,17.0,,,,,,,,,,,,,,,1403.0,
103,1901JJ00,8.9,1.4,16.7,,,,,,,,,,,,,,,1361.0,
104,1902JJ00,8.3,2.4,15.4,,,,,,,,,,,,,,,1276.0,
105,1903JJ00,9.3,3.1,15.1,,,,,,,,,,,,,,,1193.0,
106,1904JJ00,9.1,1.5,16.1,,,,,,,,,,,,,,,1470.0,
107,1905JJ00,8.8,3.0,17.0,,,,,,,,,,,,,,,1481.0,
108,1906JJ00,9.3,2.8,16.1,,,,,,,,742.0,,,,,,,1558.0,
109,1907JJ00,8.7,0.9,14.3,,,,,,,,680.0,,,,,,,1281.0,
110,1908JJ00,8.6,1.9,16.1,,,,,,,,659.0,,,,,,,1560.0,
111,1909JJ00,8.4,0.8,14.8,,,,,,,,850.0,,,,,,,1554.0,
112,1910JJ00,9.5,3.6,15.9,,,,,,,,836.0,,,,,,,1574.0,
113,1911JJ00,9.9,3.5,17.6,,,,,,,,656.0,,,,,,,1740.0,
114,1912JJ00,9.3,3.7,15.9,,,,,,,,1051.0,,,,,,,1389.0,
115,1913JJ00,9.7,3.7,14.8,,,,,,,,736.0,,,,,,,1446.0,
116,1914JJ00,9.7,3.2,16.5,,,,,,,,804.0,,,,,,,1625.0,
117,1915JJ00,8.8,3.8,15.6,,,,,,,,914.0,,,,,,,1582.0,
118,1916JJ00,9.3,4.6,14.6,,,,,,,,917.0,,,,,,,1359.0,
119,1917JJ00,8.4,0.1,17.1,,,,,,,,803.0,,,,,,,1686.0,
120,1918JJ00,9.3,2.3,15.2,,,,,,,,907.0,,,,,,,1518.0,
121,1919JJ00,8.1,2.7,14.8,,,,,,,,759.0,,,,,,,1451.0,
122,1920JJ00,9.3,4.4,15.4,,,,,,,,656.0,,,,,,,1594.0,
123,1921JJ00,9.9,3.8,16.6,,,,,,,,407.0,,,,,,,1781.0,
124,1922JJ00,8.3,1.8,15.1,,,,,,,,665.0,,,,,,,1581.0,
125,1923JJ00,8.7,3.9,15.4,,,,,,,,861.0,,,,,,,1348.0,
126,1924JJ00,8.6,0.3,15.2,,,,,,,,796.0,,,,,,,1501.0,
127,1925JJ00,9.2,4.1,16.6,,,,,,,,921.0,,,,,,,1467.0,
128,1926JJ00,9.7,3.3,16.1,,,,,,,,728.0,,,,,,,1310.0,
129,1927JJ00,8.9,3.2,15.7,,,,,,,,895.0,,,,,,,1320.0,
130,1928JJ00,9.3,2.4,15.8,,,,,,,,834.0,,,,,,,1658.0,
131,1929JJ00,8.3,-1.5,15.7,,,,,,,,645.0,,,,,,,1772.0,
132,1930JJ00,9.7,3.8,16.9,,,,,,,,931.0,,,,,,,1532.0,
