ID,Perioden,Import_1,Productie_2,Totaal_3,AutonomeSystemen_4,NetgekoppeldeSystemenEnergiebedrijven_5,NetgekoppeldeSystemenOverig_6,Export_7,Tussenhandel_8,Totaal_9,ResearchDevelopment_10,ProductieVanPanelenEnOnderdelen_11,Overig_12,Omzet_13,UitgavenVoorResearchDevelopment_14
0,1991JJ00,,,260,230,0.0,30.0,,,,,,,,
1,1992JJ00,,,240,240,0.0,0.0,,,,,,,,
2,1993JJ00,,,370,350,0.0,20.0,,,,,,,,
3,1994JJ00,,,320,260,0.0,60.0,,,,,,,,
4,1995JJ00,,,440,280,0.0,160.0,,,,,,,,
5,1996JJ00,,,860,400,0.0,460.0,,,,,,,,
6,1997JJ00,,,780,450,0.0,330.0,,,,,,,,
7,1998JJ00,,,2440,450,0.0,1990.0,,,,,,,,
8,1999JJ00,,,2715,456,0.0,2259.0,,,,,,,,
9,2000JJ00,,,3564,194,180.0,3190.0,,,,,,,,
10,2001JJ00,,,7750,250,2300.0,5200.0,,,,,,,,
11,2002JJ00,,,5817,302,0.0,5515.0,,,,,,,,
12,2003JJ00,,,19845,300,0.0,19545.0,,,,,,,,
13,2004JJ00,13160.0,0.0,3604,434,679.0,2491.0,9770.0,4767.0,147.0,23.0,10.0,115.0,89866.0,2422.0
14,2005JJ00,23677.0,,1663,323,0.0,1340.0,20942.0,6500.0,141.0,17.0,21.0,103.0,113018.0,1884.0
15,2006JJ00,25052.0,,1521,278,160.0,1083.0,22148.0,,232.0,28.0,92.0,112.0,160663.0,1922.0
16,2007JJ00,,,1399,558,66.0,775.0,34005.0,,403.0,32.0,198.0,173.0,252488.0,2546.0
17,2008JJ00,,,4444,239,151.0,4054.0,64089.0,,552.0,41.0,263.0,248.0,408002.0,3526.0
18,2009JJ00,,,10669,91,802.0,9776.0,72493.0,,545.0,56.0,,,332401.0,5890.0
19,2010JJ00,,,20682,291,768.0,19623.0,117665.0,,622.0,59.0,,,490847.0,3537.0
20,2011JJ00,,,58473,86,5815.0,52572.0,,,,,,,,
21,2012JJ00,,,220000,600,,,,,,,,,,
