ID,BedrijfstakkenBranchesSBI2008,Aardgas,Elektriciteit,Perioden,Adressen_1,GeleverdAardgas_2,GeleverdeElektriciteit_3
38,T001081,T001603,A049765,2021JJ00,28765.0,10672000.0,23744100.0
39,T001081,T001603,A049765,2022JJ00,29070.0,8957000.0,23654900.0
40,T001081,T001603,A049765,2023JJ00,28635.0,7163500.0,23167000.0
41,T001081,T001603,A049765,2024JJ00,28745.0,6812900.0,23228700.0
42,T001081,T001603,A049766,2018JJ00,660.0,11117400.0,30870700.0
43,T001081,T001603,A049766,2019JJ00,635.0,10239000.0,30332800.0
44,T001081,T001603,A049766,2020JJ00,620.0,11641400.0,30092300.0
45,T001081,T001603,A049766,2021JJ00,620.0,8972400.0,30600000.0
46,T001081,T001603,A049766,2022JJ00,590.0,7996100.0,28542300.0
47,T001081,T001603,A049766,2023JJ00,575.0,6380900.0,26704600.0
48,T001081,T001603,A049766,2024JJ00,585.0,7056500.0,27361600.0
49,T001081,T001603,A049767,2018JJ00,68435.0,6538700.0,
50,T001081,T001603,A049767,2019JJ00,57485.0,5783400.0,
51,T001081,T001603,A049767,2020JJ00,45145.0,5801900.0,
52,T001081,T001603,A049767,2021JJ00,48300.0,5574100.0,
53,T001081,T001603,A049767,2022JJ00,46160.0,3319500.0,
54,T001081,T001603,A049767,2023JJ00,47115.0,6159700.0,
55,T001081,T001603,A049767,2024JJ00,46525.0,6265000.0,
56,T001081,A049752,T001604,2018JJ00,509840.0,980000.0,6536200.0
57,T001081,A049752,T001604,2019JJ00,470745.0,872900.0,6374800.0
58,T001081,A049752,T001604,2020JJ00,406890.0,724800.0,6033000.0
59,T001081,A049752,T001604,2021JJ00,396735.0,745800.0,5495000.0
60,T001081,A049752,T001604,2022JJ00,414200.0,698000.0,6040500.0
61,T001081,A049752,T001604,2023JJ00,423035.0,640300.0,6159800.0
62,T001081,A049752,T001604,2024JJ00,440475.0,646200.0,6613200.0
63,T001081,A049752,A049761,2018JJ00,342085.0,569500.0,1287100.0
64,T001081,A049752,A049761,2019JJ00,310935.0,484900.0,1171400.0
