ID,Geslacht,LeeftijdOp31December,Onderwijsniveau,Marges,Perioden,Levensverwachting_1,Sterftekans_2,LevensverwInAlsGoedErvarenGezondh_3,LevensverwZonderLichBeperkingen_4,LevensverwZonderChronischeZiektes_5,LevensverwInGoedeGeestelijkeGezondh_6
60,T001038 ,10500,2018700,MBG0095,2011G400,75.8,,54.6,,38.5,
61,T001038 ,10500,2018700,MBG0095,2013G400,75.7,,54.2,,36.4,
62,T001038 ,10500,2018700,MBG0095,2015G400,75.2,,53.8,,35.3,
63,T001038 ,10500,2018740,MW00000,2011G400,77.6,0.0001,61.3,67.9,39.6,70.1
64,T001038 ,10500,2018740,MW00000,2013G400,77.6,0.0001,61.2,68.1,39.4,69.9
65,T001038 ,10500,2018740,MW00000,2015G400,78.0,0.0001,60.7,68.9,38.7,69.9
66,T001038 ,10500,2018740,MOG0095,2011G400,77.4,,60.8,,38.9,
67,T001038 ,10500,2018740,MOG0095,2013G400,77.4,,60.7,,38.8,
68,T001038 ,10500,2018740,MOG0095,2015G400,77.8,,60.1,,38.1,
69,T001038 ,10500,2018740,MBG0095,2011G400,77.8,,61.9,,40.3,
70,T001038 ,10500,2018740,MBG0095,2013G400,77.8,,61.8,,40.1,
71,T001038 ,10500,2018740,MBG0095,2015G400,78.2,,61.3,,39.3,
72,T001038 ,10500,2018790,MW00000,2011G400,79.6,0.0001,67.2,72.2,44.7,72.7
73,T001038 ,10500,2018790,MW00000,2013G400,80.1,0.0001,67.4,73.1,45.1,73.6
74,T001038 ,10500,2018790,MW00000,2015G400,80.9,0.0001,67.5,74.5,44.5,74.2
75,T001038 ,10500,2018790,MOG0095,2011G400,79.3,,66.5,,43.8,
76,T001038 ,10500,2018790,MOG0095,2013G400,79.9,,66.6,,44.2,
77,T001038 ,10500,2018790,MOG0095,2015G400,80.6,,66.7,,43.7,
78,T001038 ,10500,2018790,MBG0095,2011G400,79.9,,67.9,,45.5,
79,T001038 ,10500,2018790,MBG0095,2013G400,80.4,,68.2,,45.9,
80,T001038 ,10500,2018790,MBG0095,2015G400,81.2,,68.3,,45.3,
81,T001038 ,11000,2018700,MW00000,2011G400,70.7,0.0001,49.2,56.6,33.1,61.3
82,T001038 ,11000,2018700,MW00000,2013G400,70.5,0.0001,48.8,55.9,31.1,60.3
83,T001038 ,11000,2018700,MW00000,2015G400,70.0,0.0001,48.3,56.2,30.2,59.6
84,T001038 ,11000,2018700,MOG0095,2011G400,70.5,,48.5,55.9,32.2,60.6
85,T001038 ,11000,2018700,MOG0095,2013G400,70.4,,48.1,55.2,30.3,59.6
86,T001038 ,11000,2018700,MOG0095,2015G400,69.9,,47.5,55.5,29.4,59.0
87,T001038 ,11000,2018700,MBG0095,2011G400,70.9,,49.8,57.3,34.0,62.0
88,T001038 ,11000,2018700,MBG0095,2013G400,70.7,,49.5,56.5,32.0,61.0
89,T001038 ,11000,2018700,MBG0095,2015G400,70.2,,49.0,56.8,31.0,60.3
90,T001038 ,11000,2018740,MW00000,2011G400,72.6,0.0001,56.5,62.9,35.1,65.6
91,T001038 ,11000,2018740,MW00000,2013G400,72.7,0.0001,56.4,63.1,35.0,65.4
92,T001038 ,11000,2018740,MW00000,2015G400,73.0,0.0001,55.9,63.9,34.2,65.4
93,T001038 ,11000,2018740,MOG0095,2011G400,72.4,,56.0,62.4,34.5,65.1
94,T001038 ,11000,2018740,MOG0095,2013G400,72.5,,55.8,62.6,34.4,64.9
95,T001038 ,11000,2018740,MOG0095,2015G400,72.8,,55.3,63.4,33.6,64.9
96,T001038 ,11000,2018740,MBG0095,2011G400,72.8,,57.1,63.5,35.8,66.1
97,T001038 ,11000,2018740,MBG0095,2013G400,72.9,,57.0,63.7,35.6,65.8
98,T001038 ,11000,2018740,MBG0095,2015G400,73.2,,56.5,64.4,34.8,65.8
99,T001038 ,11000,2018790,MW00000,2011G400,74.7,0.0001,62.3,67.3,40.1,68.4
