ID,Kenmerken,Perioden,EmotioneelUitgeput_1,LeegGevoel_2,SOchtendsMoeVoelen_3,UitgeputDoorWerk_4,OpZijn_5,BurnOutKlachten_6,Malaiseklachten_7,Migraine_8,WerkgebondenKlachtenBovensteLedematen_9,TotaalRugklachten_10,RSI_11,ZiekteverzuimDoorRSIInAfgelopenJaar_12,MinderGoedeGezondheid_13,ZiekteverzuimInAfgelopen2Maanden_14,k_15DagenVerzuimd_15,k_610DagenVerzuimd_16,k_11OfMeerDagenVerzuimd_17,VerzuimDoorOngeval_18,OngevalInVerkeer_19,OngevalOpWerk_20,Sportongeval_21,OngevalThuisOfElders_22,VerzuimAlleenDoorZiekte_23
0,11,1997JJ00,15,32,15,13,9,10,10.0,7.0,34.0,26.0,19.0,3.0,11,21,65.0,13.0,22.0,11.0,16.0,34.0,22.0,29.0,89.0
1,11,1998JJ00,12,29,13,11,7,8,10.0,8.0,29.0,25.0,16.0,3.0,12,20,63.0,15.0,22.0,9.0,24.0,42.0,13.0,21.0,91.0
2,11,1999JJ00,14,30,14,13,9,9,11.0,9.0,35.0,24.0,21.0,4.0,13,22,62.0,14.0,24.0,9.0,16.0,31.0,28.0,25.0,91.0
3,11,2000JJ00,12,28,14,12,9,8,12.0,9.0,37.0,23.0,23.0,3.0,13,22,63.0,13.0,24.0,10.0,22.0,31.0,18.0,30.0,90.0
4,11,2001JJ00,14,30,17,12,10,10,,,36.0,,,,13,23,62.0,13.0,25.0,10.0,17.0,26.0,27.0,30.0,90.0
5,11,2002JJ00,13,32,16,13,10,9,,,37.0,,,,13,23,62.0,14.0,25.0,9.0,19.0,33.0,18.0,30.0,91.0
6,11,2003JJ00,15,32,17,12,8,10,,,,,,,14,23,66.0,12.0,22.0,9.0,24.0,32.0,14.0,30.0,91.0
7,11,2004JJ00,15,32,18,13,10,11,,,,,,,13,21,67.0,12.0,21.0,9.0,22.0,25.0,20.0,33.0,91.0
8,12,1997JJ00,15,32,15,13,9,10,11.0,7.0,34.0,26.0,19.0,3.0,11,21,65.0,12.0,22.0,10.0,15.0,35.0,21.0,29.0,90.0
9,12,1998JJ00,12,28,12,11,7,8,10.0,8.0,29.0,26.0,16.0,3.0,12,20,62.0,15.0,23.0,9.0,24.0,42.0,13.0,21.0,91.0
10,12,1999JJ00,14,30,14,13,9,10,11.0,9.0,35.0,24.0,21.0,4.0,13,22,62.0,14.0,25.0,9.0,16.0,30.0,28.0,25.0,91.0
11,12,2000JJ00,12,28,14,12,9,8,12.0,9.0,37.0,23.0,23.0,3.0,13,22,63.0,13.0,24.0,10.0,22.0,31.0,18.0,30.0,90.0
12,12,2001JJ00,14,30,17,12,10,10,,,36.0,,,,13,23,61.0,13.0,25.0,10.0,16.0,26.0,28.0,30.0,90.0
13,12,2002JJ00,13,32,16,12,10,9,,,37.0,,,,13,23,61.0,14.0,25.0,8.0,19.0,35.0,17.0,30.0,92.0
14,12,2003JJ00,15,32,17,12,8,10,,,,,,,14,23,66.0,12.0,22.0,9.0,24.0,32.0,14.0,30.0,91.0
15,12,2004JJ00,15,32,18,13,10,11,,,,,,,13,21,66.0,12.0,21.0,8.0,21.0,26.0,21.0,32.0,91.0
16,13,1997JJ00,15,33,15,13,8,10,7.0,4.0,31.0,23.0,18.0,2.0,11,19,65.0,14.0,21.0,15.0,14.0,41.0,19.0,27.0,85.0
17,13,1998JJ00,11,28,12,11,7,8,7.0,4.0,27.0,23.0,16.0,3.0,11,17,58.0,18.0,23.0,12.0,,,,,88.0
18,13,1999JJ00,12,30,13,13,8,9,8.0,4.0,33.0,23.0,20.0,4.0,12,21,63.0,14.0,23.0,11.0,7.0,37.0,30.0,26.0,89.0
19,13,2000JJ00,12,29,14,11,8,8,10.0,6.0,34.0,21.0,22.0,3.0,12,21,64.0,12.0,23.0,13.0,19.0,38.0,17.0,26.0,87.0
20,13,2001JJ00,13,32,17,12,9,9,,,33.0,,,,11,22,65.0,13.0,22.0,13.0,13.0,30.0,29.0,28.0,87.0
21,13,2002JJ00,13,34,16,13,9,10,,,34.0,,,,12,19,62.0,14.0,24.0,11.0,,,,,89.0
22,13,2003JJ00,14,33,17,12,8,10,,,,,,,12,19,65.0,13.0,23.0,12.0,22.0,36.0,15.0,27.0,88.0
23,13,2004JJ00,15,34,18,14,10,10,,,,,,,12,19,67.0,13.0,20.0,11.0,23.0,31.0,19.0,26.0,89.0
24,14,1997JJ00,16,30,15,14,11,10,15.0,12.0,38.0,30.0,20.0,3.0,13,25,66.0,11.0,23.0,6.0,,,,,94.0
25,14,1998JJ00,14,29,14,11,7,8,15.0,12.0,31.0,29.0,16.0,2.0,15,24,69.0,10.0,21.0,5.0,,,,,95.0
26,14,1999JJ00,16,29,16,13,11,10,14.0,15.0,39.0,27.0,23.0,3.0,15,25,60.0,13.0,26.0,7.0,,,,,93.0
27,14,2000JJ00,14,27,13,12,10,8,16.0,13.0,41.0,27.0,25.0,3.0,13,24,62.0,14.0,24.0,5.0,,,,,95.0
28,14,2001JJ00,14,28,17,13,10,10,,,39.0,,,,14,25,58.0,14.0,29.0,7.0,,,,,93.0
29,14,2002JJ00,15,29,16,12,12,9,,,40.0,,,,14,28,61.0,13.0,26.0,6.0,,,,,94.0
30,14,2003JJ00,16,30,17,12,9,10,,,,,,,16,27,67.0,11.0,22.0,5.0,,,,,95.0
31,14,2004JJ00,16,29,18,13,10,11,,,,,,,13,25,66.0,11.0,23.0,6.0,,,,,94.0
32,15,1997JJ00,13,33,20,16,10,10,9.0,7.0,36.0,22.0,22.0,3.0,10,26,77.0,9.0,13.0,21.0,,,,,79.0
33,15,1998JJ00,8,23,15,11,5,6,10.0,8.0,30.0,19.0,17.0,2.0,12,21,71.0,18.0,11.0,15.0,,,,,85.0
34,15,1999JJ00,13,27,18,16,11,12,11.0,12.0,40.0,20.0,26.0,4.0,11,23,80.0,8.0,12.0,19.0,,,,,81.0
35,15,2000JJ00,8,18,15,10,6,7,11.0,9.0,38.0,16.0,27.0,3.0,10,26,82.0,7.0,11.0,12.0,,,,,88.0
36,15,2001JJ00,14,30,26,14,9,11,,,40.0,,,,9,27,72.0,10.0,18.0,16.0,,,,,84.0
37,15,2002JJ00,12,30,24,19,13,12,,,38.0,,,,11,28,79.0,8.0,13.0,14.0,,,,,86.0
38,15,2003JJ00,13,25,23,14,7,9,,,,,,,11,27,73.0,9.0,18.0,15.0,,,,,85.0
39,15,2004JJ00,16,27,27,15,11,10,,,,,,,13,27,80.0,8.0,11.0,11.0,,,,,89.0
40,16,1997JJ00,14,34,17,13,8,9,10.0,8.0,35.0,22.0,22.0,3.0,8,23,70.0,10.0,19.0,8.0,,,,,92.0
41,16,1998JJ00,12,31,14,9,6,7,9.0,7.0,27.0,21.0,16.0,2.0,9,22,68.0,11.0,21.0,9.0,,,,,91.0
42,16,1999JJ00,12,30,15,10,8,7,11.0,6.0,33.0,18.0,22.0,4.0,9,25,66.0,15.0,19.0,10.0,,,,,90.0
43,16,2000JJ00,13,31,16,11,8,6,11.0,9.0,38.0,18.0,27.0,4.0,9,24,67.0,13.0,20.0,10.0,,,,,90.0
44,16,2001JJ00,10,30,17,10,8,7,,,35.0,,,,9,25,67.0,16.0,17.0,10.0,,,,,90.0
45,16,2002JJ00,11,32,17,11,8,7,,,36.0,,,,10,26,67.0,11.0,21.0,10.0,,,,,90.0
46,16,2003JJ00,14,32,20,12,8,9,,,,,,,12,23,68.0,13.0,19.0,7.0,,,,,93.0
47,16,2004JJ00,16,34,24,15,10,12,,,,,,,8,23,73.0,10.0,17.0,7.0,,,,,93.0
48,17,1997JJ00,15,32,14,12,9,10,11.0,7.0,33.0,28.0,18.0,3.0,12,21,66.0,13.0,21.0,9.0,,,,,91.0
49,17,1998JJ00,13,30,13,12,7,9,10.0,9.0,32.0,28.0,17.0,3.0,12,20,63.0,15.0,22.0,8.0,,,,,92.0
50,17,1999JJ00,17,32,14,15,9,11,9.0,9.0,36.0,27.0,20.0,4.0,13,20,60.0,12.0,28.0,8.0,,,,,92.0
51,17,2000JJ00,12,30,13,12,9,9,14.0,8.0,36.0,25.0,22.0,2.0,12,21,59.0,14.0,28.0,8.0,,,,,92.0
52,17,2001JJ00,15,32,14,12,9,9,,,35.0,,,,12,23,61.0,12.0,27.0,9.0,,,,,91.0
53,17,2002JJ00,13,31,15,12,10,10,,,37.0,,,,12,23,57.0,18.0,25.0,7.0,,,,,93.0
54,17,2003JJ00,15,33,16,12,8,8,,,,,,,11,23,68.0,11.0,21.0,8.0,,,,,92.0
55,17,2004JJ00,13,33,15,11,9,9,,,,,,,12,21,64.0,11.0,25.0,9.0,,,,,91.0
56,18,1997JJ00,16,30,13,14,11,11,11.0,8.0,34.0,30.0,17.0,3.0,16,17,50.0,18.0,31.0,8.0,,,,,92.0
57,18,1998JJ00,14,27,9,13,8,8,11.0,8.0,27.0,30.0,13.0,2.0,16,17,55.0,18.0,27.0,5.0,,,,,95.0
