ID,Persoonskenmerken,Perioden,PersonalComputerPC_1,Desktop_2,Laptop_3,k_3MndGeleden_4,k_312MndGeleden_5,k_1JaarGeleden_6,NooitPCGebruikt_7,BijnaDagelijks_8,NietDagelijksMaarMinstens1xPerWeek_9,NietWekelijksMaarMinstens1xPerMnd_10,Nauwelijks_11,Thuis_12,BijIemandAndersThuis_13,OpHetWerk_14,BijEenOnderwijsinstelling_15,Ja_16,Nee_17,k_3MndGeleden_18,k_312MndGeleden_19,k_13JaarGeleden_20,MeerDan3JaarGeleden_21,MapOfFolderKopierenVerplaatsen_22,KopierenOfPlakkenVanInformatie_23,EenvoudigeFormGebruikenSpreadsheet_24,MappenBestandenComprimerenZippen_25,Programmeren_26,GeenVanDezeVaardigheden_27,MapOfFolderKopierenVerplaatsten_28,KopierenOfPlakkenVanInformatie_29,EenvoudigeFormGebruikenSpreadsheet_30,MappenBestandenComprimerenZippen_31,Programmeren_32,GeenVanDezeVaardigheden_33,WelToegangInternet_34,GeenToegangInternet_35,EldersInternetten_36,WilNietGeenInteresse_37,FinancieleRedenen_38,OnvoldoendeKennisFysiekeBeperking_39,PrivacyEnVeiligheid_40,AndereReden_41,TotaalGeenBreedband_42,AnaloogModem_43,ISDN_44,MobieleTelefoonWAPGPRS_45,TotaalBreedband_46,ADSL_47,Kabel_48,TotaalGeenBreedband_49,AnaloogModem_50,ISDN_51,MobieleTelefoonWAPGPRS_52,TotaalBreedband_53,ADSL_54,Kabel_55,PersonalComputer_56,PCDesktop_57,Laptop_58,MobieleTelefoon_59,AndereApparatuur_60,PersonalComputer_61,PCDesktop_62,Laptop_63,MobieleTelefoon_64,AndereApparatuur_65,k_3MndGeleden_66,k_312MndGeleden_67,k_1JaarGeleden_68,NooitInternetGebruikt_69,BijnaDagelijks_70,NietDagelijksMaarMinstens1xPerWeek_71,NietWekelijksMaarMinstens1xPerMnd_72,MinderDan1xPerMaand_73,Thuis_74,BijIemandAndersThuis_75,OpHetWerk_76,BijEenOnderwijsinstelling_77,ErgensAnders_78,ZoekmachineGebruiken_79,EMailSturenMetBijvoegingDocumenten_80,BerichtenOpChatroomNieuwsgroepForum_81,TelefonerenViaInternet_82,MappenDelenIvmUitwisselenMuziekFilm_83,WebpaginaOntwerpen_84,GeenVanDezeVaardigheden_85,ZoekmachineGebruiken_86,EMailSturenMetBijvoegingDocumenten_87,BerichtenOpChatroomNieuwsgroepForum_88,TelefonerenViaInternet_89,MappenDelenIvmUitwisselenMuziekFilm_90,WebpaginaOntwerpen_91,GeenVanDezeVaardigheden_92,TotaalCommunicatie_93,VersturenOntvangenVanEMails_94,TelefonerenViaInternet_95,AndersBvChatten_96,TotaalInformatie_97,OpzoekenInfoOverGoederenEnDiensten_98,GebruikVanDienstenInReisbranche_99,ActualiteitEnNieuws_100,WerkVacatures_101,TotaalCommercieleProducten_102,BankierenViaInternet_103,FinancieleTransacties_104,KopenVerkopenVanGoederen_105,TotaalOverheid_106,ZoekenOpWebsitesOverheidsinstanties_107,OfficieleDocumentenDownloaden_108,IngevuldeDocumentenVersturen_109,Gezondheid_110,Onderwijs_111,TotaalVermaak_112,SpelletjesMuziek_113,SoftwareDownloaden_114,AankopenGoederenVanAllePersonen_115,k_3MndGeleden_116,k_312MndGeleden_117,MeerDan1JaarGeleden_118,NooitBesteldOfGekocht_119,AankopenGoederenPersInternetGebr_120,k_3MndGeleden_121,k_312MndGeleden_122,MeerDan1JaarGeleden_123,NooitBesteld_124,LevensmiddelenCosmeticaEnSchoonmaak_125,KledingEnSportArtikelen_126,FilmMuziek_127,BoekenTijdschriftenEnKranten_128,SoftHardwareEnElektrBenodigdheden_129,HuishoudelijkeGoederenEnApparaten_130,ReizenEnAccommodaties_131,FinancieleProductenOfDiensten_132,KaartjesVoorEvenementen_133,AndereAankopen_134
0,10000  ,2005JJ00,87,83,32,84,1,3,12,75,20,4,2,95,16,50,17,47,53,10,11,22,57,73,71,44,39,12,11,83,81,50,44,14,13,83,17,2,9,3,2,0,4,23,18.0,6.0,2.0,59,36.0,24.0,28,21.0,7.0,3.0,72,44.0,30.0,82,78,22,11,4,100,95,27,13,5,80,2,1,17,68,25,5,1,94,15,42,15,4,79,69,20,6.0,16.0,14,3,95,83,25,7.0,20.0,17,3,93,92,6.0,40,90,87,49,46,19,70,58,5,45,55,49,26,24,50,31.0,57,50,27,46,30,11,4,37,55,36,14,5,45,4.0,27.0,19.0,28.0,32.0,18.0,34.0,5.0,21.0,6.0
1,10000  ,2006JJ00,88,83,38,85,2,3,11,79,16,4,1,96,15,51,17,45,55,9,10,20,61,65,73,47,44,9,12,73,82,53,50,10,13,85,15,2,9,2,2,0,2,14,8.0,5.0,2.0,71,47.0,26.0,16,10.0,5.0,3.0,84,56.0,30.0,85,79,28,12,6,100,93,33,14,7,82,2,1,15,75,19,4,1,95,13,44,15,3,81,73,23,13.0,20.0,17,2,96,86,27,16.0,24.0,20,3,94,93,12.0,40,90,88,50,58,22,76,67,8,49,60,53,31,34,54,32.0,61,55,31,52,35,11,5,33,61,41,13,6,39,5.0,34.0,23.0,34.0,38.0,20.0,42.0,10.0,31.0,4.0
2,10000  ,2007JJ00,90,84,45,87,1,2,9,81,15,3,1,97,20,52,19,44,56,10,10,20,60,77,75,48,43,12,11,85,83,52,47,14,12,88,12,1,8,1,2,0,2,9,4.0,4.0,1.0,79,53.0,28.0,10,5.0,4.0,1.0,90,61.0,32.0,87,80,39,18,12,100,91,44,21,13,85,1,1,12,79,17,3,1,97,18,47,18,5,84,75,27,,26.0,17,3,95,86,31,,29.0,19,3,95,94,,35,91,89,54,63,21,80,72,7,53,62,55,33,36,52,,64,56,34,58,41,12,5,30,66,47,14,6,34,8.0,35.0,23.0,34.0,42.0,18.0,44.0,10.0,32.0,5.0
3,10000  ,2008JJ00,92,83,56,89,1,2,8,80,16,3,1,97,23,53,19,39,61,9,8,18,65,76,75,46,43,11,14,83,81,50,47,11,15,91,9,1,5,1,2,0,2,13,5.0,6.0,1.0,78,49.0,32.0,14,5.0,7.0,1.0,86,55.0,36.0,89,79,51,22,15,99,87,56,24,17,87,1,1,11,77,19,3,1,97,20,47,18,6,85,76,32,19.0,,15,3,95,86,36,21.0,,17,3,95,94,13.0,27,90,86,55,68,18,82,74,8,52,59,52,33,34,51,,65,59,37,60,42,13,5,29,67,47,15,6,33,7.0,39.0,23.0,36.0,40.0,21.0,45.0,9.0,36.0,4.0
4,10000  ,2009JJ00,93,83,64,91,1,2,7,85,13,2,0,98,25,55,20,44,56,8,8,17,67,81,79,55,50,14,10,87,85,59,54,15,11,93,7,0,5,1,1,0,1,14,3.0,6.0,1.0,79,57.0,31.0,15,4.0,6.0,1.0,85,61.0,33.0,92,80,60,28,24,99,86,65,30,25,90,1,1,9,82,15,2,1,98,22,51,19,6,88,85,40,28.0,29.0,19,2,97,94,44,31.0,32.0,21,2,96,95,15.0,29,89,87,51,73,19,80,78,6,53,58,53,35,34,54,,65,57,34,68,47,14,7,23,75,51,16,7,25,8.0,41.0,28.0,41.0,38.0,21.0,49.0,6.0,43.0,3.0
5,10000  ,2010JJ00,94,80,71,92,1,1,6,85,12,1,1,99,26,53,20,48,52,8,8,15,69,82,81,54,49,12,9,88,87,58,52,13,10,94,6,1,5,1,1,0,0,7,2.0,3.0,2.0,87,58.0,32.0,8,2.0,3.0,2.0,92,62.0,34.0,93,78,68,36,27,99,83,73,39,29,91,0,1,8,84,14,2,0,98,22,49,19,8,90,87,40,31.0,26.0,18,1,97,94,44,34.0,29.0,20,1,97,96,19.0,29,91,89,52,74,20,83,81,9,58,61,58,37,36,54,,66,58,32,71,51,15,6,21,77,55,16,6,23,9.0,46.0,26.0,39.0,36.0,24.0,50.0,7.0,42.0,3.0
6,10000  ,2011JJ00,96,79,76,93,1,1,5,86,12,1,1,99,27,52,20,38,62,10,11,17,62,81,80,52,57,8,0,86,84,55,60,9,0,95,5,0,3,0,1,0,0,10,,,,85,,,10,,,,89,,,95,76,74,51,33,99,80,77,53,34,92,1,1,7,86,12,1,1,99,25,50,19,10,90,88,40,38.0,28.0,16,0,96,94,43,40.0,30.0,17,0,97,95,25.0,29,89,87,52,76,20,87,82,9,62,60,53,38,40,55,,65,59,30,73,52,15,6,20,79,55,17,7,21,12.0,49.0,25.0,40.0,36.0,25.0,51.0,6.0,44.0,5.0
7,10000  ,2012JJ00,96,78,80,94,1,1,4,87,12,1,1,99,30,52,22,35,60,9,8,14,69,80,79,52,44,9,2,83,83,54,46,10,2,96,4,0,3,1,1,0,1,7,,,,84,,,12,,,,88,,,95,74,78,61,39,99,78,81,64,41,93,1,1,5,87,11,2,0,99,29,51,21,18,91,82,40,39.0,27.0,16,0,97,87,43,42.0,29.0,17,0,96,95,27.0,30,89,87,52,77,20,87,82,6,61,61,55,40,41,56,0.0,68,61,33,75,54,14,7,19,80,57,15,7,20,12.0,53.0,24.0,38.0,35.0,27.0,50.0,7.0,43.0,5.0
8,10000  ,2013JJ00,96,73,80,95,1,1,4,84,14,2,1,99,29,53,22,33,63,10,9,14,68,81,81,54,45,11,0,84,84,56,47,11,0,97,3,0,2,1,1,0,0,0,,,,88,,,9,,,,91,,,95,71,79,72,64,99,73,82,75,67,94,1,1,5,88,10,1,0,99,35,54,22,24,92,84,41,47.0,31.0,16,2,97,89,43,49.0,33.0,17,2,96,95,31.0,30,89,86,51,77,21,87,83,6,63,62,57,38,41,58,0.0,71,65,36,78,57,15,7,17,82,60,16,7,18,15.0,58.0,27.0,43.0,44.0,29.0,54.0,10.0,49.0,0.0
9,3000   ,2005JJ00,89,85,33,88,1,3,8,78,18,3,1,96,17,54,17,47,53,11,11,19,59,80,77,55,52,18,9,87,84,60,57,20,10,84,16,2,9,2,2,0,4,21,17.0,5.0,3.0,63,39.0,25.0,25,20.0,6.0,3.0,75,46.0,30.0,84,80,23,13,5,100,96,27,15,6,85,1,1,13,73,22,4,1,93,15,47,15,4,83,75,25,8.0,22.0,20,3,95,86,28,9.0,25.0,22,3,94,92,8.0,41,90,88,49,51,19,73,62,7,50,60,54,32,28,45,31.0,64,53,38,52,35,11,5,35,59,41,13,6,41,2.0,20.0,22.0,27.0,43.0,17.0,35.0,7.0,21.0,6.0
