ID,Landen,Perioden,Totaal_1,PlantaardigeProducten_2,Totaal_3,Dieren_4,DierlijkeProducten_5,Landbouwdiensten_6,NietTotDeLandbouwBehorendeNevena_7,IntermediairVerbruik_8,BrutoToegevoegdeWaardeBasisprijzen_9,BrutoToegevoegdeWaardeBasisprijzen_10,VerbruikVanVasteActiva_11,NietProductgebondenBelastingen_12,NietProductgebondenSubsidies_13,Landbouwinkomen_14,Arbeidsvolume_15,Inkomensindex2021100_16,MutatieTOVVoorafgaandJaar_17
0,L009541,1995JJ00,,,,,,,,,,,,,,,,,
1,L009541,1996JJ00,,,,,,,,,,,,,,,,,
2,L009541,1997JJ00,,,,,,,,,,,,,,,,,
3,L009541,1998JJ00,,,,,,,,,,,,,,,,,
4,L009541,1999JJ00,,,,,,,,,,,,,,,,,
5,L009541,2000JJ00,,,,,,,,,,,,,,,,,
6,L009541,2001JJ00,,,,,,,,,,,,,,,,,
7,L009541,2002JJ00,,,,,,,,,,,,,,,,,
8,L009541,2003JJ00,,,,,,,,,,,,,,,,,
9,L009541,2004JJ00,,,,,,,,,,,,,,,,,
10,L009541,2005JJ00,314743.0,165814.0,125883.0,76636.0,49247.0,13886.0,9159.0,169083.0,145660.0,145660.0,44818.0,5094.0,25817.0,121566.0,12469.0,57.6,
11,L009541,2006JJ00,315099.0,164705.0,125845.0,77517.0,48327.0,14396.0,10153.0,174690.0,140409.0,140409.0,46657.0,5147.0,38603.0,127208.0,12215.0,59.7,3.6
12,L009541,2007JJ00,345959.0,188198.0,132269.0,78725.0,53544.0,14818.0,10674.0,193315.0,152644.0,152644.0,49485.0,5369.0,41009.0,138800.0,11591.0,65.9,10.8
13,L009541,2008JJ00,364917.0,196163.0,140989.0,83006.0,57983.0,15962.0,11803.0,215809.0,149108.0,149108.0,51913.0,5638.0,42746.0,134303.0,11314.0,63.3,-4.0
14,L009541,2009JJ00,325667.0,171143.0,127189.0,78375.0,48814.0,15860.0,11474.0,197936.0,127730.0,127730.0,51871.0,5697.0,44826.0,114989.0,11043.0,56.1,-11.2
15,L009541,2010JJ00,351599.0,188463.0,133540.0,79043.0,54497.0,16296.0,13299.0,205669.0,145930.0,145930.0,53132.0,4962.0,47410.0,135245.0,10366.0,69.1,23.3
16,L009541,2011JJ00,382906.0,204841.0,146388.0,86124.0,60264.0,16981.0,14695.0,227257.0,155649.0,155649.0,54493.0,4980.0,49589.0,145764.0,9799.0,77.9,12.7
17,L009541,2012JJ00,393983.0,207051.0,154068.0,92497.0,61571.0,17704.0,15161.0,235970.0,158014.0,158014.0,55521.0,4633.0,48070.0,145930.0,9758.0,77.6,-0.4
18,L009541,2013JJ00,403993.0,210993.0,158416.0,93509.0,64907.0,18113.0,16471.0,241072.0,162922.0,162922.0,56520.0,4510.0,48970.0,150862.0,9629.0,80.6,3.9
19,L009541,2014JJ00,397124.0,204684.0,157326.0,89878.0,67448.0,18721.0,16393.0,235597.0,161526.0,161526.0,56192.0,4810.0,49996.0,150520.0,9464.0,81.4,1.0
20,L009541,2015JJ00,390894.0,206236.0,149472.0,89437.0,60036.0,18647.0,16538.0,231190.0,159703.0,159703.0,55996.0,5158.0,46402.0,144951.0,9308.0,78.9,-3.3
21,L009541,2016JJ00,385806.0,203703.0,147196.0,90089.0,57107.0,18808.0,16099.0,226059.0,159747.0,159747.0,55973.0,4604.0,48996.0,148166.0,9507.0,78.6,-0.4
22,L009541,2017JJ00,408601.0,210604.0,162490.0,94427.0,68063.0,19259.0,16247.0,229222.0,179379.0,179379.0,56923.0,4617.0,49030.0,166870.0,9112.0,90.8,15.7
23,L009541,2018JJ00,413419.0,218347.0,158203.0,91122.0,67081.0,19812.0,17058.0,237265.0,176154.0,176154.0,58190.0,4631.0,50131.0,163463.0,9020.0,88.7,-2.5
24,L009541,2019JJ00,424771.0,224279.0,163153.0,96104.0,67049.0,20450.0,16888.0,241900.0,182870.0,182870.0,59540.0,4877.0,51648.0,170101.0,8836.0,92.4,4.3
25,L009541,2020JJ00,420250.0,224134.0,159617.0,93073.0,66544.0,20567.0,15932.0,240123.0,180128.0,180128.0,60496.0,4721.0,50298.0,165209.0,8027.0,97.4,5.3
