ID,ConsumptieveBestedingen,Perioden,Indexcijfer_1,Volumemutaties_2,VolumemutatiesKoopdaggecorrigeerd_3,Indexcijfers_4,Waardemutaties_5,Prijsmutaties_6
0,A047812,2000JJ00,93.7,3.6,3.6,72.8,6.7,2.9
1,A047812,2001JJ00,95.5,1.9,2.1,76.6,5.3,3.3
2,A047812,2002JJ00,96.6,1.1,1.1,80.1,4.6,3.4
3,A047812,2003JJ00,96.5,-0.1,-0.1,81.9,2.2,2.3
4,A047812,2004JJ00,97.5,1.0,0.8,83.8,2.3,1.3
5,A047812,2005JJ00,98.4,0.9,1.1,86.1,2.8,1.8
6,A047812,2006JJ00,98.3,-0.1,0.0,88.4,2.6,2.7
7,A047812,2007JJ00,100.3,2.0,1.9,91.9,4.0,2.0
8,A047812,2008JJ00,100.8,0.6,0.4,94.5,2.8,2.2
9,A047812,2009JJ00,98.7,-2.2,-2.0,91.2,-3.6,-1.4
10,A047812,2010JJ00,99.1,0.4,0.4,93.0,2.0,1.6
11,A047812,2011JJ00,99.3,0.2,0.2,95.1,2.2,2.0
12,A047812,2012JJ00,98.2,-1.1,-1.1,95.1,0.1,1.2
13,A047812,2013JJ00,97.4,-0.8,-0.7,96.4,1.3,2.1
14,A047812,2014JJ00,97.9,0.5,0.5,97.7,1.4,0.9
15,A047812,2015JJ00,100.0,2.1,2.1,100.0,2.4,0.2
16,A047812,2016JJ00,101.4,1.4,1.2,102.1,2.1,0.7
17,A047812,2017JJ00,103.6,2.2,2.5,105.7,3.6,1.3
18,A047812,2018JJ00,106.2,2.4,2.4,110.6,4.6,2.1
19,A047812,2019JJ00,107.4,1.1,1.1,114.8,3.8,2.6
20,A047812,2000MM01,95.0,3.6,4.0,72.0,6.3,2.6
21,A047812,2000MM02,92.1,5.5,4.4,69.7,8.9,3.2
22,A047812,2000MM03,97.0,5.8,4.5,74.5,8.6,2.6
23,A047812,2000KW01,94.7,5.0,4.3,72.1,7.9,2.8
24,A047812,2000MM04,93.8,3.6,4.4,72.3,6.5,2.8
25,A047812,2000MM05,94.9,4.3,3.9,74.2,7.8,3.4
26,A047812,2000MM06,93.1,2.9,2.3,72.6,6.2,3.2
27,A047812,2000KW02,94.0,3.6,3.6,73.0,6.8,3.1
28,A047812,2000MM07,92.0,-0.1,1.8,71.6,2.6,2.7
29,A047812,2000MM08,92.0,5.5,3.8,71.6,8.2,2.5
30,A047812,2000MM09,92.9,4.1,3.4,72.8,7.3,3.1
31,A047812,2000KW03,92.3,3.1,3.0,72.0,6.0,2.8
32,A047812,2000MM10,91.2,1.0,2.3,72.5,4.0,2.9
33,A047812,2000MM11,92.7,3.9,3.3,73.2,7.5,3.4
34,A047812,2000MM12,97.6,3.7,4.6,76.2,6.9,3.1
35,A047812,2000KW04,93.8,2.9,3.4,74.0,6.1,3.1
36,A047812,2001MM01,96.8,1.9,1.8,75.6,5.0,3.0
37,A047812,2001MM02,92.5,0.4,1.8,72.0,3.3,2.9
38,A047812,2001MM03,99.2,2.3,2.1,78.7,5.6,3.3
39,A047812,2001KW01,96.2,1.5,1.9,75.4,4.7,3.1
40,A047812,2001MM04,94.1,0.2,1.2,75.0,3.8,3.6
41,A047812,2001MM05,97.5,2.7,2.1,78.8,6.2,3.4
42,A047812,2001MM06,96.0,3.1,2.7,77.2,6.3,3.1
43,A047812,2001KW02,95.8,2.0,2.0,77.0,5.5,3.4
44,A047812,2001MM07,93.8,1.9,2.3,75.3,5.1,3.1
45,A047812,2001MM08,94.6,2.8,2.3,76.0,6.1,3.3
46,A047812,2001MM09,93.9,1.0,2.5,76.0,4.4,3.3
47,A047812,2001KW03,94.1,1.9,2.4,75.8,5.2,3.2
48,A047812,2001MM10,94.0,3.2,2.3,77.4,6.8,3.6
49,A047812,2001MM11,95.7,3.2,2.9,78.0,6.6,3.3
50,A047812,2001MM12,98.4,0.8,1.4,79.4,4.2,3.4
51,A047812,2001KW04,96.0,2.3,2.2,78.3,5.8,3.4
52,A047812,2002MM01,98.9,2.1,1.6,80.1,6.0,3.8
53,A047812,2002MM02,93.7,1.3,1.3,75.6,5.0,3.6
54,A047812,2002MM03,99.9,0.7,1.5,82.0,4.3,3.5
55,A047812,2002KW01,97.5,1.4,1.5,79.2,5.1,3.6
56,A047812,2002MM04,95.8,1.9,1.4,79.1,5.4,3.5
57,A047812,2002MM05,98.9,1.5,0.9,82.5,4.6,3.1
58,A047812,2002MM06,96.4,0.4,1.7,80.1,3.8,3.4
59,A047812,2002KW02,97.0,1.2,1.4,80.6,4.6,3.3
60,A047812,2002MM07,95.3,1.6,0.7,79.4,5.4,3.7
61,A047812,2002MM08,95.6,1.1,0.7,79.7,4.9,3.8
62,A047812,2002MM09,94.0,0.1,0.9,78.8,3.6,3.5
63,A047812,2002KW03,95.0,0.9,0.8,79.3,4.7,3.7
64,A047812,2002MM10,95.9,1.9,1.4,81.5,5.3,3.3
65,A047812,2002MM11,95.8,0.1,-0.4,80.4,3.1,3.0
66,A047812,2002MM12,98.7,0.4,1.1,82.2,3.4,3.0
67,A047812,2002KW04,96.8,0.8,0.7,81.4,3.9,3.1
68,A047812,2003MM01,100.4,1.6,1.1,83.5,4.2,2.6
69,A047812,2003MM02,95.0,1.4,1.5,78.8,4.2,2.7
70,A047812,2003MM03,98.8,-1.1,-0.1,83.2,1.5,2.6
71,A047812,2003KW01,98.1,0.6,0.8,81.8,3.3,2.7
72,A047812,2003MM04,96.3,0.6,-0.2,81.3,2.9,2.3
73,A047812,2003MM05,99.6,0.6,0.2,84.8,2.8,2.2
74,A047812,2003MM06,95.3,-1.1,-0.3,80.7,0.8,1.9
75,A047812,2003KW02,97.1,0.0,-0.1,82.3,2.1,2.1
76,A047812,2003MM07,95.3,0.0,-0.5,81.1,2.2,2.2
77,A047812,2003MM08,94.4,-1.3,-0.3,80.5,0.9,2.3
78,A047812,2003MM09,94.4,0.4,-0.5,80.6,2.3,2.0
79,A047812,2003KW03,94.7,-0.3,-0.4,80.7,1.8,2.2
80,A047812,2003MM10,96.4,0.6,0.0,84.0,3.0,2.4
81,A047812,2003MM11,94.0,-1.9,-0.5,80.8,0.6,2.5
82,A047812,2003MM12,97.8,-0.9,-1.8,83.2,1.3,2.2
83,A047812,2003KW04,96.1,-0.7,-0.8,82.7,1.6,2.4
84,A047812,2004MM01,101.4,1.0,0.6,85.3,2.2,1.2
85,A047812,2004MM02,95.3,0.3,-0.7,79.8,1.4,1.1
86,A047812,2004MM03,99.7,0.9,0.3,84.8,1.9,1.0
87,A047812,2004KW01,98.8,0.7,0.1,83.3,1.8,1.1
88,A047812,2004MM04,98.0,1.8,1.2,84.1,3.4,1.6
89,A047812,2004MM05,98.2,-1.4,0.4,85.0,0.3,1.7
90,A047812,2004MM06,97.8,2.6,1.4,84.4,4.5,1.8
91,A047812,2004KW02,98.0,1.0,1.0,84.5,2.7,1.7
92,A047812,2004MM07,98.1,2.9,2.1,84.6,4.3,1.3
