ID,Bedrijfstakken,Perioden,Wegingscoefficient_1,Prijsindexcijfer_2,Wegingscoefficient_3,Prijsindexcijfer_4,Wegingscoefficient_5,Prijsindexcijfer_6,Wegingscoefficient_7,Prijsindexcijfer_8,Wegingscoefficient_9,Prijsindexcijfer_10,Wegingscoefficient_11,Prijsindexcijfer_12,Wegingscoefficient_13,Prijsindexcijfer_14,Wegingscoefficient_15,Prijsindexcijfer_16,Wegingscoefficient_17,Prijsindexcijfer_18,Wegingscoefficient_19,Prijsindexcijfer_20,Wegingscoefficient_21,Prijsindexcijfer_22,Wegingscoefficient_23,Prijsindexcijfer_24,Wegingscoefficient_25,Prijsindexcijfer_26
26,C  0,1992JJ00,100000.0,99.0,60854.0,100,,,,,,,39146.0,98.0,100000.0,100.0,27460.0,101.0,,,,,21513.0,102.0,5947.0,99.0,72540.0,100.0
27,C  0,1992MM01,100000.0,99.0,60854.0,101,,,,,,,39146.0,96.0,100000.0,102.0,27460.0,101.0,,,,,21513.0,102.0,5947.0,98.0,72540.0,102.0
28,C  0,1992MM02,100000.0,99.0,60854.0,101,,,,,,,39146.0,96.0,100000.0,102.0,27460.0,101.0,,,,,21513.0,102.0,5947.0,98.0,72540.0,102.0
29,C  0,1992MM03,100000.0,99.0,60854.0,101,,,,,,,39146.0,95.0,100000.0,102.0,27460.0,101.0,,,,,21513.0,102.0,5947.0,98.0,72540.0,102.0
30,C  0,1992MM04,100000.0,99.0,60854.0,100,,,,,,,39146.0,96.0,100000.0,100.0,27460.0,101.0,,,,,21513.0,102.0,5947.0,98.0,72540.0,100.0
31,C  0,1992MM05,100000.0,99.0,60854.0,100,,,,,,,39146.0,98.0,100000.0,100.0,27460.0,101.0,,,,,21513.0,102.0,5947.0,98.0,72540.0,100.0
32,C  0,1992MM06,100000.0,103.0,60854.0,100,,,,,,,39146.0,106.0,100000.0,100.0,27460.0,101.0,,,,,21513.0,102.0,5947.0,98.0,72540.0,100.0
33,C  0,1992MM07,100000.0,102.0,60854.0,98,,,,,,,39146.0,109.0,100000.0,98.0,27460.0,101.0,,,,,21513.0,102.0,5947.0,100.0,72540.0,97.0
34,C  0,1992MM08,100000.0,103.0,60854.0,98,,,,,,,39146.0,111.0,100000.0,98.0,27460.0,101.0,,,,,21513.0,102.0,5947.0,100.0,72540.0,97.0
35,C  0,1992MM09,100000.0,100.0,60854.0,98,,,,,,,39146.0,102.0,100000.0,98.0,27460.0,101.0,,,,,21513.0,102.0,5947.0,100.0,72540.0,97.0
36,C  0,1992MM10,100000.0,96.0,60854.0,99,,,,,,,39146.0,89.0,100000.0,99.0,27460.0,101.0,,,,,21513.0,102.0,5947.0,99.0,72540.0,99.0
37,C  0,1992MM11,100000.0,95.0,60854.0,99,,,,,,,39146.0,88.0,100000.0,100.0,27460.0,101.0,,,,,21513.0,102.0,5947.0,99.0,72540.0,100.0
38,C  0,1992MM12,100000.0,95.0,60854.0,99,,,,,,,39146.0,89.0,100000.0,100.0,27460.0,101.0,,,,,21513.0,102.0,5947.0,99.0,72540.0,99.0
39,C  0,1993JJ00,100000.0,94.0,60854.0,92,,,,,,,39146.0,95.0,100000.0,98.0,27460.0,100.0,,,,,21513.0,100.0,5947.0,102.0,72540.0,98.0
40,C  0,1993MM01,100000.0,90.0,60854.0,92,,,,,,,39146.0,88.0,100000.0,99.0,27460.0,101.0,,,,,21513.0,101.0,5947.0,102.0,72540.0,99.0
41,C  0,1993MM02,100000.0,90.0,60854.0,92,,,,,,,39146.0,87.0,100000.0,102.0,27460.0,101.0,,,,,21513.0,101.0,5947.0,102.0,72540.0,102.0
42,C  0,1993MM03,100000.0,92.0,60854.0,93,,,,,,,39146.0,92.0,100000.0,102.0,27460.0,100.0,,,,,21513.0,100.0,5947.0,102.0,72540.0,103.0
43,C  0,1993MM04,100000.0,93.0,60854.0,93,,,,,,,39146.0,92.0,100000.0,101.0,27460.0,100.0,,,,,21513.0,100.0,5947.0,102.0,72540.0,101.0
44,C  0,1993MM05,100000.0,95.0,60854.0,93,,,,,,,39146.0,99.0,100000.0,100.0,27460.0,100.0,,,,,21513.0,100.0,5947.0,102.0,72540.0,101.0
45,C  0,1993MM06,100000.0,98.0,60854.0,93,,,,,,,39146.0,106.0,100000.0,98.0,27460.0,99.0,,,,,21513.0,100.0,5947.0,102.0,72540.0,97.0
46,C  0,1993MM07,100000.0,100.0,60854.0,93,,,,,,,39146.0,112.0,100000.0,96.0,27460.0,99.0,,,,,21513.0,99.0,5947.0,101.0,72540.0,94.0
47,C  0,1993MM08,100000.0,100.0,60854.0,93,,,,,,,39146.0,110.0,100000.0,97.0,27460.0,99.0,,,,,21513.0,99.0,5947.0,101.0,72540.0,96.0
48,C  0,1993MM09,100000.0,94.0,60854.0,93,,,,,,,39146.0,95.0,100000.0,95.0,27460.0,99.0,,,,,21513.0,99.0,5947.0,101.0,72540.0,93.0
49,C  0,1993MM10,100000.0,91.0,60854.0,92,,,,,,,39146.0,90.0,100000.0,96.0,27460.0,99.0,,,,,21513.0,99.0,5947.0,102.0,72540.0,94.0
50,C  0,1993MM11,100000.0,89.0,60854.0,91,,,,,,,39146.0,87.0,100000.0,96.0,27460.0,99.0,,,,,21513.0,99.0,5947.0,102.0,72540.0,95.0
51,C  0,1993MM12,100000.0,89.0,60854.0,91,,,,,,,39146.0,86.0,100000.0,97.0,27460.0,99.0,,,,,21513.0,99.0,5947.0,102.0,72540.0,96.0
52,C  0,1994JJ00,100000.0,92.0,60854.0,92,,,,,,,39146.0,91.0,100000.0,93.0,27460.0,99.0,,,,,21513.0,99.0,5947.0,103.0,72540.0,91.0
53,C  0,1994MM01,100000.0,89.0,60854.0,92,,,,,,,39146.0,85.0,100000.0,96.0,27460.0,99.0,,,,,21513.0,98.0,5947.0,104.0,72540.0,95.0
54,C  0,1994MM02,100000.0,89.0,60854.0,91,,,,,,,39146.0,85.0,100000.0,96.0,27460.0,99.0,,,,,21513.0,98.0,5947.0,104.0,72540.0,94.0
