ID,TypenArchief,AantalArchiefbewaarplaatsen_1,TotaalVloeroppervlak_2,TotalePlanklengte_3,NietInGebruik_4,VerhuurdAanDerden_5,TotaalInEigenGebruik_6,NietBeperktOpenbaar_7,WelOpenbaar_8,Overheid_9,PersonenBedrijven_10,Overige_11,Charters_12,KaartenTekeningen_13,FotoS_14,AudiovisueleCollecties_15,MicrofichesFilms_16,AantalArchiefbewaarplaatsen_17,k_0Tot500Meter_18,k_500Tot1000Meter_19,k_1000Tot1500Meter_20,k_1500Tot2500Meter_21,k_2500MeterEnMeer_22,Charters_23,KaartenTekeningen_24,FotoS_25,AudiovisueleCollecties_26,MicrofichesFilms_27,DigitaleBestanden_28,TotaalPlanklengteInEigenGebruik_29,RuimVoldoende_30,RestaurerenNodig_31,ConserverenNodig_32,AantalBezoeken_33,TotaalAantalBezoekers_34,GenealogischOnderzoek_35,OverigOnderzoek_36,AmbtelijkeInformatie_37,TotaleInformatiePerBriefFax_38,GenealogischOnderzoek_39,OverigOnderzoek_40,AmbtelijkeInformatie_41,TotaleInformatiePerEMail_42,GenealogischOnderzoek_43,OverigOnderzoek_44,AmbtelijkeInformatie_45,HeeftEigenWebsite_46,AantalHitsAlgemenePaginaS_47,AantalHitsThemaPaginaS_48,RestauratieConserveringsatelier_49,Expositieruimte_50,HistorischeBibliotheek_51,Studiezaal_52,AantalPlaatsenStudiezaal_53,OppervlakteStudiezaal_54,VasteOpeningstijden_55,OokOpAfspraakToegankelijk_56,AlleenOpAfspraakToegankelijk_57,GemiddeldAantalUrenOpenPerWeek_58,ViaInventarislijst_59,ViaPlaatsingslijst_60,NietToegankelijk_61,TotaalPersoneel_62,TotaalBezoldigdPersoneel_63,ArchivistiekA_64,ArchivistiekB_65,ArchiefassistentLBONiveau_66,VVAOokHMDI_67,SODII_68,SODI_69,ArchiefrestaurateurHBONiveau_70,ArchiefrestaurateurMBONiveau_71,ArchiefrestaurateurLBONiveau_72,OverigeOplHBOUniversitairNiveau_73,OverigeOplMBOEnLagerNiveau_74,Uitzendkrachten_75,Vrijwilligers_76,TotaalMensjaren_77,ArchivistiekA_78,ArchivistiekB_79,ArchiefassistentLBONiveau_80,VVAOokHMDI_81,SODII_82,SODI_83,ArchiefrestaurateurHBONiveau_84,ArchiefrestaurateurMBONiveau_85,ArchiefrestaurateurLBONiveau_86,OverigeOplHBOUniversitairNiveau_87,OverigeOplMBOEnLagerNiveau_88,Uitzendkrachten_89,TotaalPersoneel_90,TotaalBezoldigdPersoneel_91,ArchivistiekA_92,ArchivistiekB_93,ArchiefassistentLBONiveau_94,VVAOokHMDI_95,SODII_96,SODI_97,ArchiefrestaurateurHBONiveau_98,ArchiefrestaurateurMBONiveau_99,ArchiefRestaurateurLBONiveau_100,OverigeOplHBOUniversitairNiveau_101,OverigeOplMBOEnLagerNiveau_102,Uitzendkrachten_103,Vrijwilligers_104,TotaleBaten_105,Rijk_106,Provincies_107,Gemeenten_108,Waterschappen_109,Verkoop_110,Leges_111,OverigeBaten_112,TotaleLasten_113,Personeelskosten_114,Kapitaalslasten_115,MaterieleKosten_116,Huisvestingskosten_117,OverigeLasten_118
0,ARCH1,329,141.2,845,160,40,645,182,462,422,54,169,389.4,1574.7,7075.4,55.7,3245.8,329,49,112,51,54,64,97,94,100,19,89,32,100,82,6,12,471.3,188.8,99.0,67.2,22.8,35,23,9,2,13,6,5,2,15,2400,170,9,14,42,60,4.3,17.7,79,70,21,23,68,16,16,2419.0,1529.0,164.0,342.0,103.0,23.0,43.0,51.0,12.0,46.0,22.0,146.0,245.0,332.0,890.0,1191.0,124.0,335.0,84.0,21.0,36.0,28.0,11.0,36.0,10.0,103.0,175.0,226.0,940.0,879.0,12.0,35.0,15.0,61.0,256.0,345.0,7.0,9.0,5.0,14.0,67.0,55.0,61.0,73480.0,20829.0,19.0,45860.0,2219.0,1595.0,430.0,2528.0,73480.0,38236.0,5896.0,10604.0,10278.0,8466.0
1,ARCH2,12,60.1,311,58,27,226,46,179,147,67,12,148.7,657.2,1157.7,4.1,911.4,12,0,0,0,1,11,100,100,100,92,100,0,100,80,7,13,156.7,48.6,32.5,14.6,1.5,15,11,3,1,5,4,1,0,92,1899,79,92,75,100,100,1.2,4.7,100,25,0,41,69,24,8,893.0,567.0,85.0,80.0,47.0,1.0,7.0,12.0,8.0,29.0,15.0,64.0,136.0,84.0,326.0,440.0,55.0,104.0,44.0,0.0,6.0,9.0,7.0,23.0,5.0,40.0,90.0,57.0,,,,,,,,,,,,,,,,26029.0,19523.0,0.0,4012.0,0.0,1232.0,250.0,1012.0,26029.0,14923.0,2537.0,3766.0,2994.0,1809.0
2,ARCH3,59,30.9,201,47,5,149,41,107,85,29,34,64.4,515.2,3226.9,38.5,1505.7,59,1,14,4,9,30,97,100,100,56,96,25,100,69,11,20,167.9,64.1,32.8,26.9,4.4,8,5,2,0,5,2,3,1,21,203,73,18,36,83,100,1.2,5.4,98,40,2,31,54,23,23,950.0,631.0,43.0,166.0,42.0,13.0,22.0,12.0,4.0,13.0,7.0,56.0,84.0,167.0,320.0,490.0,38.0,144.0,28.0,13.0,19.0,7.0,4.0,9.0,5.0,43.0,68.0,114.0,,,,,,,,,,,,,,,,32323.0,0.0,19.0,31342.0,7.0,169.0,151.0,635.0,32323.0,14607.0,1720.0,4576.0,5933.0,5488.0
3,ARCH4,17,10.4,72,9,5,58,7,50,41,11,6,39.4,94.2,875.5,1.3,295.0,17,0,0,2,4,11,100,100,100,27,100,0,100,61,10,29,63.7,31.1,17.3,12.2,1.5,2,1,0,0,1,0,0,0,55,66,8,24,20,100,93,0.5,1.9,100,7,0,36,45,38,16,310.0,211.0,19.0,67.0,12.0,5.0,6.0,3.0,0.0,4.0,0.0,23.0,24.0,48.0,99.0,173.0,16.0,59.0,10.0,5.0,6.0,3.0,0.0,4.0,0.0,19.0,16.0,34.0,,,,,,,,,,,,,,,,11372.0,1306.0,0.0,8790.0,214.0,179.0,28.0,854.0,11372.0,6082.0,1376.0,1809.0,1172.0,934.0
4,ARCH5,13,4.4,32,5,0,27,9,18,16,3,9,3.6,44.7,780.7,1.3,64.8,13,0,0,2,6,4,100,100,100,33,100,30,100,73,11,15,16.8,4.8,2.0,2.6,0.2,1,1,0,0,0,0,0,0,52,26,4,9,26,74,100,0.4,2.0,92,61,8,33,70,16,14,216.0,71.0,11.0,16.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,30.0,145.0,55.0,9.0,16.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,22.0,,,,,,,,,,,,,,,,1746.0,0.0,0.0,1595.0,108.0,16.0,0.0,27.0,1746.0,1345.0,18.0,232.0,56.0,95.0
5,ARCH6,203,31.8,202,34,2,166,71,93,110,6,50,122.3,182.3,862.3,9.3,407.9,203,43,87,38,29,6,97,92,99,5,91,37,100,89,4,7,63.7,38.8,14.1,10.4,14.3,8,4,3,0,2,0,0,1,5,207,7,1,4,18,42,0.8,3.3,74,85,26,19,73,12,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896.0,835.0,12.0,34.0,15.0,55.0,239.0,334.0,7.0,5.0,5.0,12.0,65.0,52.0,61.0,,,,,,,,,,,,,,
6,ARCH7,13,1.3,10,3,0,7,3,4,5,0,2,7.4,8.9,141.2,0.6,0.1,13,4,7,2,1,0,92,81,100,0,0,100,100,87,2,11,0.4,0.4,0.0,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,27,8,0.0,0.1,23,92,77,6,82,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,44.0,0.0,2.0,0.0,6.0,16.0,10.0,0.0,4.0,0.0,2.0,1.0,2.0,0.0,,,,,,,,,,,,,,
7,ARCH8,12,2.4,16,3,0,13,4,10,11,0,2,3.6,72.2,31.1,0.5,60.9,12,1,4,3,3,1,92,100,100,0,92,0,100,74,9,17,2.0,1.1,0.2,0.4,0.5,0,0,0,0,0,0,0,0,8,0,0,8,17,75,92,0.1,0.3,67,75,33,23,73,13,14,50.0,50.0,7.0,12.0,0.0,4.0,3.0,19.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,32.0,5.0,12.0,0.0,3.0,2.0,6.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,2010.0,0.0,0.0,121.0,1890.0,0.0,0.0,0.0,2010.0,1279.0,245.0,222.0,124.0,141.0
