ID,Leeftijd,Perioden,Kinderen_1,k_1eKinderen_2,k_2eKinderen_3,k_3eKinderen_4,k_4OfVolgendeKinderen_5
0,totaal  ,2002JJ00,1.73072,0.82472,0.6208,0.20457,0.08063
1,totaal  ,2003JJ00,1.74811,0.81558,0.63263,0.20766,0.09224
2,totaal  ,2004JJ00,1.75182,0.81453,0.63583,0.20867,0.09279
3,totaal  ,2005JJ00,1.75463,0.81349,0.6388,0.20907,0.09327
4,totaal  ,2006JJ00,1.75604,0.8121,0.64108,0.20908,0.09378
5,totaal  ,2007JJ00,1.75609,0.81068,0.64292,0.20831,0.09418
6,totaal  ,2008JJ00,1.75593,0.8089,0.64441,0.20797,0.09465
7,totaal  ,2009JJ00,1.75395,0.80648,0.64554,0.20692,0.09501
8,totaal  ,2010JJ00,1.75303,0.80472,0.64647,0.2064,0.09544
9,totaal  ,2011JJ00,1.75273,0.80393,0.64709,0.20589,0.09582
10,totaal  ,2012JJ00,1.75226,0.80312,0.64768,0.20528,0.09618
11,totaal  ,2013JJ00,1.75238,0.80264,0.64821,0.20503,0.0965
12,totaal  ,2014JJ00,1.75216,0.80218,0.64867,0.20451,0.0968
13,totaal  ,2015JJ00,1.75181,0.80138,0.64907,0.20431,0.09705
14,totaal  ,2016JJ00,1.75161,0.80075,0.64943,0.20413,0.0973
15,totaal  ,2017JJ00,1.75151,0.80019,0.64979,0.20402,0.09751
16,totaal  ,2018JJ00,1.75135,0.79977,0.65003,0.20389,0.09766
17,totaal  ,2019JJ00,1.75121,0.79943,0.65023,0.20371,0.09784
18,totaal  ,2020JJ00,1.75112,0.79916,0.6504,0.20351,0.09805
19,totaal  ,2021JJ00,1.75102,0.79898,0.65051,0.20332,0.09821
20,totaal  ,2022JJ00,1.75093,0.79883,0.65063,0.20315,0.09832
21,totaal  ,2023JJ00,1.75087,0.7987,0.65072,0.20298,0.09847
22,totaal  ,2024JJ00,1.75072,0.79859,0.65075,0.20281,0.09857
23,totaal  ,2025JJ00,1.75068,0.79856,0.6508,0.20267,0.09865
24,totaal  ,2026JJ00,1.75062,0.79854,0.65082,0.2025,0.09876
25,totaal  ,2027JJ00,1.75065,0.79855,0.65087,0.20236,0.09887
26,totaal  ,2028JJ00,1.75053,0.79855,0.65086,0.20221,0.09891
27,totaal  ,2029JJ00,1.75057,0.79858,0.65088,0.20208,0.09903
28,totaal  ,2030JJ00,1.75059,0.79865,0.65088,0.20195,0.09911
29,totaal  ,2031JJ00,1.75057,0.79863,0.65089,0.20185,0.0992
30,totaal  ,2032JJ00,1.75056,0.79871,0.65089,0.20173,0.09923
31,totaal  ,2033JJ00,1.75058,0.79878,0.65085,0.20165,0.0993
32,totaal  ,2034JJ00,1.75056,0.79886,0.65081,0.20153,0.09936
33,totaal  ,2035JJ00,1.7506,0.79893,0.65081,0.20143,0.09943
34,totaal  ,2036JJ00,1.75062,0.79904,0.65078,0.20134,0.09946
35,totaal  ,2037JJ00,1.75068,0.79913,0.65078,0.20125,0.09952
36,totaal  ,2038JJ00,1.7507,0.79924,0.65072,0.20118,0.09956
37,totaal  ,2039JJ00,1.75079,0.79936,0.65072,0.20112,0.09959
38,totaal  ,2040JJ00,1.75079,0.79941,0.65068,0.20106,0.09964
39,totaal  ,2041JJ00,1.75081,0.7995,0.65065,0.20097,0.09969
40,totaal  ,2042JJ00,1.75069,0.79954,0.65057,0.20088,0.0997
41,totaal  ,2043JJ00,1.75059,0.79957,0.65051,0.20078,0.09973
42,totaal  ,2044JJ00,1.75051,0.79953,0.65047,0.20074,0.09977
43,totaal  ,2045JJ00,1.7504,0.79951,0.65045,0.20067,0.09977
