ID,Voertuigcategorie,BouwjaarVoertuig,Wegtype,CO_1,VOS_2,NOx_3,PM10_4
0,Totot,-1998,1,8.45,1.11,1.21,0.101
1,Totot,-1998,2,2.79,0.33,0.82,0.048
2,Totot,-1998,3,3.69,0.32,1.36,0.058
3,Totot,1999 ,1,3.81,0.47,1.37,0.076
4,Totot,1999 ,2,1.47,0.09,0.64,0.027
5,Totot,1999 ,3,1.36,0.07,1.06,0.052
6,Totot,2000 ,1,2.94,0.44,1.4,0.068
7,Totot,2000 ,2,1.06,0.07,0.65,0.025
8,Totot,2000 ,3,0.93,0.06,1.14,0.05
9,Totot,2001 ,1,2.3,0.46,1.4,0.057
10,Totot,2001 ,2,0.64,0.05,0.64,0.022
11,Totot,2001 ,3,0.61,0.05,1.17,0.046
12,Totot,2002 ,1,2.26,0.5,1.43,0.063
13,Totot,2002 ,2,0.66,0.06,0.59,0.022
14,Totot,2002 ,3,0.53,0.04,0.89,0.043
15,Totot,2003 ,1,2.09,0.52,1.46,0.065
16,Totot,2003 ,2,0.47,0.06,0.61,0.023
17,Totot,2003 ,3,0.47,0.04,0.92,0.046
18,Totot,2004 ,1,1.82,0.45,1.45,0.069
19,Totot,2004 ,2,0.35,0.05,0.62,0.025
20,Totot,2004 ,3,0.41,0.04,0.92,0.048
21,Totot,2005 ,1,1.63,0.47,1.14,0.053
22,Totot,2005 ,2,0.33,0.07,0.65,0.023
23,Totot,2005 ,3,0.33,0.02,0.52,0.039
24,Totot,2006 ,1,1.62,0.47,1.03,0.044
25,Totot,2006 ,2,0.29,0.05,0.59,0.017
26,Totot,2006 ,3,0.29,0.01,0.49,0.034
27,Totot,2007 ,1,1.48,0.4,0.77,0.038
28,Totot,2007 ,2,0.24,0.04,0.41,0.014
29,Totot,2007 ,3,0.26,0.01,0.35,0.033
30,Paben,-1998,1,9.36,1.07,0.7,0.016
31,Paben,-1998,2,2.65,0.29,0.53,0.009
32,Paben,-1998,3,3.67,0.28,0.87,0.009
33,Paben,1999 ,1,5.65,0.42,0.34,0.01
34,Paben,1999 ,2,1.93,0.08,0.2,0.005
35,Paben,1999 ,3,1.96,0.06,0.08,0.005
36,Paben,2000 ,1,4.43,0.42,0.22,0.008
37,Paben,2000 ,2,1.49,0.05,0.11,0.003
38,Paben,2000 ,3,1.27,0.03,0.06,0.006
39,Paben,2001 ,1,3.19,0.41,0.12,0.006
40,Paben,2001 ,2,0.94,0.02,0.02,0.001
41,Paben,2001 ,3,0.6,0.01,0.04,0.008
42,Paben,2002 ,1,3.11,0.41,0.11,0.006
43,Paben,2002 ,2,0.91,0.02,0.02,0.001
44,Paben,2002 ,3,0.58,0.01,0.04,0.008
45,Paben,2003 ,1,2.76,0.4,0.09,0.006
46,Paben,2003 ,2,0.57,0.02,0.03,0.001
47,Paben,2003 ,3,0.52,0.01,0.03,0.008
48,Paben,2004 ,1,2.57,0.4,0.08,0.006
49,Paben,2004 ,2,0.41,0.02,0.03,0.001
50,Paben,2004 ,3,0.49,0.01,0.03,0.008
51,Paben,2005 ,1,2.4,0.39,0.07,0.006
52,Paben,2005 ,2,0.26,0.02,0.03,0.002
53,Paben,2005 ,3,0.46,0.01,0.02,0.008
54,Paben,2006 ,1,2.37,0.39,0.06,0.006
55,Paben,2006 ,2,0.25,0.02,0.03,0.002
56,Paben,2006 ,3,0.45,0.01,0.02,0.008
57,Paben,2007 ,1,2.33,0.38,0.06,0.006
58,Paben,2007 ,2,0.25,0.02,0.03,0.002
59,Paben,2007 ,3,0.43,0.01,0.02,0.008
60,Padie,-1998,1,1.22,0.25,0.83,0.24
61,Padie,-1998,2,0.29,0.09,0.5,0.114
62,Padie,-1998,3,0.33,0.08,0.7,0.124
63,Padie,1999 ,1,0.69,0.14,1.08,0.119
64,Padie,1999 ,2,0.07,0.04,0.52,0.043
65,Padie,1999 ,3,0.07,0.02,0.66,0.081
66,Padie,2000 ,1,0.66,0.1,0.99,0.092
67,Padie,2000 ,2,0.05,0.03,0.51,0.036
68,Padie,2000 ,3,0.05,0.02,0.62,0.068
69,Padie,2001 ,1,0.6,0.05,0.89,0.063
70,Padie,2001 ,2,0.03,0.01,0.5,0.029
71,Padie,2001 ,3,0.04,0.01,0.58,0.053
72,Padie,2002 ,1,0.6,0.05,0.89,0.063
73,Padie,2002 ,2,0.03,0.01,0.5,0.029
74,Padie,2002 ,3,0.04,0.01,0.58,0.053
75,Padie,2003 ,1,0.6,0.05,0.89,0.063
76,Padie,2003 ,2,0.03,0.01,0.5,0.029
77,Padie,2003 ,3,0.04,0.01,0.58,0.053
78,Padie,2004 ,1,0.6,0.05,0.89,0.063
79,Padie,2004 ,2,0.03,0.01,0.5,0.029
80,Padie,2004 ,3,0.04,0.01,0.58,0.053
81,Padie,2005 ,1,0.25,0.02,0.51,0.05
82,Padie,2005 ,2,0.02,0.0,0.27,0.024
83,Padie,2005 ,3,0.05,0.01,0.25,0.05
84,Padie,2006 ,1,0.25,0.02,0.51,0.05
85,Padie,2006 ,2,0.02,0.0,0.27,0.024
86,Padie,2006 ,3,0.05,0.01,0.25,0.05
