ID,Perioden,NatuurlijkePersonenMetInkomen_1,Totaalinkomen_2,TotaalinkomenPerNatPersMetInkomen_3,Inkomenstrekkers_4,Nominaal_5,NaarKoopkracht1996_6,Vermogenstrekkers_7,Vermogen_8,Nominaal_9,NaarKoopkracht1996_10,Ontvangers_11,Bedrag_12,BedragPerOntvangerNominaal_13,BedragPerOntvangerKoopkracht1980_14,TotaalVerbruik_15,Voeding_16,WoninghuurWaarde_17,WoningOverigeUitgave_18,KledingEnSchoeisel_19,HygieneEnGeneeskundigeVerzorging_20,OntwikkelingEnOntspanning_21,VerkeerEnVervoer_22,OverigVerbruik_23,Koelkast_24,Diepvriezer_25,Magnetronoven_26,Vaatwasmachine_27,Wasmachine_28,Wasdroger_29,ElektrischeNaaimachine_30,Kleurentelevisie_31,Videorecorder_32,Videocamera_33,DiaprojektorFilmprojektor_34,HomeEnOfPersonalComputer_35,TVSpelcomputer_36,BandOfCassetterecorderOfDeck_37,Platenspeler_38,CompactDiscpeler_39,DigitaleAudioTapeDATRecorder_40,DigitaleCompactCassette_41,MiniDiscSpeler_42,Muziekinstrument115_43,Bromfiets_44,MotorScooter_45,Auto_46,TourcaravanVouwwagen_47,Stacaravan_48,TweedeWoningVakantiehuisjeOfBung_49,Surfplank_50,ZeilbootOfMotorboot_51,SolariumZonnebank_52
26,1942JJ00,,,,,,,,,,,65.0,235.0,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1943JJ00,,,,,,,,,,,63.0,210.0,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1944JJ00,,,,,,,,,,,57.0,177.0,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1945JJ00,,,,,,,,,,,63.0,194.0,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1946JJ00,3605.0,3492.0,1.0,,,,,,,,96.0,315.0,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1947JJ00,,,,,,,379.0,8257.0,21.8,,83.0,269.0,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1948JJ00,4007.0,4216.0,1.0,,,,,,,,77.0,245.0,3.2,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1949JJ00,3955.0,4708.0,1.2,,,,,,,,80.0,258.0,3.2,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1950JJ00,3994.0,5492.0,1.4,,,,407.0,7245.0,17.8,113.3,79.0,251.0,3.2,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1951JJ00,,,,,,,411.0,9627.0,23.5,138.0,85.0,298.0,3.5,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1952JJ00,4012.0,6252.0,1.5,,,,,,,,83.0,277.0,3.4,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1953JJ00,4079.0,6544.0,1.6,,,,427.0,10356.0,24.2,128.9,87.0,277.0,3.2,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
