ID,RegioS,Perioden,VarkensrechtenInEenheden_1,VarkensrechtenInFosfaat_2,PluimveerechtenInEenheden_3,PluimveerechtenInFosfaat_4,VleesEnFokvarkens_5,KippenEnKalkoenen_6,Varkens_7,Pluimvee_8
0,NL01  ,1998JJ00,10843.0,80237.0,,,8351.0,100192.0,54000.0,29100.0
1,NL01  ,1999JJ00,10584.0,78322.0,,,8328.0,106205.0,49800.0,32500.0
2,NL01  ,2000JJ00,10355.0,76628.0,,,8015.0,105558.0,48200.0,32100.0
3,NL01  ,2001JJ00,9542.0,70612.0,74890.0,37445.0,7640.0,101857.0,42300.0,27500.0
4,NL01  ,2002JJ00,9452.0,69947.0,73459.0,36729.0,6903.0,102502.0,39700.0,27400.0
5,NL01  ,2003JJ00,9222.0,68240.0,72055.0,36027.0,6627.0,80347.0,38600.0,20600.0
6,NL01  ,2004JJ00,8860.0,65564.0,68054.0,34027.0,6629.0,87055.0,37100.0,23900.0
7,NL01  ,2005JJ00,8838.0,65402.0,67870.0,33935.0,6749.0,94160.0,41500.0,26800.0
8,NL01  ,2006JJ00,8839.0,65409.0,67830.0,33915.0,6709.0,92922.0,42800.0,26900.0
9,NL01  ,2007JJ00,8840.0,65413.0,67716.0,33858.0,6825.0,93993.0,42700.0,27000.0
10,NL01  ,2008JJ00,8849.0,65484.0,67574.0,33787.0,7061.0,97745.0,45100.0,27900.0
11,NL01  ,2009JJ00,8848.0,65478.0,67404.0,33702.0,7118.0,97921.0,46500.0,28800.0
12,NL01  ,2010JJ00,8974.0,66411.0,67494.0,33747.0,7131.0,102284.0,45500.0,29100.0
13,NL01  ,2011JJ00,8826.0,65309.0,67217.0,33608.0,7132.0,97909.0,43700.0,28100.0
14,NL01  ,2012JJ00,8806.0,65165.0,67207.0,33604.0,7054.0,96100.0,39200.0,26000.0
15,NL01  ,2013JJ00,8791.0,65055.0,67165.0,33582.0,6939.0,98560.0,39600.0,27200.0
16,NL01  ,2014JJ00,8771.0,64904.0,67164.0,33582.0,6856.0,103832.0,38800.0,27700.0
17,NL01  ,2015JJ00,8747.0,64728.0,67164.0,33582.0,7005.0,107626.0,40100.0,28300.0
18,NL01  ,2016JJ00,8728.0,64588.0,67164.0,33582.0,6883.0,106382.0,39200.0,28900.0
19,NL01  ,2017JJ00,8700.0,64383.0,67162.0,33581.0,6789.0,105855.0,37100.0,28000.0
20,NL01  ,2018JJ00,8687.0,64284.0,67162.0,33581.0,6738.0,98348.0,37700.0,25900.0
21,NL01  ,2019JJ00,8663.0,64105.0,67162.0,33581.0,6665.0,94495.0,36800.0,25100.0
22,NL01  ,2020JJ00,8586.0,63534.0,67161.0,33580.0,6447.0,95719.0,36700.0,24100.0
23,NL01  ,2021JJ00,8048.0,59553.0,67161.0,33580.0,6203.0,90098.0,34500.0,23200.0
24,NL01  ,2022JJ00,7987.0,59104.0,67041.0,33520.0,6115.0,88846.0,34400.0,22500.0
25,NL01  ,2023JJ00,7933.0,58708.0,66786.0,33393.0,5836.0,86804.0,33100.0,22400.0
26,NL01  ,2024JJ00,7616.0,56358.0,65349.0,32675.0,5607.0,83579.0,32300.0,20800.0
27,LD01  ,1998JJ00,494.0,3656.0,,,372.0,16526.0,2420.0,3910.0
28,LD01  ,1999JJ00,482.0,3566.0,,,365.0,19094.0,2200.0,4990.0
29,LD01  ,2000JJ00,471.0,3487.0,,,348.0,18995.0,2140.0,4920.0
30,LD01  ,2001JJ00,444.0,3284.0,10980.0,5490.0,314.0,18806.0,1810.0,4140.0
31,LD01  ,2002JJ00,442.0,3271.0,10838.0,5419.0,312.0,19932.0,1830.0,4390.0
32,LD01  ,2003JJ00,439.0,3248.0,10755.0,5377.0,307.0,17037.0,1820.0,4120.0
33,LD01  ,2004JJ00,423.0,3133.0,10953.0,5477.0,316.0,17221.0,1800.0,3960.0
34,LD01  ,2005JJ00,415.0,3070.0,11050.0,5525.0,318.0,18677.0,1960.0,4500.0
35,LD01  ,2006JJ00,414.0,3062.0,11146.0,5573.0,312.0,18560.0,2030.0,4480.0
36,LD01  ,2007JJ00,424.0,3134.0,11164.0,5582.0,316.0,19567.0,2010.0,4610.0
37,LD01  ,2008JJ00,391.0,2890.0,11227.0,5614.0,327.0,19829.0,2080.0,4680.0
38,LD01  ,2009JJ00,394.0,2916.0,11149.0,5575.0,328.0,20225.0,2130.0,4830.0
39,LD01  ,2010JJ00,403.0,2981.0,11390.0,5695.0,328.0,20491.0,2080.0,4680.0
40,LD01  ,2011JJ00,395.0,2921.0,11371.0,5685.0,294.0,20123.0,1810.0,4660.0
41,LD01  ,2012JJ00,404.0,2990.0,11646.0,5823.0,294.0,20161.0,1660.0,4240.0
42,LD01  ,2013JJ00,383.0,2836.0,11798.0,5899.0,297.0,20087.0,1720.0,4330.0
43,LD01  ,2014JJ00,386.0,2855.0,11920.0,5960.0,301.0,20878.0,1700.0,4390.0
44,LD01  ,2015JJ00,399.0,2954.0,12212.0,6106.0,299.0,22535.0,1720.0,4500.0
45,LD01  ,2016JJ00,404.0,2990.0,12277.0,6139.0,307.0,21593.0,1740.0,4460.0
46,LD01  ,2017JJ00,422.0,3121.0,12398.0,6199.0,283.0,21626.0,1510.0,4320.0
47,LD01  ,2018JJ00,417.0,3085.0,12605.0,6302.0,287.0,19332.0,1900.0,3960.0
48,LD01  ,2019JJ00,418.0,3097.0,12611.0,6306.0,290.0,19715.0,1890.0,3910.0
49,LD01  ,2020JJ00,433.0,3202.0,12506.0,6253.0,322.0,19459.0,2000.0,3820.0
50,LD01  ,2021JJ00,429.0,3171.0,12276.0,6138.0,311.0,18118.0,1930.0,3720.0
51,LD01  ,2022JJ00,431.0,3191.0,12022.0,6011.0,306.0,16845.0,1870.0,3320.0
52,LD01  ,2023JJ00,415.0,3071.0,12153.0,6077.0,306.0,16144.0,1590.0,3160.0
53,LD01  ,2024JJ00,428.0,3167.0,12444.0,6222.0,308.0,17012.0,1630.0,3270.0
54,LD02  ,1998JJ00,3687.0,27282.0,,,3219.0,31049.0,20120.0,9660.0
55,LD02  ,1999JJ00,3604.0,26670.0,,,2826.0,33025.0,16620.0,10510.0
56,LD02  ,2000JJ00,3524.0,26075.0,,,2730.0,32544.0,16100.0,10320.0
57,LD02  ,2001JJ00,3236.0,23944.0,25768.0,12884.0,2525.0,31624.0,13710.0,9020.0
58,LD02  ,2002JJ00,3191.0,23611.0,25089.0,12545.0,2277.0,30887.0,12930.0,8990.0
59,LD02  ,2003JJ00,3114.0,23043.0,24729.0,12365.0,2229.0,20975.0,12830.0,6370.0
60,LD02  ,2004JJ00,3022.0,22362.0,23384.0,11692.0,2208.0,26993.0,12240.0,8040.0
61,LD02  ,2005JJ00,3008.0,22258.0,23090.0,11545.0,2252.0,28462.0,13670.0,8860.0
62,LD02  ,2006JJ00,3022.0,22361.0,22766.0,11383.0,2239.0,27808.0,14110.0,8820.0
63,LD02  ,2007JJ00,2989.0,22117.0,22580.0,11290.0,2288.0,28271.0,14180.0,8880.0
64,LD02  ,2008JJ00,2796.0,20690.0,22181.0,11090.0,2349.0,30912.0,14800.0,9610.0
