ID,SectorBranchesSIC93,Periods,JobsPersonsEmployed_1,LabourVolumePersonsEmployed_2,EmployeesOnTheCompanyPayroll_3,LabourVolumeEmployeesOnThePayroll_4,TotalBusinessReturns_5,BusinessTurnoverNet_6,OtherBusinessReturns_7,TotalBusinessCosts_8,TotalPurchaseValueOfTurnover_9,TotalPurchasedRawAuxiliaryAndMat_10,InitialStockOfRawAndAuxiliaryMat_11,PurchasedRawAndAuxiliaryMaterials_12,ClosingStockRawAndAuxiliaryMat_13,TotalPurchasedGoodsForResale_14,InitialStockGoodsForResale_15,PurchasedGoodsForResale_16,ClosingStockGoodsForResale_17,TotalOtherPurchaseValue_18,PaymentsToSubcontractors_19,PurchaseValueNotElsewhereClassified_20,TotalPersonnelCosts_21,GrossWagesAndSalaries_22,EmployerPaidSocialInsurancePremiums_23,PensionAndEarlyRetirementPremiums_24,OtherSocialInsuranceCosts_25,OtherPersonnelCosts_26,TotalOtherBusinessCosts_27,EnergyCosts_28,HousingCosts_29,EquipmentAndInventoryCosts_30,TransportCosts_31,SalesCosts_32,CommunicationCosts_33,ServicesProvidedByThirdParties_34,BusinessCostsNotElsewhereClassified_35,DepreciationFixedAssets_36,ProfitLoss_37,NetFinancialIncome_38,NetProvisions_39,NetExtraordinaryIncome_40,ProfitLossBeforeTax_41
0,E    ,2006JJ00  ,31.1,28.5,24.4,23.2,38133,36688,1445,34959,28147,26464,130,26378,44,55,6,56,7,1628,1206,422,1941,1193,87,148,27,486,3464,70,184,285,50,152,64,585,2073,1406,3174,-199,-41,112,3045
1,E    ,2007JJ00  ,29.2,27.2,23.2,21.9,39876,38044,1832,35561,28365,27742,56,27731,45,4,0,4,0,620,354,266,1894,1165,80,162,28,460,3725,88,293,448,38,130,59,737,1930,1577,4315,-91,60,417,4702
2,E    ,2008JJ00  ,31.5,29.3,25.4,24.0,42129,40244,1885,38952,31182,30747,59,30768,81,4,0,4,0,431,380,51,2214,1351,108,173,24,559,3453,97,306,603,50,253,55,763,1328,2103,3177,-204,-27,378,3324
3,40   ,2006JJ00  ,24.6,22.9,18.8,18.3,36420,35106,1314,33630,27971,26369,124,26279,35,29,3,29,3,1574,1161,413,1592,966,68,120,20,418,2936,15,132,261,28,140,43,502,1815,1130,2791,-89,-57,111,2756
4,40   ,2007JJ00  ,23.2,21.9,18.1,17.2,38260,36563,1697,34210,28240,27650,50,27639,39,0,0,0,0,589,323,266,1549,937,61,136,22,393,3128,25,195,404,22,116,42,640,1682,1294,4050,46,56,429,4581
5,40   ,2008JJ00  ,25.2,23.6,20.2,19.0,40487,38730,1757,37578,31048,30642,46,30667,72,4,0,4,0,403,352,50,1844,1114,89,142,21,478,2879,35,263,556,33,238,39,665,1050,1807,2909,-66,-26,365,3181
6,41   ,2006JJ00  ,6.5,5.6,5.6,4.9,1713,1581,131,1329,176,95,6,99,10,26,3,27,4,54,45,9,349,227,19,29,7,68,528,55,53,23,22,12,22,84,258,276,384,-111,15,1,289
7,41   ,2007JJ00  ,6.0,5.3,5.1,4.7,1616,1481,135,1351,126,91,6,92,6,3,0,3,0,31,31,0,346,228,19,26,6,67,597,63,98,43,16,14,17,97,249,283,265,-137,4,-12,121
8,41   ,2008JJ00  ,6.2,5.7,5.2,5.0,1642,1514,128,1374,133,105,13,101,9,0,0,0,0,28,28,0,371,237,19,32,3,80,575,62,43,47,16,15,16,98,277,296,268,-137,-1,13,142
