ID,Aardoliegrondstoffen,Perioden,Beginvoorraad_1,Winning_2,RechtstreekseInvoer_3,EntrepotuitslagNaarHetBinnenland_4,RechstreekseUitvoer_5,EntrepotopslagHerkomstNederland_6,Verwerking_7,StatistischVerschil_8,Eindvoorraad_9,Beginvoorraad_10,EntrepotopslagHerkomstBuitenland_11,EntrepotopslagHerkomstNederland_12,Entrepotuitvoer_13,EntrepotuitslagNaarHetBinnenland_14,VerbruikVoorBlending_15,StatistischVerschil_16,Eindvoorraad_17
403,b,2006MM01,3356658.0,146201.0,3961552.0,331510.0,95365.0,0.0,3833108.0,0.0,3867448.0,3065411.0,4957701.0,0.0,3889995.0,331510.0,0.0,0.0,3801607.0
404,b,2006MM02,3867448.0,120204.0,3344675.0,454043.0,57978.0,0.0,3979293.0,0.0,3749099.0,3801607.0,3334856.0,0.0,3484811.0,454043.0,0.0,0.0,3197609.0
405,b,2006MM03,3749099.0,121373.0,3794740.0,533355.0,56962.0,0.0,4223767.0,0.0,3917838.0,3197609.0,4813569.0,0.0,3742200.0,533355.0,0.0,0.0,3735623.0
406,b,2006KW01,3356658.0,387778.0,11100967.0,1318908.0,210305.0,0.0,12036168.0,0.0,3917838.0,3065411.0,13106126.0,0.0,11117006.0,1318908.0,0.0,0.0,3735623.0
407,b,2006MM04,3917838.0,107626.0,2358051.0,614212.0,77239.0,0.0,3598749.0,0.0,3321739.0,3735623.0,4451467.0,0.0,3728059.0,614212.0,0.0,0.0,3844819.0
408,b,2006MM05,3321739.0,120664.0,3359634.0,395298.0,43648.0,0.0,3870585.0,0.0,3283102.0,3844819.0,4751116.0,0.0,4055959.0,395298.0,0.0,0.0,4144678.0
409,b,2006MM06,3283102.0,116644.0,3846561.0,314085.0,60334.0,0.0,4045478.0,0.0,3454580.0,4144678.0,4032959.0,0.0,3828869.0,314085.0,0.0,0.0,4034683.0
410,b,2006KW02,3917838.0,344934.0,9564246.0,1323595.0,181221.0,0.0,11514812.0,0.0,3454580.0,3735623.0,13235542.0,0.0,11612887.0,1323595.0,0.0,0.0,4034683.0
411,b,2006HJ01,3356658.0,732712.0,20665213.0,2642503.0,391526.0,0.0,23550980.0,0.0,3454580.0,3065411.0,26341668.0,0.0,22729893.0,2642503.0,0.0,0.0,4034683.0
412,b,2006MM07,3454580.0,89743.0,3116921.0,669613.0,38610.0,0.0,3964133.0,0.0,3328114.0,4034683.0,4538915.0,0.0,3683863.0,669613.0,0.0,0.0,4220122.0
413,b,2006MM08,3328114.0,66610.0,3416379.0,681012.0,36610.0,0.0,4153771.0,0.0,3301734.0,4220122.0,4051784.0,0.0,3785530.0,681012.0,0.0,0.0,3805364.0
414,b,2006MM09,3301734.0,65799.0,3686944.0,587836.0,35799.0,0.0,4190785.0,0.0,3415729.0,3805364.0,4250721.0,0.0,3618061.0,587836.0,0.0,0.0,3850188.0
415,b,2006KW03,3454580.0,222152.0,10220244.0,1938461.0,111019.0,0.0,12308689.0,0.0,3415729.0,4034683.0,12841420.0,0.0,11087454.0,1938461.0,0.0,0.0,3850188.0
