ID,LeeftijdExactVanDeVrouw,Perioden,TotaalVrouwenSteekproef_1,IsZwangerOfWilZwangerWorden_2,GeenRelatie_3,PrincipieelTegenAnticonceptie_4,GeenAnticonceptieNodig_5,AndereRedenen_6
0,9,2003JJ00,623,34,38,4,6,19
1,9,2008JJ00,493,33,37,2,7,20
2,9,2013JJ00,460,41,19,3,13,25
3,1,2003JJ00,141,10,67,5,6,12
4,1,2008JJ00,114,13,59,3,9,17
5,1,2013JJ00,88,19,53,2,8,17
6,2,2003JJ00,289,53,22,2,6,18
7,2,2008JJ00,218,51,29,1,4,14
8,2,2013JJ00,219,53,13,2,8,23
9,3,2003JJ00,193,22,39,5,6,28
10,3,2008JJ00,161,23,32,3,11,31
11,3,2013JJ00,153,35,7,6,22,31
