ID,Energiedragers,Perioden,EnergieverbruikInDeSectorNijverheid_1
0,1 ,1975JJ00,884.0
1,1 ,1976JJ00,970.0
2,1 ,1977JJ00,974.0
3,1 ,1978JJ00,1026.0
4,1 ,1979JJ00,1079.0
5,1 ,1980JJ00,947.0
6,1 ,1981JJ00,881.0
7,1 ,1982JJ00,784.0
8,1 ,1983JJ00,821.0
9,1 ,1984JJ00,871.0
10,1 ,1985JJ00,880.0
11,1 ,1986JJ00,898.0
12,1 ,1987JJ00,940.0
13,1 ,1988JJ00,972.0
14,1 ,1989JJ00,937.0
15,1 ,1990JJ00,978.0
16,1 ,1991JJ00,990.0
17,1 ,1992JJ00,996.0
18,1 ,1993JJ00,956.0
19,1 ,1994JJ00,983.0
20,1 ,1995JJ00,1047.0
21,1 ,1996JJ00,1031.0
22,1 ,1997JJ00,1050.0
23,1 ,1998JJ00,1040.0
24,1 ,1999KW01,272.0
25,1 ,1999KW02,267.0
26,1 ,1999KW03,256.0
27,1 ,1999KW04,291.0
28,1 ,1999JJ00,1085.0
29,1 ,2000KW01,283.0
30,1 ,2000KW02,270.0
31,1 ,2000KW03,274.0
32,1 ,2000KW04,286.0
33,1 ,2000JJ00,1113.0
34,1 ,2001KW01,287.0
35,1 ,2001KW02,271.0
36,1 ,2001KW03,273.0
37,1 ,2001KW04,281.0
38,1 ,2001JJ00,1112.0
39,1 ,2002KW01,284.0
40,1 ,2002KW02,270.0
41,1 ,2002KW03,269.0
42,1 ,2002KW04,303.0
43,1 ,2002JJ00,1127.0
44,1 ,2003KW01,290.0
45,1 ,2003KW02,283.0
46,1 ,2003KW03,285.0
47,1 ,2003KW04,312.0
48,1 ,2003JJ00,1171.0
49,1 ,2004KW01,315.0
50,1 ,2004KW02,296.0
51,1 ,2004KW03,300.0
52,1 ,2004KW04,297.0
53,1 ,2004JJ00,1208.0
54,1 ,2005KW01,329.0
55,1 ,2005KW02,312.0
56,1 ,2005KW03,301.0
57,1 ,2005KW04,318.0
58,1 ,2005JJ00,1261.0
59,1 ,2006KW01,312.0
60,1 ,2006KW02,285.0
61,1 ,2006KW03,288.0
62,1 ,2006KW04,301.0
63,1 ,2006JJ00,1186.0
64,1 ,2007KW01,313.0
65,1 ,2007KW02,320.0
66,1 ,2007KW03,332.0
67,1 ,2007KW04,351.0
68,1 ,2007JJ00,1316.0
69,1 ,2008KW01,335.0
70,1 ,2008KW02,303.0
71,1 ,2008KW03,315.0
72,1 ,2008KW04,289.0
73,1 ,2008JJ00,1243.0
74,1 ,2009KW01,281.0
75,1 ,2009KW02,273.0
76,1 ,2009KW03,300.0
77,1 ,2009KW04,314.0
78,1 ,2009JJ00,1168.0
79,1 ,2010KW01,326.0
80,1 ,2010KW02,318.0
81,1 ,2010KW03,313.0
82,1 ,2010KW04,335.0
83,1 ,2010JJ00,1294.0
84,1 ,2011JJ00,1213.0
85,1 ,2012JJ00,1231.0
86,2 ,1975JJ00,65.0
87,2 ,1976JJ00,67.0
88,2 ,1977JJ00,64.0
89,2 ,1978JJ00,70.0
90,2 ,1979JJ00,77.0
91,2 ,1980JJ00,73.0
92,2 ,1981JJ00,79.0
93,2 ,1982JJ00,71.0
94,2 ,1983JJ00,70.0
95,2 ,1984JJ00,92.0
96,2 ,1985JJ00,92.0
97,2 ,1986JJ00,90.0
98,2 ,1987JJ00,91.0
99,2 ,1988JJ00,97.0
100,2 ,1989JJ00,96.0
101,2 ,1990JJ00,96.0
102,2 ,1991JJ00,89.0
103,2 ,1992JJ00,89.0
104,2 ,1993JJ00,95.0
105,2 ,1994JJ00,87.0
106,2 ,1995JJ00,94.0
107,2 ,1996JJ00,95.0
108,2 ,1997JJ00,99.0
109,2 ,1998JJ00,93.0
110,2 ,1999KW01,23.0
111,2 ,1999KW02,21.0
112,2 ,1999KW03,23.0
113,2 ,1999KW04,22.0
114,2 ,1999JJ00,89.0
