ID,Zorgaanbieders,FinancieringsvormenZorg,Perioden,UitgavenAanGezondheidszorgIngezetenen_1
127,A052787,A019150,2024JJ00,28587.0
128,A052787,A019151,2021JJ00,990.0
129,A052787,A019151,2022JJ00,792.0
130,A052787,A019151,2023JJ00,760.0
131,A052787,A019151,2024JJ00,862.0
132,A052787,A019152,2021JJ00,23370.0
133,A052787,A019152,2022JJ00,23991.0
134,A052787,A019152,2023JJ00,25802.0
135,A052787,A019152,2024JJ00,27725.0
136,A052787,A019154,2021JJ00,560.0
137,A052787,A019154,2022JJ00,574.0
138,A052787,A019154,2023JJ00,638.0
139,A052787,A019154,2024JJ00,707.0
140,A052787,A019155,2021JJ00,
141,A052787,A019155,2022JJ00,
142,A052787,A019155,2023JJ00,
143,A052787,A019155,2024JJ00,
144,A052787,A019156,2021JJ00,22811.0
145,A052787,A019156,2022JJ00,23417.0
146,A052787,A019156,2023JJ00,25164.0
147,A052787,A019156,2024JJ00,27018.0
148,A052787,A041720,2021JJ00,1971.0
149,A052787,A041720,2022JJ00,2134.0
150,A052787,A041720,2023JJ00,2302.0
151,A052787,A041720,2024JJ00,2381.0
152,A052787,A019157,2021JJ00,16.0
153,A052787,A019157,2022JJ00,16.0
154,A052787,A019157,2023JJ00,17.0
155,A052787,A019157,2024JJ00,17.0
156,A052787,A019158,2021JJ00,16.0
157,A052787,A019158,2022JJ00,16.0
158,A052787,A019158,2023JJ00,17.0
159,A052787,A019158,2024JJ00,17.0
160,A052787,A019161,2021JJ00,0.0
161,A052787,A019161,2022JJ00,0.0
162,A052787,A019161,2023JJ00,0.0
163,A052787,A019161,2024JJ00,0.0
164,A052787,A019162,2021JJ00,0.0
165,A052787,A019162,2022JJ00,0.0
166,A052787,A019162,2023JJ00,0.0
167,A052787,A019162,2024JJ00,0.0
168,A052787,A019163,2021JJ00,1955.0
169,A052787,A019163,2022JJ00,2118.0
170,A052787,A019163,2023JJ00,2285.0
171,A052787,A019163,2024JJ00,2364.0
172,A052787,A019164,2021JJ00,275.0
173,A052787,A019164,2022JJ00,387.0
174,A052787,A019164,2023JJ00,485.0
175,A052787,A019164,2024JJ00,520.0
176,A052787,A019165,2021JJ00,1680.0
177,A052787,A019165,2022JJ00,1730.0
178,A052787,A019165,2023JJ00,1799.0
179,A052787,A019165,2024JJ00,1844.0
180,A052788,A019149,2021JJ00,4651.0
181,A052788,A019149,2022JJ00,4989.0
182,A052788,A019149,2023JJ00,5462.0
183,A052788,A019149,2024JJ00,6070.0
184,A052788,A019150,2021JJ00,4502.0
185,A052788,A019150,2022JJ00,4802.0
186,A052788,A019150,2023JJ00,5270.0
187,A052788,A019150,2024JJ00,5873.0
188,A052788,A019151,2021JJ00,1344.0
189,A052788,A019151,2022JJ00,1443.0
