ID,Bouwjaar,Perioden,TotaleInzet_1,AardgasInzet_2,StookolieInzet_3,OverigeBrandstoffenInzet_4,TotaleInzet_5,AardgasInzet_6,StookolieInzet_7,OverigeBrandstoffenInzet_8,TotaleProductie_9,ProductieElektriciteit_10,ProductieStoomWarmWater_11,TotaleProductie_12,ProductieElektriciteit_13,ProductieStoomWarmWater_14,ElektrischVermogen_15,ThermischVermogen_16,AantalInstallaties_17
0,TOT,1998JJ00,56321.0,1717849.0,814.0,1918.0,56321.0,54370.0,33.0,1918.0,46179.0,5206390.0,27436.0,46179.0,18743.0,27436.0,1487.0,8016728.0,3677.0
1,TOT,1999JJ00,59046.0,1802698.0,951.0,1952.0,59046.0,57055.0,39.0,1952.0,48008.0,5429222.0,28463.0,48008.0,19545.0,28463.0,1550.0,8341797.0,3758.0
2,TOT,2000JJ00,59493.0,1821318.0,674.0,1821.0,59493.0,57645.0,28.0,1821.0,48206.0,5525016.0,28316.0,48206.0,19890.0,28316.0,1583.0,8495172.0,3767.0
3,TOT,2001JJ00,56715.0,1730285.0,111.0,1947.0,56715.0,54764.0,5.0,1947.0,45591.0,5226224.0,26776.0,45591.0,18814.0,26776.0,1558.0,8332882.0,3668.0
4,TOT,2002JJ00,56136.0,1708487.0,0.0,2063.0,56136.0,54074.0,0.0,2063.0,45148.0,5180561.0,26498.0,45148.0,18650.0,26498.0,1541.0,8206157.0,3573.0
5,B81,1998JJ00,389.0,8808.0,0.0,111.0,389.0,279.0,0.0,111.0,333.0,34180.0,210.0,333.0,123.0,210.0,10.0,43103.0,19.0
6,B81,1999JJ00,382.0,8688.0,0.0,107.0,382.0,275.0,0.0,107.0,287.0,31980.0,171.0,287.0,115.0,171.0,8.0,40303.0,17.0
7,B81,2000JJ00,355.0,8416.0,0.0,88.0,355.0,266.0,0.0,88.0,263.0,32804.0,145.0,263.0,118.0,145.0,6.0,29883.0,14.0
8,B81,2001JJ00,284.0,6051.0,0.0,92.0,284.0,192.0,0.0,92.0,200.0,24822.0,111.0,200.0,89.0,111.0,6.0,29851.0,13.0
9,B81,2002JJ00,283.0,6062.0,0.0,92.0,283.0,192.0,0.0,92.0,206.0,24753.0,117.0,206.0,89.0,117.0,6.0,29851.0,13.0
10,B82,1998JJ00,800.0,14928.0,0.0,327.0,800.0,472.0,0.0,327.0,636.0,63018.0,409.0,636.0,227.0,409.0,15.0,84042.0,41.0
11,B82,1999JJ00,757.0,14666.0,0.0,293.0,757.0,464.0,0.0,293.0,583.0,58712.0,372.0,583.0,211.0,372.0,15.0,84042.0,41.0
12,B82,2000JJ00,808.0,16400.0,0.0,289.0,808.0,519.0,0.0,289.0,632.0,64415.0,400.0,632.0,232.0,400.0,15.0,81455.0,39.0
13,B82,2001JJ00,834.0,17579.0,0.0,278.0,834.0,556.0,0.0,278.0,668.0,69111.0,420.0,668.0,249.0,420.0,15.0,80981.0,38.0
14,B82,2002JJ00,959.0,24103.0,0.0,196.0,959.0,763.0,0.0,196.0,713.0,78309.0,431.0,713.0,282.0,431.0,13.0,74501.0,35.0
15,B85,1998JJ00,1029.0,18239.0,0.0,452.0,1029.0,577.0,0.0,452.0,830.0,84771.0,524.0,830.0,305.0,524.0,18.0,116748.0,74.0
16,B85,1999JJ00,1055.0,18805.0,0.0,460.0,1055.0,595.0,0.0,460.0,845.0,85648.0,537.0,845.0,308.0,537.0,18.0,115308.0,73.0
17,B85,2000JJ00,1122.0,21604.0,0.0,438.0,1122.0,684.0,0.0,438.0,843.0,86767.0,531.0,843.0,312.0,531.0,18.0,115047.0,72.0
18,B85,2001JJ00,1097.0,20323.0,0.0,454.0,1097.0,643.0,0.0,454.0,884.0,88931.0,564.0,884.0,320.0,564.0,18.0,115047.0,72.0
19,B85,2002JJ00,946.0,15640.0,0.0,451.0,946.0,495.0,0.0,451.0,798.0,77447.0,519.0,798.0,279.0,519.0,18.0,111650.0,70.0
20,B88,1998JJ00,5146.0,152262.0,0.0,327.0,5146.0,4819.0,0.0,327.0,4193.0,468567.0,2506.0,4193.0,1687.0,2506.0,121.0,671278.0,374.0
21,B88,1999JJ00,4994.0,146844.0,0.0,346.0,4994.0,4648.0,0.0,346.0,4026.0,448784.0,2411.0,4026.0,1616.0,2411.0,119.0,656587.0,363.0
22,B88,2000JJ00,4825.0,141479.0,0.0,347.0,4825.0,4478.0,0.0,347.0,3909.0,433497.0,2348.0,3909.0,1561.0,2348.0,113.0,621696.0,344.0
23,B88,2001JJ00,4992.0,146400.0,0.0,358.0,4992.0,4634.0,0.0,358.0,3999.0,443694.0,2401.0,3999.0,1597.0,2401.0,105.0,581198.0,322.0
24,B88,2002JJ00,4412.0,127872.0,0.0,364.0,4412.0,4047.0,0.0,364.0,3597.0,400423.0,2155.0,3597.0,1442.0,2155.0,99.0,545307.0,300.0
25,B91,1998JJ00,14982.0,466365.0,0.0,221.0,14982.0,14760.0,0.0,221.0,12281.0,1365681.0,7364.0,12281.0,4916.0,7364.0,405.0,2233831.0,1076.0
26,B91,1999JJ00,14817.0,461000.0,0.0,226.0,14817.0,14591.0,0.0,226.0,12035.0,1346946.0,7186.0,12035.0,4849.0,7186.0,395.0,2179239.0,1050.0
27,B91,2000JJ00,13804.0,431328.0,0.0,152.0,13804.0,13652.0,0.0,152.0,11178.0,1276064.0,6585.0,11178.0,4594.0,6585.0,381.0,2104769.0,1016.0
28,B91,2001JJ00,12405.0,387855.0,0.0,129.0,12405.0,12276.0,0.0,129.0,9917.0,1130094.0,5849.0,9917.0,4068.0,5849.0,359.0,1974498.0,954.0
29,B91,2002JJ00,12437.0,384622.0,0.0,264.0,12437.0,12173.0,0.0,264.0,9883.0,1140726.0,5776.0,9883.0,4107.0,5776.0,341.0,1872374.0,905.0
30,B94,1998JJ00,19203.0,595009.0,688.0,343.0,19203.0,18832.0,28.0,343.0,15732.0,1808255.0,9223.0,15732.0,6510.0,9223.0,503.0,2653644.0,1138.0
31,B94,1999JJ00,19255.0,595785.0,829.0,364.0,19255.0,18857.0,34.0,364.0,15689.0,1799838.0,9209.0,15689.0,6479.0,9209.0,499.0,2630223.0,1127.0
32,B94,2000JJ00,18349.0,570083.0,674.0,279.0,18349.0,18043.0,28.0,279.0,14736.0,1742595.0,8463.0,14736.0,6273.0,8463.0,487.0,2560956.0,1092.0
33,B94,2001JJ00,15518.0,482046.0,111.0,257.0,15518.0,15257.0,5.0,257.0,12278.0,1459572.0,7023.0,12278.0,5254.0,7023.0,458.0,2401778.0,1025.0
34,B94,2002JJ00,15595.0,484792.0,0.0,251.0,15595.0,15344.0,0.0,251.0,12432.0,1468273.0,7146.0,12432.0,5286.0,7146.0,444.0,2318609.0,990.0
35,B97,1998JJ00,7621.0,237374.0,126.0,103.0,7621.0,7513.0,5.0,103.0,6269.0,709652.0,3714.0,6269.0,2555.0,3714.0,207.0,1113154.0,393.0
36,B97,1999JJ00,10743.0,335428.0,122.0,121.0,10743.0,10616.0,5.0,121.0,8740.0,996179.0,5153.0,8740.0,3586.0,5153.0,292.0,1557556.0,538.0
37,B97,2000JJ00,10632.0,332078.0,0.0,121.0,10632.0,10510.0,0.0,121.0,8713.0,988882.0,5153.0,8713.0,3560.0,5153.0,286.0,1522107.0,521.0
38,B97,2001JJ00,10074.0,313878.0,0.0,140.0,10074.0,9934.0,0.0,140.0,8281.0,949304.0,4864.0,8281.0,3417.0,4864.0,277.0,1477084.0,506.0
39,B97,2002JJ00,9652.0,299993.0,0.0,157.0,9652.0,9495.0,0.0,157.0,7862.0,898978.0,4626.0,7862.0,3236.0,4626.0,271.0,1445306.0,496.0
40,B00,1998JJ00,,,,,,,,,,,,,,,,,
41,B00,1999JJ00,,,,,,,,,,,,,,,,,
42,B00,2000JJ00,2730.0,83967.0,0.0,72.0,2730.0,2658.0,0.0,72.0,2240.0,253022.0,1329.0,2240.0,911.0,1329.0,78.0,408434.0,135.0
43,B00,2001JJ00,5026.0,152296.0,0.0,206.0,5026.0,4820.0,0.0,206.0,4110.0,464113.0,2439.0,4110.0,1671.0,2439.0,123.0,639948.0,214.0
44,B00,2002JJ00,5587.0,168408.0,0.0,256.0,5587.0,5330.0,0.0,256.0,4554.0,512604.0,2709.0,4554.0,1845.0,2709.0,156.0,791216.0,252.0
45,BON,1998JJ00,7151.0,224864.0,0.0,34.0,7151.0,7117.0,0.0,34.0,5906.0,672266.0,3486.0,5906.0,2420.0,3486.0,208.0,1100928.0,562.0
46,BON,1999JJ00,7044.0,221482.0,0.0,34.0,7044.0,7010.0,0.0,34.0,5803.0,661135.0,3423.0,5803.0,2380.0,3423.0,204.0,1078539.0,549.0
47,BON,2000JJ00,6869.0,215963.0,0.0,34.0,6869.0,6835.0,0.0,34.0,5693.0,646970.0,3364.0,5693.0,2329.0,3364.0,199.0,1050825.0,534.0
48,BON,2001JJ00,6484.0,203857.0,0.0,32.0,6484.0,6452.0,0.0,32.0,5253.0,596583.0,3105.0,5253.0,2148.0,3105.0,196.0,1032497.0,524.0
49,BON,2002JJ00,6266.0,196995.0,0.0,31.0,6266.0,6235.0,0.0,31.0,5103.0,579048.0,3019.0,5103.0,2085.0,3019.0,193.0,1017343.0,512.0
